<video_id>DUD7IPcHKnk</video_id>	JJ	<video_id>DUD7IPcHKnk</video_id>
in	IN	in
Gaza	NP	Gaza
I	PP	I
understand	VVP	understand
they're	NN	they're
under	IN	under
siege	NN	siege
could	MD	could
you	PP	you
clarify	VV	clarify
good	JJ	good
morning	NN	morning
thanks	NNS	thanks
for	IN	for
having	VHG	have
me	PP	me
unfortunately	RB	unfortunately
this	DT	this
is	VBZ	be
the	DT	the
second	JJ	second
day	NN	day
our	PP$	our
teams	NNS	team
at	IN	at
um	NNS	um
the	DT	the
ambulance	NN	ambulance
Center	NN	center
the	DT	the
palestin	NN	palestin
rod	NN	rod
Crescent	NP	Crescent
ambulance	NN	ambulance
Center	NN	center
in	IN	in
jabalia	NNS	jabalia
are	VBP	be
still	RB	still
under	IN	under
Peg	NP	Peg
our	PP$	our
Center	NN	center
is	VBZ	be
completely	RB	completely
ped	JJ	ped
and	CC	and
um	JJ	um
there's	NNS	there's
a	DT	a
artillary	NN	artillary
shelling	VVG	shell
and	CC	and
tense	JJ	tense
artillery	NN	artillery
shelling	VVG	shell
that	DT	that
is	VBZ	be
continuous	JJ	continuous
since	IN	since
yesterday	NN	yesterday
a	DT	a
along	IN	along
with	IN	with
gunfire	NN	gunfire
from	IN	from
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
snipers	NNS	sniper
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
way	NN	way
anyone	NN	anyone
can	MD	can
go	VV	go
out	RP	out
of	IN	of
the	DT	the
center	NN	center
the	DT	the
the	DT	the
safety	NN	safety
of	IN	of
our	PP$	our
teams	NNS	team
is	VBZ	be
at	IN	at
risk	NN	risk
there	EX	there
is	VBZ	be
around	RB	around
127	CD	@card@
people	NNS	people
who	WP	who
are	VBP	be
trapped	VVN	trap
inside	IN	inside
our	PP$	our
ambulance	NN	ambulance
Center	NP	Center
including	VVG	include
paramedics	NN	paramedics
volunteers	VVZ	volunteer
their	PP$	their
families	NNS	family
and	CC	and
22	CD	@card@
injured	JJ	injured
person	NN	person
just	RB	just
to	TO	to
clarify	VV	clarify
nebal	NN	nebal
has	VHZ	have
your	PP$	your
Center	NN	center
itself	PP	itself
come	VVP	come
on	IN	on
under	IN	under
attack	NN	attack
has	VHZ	have
it	PP	it
been	VBN	be
sniper	NN	sniper
or	CC	or
hit	VVN	hit
by	IN	by
shelling	VVG	shell
no	DT	no
but	RB	but
um	JJ	um
as	IN	as
I	PP	I
mentioned	VVD	mention
the	DT	the
area	NN	area
where	WRB	where
the	DT	the
center	NN	center
is	VBZ	be
located	VVN	locate
is	VBZ	be
completely	RB	completely
dangerous	JJ	dangerous
there	EX	there
is	VBZ	be
no	DT	no
way	NN	way
anyone	NN	anyone
can	MD	can
go	VV	go
out	RP	out
of	IN	of
the	DT	the
center	NN	center
anyone	NN	anyone
is	VBZ	be
trying	VVG	try
to	TO	to
move	VV	move
at	IN	at
that	DT	that
area	NN	area
is	VBZ	be
under	IN	under
the	DT	the
target	NN	target
of	IN	of
Israeli	JJ	Israeli
snipers	NNS	sniper
along	IN	along
with	IN	with
the	DT	the
artillery	NN	artillery
shelling	VVG	shell
that	IN/that	that
that	DT	that
is	VBZ	be
not	RB	not
stopping	VVG	stop
it's	NNS	it's
just	RB	just
continuous	JJ	continuous
however	RB	however
we	PP	we
are	VBP	be
still	RB	still
providing	VVG	provide
our	PP$	our
Medical	NP	Medical
Services	NPS	Services
inside	IN	inside
our	PP$	our
medical	JJ	medical
uh	UH	uh
post	NN	post
which	WDT	which
was	VBD	be
established	VVN	establish
a	DT	a
month	NN	month
ago	RB	ago
to	TO	to
continue	VV	continue
providing	VVG	provide
Medical	NP	Medical
Services	NPS	Services
to	TO	to
the	DT	the
wounded	JJ	wounded
people	NNS	people
in	IN	in
the	DT	the
area	NN	area
of	IN	of
jabalia	NN	jabalia
which	WDT	which
is	VBZ	be
under	IN	under
a	DT	a
constant	JJ	constant
bombardment	NN	bombardment
and	CC	and
unfortunately	RB	unfortunately
as	IN	as
you	PP	you
just	RB	just
highlighted	VVD	highlight
now	RB	now
there	EX	there
is	VBZ	be
no	DT	no
leftover	JJ	leftover
hospitals	NNS	hospital
in	IN	in
north	NN	north
of	IN	of
Gaza	NP	Gaza
not	RB	not
even	RB	even
a	DT	a
single	JJ	single
hospital	NN	hospital
is	VBZ	be
operating	VVG	operate
all	DT	all
hospitals	NNS	hospital
went	VVD	go
out	RP	out
of	IN	of
service	NN	service
due	JJ	due
to	TO	to
bombardment	NN	bombardment
direct	JJ	direct
and	CC	and
intentional	JJ	intentional
attack	NN	attack
of	IN	of
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
for	IN	for
hospitals	NNS	hospital
bombing	VVG	bomb
the	DT	the
hospitals	NNS	hospital
along	RB	along
with	IN	with
presing	VVG	presing
the	DT	the
hospitals	NNS	hospital
and	CC	and
arresting	VVG	arrest
the	DT	the
medical	JJ	medical
teams	NNS	team
of	IN	of
the	DT	the
hospitals	NNS	hospital
up	RP	up
to	TO	to
this	DT	this
moment	NN	moment
there	EX	there
is	VBZ	be
around	RB	around
almost	RB	almost
a	DT	a
100	CD	@card@
medical	JJ	medical
team	NN	team
is	VBZ	be
arrested	VVN	arrest
by	IN	by
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
including	VVG	include
the	DT	the
directors	NNS	director
of	IN	of
many	JJ	many
hospitals	NNS	hospital
Nal	NN	Nal
let	VVD	let
me	PP	me
ask	VVP	ask
you	PP	you
this	DT	this
have	VHP	have
you	PP	you
been	VBN	be
in	IN	in
touch	NN	touch
with	IN	with
Israeli	JJ	Israeli
author	NN	author
authorities	NNS	authority
and	CC	and
ask	VV	ask
them	PP	them
to	TO	to
Cease	NP	Cease
the	DT	the
fire	NN	fire
that	WDT	that
is	VBZ	be
besieging	VVG	besiege
your	PP$	your
people	NNS	people
I	PP	I
think	VVP	think
you	PP	you
said	VVD	say
they've	NN	they've
been	VBN	be
locked	VVN	lock
down	RP	down
inside	IN	inside
the	DT	the
center	NN	center
for	IN	for
the	DT	the
second	JJ	second
day	NN	day
today	NN	today
have	VHP	have
you	PP	you
been	VBN	be
in	IN	in
touch	NN	touch
with	IN	with
Israeli	JJ	Israeli
authorities	NNS	authority
if	IN	if
so	RB	so
what	WP	what
kind	NN	kind
of	IN	of
response	NN	response
do	VVP	do
you	PP	you
get	VV	get
the	DT	the
Palestine	NP	Palestine
red	NN	red
Cresent	NP	Cresent
has	VHZ	have
no	DT	no
coordination	NN	coordination
with	IN	with
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	VVZ	force
we	PP	we
coordinate	VV	coordinate
with	IN	with
our	PP$	our
partners	NNS	partner
at	IN	at
the	DT	the
international	JJ	international
uh	UH	uh
Committee	NP	Committee
of	IN	of
the	DT	the
Red	NP	Red
Cross	NP	Cross
to	TO	to
coordinate	VV	coordinate
our	PP$	our
safe	JJ	safe
access	NN	access
unfortunately	RB	unfortunately
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
war	NN	war
our	PP$	our
teams	NNS	team
are	VBP	be
facing	VVG	face
great	JJ	great
challenges	NNS	challenge
conducting	VVG	conduct
their	PP$	their
humanitarian	JJ	humanitarian
role	NN	role
even	RB	even
reaching	VVG	reach
the	DT	the
wounded	JJ	wounded
people	NNS	people
which	WDT	which
we	PP	we
need	VVP	need
safe	JJ	safe
access	NN	access
so	RB	so
basically	RB	basically
we	PP	we
coordinate	VV	coordinate
our	PP$	our
safe	JJ	safe
access	NN	access
through	IN	through
the	DT	the
icrc	NN	icrc
unfortunately	RB	unfortunately
the	DT	the
icrc	NN	icrc
is	VBZ	be
unable	JJ	unable
to	TO	to
coordinate	VV	coordinate
our	PP$	our
safe	JJ	safe
access	NN	access
that's	NNS	that's
why	WRB	why
we're	NN	we're
getting	VVG	get
off	RP	off
dozens	NNS	dozen
of	IN	of
desperate	JJ	desperate
calls	NNS	call
from	IN	from
people	NNS	people
who	WP	who
are	VBP	be
trapped	VVN	trap
in	IN	in
their	PP$	their
homes	NNS	home
with	IN	with
people	NNS	people
who	WP	who
are	VBP	be
killed	VVN	kill
or	CC	or
even	RB	even
injured	VVN	injure
and	CC	and
unfortunately	RB	unfortunately
our	PP$	our
teams	NNS	team
are	VBP	be
unable	JJ	unable
to	TO	to
reach	VV	reach
to	TO	to
them	PP	them
not	RB	not
even	RB	even
any	DT	any
other	JJ	other
emergency	NN	emergency
medical	JJ	medical
service	NN	service
provider	NN	provider
or	CC	or
rescue	NN	rescue
team	NN	team
and	CC	and
now	RB	now
our	PP$	our
teams	NNS	team
are	VBP	be
even	RB	even
trapped	VVN	trap
inside	IN	inside
our	PP$	our
ambulance	NN	ambulance
Center	NN	center
and	CC	and
unfortunately	RB	unfortunately
this	DT	this
is	VBZ	be
the	DT	the
case	NN	case
it's	NNS	it's
not	RB	not
only	RB	only
the	DT	the
case	NN	case
because	IN	because
we	PP	we
also	RB	also
under	IN	under
direct	JJ	direct
attack	NN	attack
this	DT	this
happened	VVN	happen
for	IN	for
us	PP	us
for	IN	for
our	PP$	our
team	NN	team
in	IN	in
Gaza	NP	Gaza
City	NP	City
we	PP	we
had	VHD	have
Al	NP	Al
KS	NP	KS
Hospital	NP	Hospital
which	WDT	which
has	VHZ	have
shot	VVN	shoot
down	RB	down
due	JJ	due
to	TO	to
Israeli	JJ	Israeli
bombardment	NN	bombardment
direct	JJ	direct
attack	NN	attack
on	IN	on
the	DT	the
hospital	NN	hospital
open	JJ	open
fire	NN	fire
at	IN	at
the	DT	the
Intensive	JJ	intensive
Care	NP	Care
Unit	NP	Unit
and	CC	and
pring	VVG	pring
the	DT	the
hospital	NN	hospital
until	IN	until
the	DT	the
moment	NN	moment
we	PP	we
have	VHP	have
to	TO	to
go	VV	go
out	RP	out
of	IN	of
service	NN	service
and	CC	and
unfortunately	RB	unfortunately
the	DT	the
hospital	NN	hospital
was	VBD	be
shut	VVN	shut
down	RP	down
up	RB	up
to	TO	to
this	DT	this
moment	NN	moment
at	IN	at
least	JJS	least
four	CD	four
uh	UH	uh
colleagues	NNS	colleague
four	CD	four
paramedics	NNS	paramedic
were	VBD	be
killed	VVN	kill
where	WRB	where
they	PP	they
were	VBD	be
on	IN	on
a	DT	a
duty	NN	duty
along	IN	along
with	IN	with
other	JJ	other
28	CD	@card@
paramedics	NNS	paramedic
were	VBD	be
uh	UH	uh
injured	VVN	injure
while	IN	while
the	DT	the
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
ensures	VVZ	ensure
safe	JJ	safe
um	JJ	um
access	NN	access
to	TO	to
paramedics	NN	paramedics
and	CC	and
healthcare	NN	healthcare
workers	NNS	worker
unfortunately	RB	unfortunately
our	PP$	our
teams	NNS	team
are	VBP	be
being	VBG	be
targeted	VVN	target
intentionally	RB	intentionally
by	IN	by
Israel	NP	Israel
occupation	NN	occupation
forces	VVZ	force
all	DT	all
right	JJ	right
thanks	NNS	thanks
so	IN	so
much	JJ	much
</doc>	NN	</doc>
