<video_id>-dxsBJu_VCA</video_id>	JJ	<video_id>-dxsBJu_VCA</video_id>
a	DT	a
safe	JJ	safe
Zone	NP	Zone
in	IN	in
a	DT	a
war	NN	war
zone	NN	zone
the	DT	the
entire	JJ	entire
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
is	VBZ	be
being	VBG	be
relentlessly	RB	relentlessly
bombed	VVN	bomb
whether	IN	whether
it's	NNS	it's
here	RB	here
and	CC	and
over	IN	over
crowded	JJ	crowded
ra	NNS	ra
City	NN	city
all	PDT	all
these	DT	these
past	JJ	past
months	NNS	month
and	CC	and
in	IN	in
and	CC	and
despite	IN	despite
the	DT	the
the	DT	the
calls	NNS	call
for	IN	for
the	DT	the
the	DT	the
ground	NN	ground
Invasion	NN	invasion
which	WDT	which
seen	VVN	see
by	IN	by
and	CC	and
perceived	VVN	perceive
by	IN	by
many	JJ	many
people	NNS	people
as	IN	as
a	DT	a
distraction	NN	distraction
because	IN	because
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
the	DT	the
Israel	NP	Israel
military	NN	military
was	VBD	be
extremely	RB	extremely
bombing	VVG	bomb
RAF	NN	RAF
City	NN	city
to	TO	to
a	DT	a
point	NN	point
where	WRB	where
destruction	NN	destruction
is	VBZ	be
quite	RB	quite
visible	JJ	visible
in	IN	in
all	PDT	all
the	DT	the
roads	NNS	road
across	IN	across
this	DT	this
overcrowded	VVN	overcrowd
City	NP	City
there	RB	there
rubbles	NNS	rubble
are	VBP	be
filling	VVG	fill
the	DT	the
roads	NNS	road
everywhere	RB	everywhere
destroyed	VVN	destroy
homes	NNS	home
are	VBP	be
everywhere	RB	everywhere
so	RB	so
D	NP	D
hasn't	NN	hasn't
been	VBN	be
safe	JJ	safe
at	IN	at
all	DT	all
within	IN	within
the	DT	the
past	JJ	past
7	CD	@card@
months	NNS	month
and	CC	and
since	IN	since
the	DT	the
uh	UH	uh
the	DT	the
initial	JJ	initial
weeks	NNS	week
of	IN	of
of	IN	of
this	DT	this
genocidal	JJ	genocidal
uh	UH	uh
War	NN	war
so	IN	so
that's	NNS	that's
where	WRB	where
people	NNS	people
are	VBP	be
not	RB	not
buying	VVG	buy
this	DT	this
new	JJ	new
Narrative	NN	narrative
of	IN	of
evacuation	NN	evacuation
Zone	NP	Zone
because	IN	because
there	RB	there
isn't	JJ	isn't
any	DT	any
evacuation	NN	evacuation
Zone	NP	Zone
at	IN	at
all	DT	all
and	CC	and
the	DT	the
bombing	NN	bombing
included	VVD	include
public	JJ	public
facilities	NNS	facility
honorable	JJ	honorable
facilities	NNS	facility
uh	UH	uh
hospitals	NNS	hospital
and	CC	and
we've	NN	we've
seen	VVN	see
how	WRB	how
hospit	NN	hospit
were	VBD	be
stormed	VVN	storm
and	CC	and
we	PP	we
they	PP	they
came	VVD	come
under	IN	under
military	JJ	military
siege	NN	siege
for	IN	for
the	DT	the
past	JJ	past
months	NNS	month
now	RB	now
it's	NN	it's
important	JJ	important
to	TO	to
point	VV	point
out	RP	out
right	RB	right
now	RB	now
that	DT	that
part	NN	part
of	IN	of
the	DT	the
evacuation	NN	evacuation
orders	NNS	order
included	VVD	include
a	DT	a
naar	NN	naar
hospital	NN	hospital
at	IN	at
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
RA	NP	RA
City	NP	City
it's	NN	it's
part	NN	part
of	IN	of
the	DT	the
evacuation	NN	evacuation
and	CC	and
the	DT	the
the	DT	the
leaf	NN	leaf
clear	JJ	clear
clearly	RB	clearly
says	VVZ	say
that	IN/that	that
the	DT	the
hospital	NN	hospital
should	MD	should
be	VB	be
uh	UH	uh
evacuated	VVN	evacuate
okay	JJ	okay
hany	NN	hany
for	IN	for
now	RB	now
thank	VV	thank
you	PP	you
well	RB	well
Zan	NP	Zan
bzra	NP	bzra
is	VBZ	be
on	IN	on
the	DT	the
phone	NN	phone
for	IN	for
a	DT	a
SN	NP	SN
from	IN	from
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
Zay	NP	Zay
a	DT	a
terrifying	JJ	terrifying
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
there	RB	there
but	CC	but
how	WRB	how
is	VBZ	be
this	DT	this
likely	JJ	likely
to	TO	to
feed	VV	feed
into	IN	into
the	DT	the
ongoing	JJ	ongoing
ceasefire	NN	ceasefire
talks	NNS	talk
well	RB	well
all	RB	all
of	IN	of
this	DT	this
follows	VVZ	follow
an	DT	an
Israeli	JJ	Israeli
Playbook	NN	playbook
we've	NN	we've
seen	VVN	see
before	IN	before
in	IN	in
this	DT	this
conflict	NN	conflict
and	CC	and
others	NNS	other
the	DT	the
order	NN	order
for	IN	for
people	NNS	people
to	TO	to
move	NN	move
came	VVD	come
after	IN	after
a	DT	a
night	NN	night
of	IN	of
tense	JJ	tense
Israeli	JJ	Israeli
bombing	NN	bombing
on	IN	on
Rafa	NP	Rafa
which	WDT	which
followed	VVD	follow
attacks	NNS	attack
targeting	VVG	target
the	DT	the
areas	NNS	area
in	IN	in
and	CC	and
around	IN	around
Rafa	NP	Rafa
for	IN	for
days	NNS	day
so	IN	so
this	DT	this
is	VBZ	be
an	DT	an
escalation	NN	escalation
we've	NN	we've
seen	VVN	see
the	DT	the
same	JJ	same
thing	NN	thing
happening	VVG	happen
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
escalation	NN	escalation
longer	RBR	longer
than	IN	than
usual	JJ	usual
raids	NNS	raid
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
TM	NP	TM
is	VBZ	be
experiencing	VVG	experience
that	IN/that	that
this	DT	this
morning	NN	morning
we've	NN	we've
seen	VVN	see
the	DT	the
use	NN	use
of	IN	of
shoulder	NN	shoulder
mounted	VVD	mount
anti-	NN	anti-
Rockets	NNS	rocket
ant	NN	ant
anti-tank	NN	anti-tank
rockets	NNS	rocket
on	IN	on
people's	NNS	people's
homes	NNS	home
this	DT	this
is	VBZ	be
an	DT	an
escalation	NN	escalation
we're	NN	we're
seeing	VVG	see
so	IN	so
there	EX	there
is	VBZ	be
all	PDT	all
this	DT	this
military	JJ	military
escalation	NN	escalation
in	IN	in
parallel	NN	parallel
to	TO	to
the	DT	the
talks	NNS	talk
and	CC	and
it	PP	it
makes	VVZ	make
you	PP	you
think	VVP	think
it	PP	it
is	VBZ	be
either	RB	either
to	TO	to
try	VV	try
and	CC	and
negotiate	VV	negotiate
from	IN	from
a	DT	a
position	NN	position
of	IN	of
strength	NN	strength
or	CC	or
it	PP	it
could	MD	could
be	VB	be
LIF	NP	LIF
service	NN	service
to	TO	to
negotiations	NNS	negotiation
as	IN	as
a	DT	a
distraction	NN	distraction
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
carry	VV	carry
out	RP	out
these	DT	these
operation	NN	operation
and	CC	and
complete	VV	complete
the	DT	the
objective	NN	objective
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
government	NN	government
laid	VVN	lay
out	RP	out
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
war	NN	war
which	WDT	which
was	VBD	be
to	TO	to
end	VV	end
hamas's	NNS	hamas's
role	NN	role
completely	RB	completely
end	NN	end
hamas's	NNS	hamas's
influence	NN	influence
and	CC	and
presence	NN	presence
in	IN	in
Gaza	NP	Gaza
now	RB	now
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
has	VHZ	have
been	VBN	be
clear	JJ	clear
we	PP	we
have	VHP	have
to	TO	to
remind	VV	remind
people	NNS	people
that	IN/that	that
he	PP	he
has	VHZ	have
been	VBN	be
clear	JJ	clear
for	IN	for
for	IN	for
many	JJ	many
many	JJ	many
days	NNS	day
and	CC	and
weeks	NNS	week
now	RB	now
that	IN/that	that
going	VVG	go
into	IN	into
Rafa	NP	Rafa
will	MD	will
happen	VV	happen
whether	IN	whether
there	EX	there
is	VBZ	be
a	DT	a
deal	VV	deal
uh	UH	uh
with	IN	with
Hamas	NNS	Hamas
reached	VVN	reach
or	CC	or
not	RB	not
and	CC	and
that	DT	that
is	VBZ	be
something	NN	something
negotiators	NNS	negotiator
involved	VVN	involve
in	IN	in
these	DT	these
talks	NNS	talk
Aid	NN	aid
agencies	NNS	agency
every	DT	every
un	NN	un
organization	NN	organization
has	VHZ	have
warned	VVN	warn
would	MD	would
cause	VV	cause
enormous	JJ	enormous
suffering	NN	suffering
and	CC	and
hinder	VV	hinder
and	CC	and
perhaps	RB	perhaps
completely	RB	completely
negate	VV	negate
any	DT	any
Prospect	NP	Prospect
of	IN	of
a	DT	a
breakthrough	NN	breakthrough
in	IN	in
the	DT	the
hostage	NN	hostage
talks	NNS	talk
but	CC	but
it	PP	it
seems	VVZ	seem
from	IN	from
his	PP$	his
actions	NNS	action
that	IN/that	that
he	PP	he
has	VHZ	have
made	VVN	make
his	PP$	his
decision	NN	decision
z	SYM	z
b	SYM	b
rvi	NN	rvi
for	IN	for
now	RB	now
thank	VV	thank
you	PP	you
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
