<video_id>9Fk4Y2TNEzk</video_id>	JJ	<video_id>9Fk4Y2TNEzk</video_id>
on	IN	on
social	JJ	social
media	NNS	medium
uh	UH	uh
wrong	JJ	wrong
dates	NNS	date
that	WDT	that
were	VBD	be
used	VVN	use
uh	UH	uh
um	NN	um
disinformation	NN	disinformation
tweets	VVZ	tweet
that	WDT	that
were	VBD	be
deleted	VVN	delete
including	VVG	include
I'll	NP	I'll
read	VV	read
a	DT	a
few	JJ	few
of	IN	of
those	DT	those
out	NN	out
to	TO	to
you	PP	you
you	PP	you
had	VHD	have
um	VVN	um
the	DT	the
prime	JJ	prime
minister	NN	minister
of	IN	of
Israel	NP	Israel
uh	UH	uh
Twitter	NN	twitter
account	NN	account
saying	VVG	say
this	DT	this
is	VBZ	be
a	DT	a
struggle	NN	struggle
between	IN	between
the	DT	the
children	NNS	child
of	IN	of
light	NN	light
and	CC	and
the	DT	the
children	NNS	child
of	IN	of
Darkness	NN	darkness
between	IN	between
humanity	NN	humanity
and	CC	and
the	DT	the
law	NN	law
of	IN	of
the	DT	the
Jungle	NN	jungle
of	IN	of
course	NN	course
that	WDT	that
was	VBD	be
soon	RB	soon
deleted	VVN	delete
um	NNS	um
you	PP	you
also	RB	also
had	VHD	have
a	DT	a
Facebook	NP	Facebook
uh	UH	uh
uh	UH	uh
State	NP	State
uh	UH	uh
post	NN	post
that	WDT	that
was	VBD	be
put	VVN	put
up	RP	up
by	IN	by
the	DT	the
Army	NP	Army
saying	VVG	say
due	JJ	due
to	TO	to
the	DT	the
lack	NN	lack
of	IN	of
medical	JJ	medical
equipment	NN	equipment
and	CC	and
lack	NN	lack
of	IN	of
medical	JJ	medical
staff	NN	staff
it	PP	it
was	VBD	be
decided	VVN	decide
to	TO	to
bomb	VV	bomb
the	DT	the
Baptist	NP	Baptist
Hospital	NP	Hospital
in	IN	in
Gaza	NP	Gaza
and	CC	and
give	VV	give
them	PP	them
euthanasia	NN	euthanasia
death	NN	death
and	CC	and
then	RB	then
that	WDT	that
was	VBD	be
deleted	VVN	delete
um	JJ	um
other	JJ	other
posts	NNS	post
there	EX	there
was	VBD	be
a	DT	a
video	NN	video
they	PP	they
had	VHD	have
posted	VVN	post
which	WDT	which
seemed	VVD	seem
to	TO	to
have	VH	have
a	DT	a
wrong	JJ	wrong
date	NN	date
so	IN	so
a	DT	a
lot	NN	lot
of	IN	of
disinformation	NN	disinformation
and	CC	and
it's	NNS	it's
been	VBN	be
really	RB	really
interesting	JJ	interesting
also	RB	also
following	VVG	follow
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
Israeli	JJ	Israeli
media	NNS	medium
and	CC	and
the	DT	the
narrative	NN	narrative
that	DT	that
they've	NN	they've
been	VBN	be
putting	VVG	put
out	RP	out
in	IN	in
terms	NNS	term
of	IN	of
what's	NNS	what's
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
we're	NN	we're
not	RB	not
really	RB	really
actually	RB	actually
seeing	VVG	see
much	RB	much
of	IN	of
the	DT	the
videos	NNS	video
out	IN	out
there	RB	there
we're	NN	we're
seeing	VVG	see
a	DT	a
lot	NN	lot
of	IN	of
statements	NNS	statement
of	IN	of
course	NN	course
and	CC	and
uh	UH	uh
videos	NNS	video
from	IN	from
that	DT	that
Hamas	JJ	Hamas
initial	JJ	initial
Hamas	NN	Hamas
attack	NN	attack
on	IN	on
on	IN	on
Israelis	NNS	Israeli
but	CC	but
you're	NN	you're
seeing	VVG	see
a	DT	a
lot	NN	lot
more	RBR	more
of	IN	of
that	DT	that
side	NN	side
of	IN	of
things	NNS	thing
uh	UH	uh
than	IN	than
what's	NNS	what's
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
of	IN	of
course	NN	course
since	IN	since
that	DT	that
uh	UH	uh
attack	NN	attack
on	IN	on
the	DT	the
hospital	NN	hospital
the	DT	the
Islamic	NP	Islamic
Jihad	NP	Jihad
has	VHZ	have
denied	VVN	deny
it	PP	it
you	PP	you
also	RB	also
had	VHD	have
um	VVN	um
the	DT	the
angelical	JJ	angelical
church	NN	church
that	WDT	that
owns	VVZ	own
that	IN/that	that
building	VVG	build
as	RB	as
well	RB	well
as	IN	as
medison	NP	medison
Frontier	NP	Frontier
saying	VVG	say
the	DT	the
same	JJ	same
which	WDT	which
is	VBZ	be
also	RB	also
known	VVN	know
as	IN	as
Doctors	NNS	doctor
Without	IN	without
Borders	NP	Borders
um	NNS	um
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
we're	NNS	we're
going	VVG	go
to	TO	to
be	VB	be
seeing	VVG	see
a	DT	a
lot	NN	lot
more	RBR	more
that's	JJ	that's
a	DT	a
different	JJ	different
narrative	NN	narrative
where	WRB	where
they're	NN	they're
trying	VVG	try
to	TO	to
prove	VV	prove
that	IN/that	that
this	DT	this
is	VBZ	be
nothing	NN	nothing
to	TO	to
do	VV	do
with	IN	with
them	PP	them
of	IN	of
course	NN	course
this	DT	this
isn't	NN	isn't
the	DT	the
first	JJ	first
time	NN	time
we	PP	we
had	VHD	have
one	CD	one
of	IN	of
our	PP$	our
own	JJ	own
colleagues	NNS	colleague
uh	UH	uh
Shireen	NP	Shireen
who	WP	who
was	VBD	be
uh	UH	uh
killed	VVN	kill
there's	RB	there's
a	DT	a
huge	JJ	huge
investigation	NN	investigation
into	IN	into
that	DT	that
they'd	NN	they'd
initially	RB	initially
denied	VVD	deny
it	PP	it
that	DT	that
happened	VVD	happen
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
ago	RB	ago
the	DT	the
Israelis	NPS	Israelis
denied	VVD	deny
it	PP	it
then	RB	then
they	PP	they
sort	VV	sort
of	IN	of
admitted	VVD	admit
that	IN/that	that
potentially	RB	potentially
it	PP	it
could	MD	could
have	VH	have
been	VBN	be
uh	UH	uh
one	CD	one
of	IN	of
theirs	PP	theirs
and	CC	and
that	IN/that	that
of	IN	of
course	NN	course
is	VBZ	be
still	RB	still
in	IN	in
the	DT	the
courts	NNS	court
this	DT	this
isn't	NN	isn't
the	DT	the
first	JJ	first
time	NN	time
we	PP	we
see	VVP	see
that	DT	that
kind	NN	kind
of	IN	of
disinformation	NN	disinformation
of	IN	of
course	NN	course
today	NN	today
what	WP	what
we're	VVP	we're
probably	RB	probably
going	VVG	go
to	TO	to
be	VB	be
seeing	VVG	see
is	VBZ	be
an	DT	an
aggressive	JJ	aggressive
campaign	NN	campaign
to	TO	to
prove	VV	prove
that	IN/that	that
it	PP	it
wasn't	VVD	wasn't
them	PP	them
behind	IN	behind
this	DT	this
attack	NN	attack
okay	JJ	okay
Sarah	NP	Sarah
many	JJ	many
thanks	NNS	thanks
for	IN	for
that	DT	that
Sarah	NP	Sarah
H	NP	H
joining	VVG	join
us	PP	us
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
</doc>	NN	</doc>
