<video_id>f2u_1lkRJq0</video_id>	JJ	<video_id>f2u_1lkRJq0</video_id>
prosecuted	VVN	prosecute
what's	NNS	what's
really	RB	really
important	JJ	important
for	IN	for
Netanyahu	NP	Netanyahu
of	IN	of
course	NN	course
is	VBZ	be
to	TO	to
have	VH	have
these	DT	these
two	CD	two
very	RB	very
experienced	VVN	experience
men	NNS	man
Benny	NP	Benny
gance	NP	gance
and	CC	and
Mr	NP	Mr
Eisen	NP	Eisen
Cott	NP	Cott
both	CC	both
of	IN	of
them	PP	them
former	JJ	former
heads	NNS	head
of	IN	of
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
sat	VVD	sit
in	IN	in
that	DT	that
room	NN	room
with	IN	with
him	PP	him
providing	VVG	provide
advice	NN	advice
and	CC	and
obviously	RB	obviously
I	PP	I
would	MD	would
imagine	VV	imagine
sharing	VVG	share
their	PP$	their
own	JJ	own
opinions	NNS	opinion
on	IN	on
the	DT	the
best	JJS	good
course	NN	course
of	IN	of
action	NN	action
for	IN	for
the	DT	the
Israelis	NPS	Israelis
and	CC	and
if	IN	if
you	PP	you
can	MD	can
talk	VV	talk
us	PP	us
through	IN	through
the	DT	the
looking	VVG	look
at	IN	at
the	DT	the
members	NNS	member
who's	NNS	who's
in	IN	in
the	DT	the
government	NN	government
you	PP	you
know	VVP	know
what	WP	what
happened	VVD	happen
with	IN	with
the	DT	the
question	NN	question
of	IN	of
Gant	NP	Gant
versus	CC	versus
it	PP	it
itamar	RB	itamar
benav	VVZ	benav
some	DT	some
of	IN	of
the	DT	the
farri	NN	farri
members	NNS	member
what	WP	what
it	PP	it
means	VVZ	mean
for	IN	for
the	DT	the
the	DT	the
future	NN	future
of	IN	of
Netanyahu	NP	Netanyahu
distill	VVP	distill
it	PP	it
for	IN	for
us	PP	us
vill	NN	vill
as	IN	as
much	JJ	much
as	IN	as
you	PP	you
can	MD	can
right	RB	right
so	RB	so
benir	NN	benir
the	DT	the
national	JJ	national
security	NN	security
minister	NN	minister
here	RB	here
the	DT	the
head	NN	head
of	IN	of
a	DT	a
far-right	JJ	far-right
party	NN	party
that	WDT	that
allows	VVZ	allow
Mr	NP	Mr
Netanyahu	NP	Netanyahu
as	IN	as
prime	JJ	prime
minister	NN	minister
to	TO	to
have	VH	have
a	DT	a
governing	VVG	govern
majority	NN	majority
inside	IN	inside
the	DT	the
parliament	NN	parliament
he	PP	he
will	MD	will
remain	VV	remain
inside	IN	inside
that	DT	that
broader	JJR	broad
cabinet	NN	cabinet
that	WDT	that
may	MD	may
have	VH	have
jurisdiction	NN	jurisdiction
over	IN	over
larger	JJR	large
National	NP	National
conversations	NNS	conversation
but	CC	but
he's	NNS	he's
being	VBG	be
excluded	VVN	exclude
from	IN	from
that	DT	that
war	NN	war
cabinet	NN	cabinet
he's	NNS	he's
someone	NN	someone
that	WDT	that
seemingly	RB	seemingly
has	VHZ	have
not	RB	not
been	VBN	be
thrilled	VVN	thrill
at	IN	at
the	DT	the
prospect	NN	prospect
of	IN	of
this	DT	this
happening	NN	happening
but	CC	but
seemingly	RB	seemingly
Under	IN	under
Pressure	NN	pressure
either	CC	either
from	IN	from
members	NNS	member
of	IN	of
his	PP$	his
own	JJ	own
party	NN	party
or	CC	or
more	RBR	more
likely	JJ	likely
from	IN	from
L	NN	L
could	MD	could
party	NN	party
members	NNS	member
those	DT	those
that	WDT	that
obviously	RB	obviously
work	VVP	work
with	IN	with
Netanyahu	NP	Netanyahu
inside	IN	inside
his	PP$	his
own	JJ	own
party	NN	party
seems	VVZ	seem
to	TO	to
have	VH	have
backed	VVN	back
away	RB	away
from	IN	from
that	DT	that
moment	NN	moment
what	WP	what
that	RB	that
will	MD	will
mean	VV	mean
longterm	JJ	longterm
for	IN	for
Netanyahu	NP	Netanyahu
really	RB	really
really	RB	really
thorny	JJ	thorny
question	NN	question
to	TO	to
try	VV	try
and	CC	and
answer	VV	answer
it	PP	it
could	MD	could
threaten	VV	threaten
the	DT	the
long-term	JJ	long-term
viability	NN	viability
though	IN	though
of	IN	of
his	PP$	his
governing	VVG	govern
majority	NN	majority
once	IN	once
this	DT	this
conflict	NN	conflict
if	IN	if
this	DT	this
conflict	NN	conflict
at	IN	at
some	DT	some
point	NN	point
calms	VVZ	calm
down	RP	down
right	JJ	right
thanks	NNS	thanks
so	RB	so
much	RB	much
for	IN	for
the	DT	the
marks	NNS	mark
there	RB	there
</doc>	JJ	</doc>
