fire	NN	fire
Israel	NP	Israel
to	TO	to
do	VV	do
everything	NN	everything
within	IN	within
its	PP$	its
power	NN	power
to	TO	to
stop	VV	stop
the	DT	the
genocide	NN	genocide
while	IN	while
not	RB	not
ordering	VVG	order
a	DT	a
ceasefire	NN	ceasefire
this	DT	this
is	VBZ	be
a	DT	a
turning	VVG	turn
point	NN	point
I	PP	I
mean	VVP	mean
I	PP	I
look	VVP	look
at	IN	at
it	PP	it
and	CC	and
and	CC	and
I	PP	I
see	VVP	see
that	IN/that	that
now	RB	now
Israel	NP	Israel
is	VBZ	be
being	VBG	be
admitted	VVN	admit
to	TO	to
this	DT	this
case	NN	case
of	IN	of
genocide	NN	genocide
and	CC	and
years	NNS	year
to	TO	to
come	VV	come
now	RB	now
trying	VVG	try
to	TO	to
defend	VV	defend
itself	PP	itself
for	IN	for
us	PP	us
someone	NN	someone
like	IN	like
as	IN	as
gazan	NN	gazan
now	RB	now
I	PP	I
have	VHP	have
my	PP$	my
families	NNS	family
asking	VVG	ask
me	PP	me
on	IN	on
daily	JJ	daily
basis	NN	basis
will	MD	will
that	RB	that
stop	VV	stop
our	PP$	our
suffering	NN	suffering
will	MD	will
that	RB	that
stop	VV	stop
the	DT	the
genocide	NN	genocide
against	IN	against
us	PP	us
the	DT	the
sad	JJ	sad
news	NN	news
I	PP	I
have	VHP	have
to	TO	to
say	VV	say
to	TO	to
them	PP	them
they	PP	they
have	VHP	have
traveled	VVN	travel
from	IN	from
countries	NNS	country
all	RB	all
over	IN	over
Europe	NP	Europe
for	IN	for
one	CD	one
thing	NN	thing
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
now	RB	now
the	DT	the
world	NN	world
court	NN	court
has	VHZ	have
disappointed	VVN	disappoint
them	PP	them
these	DT	these
protesters	NNS	protester
are	VBP	be
vowing	VVG	vow
to	TO	to
continue	VV	continue
to	TO	to
go	VV	go
to	TO	to
the	DT	the
streets	NNS	street
until	IN	until
Israel	NP	Israel
stops	VVZ	stop
Bing	NP	Bing
Gaza	NP	Gaza
to	TO	to
them	PP	them
the	DT	the
world	NN	world
'	POS	'
s	JJ	s
highest	JJS	high
court	NN	court
is	VBZ	be
not	RB	not
the	DT	the
end	NN	end
of	IN	of
the	DT	the
road	NN	road
it	PP	it
'	POS	'
s	NN	S
only	RB	only
a	DT	a
step	NN	step
or	CC	or
a	DT	a
station	NN	station
on	IN	on
our	PP$	our
way	NN	way
on	IN	on
our	PP$	our
way	NN	way
to	TO	to
our	PP$	our
destination	NN	destination
which	WDT	which
is	VBZ	be
The	DT	the
Liberation	NP	Liberation
and	CC	and
own	JJ	own
state	NN	state
for	IN	for
Palestine	NP	Palestine
and	CC	and
getting	VVG	get
the	DT	the
rights	NNS	right
of	IN	of
the	DT	the
Palestinian	NN	Palestinian
and	CC	and
equality	NN	equality
in	IN	in
Palestine	NP	Palestine
our	PP$	our
way	NN	way
is	VBZ	be
may	MD	may
be	VB	be
long	JJ	long
but	CC	but
we	PP	we
will	MD	will
keep	VV	keep
it	PP	it
up	RP	up
until	IN	until
we	PP	we
reach	VVP	reach
our	PP$	our
destination	NN	destination
and	CC	and
their	PP$	their
Spirit	NN	spirit
which	WDT	which
went	VVD	go
from	IN	from
Hope	NP	Hope
to	TO	to
disappointment	NN	disappointment
remains	VVZ	remain
unbroken	JJ	unbroken
stop	NN	stop
Fen	NN	fen
Al	NP	Al
jazer	NN	jazer
the	DT	the
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
