<video_id>72rqUX20xfo</video_id>	JJ	<video_id>72rqUX20xfo</video_id>
my	PP$	my
mind	NN	mind
repeatedly	RB	repeatedly
I	PP	I
already	RB	already
lost	VVD	lose
my	PP$	my
older	JJR	old
brother	NN	brother
I	PP	I
can't	VVD	can't
lose	VV	lose
my	PP$	my
younger	JJR	young
brother	NN	brother
I	PP	I
have	VHP	have
no	RB	no
no	RB	no
one	CD	one
left	VVD	leave
no	RB	no
one	CD	one
to	TO	to
look	VV	look
up	RP	up
to	TO	to
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
Channel	NP	Channel
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
