<video_id>pXEKKti1Jnc</video_id>	JJ	<video_id>pXEKKti1Jnc</video_id>
the	DT	the
US	NP	US
president	NN	president
is	VBZ	be
that	DT	that
uh	UH	uh
in	IN	in
trying	VVG	try
to	TO	to
do	VV	do
this	DT	this
this	NN	this
would	MD	would
be	VB	be
if	IN	if
this	DT	this
is	VBZ	be
achieved	VVN	achieve
over	IN	over
6	CD	@card@
weeks	NNS	week
that	IN/that	that
this	DT	this
could	MD	could
be	VB	be
turned	VVN	turn
into	IN	into
something	NN	something
lasting	VVG	last
and	CC	and
enduring	VVG	endure
in	IN	in
other	JJ	other
words	NNS	word
this	DT	this
would	MD	would
be	VB	be
the	DT	the
complete	JJ	complete
and	CC	and
end	NN	end
and	CC	and
finality	NN	finality
to	TO	to
hosti	NN	hosti
ities	NNS	ities
in	IN	in
other	JJ	other
words	NNS	word
this	DT	this
would	MD	would
bring	VV	bring
a	DT	a
cessation	NN	cessation
to	TO	to
all	DT	all
of	IN	of
the	DT	the
fighting	NN	fighting
that	WDT	that
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
in	IN	in
other	JJ	other
words	NNS	word
this	DT	this
is	VBZ	be
something	NN	something
that	WDT	that
would	MD	would
be	VB	be
lasting	VVG	last
and	CC	and
enduring	VVG	endure
something	NN	something
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
been	VBN	be
trying	VVG	try
to	TO	to
achieve	VV	achieve
yeah	RB	yeah
and	CC	and
in	IN	in
listening	VVG	listen
to	TO	to
the	DT	the
president	NN	president
there	RB	there
kimbery	NN	kimbery
it's	NNS	it's
clear	VVP	clear
that	IN/that	that
he	PP	he
wants	VVZ	want
to	TO	to
bring	VV	bring
this	DT	this
war	NN	war
to	TO	to
an	DT	an
end	NN	end
doesn't	NN	doesn't
want	VVP	want
it	PP	it
to	TO	to
drag	NN	drag
on	IN	on
uh	UH	uh
in	IN	in
in	IN	in
the	DT	the
leadup	NN	leadup
to	TO	to
the	DT	the
elections	NNS	election
in	IN	in
November	NP	November
yeah	RB	yeah
and	CC	and
what	WP	what
you	PP	you
heard	VVD	hear
there	EX	there
is	VBZ	be
the	DT	the
president	NN	president
kind	NN	kind
of	IN	of
dangling	VVG	dangle
the	DT	the
carrot	NN	carrot
if	IN	if
you	PP	you
will	NN	will
for	IN	for
uh	UH	uh
for	IN	for
Israel	NP	Israel
by	IN	by
saying	VVG	say
that	WDT	that
look	VVP	look
it	PP	it
if	IN	if
you	PP	you
don't	VVD	don't
you're	NN	you're
going	VVG	go
to	TO	to
be	VB	be
isolated	VVN	isolate
saying	VVG	say
that	IN/that	that
this	DT	this
will	MD	will
allow	VV	allow
you	PP	you
to	TO	to
integrate	VV	integrate
talking	VVG	talk
about	IN	about
what	WP	what
this	DT	this
means	VVZ	mean
uh	UH	uh
the	DT	the
opportunity	NN	opportunity
with	IN	with
working	VVG	work
with	IN	with
the	DT	the
Arab	JJ	Arab
neighbors	NNS	neighbor
and	CC	and
how	WRB	how
this	DT	this
could	MD	could
lead	VV	lead
to	TO	to
uh	UH	uh
broader	JJR	broad
stabilization	NN	stabilization
in	IN	in
the	DT	the
broader	JJR	broad
Middle	NP	Middle
East	JJ	East
uh	UH	uh
and	CC	and
so	RB	so
what	WDT	what
you've	NN	you've
got	VVD	get
there	EX	there
is	VBZ	be
the	DT	the
president	NN	president
looking	VVG	look
Beyond	NP	Beyond
even	VV	even
uh	UH	uh
Beyond	IN	beyond
his	PP$	his
his	PP$	his
term	NN	term
if	IN	if
you	PP	you
will	MD	will
already	RB	already
laying	VVG	lay
the	DT	the
groundwork	NN	groundwork
for	IN	for
what	WP	what
he	PP	he
hopes	VVZ	hope
he	PP	he
can	MD	can
do	VV	do
if	IN	if
he	PP	he
is	VBZ	be
reelected	VVN	reelect
and	CC	and
also	RB	also
laying	VVG	lay
down	RP	down
that	DT	that
one	CD	one
message	NN	message
that	IN/that	that
Hamas	NP	Hamas
needs	VVZ	need
to	TO	to
take	VV	take
this	DT	this
deal	NN	deal
as	IN	as
well	RB	well
okay	JJ	okay
kimbery	NN	kimbery
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
the	DT	the
moment	NN	moment
kimbery	NN	kimbery
hit	VVD	hit
live	JJ	live
for	IN	for
us	PP	us
there	RB	there
at	IN	at
the	DT	the
White	NP	White
House	NP	House
let's	NNS	let's
now	RB	now
get	VVP	get
the	DT	the
view	VV	view
uh	UH	uh
the	DT	the
perspective	NN	perspective
the	DT	the
Israeli	JJ	Israeli
perspective	NN	perspective
and	CC	and
speak	VV	speak
to	TO	to
Sarah	NP	Sarah
hyat	NN	hyat
who's	NNS	who's
joining	VVG	join
us	PP	us
from	IN	from
Aman	NP	Aman
in	IN	in
Jordan	NP	Jordan
because	IN	because
Israel	NP	Israel
has	VHZ	have
banned	VVN	ban
Al	NP	Al
jazer	NN	jazer
in	IN	in
Israel	NP	Israel
uh	UH	uh
Sarah	NP	Sarah
President	NP	President
Biden	NP	Biden
saying	VVG	say
there	RB	there
that	IN/that	that
it	PP	it
is	VBZ	be
Israel	NP	Israel
which	WDT	which
has	VHZ	have
offered	VVN	offer
this	DT	this
new	JJ	new
ceasefire	NN	ceasefire
deal	NN	deal
but	CC	but
also	RB	also
said	VVD	say
as	IN	as
Kimberly	NP	Kimberly
pointed	VVD	point
out	RP	out
there	RB	there
that	IN/that	that
there	EX	there
are	VBP	be
those	DT	those
in	IN	in
Israel	NP	Israel
in	IN	in
the	DT	the
Israeli	JJ	Israeli
cabinet	NN	cabinet
who	WP	who
will	MD	will
not	RB	not
agree	VV	agree
to	TO	to
this	DT	this
proposal	NN	proposal
yeah	RB	yeah
his	PP$	his
speech	NN	speech
was	VBD	be
really	RB	really
interesting	JJ	interesting
because	IN	because
when	WRB	when
there	EX	there
was	VBD	be
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
that	WDT	that
did	VVD	do
go	VV	go
through	RP	through
back	RB	back
in	IN	in
November	NP	November
it	PP	it
lasted	VVD	last
uh	UH	uh
10	CD	@card@
days	NNS	day
and	CC	and
at	IN	at
the	DT	the
time	NN	time
they	PP	they
talked	VVD	talk
about	RB	about
potentially	RB	potentially
three	CD	three
uh	UH	uh
phases	NNS	phase
to	TO	to
get	VV	get
to	TO	to
a	DT	a
point	NN	point
where	WRB	where
the	DT	the
war	NN	war
would	MD	would
end	VV	end
but	CC	but
since	IN	since
then	RB	then
uh	UH	uh
these	DT	these
negotiation	NN	negotiation
deals	NNS	deal
have	VHP	have
haven't	NN	haven't
happened	VVD	happen
there's	RB	there's
been	VBN	be
a	DT	a
toing	VVG	toing
and	CC	and
throwing	VVG	throw
between	IN	between
the	DT	the
Israelis	NPS	Israelis
and	CC	and
then	RB	then
the	DT	the
Hamas	NN	Hamas
and	CC	and
each	DT	each
one	CD	one
accusing	VVG	accuse
the	DT	the
other	JJ	other
of	IN	of
not	RB	not
abiding	VVG	abide
by	IN	by
the	DT	the
details	NNS	detail
or	CC	or
not	RB	not
agreeing	VVG	agree
to	TO	to
them	PP	them
and	CC	and
certainly	RB	certainly
the	DT	the
difference	NN	difference
with	IN	with
this	DT	this
speech	NN	speech
this	DT	this
time	NN	time
is	VBZ	be
clearly	RB	clearly
the	DT	the
message	NN	message
was	VBD	be
directed	VVN	direct
to	TO	to
the	DT	the
leadership	NN	leadership
of	IN	of
uh	UH	uh
Israel	NP	Israel
in	IN	in
fact	NN	fact
uh	UH	uh
Joe	NP	Joe
Biden	NP	Biden
even	RB	even
mentioned	VVD	mention
some	DT	some
of	IN	of
those	DT	those
ministers	NNS	minister
within	IN	within
the	DT	the
government	NN	government
he	PP	he
said	VVD	say
uh	UH	uh
that	WDT	that
want	VVP	want
the	DT	the
Israelis	NPS	Israelis
to	TO	to
remain	VV	remain
in	IN	in
Gaza	NP	Gaza
for	IN	for
many	JJ	many
years	NNS	year
to	TO	to
come	VV	come
some	DT	some
of	IN	of
those	DT	those
ministers	NNS	minister
he	PP	he
didn't	VVD	didn't
mention	VV	mention
their	PP$	their
names	NNS	name
but	CC	but
it's	NNS	it's
public	JJ	public
knowledge	NN	knowledge
that	IN/that	that
ministers	NNS	minister
like	IN	like
itamar	NP	itamar
benav	NP	benav
the	DT	the
National	NP	National
Security	NP	Security
uh	UH	uh
Minister	NP	Minister
and	CC	and
bezau	NP	bezau
smotrich	NP	Smotrich
the	DT	the
Finance	NP	Finance
Minister	NP	Minister
who	WP	who
are	VBP	be
very	RB	very
open	JJ	open
in	IN	in
what	WP	what
they	PP	they
say	VVP	say
about	RB	about
wanting	VVG	want
uh	UH	uh
Palestinians	NNS	Palestinian
to	TO	to
choose	VV	choose
uh	UH	uh
uh	UH	uh
to	TO	to
leave	VV	leave
voluntarily	RB	voluntarily
from	IN	from
Gaza	NP	Gaza
and	CC	and
those	DT	those
are	VBP	be
people	NNS	people
that	WDT	that
want	VVP	want
to	TO	to
resettle	VV	resettle
Gaza	NP	Gaza
reoccupy	NP	reoccupy
Gaza	NP	Gaza
and	CC	and
it's	NNS	it's
because	IN	because
of	IN	of
those	DT	those
ministers	NNS	minister
in	IN	in
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
government	NN	government
that	WDT	that
has	VHZ	have
led	VVN	lead
Israel	NP	Israel
to	TO	to
being	VBG	be
condemned	VVN	condemn
internationally	RB	internationally
with	IN	with
many	JJ	many
countries	NNS	country
turning	VVG	turn
against	IN	against
Israel	NP	Israel
when	WRB	when
it	PP	it
comes	VVZ	come
uh	UH	uh
to	TO	to
calling	VVG	call
on	IN	on
them	PP	them
to	TO	to
end	VV	end
uh	UH	uh
this	DT	this
war	NN	war
another	DT	another
thing	NN	thing
he	PP	he
said	VVD	say
is	VBZ	be
people	NNS	people
in	IN	in
Israel	NP	Israel
will	MD	will
not	RB	not
agree	VV	agree
with	IN	with
this	DT	this
plan	NN	plan
so	IN	so
he's	NNS	he's
referring	VVG	refer
to	TO	to
those	DT	those
politicians	NNS	politician
and	CC	and
those	DT	those
divisions	NNS	division
that	WDT	that
are	VBP	be
in	IN	in
uh	UH	uh
the	DT	the
government	NN	government
he	PP	he
also	RB	also
says	VVZ	say
in	IN	in
the	DT	the
coalition	NN	coalition
government	NN	government
he	PP	he
then	RB	then
says	VVZ	say
I	PP	I
urge	VV	urge
leadership	NN	leadership
in	IN	in
Israel	NP	Israel
to	TO	to
stand	VV	stand
behind	IN	behind
this	DT	this
deal	NN	deal
despite	IN	despite
those	DT	those
objections	NNS	objection
a	DT	a
message	NN	message
to	TO	to
toward	IN	toward
Wass	NP	Wass
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
who	WP	who
has	VHZ	have
almost	RB	almost
had	VHN	have
his	PP$	his
arm	NN	arm
Twisted	VVN	twist
by	IN	by
those	DT	those
farri	JJ	farri
uh	UH	uh
ministers	NNS	minister
because	IN	because
without	IN	without
those	DT	those
uh	UH	uh
ministers	NNS	minister
without	IN	without
those	DT	those
parties	VVZ	party
uh	UH	uh
that	DT	that
coalition	NN	coalition
government	NN	government
could	MD	could
potentially	RB	potentially
fall	VV	fall
and	CC	and
new	JJ	new
elections	NNS	election
would	MD	would
need	VV	need
to	TO	to
happen	VV	happen
and	CC	and
of	IN	of
course	NN	course
there	EX	there
are	VBP	be
calls	NNS	call
against	IN	against
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
to	TO	to
resign	VV	resign
as	RB	as
soon	RB	soon
as	RB	as
possible	JJ	possible
not	RB	not
just	RB	just
for	IN	for
the	DT	the
failures	NNS	failure
of	IN	of
October	NP	October
7	CD	@card@
happening	NN	happening
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
but	CC	but
also	RB	also
by	IN	by
families	NNS	family
angry	JJ	angry
protesting	VVG	protest
in	IN	in
the	DT	the
knesset	NN	Knesset
against	IN	against
him	PP	him
saying	VVG	say
you	PP	you
must	MD	must
accept	VV	accept
a	DT	a
deal	NN	deal
no	DT	no
matter	NN	matter
what	WP	what
that	DT	that
deal	NN	deal
is	VBZ	be
folly	NN	folly
if	IN	if
you	PP	you
remember	VVP	remember
all	DT	all
for	IN	for
all	DT	all
was	VBD	be
the	DT	the
word	NN	word
that	WDT	that
has	VHZ	have
been	VBN	be
used	VVN	use
for	IN	for
many	JJ	many
months	NNS	month
now	RB	now
uh	UH	uh
where	WRB	where
the	DT	the
families	NNS	family
of	IN	of
those	DT	those
held	JJ	held
captive	NN	captive
were	VBD	be
calling	VVG	call
on	IN	on
any	DT	any
deal	NN	deal
if	IN	if
it	PP	it
means	VVZ	mean
ending	VVG	end
uh	UH	uh
the	DT	the
war	NN	war
to	TO	to
allow	VV	allow
those	DT	those
held	VVN	hold
captive	NN	captive
to	TO	to
return	VV	return
back	JJ	back
home	NN	home
Sarah	NP	Sarah
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	DT	that
Sarah	NP	Sarah
hyat	NN	hyat
live	VVP	live
there	RB	there
in	IN	in
Aman	NP	Aman
georan	NP	georan
because	IN	because
again	RB	again
the	DT	the
Israeli	JJ	Israeli
government	NN	government
has	VHZ	have
banned	VVN	ban
Al	NP	Al
jazer	NN	jazer
from	IN	from
reporting	VVG	report
from	IN	from
inside	IN	inside
Israel	NP	Israel
so	IN	so
we	PP	we
have	VHP	have
to	TO	to
do	VV	do
it	PP	it
from	IN	from
Aman	NP	Aman
let's	NNS	let's
now	RB	now
head	VVP	head
over	RP	over
to	TO	to
Gaza	NP	Gaza
</doc>	NN	</doc>
