<video_id>qWWDP2bOXn0</video_id>	NP	<video_id>qWWDP2bOXn0</video_id>
what	WP	what
we've	NN	we've
reading	VVG	read
so	RB	so
far	RB	far
by	IN	by
lots	NNS	lot
of	IN	of
analysis	NN	analysis
that	IN/that	that
the	DT	the
Americans	NPS	Americans
will	MD	will
allow	VV	allow
the	DT	the
Israelis	NPS	Israelis
to	TO	to
really	RB	really
bombard	VV	bombard
The	DT	the
Scorch	NN	scorch
Earth	NN	earth
tactic	NN	tactic
and	CC	and
then	RB	then
uh	UH	uh
do	VV	do
like	IN	like
small	JJ	small
limited	JJ	limited
operation	NN	operation
targeting	VVG	target
the	DT	the
Hamas	JJ	Hamas
leadership	NN	leadership
and	CC	and
the	DT	the
infrastructure	NN	infrastructure
and	CC	and
then	RB	then
uh	UH	uh
uh	UH	uh
go	VV	go
back	RB	back
and	CC	and
withdraw	VV	withdraw
saying	VVG	say
that	IN/that	that
this	DT	this
is	VBZ	be
the	DT	the
our	PP$	our
theory	NN	theory
of	IN	of
Victories	NNS	victory
we	PP	we
have	VHP	have
achieved	VVN	achieve
our	PP$	our
goals	NNS	goal
and	CC	and
then	RB	then
we	PP	we
go	VVP	go
out	RP	out
because	IN	because
the	DT	the
American	NP	American
are	VBP	be
really	RB	really
influencing	VVG	influence
what's	NNS	what's
happening	VVG	happen
on	IN	on
the	DT	the
ground	NN	ground
</doc>	NN	</doc>
