<doc>	NN	<doc>
make	VV	make
but	CC	but
in	IN	in
all	PDT	all
our	PP$	our
interactions	NNS	interaction
with	IN	with
Israel	NP	Israel
we	PP	we
reinforce	VVP	reinforce
the	DT	the
importance	NN	importance
of	IN	of
international	JJ	international
law	NN	law
and	CC	and
the	DT	the
preservation	NN	preservation
of	IN	of
civilian	JJ	civilian
life	NN	life
uh	UH	uh
foreign	JJ	foreign
secretary	NN	secretary
you	PP	you
mentioned	VVD	mention
fuel	VV	fuel
there	RB	there
some	DT	some
very	RB	very
limited	JJ	limited
Aid	NN	aid
we	PP	we
know	VVP	know
has	VHZ	have
been	VBN	be
allowed	VVN	allow
in	IN	in
but	CC	but
not	RB	not
fuel	VV	fuel
the	DT	the
United	NP	United
Nations	NPS	Nations
has	VHZ	have
put	VVN	put
out	RP	out
a	DT	a
call	NN	call
Martin	NP	Martin
Griffith	NP	Griffith
himself	PP	himself
the	DT	the
un's	NN	un's
aid	NN	aid
Chief	NP	Chief
has	VHZ	have
asked	VVN	ask
for	IN	for
fuel	NN	fuel
to	TO	to
be	VB	be
included	VVN	include
in	IN	in
the	DT	the
these	DT	these
Aid	NP	Aid
deliveries	NN	deliveries
UNICEF	NP	UNICEF
for	IN	for
instance	NN	instance
is	VBZ	be
warning	VVG	warn
that	IN/that	that
over	IN	over
100	CD	@card@
newborn	JJ	newborn
babies	NNS	baby
and	CC	and
incubators	NNS	incubator
will	MD	will
die	VV	die
if	IN	if
they	PP	they
can't	NN	can't
be	VB	be
powered	VVN	power
are	VBP	be
you	PP	you
urging	VVG	urge
Israel	NP	Israel
to	TO	to
consider	VV	consider
letting	VVG	let
fuel	NN	fuel
in	IN	in
on	IN	on
some	DT	some
of	IN	of
these	DT	these
a	DT	a
trucks	NNS	truck
well	RB	well
of	IN	of
course	NN	course
Israel	NP	Israel
is	VBZ	be
not	RB	not
the	DT	the
only	JJ	only
decision	NN	decision
maker	NN	maker
with	IN	with
regards	NNS	regard
to	TO	to
the	DT	the
facilitation	NN	facilitation
of	IN	of
humanitarian	JJ	humanitarian
Aid	NP	Aid
uh	UH	uh
as	RB	as
you	PP	you
uh	UH	uh
as	IN	as
you	PP	you
alluded	VVD	allude
to	TO	to
into	IN	into
your	PP$	your
uh	UH	uh
introduction	NN	introduction
the	DT	the
United	NP	United
Kingdom	NP	Kingdom
has	VHZ	have
been	VBN	be
very	RB	very
very	RB	very
significant	JJ	significant
in	IN	in
its	PP$	its
Aid	NN	aid
donations	NNS	donation
to	TO	to
support	VV	support
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
in	IN	in
Gaza	NP	Gaza
we	PP	we
want	VVP	want
to	TO	to
see	VV	see
that	IN/that	that
Aid	NP	Aid
and	CC	and
all	PDT	all
the	DT	the
aid	NN	aid
that's	NNS	that's
needed	VVD	need
all	PDT	all
the	DT	the
types	NNS	type
of	IN	of
Aid	NP	Aid
that	WDT	that
is	VBZ	be
needed	VVN	need
getting	VVG	get
to	TO	to
the	DT	the
people	VV	people
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
that's	NNS	that's
not	RB	not
just	RB	just
a	DT	a
decision	NN	decision
for	IN	for
the	DT	the
Israelis	NPS	Israelis
it	PP	it
is	VBZ	be
of	IN	of
course	NN	course
a	DT	a
decision	NN	decision
also	RB	also
uh	UH	uh
for	IN	for
Hamas	NP	Hamas
and	CC	and
the	DT	the
other	JJ	other
people	NNS	people
who	WP	who
are	VBP	be
the	DT	the
de	FW	de
de	FW	de
facto	FW	facto
controllers	NNS	controller
of	IN	of
Gaza	NP	Gaza
and	CC	and
we	PP	we
liay	VVP	liay
very	RB	very
very	RB	very
closely	RB	closely
with	IN	with
Egypt	NP	Egypt
who	WP	who
manage	VVP	manage
the	DT	the
Rafa	NP	Rafa
Crossing	NN	crossing
and	CC	and
the	DT	the
international	JJ	international
uh	UH	uh
Community	NP	Community
to	TO	to
try	VV	try
and	CC	and
make	VV	make
make	VV	make
sure	RB	sure
that	DT	that
Aid	NN	aid
in	IN	in
significant	JJ	significant
numbers	NNS	number
get	VVP	get
to	TO	to
the	DT	the
people	NNS	people
that	WDT	that
need	VVP	need
it	PP	it
so	RB	so
sorry	JJ	sorry
foreign	JJ	foreign
secret	NN	secret
just	RB	just
to	TO	to
clarify	VV	clarify
your	PP$	your
last	JJ	last
statement	NN	statement
there	RB	there
the	DT	the
UN	NP	UN
is	VBZ	be
calling	VVG	call
for	IN	for
fuel	NN	fuel
to	TO	to
be	VB	be
included	VVN	include
in	IN	in
those	DT	those
Aid	NP	Aid
deliveries	NNS	delivery
which	WDT	which
are	VBP	be
being	VBG	be
also	RB	also
facilitated	VVN	facilitate
by	IN	by
the	DT	the
international	JJ	international
Committee	NN	committee
of	IN	of
the	DT	the
Red	NP	Red
Cross	NP	Cross
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
is	VBZ	be
the	DT	the
UK	NP	UK
asking	VVG	ask
in	IN	in
your	PP$	your
diplomatic	JJ	diplomatic
Channels	NNS	channel
with	IN	with
Israel	NP	Israel
for	IN	for
fuel	NN	fuel
to	TO	to
be	VB	be
included	VVN	include
well	RB	well
what	WP	what
we	PP	we
have	VHP	have
what	WP	what
we	PP	we
are	VBP	be
doing	VVG	do
is	VBZ	be
we	PP	we
are	VBP	be
leing	VVG	leing
very	RB	very
very	RB	very
closely	RB	closely
with	IN	with
the	DT	the
United	NP	United
Nations	NPS	Nations
uh	UH	uh
my	PP$	my
colleague	NN	colleague
and	CC	and
friend	NN	friend
Andrew	NP	Andrew
Mitchell	NP	Mitchell
who	WP	who
is	VBZ	be
the	DT	the
development	NN	development
Minister	NP	Minister
uh	UH	uh
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
British	JJ	British
government	NN	government
is	VBZ	be
leasing	NN	leasing
with	IN	with
uh	UH	uh
Martin	NP	Martin
Griffiths	NP	Griffiths
of	IN	of
of	IN	of
the	DT	the
uh	UH	uh
un	NN	un
humanitarian	JJ	humanitarian
organization	NN	organization
on	IN	on
what	WP	what
is	VBZ	be
needed	VVN	need
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
in	IN	in
Gaza	NP	Gaza
we're	NN	we're
looking	VVG	look
to	TO	to
support	VV	support
that	IN/that	that
but	RB	but
also	RB	also
as	IN	as
I	PP	I
say	VVP	say
the	DT	the
decisions	NNS	decision
about	IN	about
what	WP	what
Aid	NN	aid
in	IN	in
what	WP	what
volumes	NNS	volume
is	VBZ	be
a	DT	a
decision	NN	decision
that	IN/that	that
the	DT	the
UK	NP	UK
is	VBZ	be
not	RB	not
uh	UH	uh
directly	RB	directly
able	JJ	able
to	TO	to
make	VV	make
but	CC	but
we	PP	we
do	VV	do
uh	UH	uh
we	PP	we
do	VVP	do
speak	VV	speak
with	IN	with
uh	UH	uh
the	DT	the
decision	NN	decision
makers	NNS	maker
in	IN	in
the	DT	the
region	NN	region
to	TO	to
try	VV	try
and	CC	and
make	VV	make
sure	JJ	sure
that	IN/that	that
the	DT	the
Palestine	NP	Palestine
people	NNS	people
in	IN	in
Gaza	NP	Gaza
get	VVP	get
the	DT	the
aid	NN	aid
that	IN/that	that
they	PP	they
need	VVP	need
sure	JJ	sure
um	JJ	um
foreign	JJ	foreign
secretary	NN	secretary
let	VV	let
me	PP	me
ask	VV	ask
you	PP	you
about	IN	about
something	NN	something
that	IN/that	that
prime	JJ	prime
minister	NN	minister
sunak	NN	sunak
has	VHZ	have
said	VVN	say
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
he	PP	he
stated	VVD	state
that	IN/that	that
your	PP$	your
government	NN	government
has	VHZ	have
Intelligence	NN	intelligence
that	IN/that	that
the	DT	the
devastating	JJ	devastating
blast	NN	blast
at	IN	at
the	DT	the
alaki	NP	alaki
hospital	NN	hospital
was	VBD	be
caused	VVN	cause
by	IN	by
a	DT	a
rocket	NN	rocket
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
can	MD	can
you	PP	you
elaborate	VV	elaborate
on	IN	on
what	WP	what
evidence	NN	evidence
you	PP	you
have	VHP	have
and	CC	and
if	IN	if
you'll	NN	you'll
be	VB	be
sharing	VVG	share
it	PP	it
with	IN	with
the	DT	the
International	NP	International
Community	NP	Community
well	RB	well
we	PP	we
have	VHP	have
used	VVN	use
uh	UH	uh
the	DT	the
uh	UH	uh
the	DT	the
evidence	NN	evidence
that	WDT	that
is	VBZ	be
already	RB	already
in	IN	in
the	DT	the
public	JJ	public
domain	NN	domain
allied	VVN	ally
with	IN	with
the	DT	the
intelligence	NN	intelligence
analysts	NNS	analyst
that	IN/that	that
we	PP	we
have	VHP	have
here	RB	here
in	IN	in
the	DT	the
United	NP	United
Kingdom	NP	Kingdom
and	CC	and
of	IN	of
course	VV	course
uh	UH	uh
uh	UH	uh
British	JJ	British
weapons	NNS	weapon
experts	NNS	expert
our	PP$	our
assessment	NN	assessment
our	PP$	our
thoughtful	JJ	thoughtful
balanced	JJ	balanced
assessment	NN	assessment
is	VBZ	be
that	IN/that	that
the	DT	the
likelihood	NN	likelihood
is	VBZ	be
that	IN/that	that
this	DT	this
was	VBD	be
done	VVN	do
by	IN	by
a	DT	a
rocket	NN	rocket
or	CC	or
part	NN	part
of	IN	of
a	DT	a
rocket	NN	rocket
emanating	VVG	emanate
from	IN	from
Gaza	NP	Gaza
directed	VVD	direct
at	IN	at
Israel	NP	Israel
and	CC	and
is	VBZ	be
unlik	NN	unlik
likely	JJ	likely
to	TO	to
have	VH	have
been	VBN	be
caused	VVN	cause
by	IN	by
Israeli	JJ	Israeli
military	JJ	military
action	NN	action
that	WDT	that
is	VBZ	be
the	DT	the
information	NN	information
that	IN/that	that
the	DT	the
uh	UH	uh
prime	JJ	prime
minister	NN	minister
gave	VVD	give
to	TO	to
the	DT	the
house	NN	house
and	CC	and
that	WDT	that
is	VBZ	be
based	VVN	base
on	IN	on
our	PP$	our
assessment	NN	assessment
of	IN	of
the	DT	the
information	NN	information
which	WDT	which
is	VBZ	be
already	RB	already
in	IN	in
the	DT	the
public	JJ	public
domain	NN	domain
okay	JJ	okay
foreign	JJ	foreign
secretary	NN	secretary
let	VV	let
me	PP	me
ask	VV	ask
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
diplomacy	NN	diplomacy
we	PP	we
were	VBD	be
talking	VVG	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
it	PP	it
there	RB	there
in	IN	in
terms	NNS	term
of	IN	of
aid	NN	aid
but	CC	but
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
security	NN	security
Council	NN	council
for	IN	for
instance	NN	instance
I	PP	I
believe	VVP	believe
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
come	VVN	come
up	RP	up
with	IN	with
a	DT	a
a	DT	a
new	JJ	new
draft	NN	draft
resolution	NN	resolution
suggesting	VVG	suggest
the	DT	the
possibility	NN	possibility
of	IN	of
humanitarian	JJ	humanitarian
pauses	NNS	pause
humanitarian	JJ	humanitarian
corridors	NNS	corridor
will	MD	will
the	DT	the
UK	NP	UK
vote	NN	vote
in	IN	in
favor	NN	favor
of	IN	of
such	PDT	such
a	DT	a
resolution	NN	resolution
well	RB	well
we	PP	we
we	PP	we
always	RB	always
look	VVP	look
at	IN	at
the	DT	the
specific	JJ	specific
details	NNS	detail
of	IN	of
a	DT	a
resolution	NN	resolution
before	IN	before
we	PP	we
make	VVP	make
the	DT	the
final	JJ	final
decision	NN	decision
about	IN	about
voting	VVG	vote
we	PP	we
worked	VVD	work
extensively	RB	extensively
with	IN	with
the	DT	the
Brazilians	NNS	Brazilian
uh	UH	uh
on	IN	on
their	PP$	their
wording	NN	wording
in	IN	in
the	DT	the
end	NN	end
the	DT	the
UK's	NP	UK's
assessment	NN	assessment
was	VBD	be
the	DT	the
wording	NN	wording
did	VVD	do
not	RB	not
quite	RB	quite
go	VV	go
far	RB	far
enough	RB	enough
of	IN	of
course	NN	course
we	PP	we
will	MD	will
work	VV	work
with	IN	with
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
on	IN	on
the	DT	the
wording	NN	wording
of	IN	of
their	PP$	their
resolution	NN	resolution
to	TO	to
try	VV	try
and	CC	and
find	VV	find
something	NN	something
which	WDT	which
is	VBZ	be
is	VBZ	be
able	JJ	able
to	TO	to
reflect	VV	reflect
the	DT	the
uh	UH	uh
Collective	JJ	collective
opinion	NN	opinion
of	IN	of
the	DT	the
International	NP	International
Community	NP	Community
but	CC	but
any	DT	any
voting	NN	voting
decision	NN	decision
will	MD	will
be	VB	be
based	VVN	base
on	IN	on
the	DT	the
specific	JJ	specific
content	NN	content
of	IN	of
the	DT	the
text	NN	text
of	IN	of
the	DT	the
Revolution	NP	Revolution
resolution	NN	resolution
rather	RB	rather
and	CC	and
that	DT	that
is	VBZ	be
always	RB	always
the	DT	the
uh	UH	uh
uh	UH	uh
yard	NN	yard
stick	VVP	stick
that	IN/that	that
the	DT	the
UK	NP	UK
uses	VVZ	use
for	IN	for
deciding	VVG	decide
our	PP$	our
votes	NNS	vote
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
of	IN	of
course	NN	course
foreign	JJ	foreign
secretary	NN	secretary
then	RB	then
let	VV	let
me	PP	me
ask	VV	ask
you	PP	you
a	DT	a
specific	JJ	specific
question	NN	question
about	IN	about
humanitarian	JJ	humanitarian
pauses	NNS	pause
does	VVZ	do
the	DT	the
United	NP	United
Kingdom	NP	Kingdom
currently	RB	currently
believe	VVP	believe
that	IN/that	that
humanitarian	JJ	humanitarian
pauses	NNS	pause
and	CC	and
humanitarian	JJ	humanitarian
corridors	NNS	corridor
are	VBP	be
currently	RB	currently
needed	VVN	need
well	RB	well
of	IN	of
course	NN	course
in	IN	in
order	NN	order
to	TO	to
facilitate	VV	facilitate
humanitarian	JJ	humanitarian
uh	UH	uh
support	NN	support
in	IN	in
order	NN	order
for	IN	for
uh	UH	uh
people	NNS	people
to	TO	to
get	VV	get
hold	VV	hold
of	IN	of
what	WP	what
they	PP	they
need	VVP	need
they	PP	they
need	VVP	need
to	TO	to
feel	VV	feel
safe	JJ	safe
and	CC	and
they	PP	they
need	VVP	need
to	TO	to
feel	VV	feel
safe	JJ	safe
uh	UH	uh
for	IN	for
a	DT	a
realistic	JJ	realistic
amount	NN	amount
of	IN	of
time	NN	time
but	CC	but
their	PP$	their
safety	NN	safety
is	VBZ	be
not	RB	not
in	IN	in
any	DT	any
one	CD	one
organization's	NNS	organization's
hands	VVZ	hand
uh	UH	uh
there	EX	there
have	VHP	have
been	VBN	be
extensive	JJ	extensive
rocket	NN	rocket
fires	NNS	fire
from	IN	from
Gaza	NP	Gaza
initiated	VVN	initiate
by	IN	by
Hamas	NNS	Hamas
and	CC	and
others	NNS	other
into	IN	into
Israel	NP	Israel
of	IN	of
course	NN	course
in	IN	in
Israel	NP	Israel
are	VBP	be
responding	VVG	respond
to	TO	to
those	DT	those
attacks	NNS	attack
and	CC	and
the	DT	the
terrorist	JJ	terrorist
attacks	NNS	attack
on	IN	on
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
if	IN	if
we	PP	we
can	MD	can
create	VV	create
a	DT	a
situation	NN	situation
where	WRB	where
there	EX	there
is	VBZ	be
a	DT	a
pause	NN	pause
a	DT	a
genuine	JJ	genuine
pause	NN	pause
to	TO	to
facilitate	VV	facilitate
humanitarian	JJ	humanitarian
access	NN	access
of	IN	of
course	NN	course
we	PP	we
will	MD	will
be	VB	be
supporting	VVG	support
of	IN	of
that	DT	that
but	CC	but
of	IN	of
course	NN	course
that	WDT	that
does	VVZ	do
need	VV	need
to	TO	to
be	VB	be
in	IN	in
both	DT	both
directions	NNS	direction
and	CC	and
there	RB	there
needs	VVZ	need
to	TO	to
be	VB	be
a	DT	a
credible	JJ	credible
belief	NN	belief
that	IN/that	that
not	RB	not
only	RB	only
will	VV	will
uh	UH	uh
uh	UH	uh
Israel	NP	Israel
not	RB	not
be	VB	be
uh	UH	uh
conducting	VVG	conduct
military	JJ	military
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
but	CC	but
no	DT	no
operations	NNS	operation
will	MD	will
be	VB	be
conducted	VVN	conduct
from	IN	from
Gaza	NP	Gaza
that	WDT	that
is	VBZ	be
the	DT	the
challenge	NN	challenge
that	IN/that	that
we	PP	we
have	VHP	have
here	RB	here
at	IN	at
creating	VVG	create
these	DT	these
humanitarian	JJ	humanitarian
pauses	NNS	pause
so	IN	so
FR	NP	FR
secretary	NN	secretary
if	IN	if
I	PP	I
heard	VVD	hear
you	PP	you
correctly	RB	correctly
there	RB	there
you're	NN	you're
saying	VVG	say
that	IN/that	that
the	DT	the
United	NP	United
Kingdom	NP	Kingdom
would	MD	would
be	VB	be
in	IN	in
favor	NN	favor
of	IN	of
a	DT	a
humanitarian	JJ	humanitarian
pause	NN	pause
if	IN	if
both	DT	both
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
agree	VVP	agree
not	RB	not
to	TO	to
launch	VV	launch
things	NNS	thing
at	IN	at
each	DT	each
other	JJ	other
so	RB	so
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
resolution	NN	resolution
calling	VVG	call
for	IN	for
a	DT	a
humanitarian	JJ	humanitarian
pause	NN	pause
from	IN	from
both	DT	both
sides	NNS	side
that's	NN	that's
something	NN	something
the	DT	the
UK	NP	UK
would	MD	would
be	VB	be
in	IN	in
support	NN	support
of	IN	of
well	RB	well
as	IN	as
I	PP	I
say	VVP	say
I'm	NP	I'm
not	RB	not
going	VVG	go
to	TO	to
commit	VV	commit
to	TO	to
our	PP$	our
voting	NN	voting
pattern	NN	pattern
without	IN	without
seeing	VVG	see
the	DT	the
specific	JJ	specific
wording	NN	wording
of	IN	of
a	DT	a
resolution	NN	resolution
and	CC	and
calling	VVG	call
for	IN	for
something	NN	something
and	CC	and
achieving	VVG	achieve
it	PP	it
are	VBP	be
very	RB	very
different	JJ	different
things	NNS	thing
and	CC	and
that's	JJ	that's
uh	UH	uh
the	DT	the
work	NN	work
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
of	IN	of
course	NN	course
is	VBZ	be
important	JJ	important
but	CC	but
that	WDT	that
is	VBZ	be
also	RB	also
why	WRB	why
we	PP	we
fly	VVP	fly
to	TO	to
the	DT	the
region	NN	region
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
was	VBD	be
there	EX	there
I	PP	I
was	VBD	be
there	RB	there
that	DT	that
is	VBZ	be
why	WRB	why
we	PP	we
speak	VV	speak
uh	UH	uh
directly	RB	directly
where	WRB	where
we	PP	we
can	MD	can
to	TO	to
decision	NN	decision
makers	NNS	maker
because	IN	because
the	DT	the
the	DT	the
the	DT	the
reality	NN	reality
on	IN	on
the	DT	the
ground	NN	ground
has	VHZ	have
to	TO	to
facilitate	VV	facilitate
that	DT	that
humanitarian	JJ	humanitarian
access	NN	access
and	CC	and
calling	VVG	call
for	IN	for
things	NNS	thing
uh	UH	uh
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
without	IN	without
the	DT	the
accompanying	JJ	accompanying
direct	JJ	direct
diplomacy	NN	diplomacy
in	IN	in
the	DT	the
region	NN	region
will	MD	will
not	RB	not
get	VV	get
us	PP	us
what	WP	what
we	PP	we
want	VVP	want
and	CC	and
what	WP	what
we	PP	we
want	VVP	want
is	VBZ	be
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
uh	UH	uh
Gaza	NP	Gaza
the	DT	the
Palestinians	NPS	Palestinians
of	IN	of
Gaza	NP	Gaza
to	TO	to
receive	VV	receive
that	DT	that
humanitarian	JJ	humanitarian
Aid	NP	Aid
one	CD	one
of	IN	of
the	DT	the
issues	NNS	issue
that	WDT	that
was	VBD	be
raised	VVN	raise
around	IN	around
the	DT	the
Brazilian	JJ	Brazilian
resolution	NN	resolution
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
was	VBD	be
the	DT	the
lack	NN	lack
of	IN	of
language	NN	language
around	IN	around
Israel's	NP	Israel's
right	NN	right
to	TO	to
defend	VV	defend
itself	PP	itself
the	DT	the
UK	NP	UK
has	VHZ	have
always	RB	always
said	VVN	say
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
the	DT	the
right	NN	right
to	TO	to
defend	VV	defend
itself	PP	itself
we	PP	we
now	RB	now
know	VVP	know
there	EX	there
are	VBP	be
5,000	CD	@card@
people	NNS	people
dead	JJ	dead
in	IN	in
Gaza	NP	Gaza
more	RBR	more
than	IN	than
half	DT	half
of	IN	of
them	PP	them
women	NNS	woman
and	CC	and
children	NNS	child
