General	NP	General
let	VV	let
Hamas	NNS	Hamas
to	TO	to
rule	VV	rule
the	DT	the
Gaza	NP	Gaza
Street	NP	Street
after	IN	after
this	DT	this
uh	UH	uh
Declaration	NP	Declaration
of	IN	of
more	RBR	more
and	CC	and
atrocities	NNS	atrocity
and	CC	and
primitive	JJ	primitive
and	CC	and
Barbarian	JJ	barbarian
action	NN	action
which	WDT	which
was	VBD	be
done	VVN	do
by	IN	by
Hamas	NP	Hamas
and	CC	and
you	PP	you
tell	VVP	tell
me	PP	me
General	JJ	general
because	IN	because
they	PP	they
'	POS	'
re	NN	re
hiding	NN	hiding
so	RB	so
nicely	RB	nicely
behind	IN	behind
civilians	NNS	civilian
and	CC	and
you	PP	you
cannot	MD	can
kill	VV	kill
civilians	NNS	civilian
so	IN	so
they	PP	they
will	MD	will
be	VB	be
immune	JJ	immune
uh	UH	uh
we	PP	we
are	VBP	be
not	RB	not
buying	VVG	buy
the	DT	the
logic	NN	logic
and	CC	and
we	PP	we
will	MD	will
continue	VV	continue
to	TO	to
destroy	VV	destroy
Hamas	NNS	Hamas
and	CC	and
if	IN	if
the	DT	the
payment	NN	payment
will	MD	will
be	VB	be
paid	VVN	pay
by	IN	by
the	DT	the
civilians	NNS	civilian
of	IN	of
Gaza	NP	Gaza
they	PP	they
can	MD	can
apply	VV	apply
to	TO	to
Hamas	NP	Hamas
Hamas	NP	Hamas
is	VBZ	be
there	RB	there
Hamas	JJ	Hamas
was	VBD	be
elected	VVN	elect
by	IN	by
them	PP	them
and	CC	and
they	PP	they
can	MD	can
apply	VV	apply
to	TO	to
Hamas	VV	Hamas
and	CC	and
ask	VV	ask
Hamas	NNS	Hamas
to	TO	to
fight	NN	fight
to	TO	to
to	TO	to
stop	VV	stop
the	DT	the
the	DT	the
wi	NN	wi
by	IN	by
the	DT	the
way	NN	way
if	IN	if
they	PP	they
surrender	VVP	surrender
immediately	RB	immediately
we	PP	we
will	MD	will
not	RB	not
kill	VV	kill
any	DT	any
civilian	JJ	civilian
uh	UH	uh
44	CD	@card@
%	NN	%
little	RB	little
more	JJR	more
than	IN	than
44	CD	@card@
%	NN	%
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
uh	UH	uh
voted	VVD	vote
for	IN	for
Hamas	NN	Hamas
as	IN	as
a	DT	a
plurality	NN	plurality
in	IN	in
2006	CD	@card@
about	IN	about
half	NN	half
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
population	NN	population
right	NN	right
now	RB	now
is	VBZ	be
under	IN	under
18	CD	@card@
meaning	NN	meaning
that	IN/that	that
most	JJS	most
people	NNS	people
in	IN	in
Gaza	NP	Gaza
absolutely	RB	absolutely
did	VVD	do
not	RB	not
vote	VV	vote
for	IN	for
Hamas	NN	Hamas
that	RB	that
'	POS	'
s	NN	S
also	RB	also
just	RB	just
factually	RB	factually
incorrect	JJ	incorrect
uh	UH	uh
your	PP$	your
vision	NN	vision
of	IN	of
security	NN	security
rests	NNS	rest
upon	IN	upon
a	DT	a
military	JJ	military
strategy	NN	strategy
that	IN/that	that
as	IN	as
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
described	VVD	describe
will	MD	will
inevitably	RB	inevitably
kill	VV	kill
citizens	NNS	citizen
civilians	NNS	civilian
and	CC	and
will	MD	will
lead	VV	lead
to	TO	to
the	DT	the
destruction	NN	destruction
of	IN	of
more	JJR	more
uh	UH	uh
monuments	NNS	monument
more	RBR	more
cultural	JJ	cultural
sites	NNS	site
more	JJR	more
parts	NNS	part
of	IN	of
Civil	NP	Civil
Society	NP	Society
if	IN	if
all	DT	all
of	IN	of
this	DT	this
happens	VVZ	happen
do	VV	do
you	PP	you
not	RB	not
worry	VVP	worry
that	IN/that	that
it	PP	it
will	MD	will
only	RB	only
ferment	VV	ferment
more	JJR	more
resistance	NN	resistance
more	JJR	more
violence	NN	violence
more	JJR	more
people	NNS	people
who	WP	who
have	VHP	have
antipathy	NN	antipathy
towards	IN	towards
the	DT	the
Israeli	JJ	Israeli
government	NN	government
I	PP	I
mean	VVP	mean
there	EX	there
are	VBP	be
security	NN	security
and	CC	and
terrorism	NN	terrorism
experts	NNS	expert
who	WP	who
actually	RB	actually
caution	VVP	caution
this	DT	this
say	VVP	say
that	IN/that	that
Israel	NP	Israel
'	POS	'
s	JJ	s
widespread	JJ	widespread
killing	NN	killing
of	IN	of
Palestinian	JJ	Palestinian
civilians	NNS	civilian
increases	VVZ	increase
the	DT	the
risk	NN	risk
of	IN	of
violent	JJ	violent
attacks	NNS	attack
against	IN	against
isra	NP	Isra
Israelis	NPS	Israelis
how	WRB	how
do	VVP	do
you	PP	you
respond	VV	respond
to	TO	to
These	DT	these
Warnings	NNS	warning
that	IN/that	that
what	WP	what
you	PP	you
'	POS	'
re	NN	re
doing	VVG	do
that	IN/that	that
Israel	NP	Israel
'	POS	'
s	JJ	s
bombardment	NN	bombardment
of	IN	of
Gaza	NP	Gaza
will	MD	will
actually	RB	actually
make	VV	make
Israel	NP	Israel
less	RBR	less
secure	VVP	secure
I	PP	I
see	VVP	see
that	IN/that	that
you	PP	you
don	VV	don
'	''	'
t	NN	t
don	NN	don
'	POS	'
t	NN	t
remember	VV	remember
the	DT	the
situation	NN	situation
before	IN	before
the	DT	the
sth	NN	sth
of	IN	of
October	NP	October
before	IN	before
the	DT	the
first	JJ	first
sth	NN	sth
of	IN	of
October	NP	October
there	EX	there
was	VBD	be
a	DT	a
ceasefire	NN	ceasefire
Israel	NP	Israel
didn	NP	didn
'	POS	'
t	NN	t
to	TO	to
take	VV	take
Gaza	NP	Gaza
Israel	NP	Israel
gave	VVD	give
many	JJ	many
uh	UH	uh
people	NNS	people
from	IN	from
Gaza	NP	Gaza
to	TO	to
come	VV	come
to	TO	to
walk	VV	walk
in	IN	in
Israel	NP	Israel
is	VBZ	be
gave	VVD	give
um	JJ	um
economic	JJ	economic
help	NN	help
to	TO	to
go	VV	go
into	IN	into
Gaza	NP	Gaza
not	RB	not
many	JJ	many
people	NNS	people
but	CC	but
sure	RB	sure
you	PP	you
don	VV	don
'	''	'
t	NN	t
let	VV	let
me	PP	me
to	TO	to
ask	VV	ask
the	DT	the
question	NN	question
but	CC	but
I	PP	I
can	MD	can
'	''	'
t	NN	t
allow	VV	allow
you	PP	you
to	TO	to
say	VV	say
things	NNS	thing
that	IN/that	that
aren	NNS	aren
'	POS	'
t	NN	t
true	RB	true
less	JJR	less
than	IN	than
1	CD	@card@
%	NN	%
of	IN	of
the	DT	the
of	IN	of
the	DT	the
of	IN	of
the	DT	the
gazin	NN	gazin
population	NN	population
had	VHD	have
work	NN	work
permits	NNS	permit
what	WP	what
was	VBD	be
the	DT	the
number	NN	number
of	IN	of
of	IN	of
Gins	NP	Gins
who	WP	who
could	MD	could
work	VV	work
in	IN	in
Israel	NP	Israel
I	NP	I
'	POS	'
ll	NNS	ll
give	VVP	give
you	PP	you
the	DT	the
number	NN	number
18	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
right	RB	right
there	EX	there
are	VBP	be
2	CD	@card@
.	SENT	.
2	CD	@card@
million	CD	million
people	NNS	people
in	IN	in
Gaza	NP	Gaza
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
a	DT	a
large	JJ	large
number	NN	number
most	JJS	most
people	NNS	people
in	IN	in
Gaza	NP	Gaza
cannot	MD	can
leave	VV	leave
or	CC	or
cannot	MD	can
enter	VV	enter
or	CC	or
leave	NN	leave
did	VVD	do
they	PP	they
say	VVP	say
huge	JJ	huge
I	PP	I
I	PP	I
I	PP	I
never	RB	never
said	VVD	say
you	PP	you
percentage	NN	percentage
I	PP	I
said	VVD	say
Israel	NP	Israel
try	VV	try
to	TO	to
help	VV	help
to	TO	to
promote	VV	promote
the	DT	the
economy	NN	economy
of	IN	of
Gaza	NP	Gaza
by	IN	by
letting	VVG	let
1	CD	@card@
%	NN	%
of	IN	of
people	NNS	people
come	VVN	come
in	IN	in
okay	JJ	okay
go	VVP	go
ahead	RB	ahead
please	VV	please
finish	NN	finish
did	VVD	do
you	PP	you
finish	VV	finish
the	DT	the
statistics	NNS	statistic
which	WDT	which
is	VBZ	be
not	RB	not
true	JJ	true
what	WP	what
'	POS	'
s	VVG	s
what	WP	what
'	POS	'
s	NN	S
children	NNS	child
are	VBP	be
not	RB	not
going	VVG	go
to	TO	to
children	NNS	child
are	VBP	be
not	RB	not
going	VVG	go
to	TO	to
walk	VV	walk
in	IN	in
Israel	NP	Israel
women	NNS	woman
are	VBP	be
are	VBP	be
not	RB	not
going	VVG	go
to	TO	to
go	VV	go
to	TO	to
go	VV	go
to	TO	to
to	TO	to
walk	VV	walk
in	IN	in
Israel	NP	Israel
the	DT	the
the	DT	the
the	DT	the
only	JJ	only
man	NN	man
after	IN	after
the	DT	the
age	NN	age
of	IN	of
24	CD	@card@
or	CC	or
30	CD	@card@
so	RB	so
with	IN	with
all	PDT	all
the	DT	the
resp	NN	resp
your	PP$	your
statistic	NN	statistic
please	VVP	please
please	RB	please
correct	VV	correct
your	PP$	your
statistic	NN	statistic
I	PP	I
I	PP	I
do	VVP	do
not	RB	not
have	VH	have
connection	NN	connection
to	TO	to
the	DT	the
reality	NN	reality
but	CC	but
let	VV	let
me	PP	me
answer	VV	answer
stop	VV	stop
me	PP	me
again	RB	again
and	CC	and
again	RB	again
that	RB	that
'	''	'
s	NN	S
because	IN	because
you	PP	you
You	PP	you
'	''	'
once	RB	once
again	RB	again
said	VVD	say
respectfully	RB	respectfully
sir	NN	sir
you	PP	you
'	POS	'
ve	NN	ve
once	RB	once
again	RB	again
said	VVD	say
something	NN	something
that	RB	that
'	POS	'
s	NNS	s
untrue	JJ	untrue
factually	RB	factually
but	CC	but
I	PP	I
'	POS	'
ll	NNS	ll
allow	VVP	allow
you	PP	you
to	TO	to
continue	VV	continue
no	RB	no
well	RB	well
it	PP	it
'	POS	'
s	NN	S
true	JJ	true
I	NP	I
didn	NN	didn
'	POS	'
t	NN	t
say	VVP	say
it	PP	it
'	''	'
s	VVG	s
a	DT	a
high	JJ	high
percent	NN	percent
I	PP	I
say	VVP	say
18	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
from	IN	from
Gaza	NP	Gaza
went	VVD	go
out	RP	out
every	DT	every
day	NN	day
to	TO	to
walk	VV	walk
in	IN	in
his	PP$	his
this	NN	this
is	VBZ	be
a	DT	a
number	NN	number
if	IN	if
it	PP	it
'	POS	'
s	NN	S
you	PP	you
say	VVP	say
that	IN/that	that
it	PP	it
is	VBZ	be
too	RB	too
little	RB	little
maybe	RB	maybe
should	MD	should
we	PP	we
give	VV	give
more	JJR	more
people	NNS	people
to	TO	to
walk	VV	walk
in	IN	in
Israel	NP	Israel
without	IN	without
the	DT	the
atrocities	NNS	atrocity
and	CC	and
the	DT	the
violation	NN	violation
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
byas	NNS	byas
probably	RB	probably
today	NN	today
we	PP	we
had	VHD	have
with	IN	with
25	CD	@card@
,	,	,
000	CD	@card@
I	NP	I
don	NN	don
'	POS	'
t	NN	t
know	VVP	know
probably	RB	probably
because	IN	because
that	DT	that
was	VBD	be
the	DT	the
intention	NN	intention
of	IN	of
Israel	NP	Israel
to	TO	to
give	VV	give
more	JJR	more
workers	NNS	worker
to	TO	to
go	VV	go
out	RP	out
of	IN	of
Gaza	NP	Gaza
and	CC	and
to	TO	to
walk	VV	walk
in	IN	in
Israel	NP	Israel
and	CC	and
we	PP	we
gave	VVD	give
all	PDT	all
the	DT	the
permission	NN	permission
to	TO	to
Qatar	NP	Qatar
and	CC	and
other	JJ	other
countries	NNS	country
to	TO	to
bring	VV	bring
money	NN	money
to	TO	to
G	NP	G
and	CC	and
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
sent	VVD	send
money	NN	money
to	TO	to
Gaza	NP	Gaza
because	IN	because
our	PP$	our
interest	NN	interest
was	VBD	be
to	TO	to
promote	VV	promote
the	DT	the
economy	NN	economy
of	IN	of
Gaza	NP	Gaza
because	IN	because
people	NNS	people
believed	VVN	believe
in	IN	in
Israel	NP	Israel
huge	JJ	huge
mistake	NN	mistake
that	IN/that	that
Hamas	NP	Hamas
has	VHZ	have
some	DT	some
responsibility	NN	responsibility
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
and	CC	and
by	IN	by
promoting	VVG	promote
the	DT	the
economy	NN	economy
well	RB	well
pushing	VVG	push
away	RP	away
the	DT	the
plan	NN	plan
of	IN	of
Hamas	NP	Hamas
to	TO	to
attack	VV	attack
Israel	NP	Israel
we	PP	we
made	VVD	make
a	DT	a
mistake	NN	mistake
Hamas	NN	Hamas
did	VVD	do
didn	NN	didn
'	POS	'
t	NN	t
care	NN	care
about	IN	about
his	PP$	his
people	NNS	people
Hamas	NN	Hamas
initiated	VVD	initiate
the	DT	the
war	NN	war
in	IN	in
Israel	NP	Israel
declare	VVP	declare
a	DT	a
war	NN	war
and	CC	and
by	IN	by
butchering	VVG	butcher
thousands	NNS	thousand
civilians	NNS	civilian
women	NNS	woman
babies	NNS	baby
and	CC	and
ring	NN	ring
women	NNS	woman
as	RB	as
well	RB	well
so	IN	so
we	PP	we
decided	VVD	decide
that	IN/that	that
it	PP	it
is	VBZ	be
not	RB	not
an	DT	an
option	NN	option
anymore	RB	anymore
we	PP	we
don	VV	don
'	''	'
t	NN	t
have	VHP	have
any	DT	any
obligation	NN	obligation
towards	IN	towards
Gaza	NP	Gaza
around	IN	around
relating	VVG	relate
to	TO	to
the	DT	the
civilian	JJ	civilian
life	NN	life
of	IN	of
these	DT	these
people	NNS	people
they	PP	they
can	MD	can
apply	VV	apply
to	TO	to
Hamas	NNS	Hamas
we	PP	we
gave	VVD	give
them	PP	them
all	PDT	all
the	DT	the
opportunities	NNS	opportunity
uh	UH	uh
Hamas	NNS	Hamas
decided	VVD	decide
to	TO	to
initiate	VV	initiate
a	DT	a
war	NN	war
against	IN	against
Israel	NP	Israel
Hamas	NP	Hamas
will	MD	will
pay	VV	pay
the	DT	the
price	NN	price
okay	RB	okay
again	RB	again
I	PP	I
I	PP	I
wanted	VVD	want
you	PP	you
to	TO	to
finish	VV	finish
before	IN	before
I	PP	I
I	PP	I
offer	VVP	offer
this	DT	this
correction	NN	correction
under	IN	under
international	JJ	international
law	NN	law
Israel	NP	Israel
actually	RB	actually
does	VVZ	do
have	VH	have
a	DT	a
responsib	NN	responsib
ability	NN	ability
and	CC	and
a	DT	a
duty	NN	duty
to	TO	to
the	DT	the
gazan	NN	gazan
citizens	NNS	citizen
do	VVP	do
you	PP	you
disagree	VVP	disagree
with	IN	with
that	DT	that
yes	UH	yes
I	PP	I
disagree	VVP	disagree
because	IN	because
we	PP	we
are	VBP	be
not	RB	not
conquering	VVG	conquer
Gaza	NP	Gaza
