Remo	NP	Remo
that	IN/that	that
civilians	NNS	civilian
are	VBP	be
entitled	VVN	entitle
to	TO	to
according	VVG	accord
to	TO	to
the	DT	the
laws	NNS	law
of	IN	of
war	NN	war
that	WDT	that
have	VHP	have
been	VBN	be
upheld	VVN	uphold
in	IN	in
this	DT	this
conflict	NN	conflict
and	CC	and
I	PP	I
cannot	MD	can
think	VV	think
of	IN	of
any	DT	any
violation	NN	violation
of	IN	of
the	DT	the
laws	NNS	law
of	IN	of
war	NN	war
and	CC	and
human	JJ	human
rights	NNS	right
that	WDT	that
uh	UH	uh
Palestinians	NPS	Palestinians
uh	UH	uh
including	VVG	include
women	NNS	woman
and	CC	and
children	NNS	child
have	VHP	have
not	RB	not
been	VBN	be
subjected	VVN	subject
to	TO	to
what	WP	what
kind	NN	kind
of	IN	of
protection	NN	protection
should	MD	should
women	NNS	woman
and	CC	and
children	NNS	child
get	VVP	get
in	IN	in
uh	UH	uh
International	NP	International
humanitarian	NN	humanitarian
or	CC	or
law	NN	law
what	WP	what
would	MD	would
a	DT	a
war	NN	war
look	NN	look
like	IN	like
that	WDT	that
tries	VVZ	try
to	TO	to
respect	VV	respect
that	DT	that
aspect	NN	aspect
of	IN	of
international	JJ	international
law	NN	law
well	RB	well
everything	NN	everything
that	DT	that
uh	UH	uh
shouldn	NN	shouldn
'	POS	'
t	NN	t
happen	RB	happen
is	VBZ	be
happening	VVG	happen
now	RB	now
according	VVG	accord
to	TO	to
the	DT	the
Geneva	NP	Geneva
conventions	NNS	convention
and	CC	and
the	DT	the
laws	NNS	law
of	IN	of
conflict	NN	conflict
so	IN	so
all	PDT	all
this	DT	this
indiscriminate	JJ	indiscriminate
bombing	NN	bombing
slaughtering	VVG	slaughter
the	DT	the
forceful	JJ	forceful
dispossession	NN	dispossession
uh	UH	uh
unfolding	VVG	unfold
genocide	NN	genocide
the	DT	the
deliberate	JJ	deliberate
starvation	NN	starvation
the	DT	the
deliberate	JJ	deliberate
uh	UH	uh
uh	UH	uh
denial	NN	denial
of	IN	of
water	VV	water
uh	UH	uh
the	DT	the
denial	NN	denial
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
the	DT	the
attacks	NNS	attack
on	IN	on
humanitarian	JJ	humanitarian
actors	NNS	actor
like	IN	like
unua	NN	unua
like	IN	like
the	DT	the
red	JJ	red
crescent	JJ	crescent
um	NN	um
the	DT	the
the	DT	the
bombing	NN	bombing
of	IN	of
Civilian	JJ	civilian
infrastructure	NN	infrastructure
all	PDT	all
these	DT	these
are	VBP	be
things	NNS	thing
that	IN/that	that
shouldn	NP	shouldn
'	POS	'
t	NN	t
happen	VV	happen
according	VVG	accord
to	TO	to
the	DT	the
laws	NNS	law
of	IN	of
war	NN	war
and	CC	and
of	IN	of
course	NN	course
within	IN	within
that	WDT	that
also	RB	also
women	NNS	woman
have	VHP	have
specific	JJ	specific
protections	NNS	protection
because	IN	because
they	PP	they
are	VBP	be
women	NNS	woman
they	PP	they
'	POS	'
re	NN	re
supposed	VVN	suppose
to	TO	to
be	VB	be
um	JJ	um
also	RB	also
given	VVN	give
you	PP	you
know	VV	know
uh	UH	uh
consideration	NN	consideration
and	CC	and
care	NN	care
for	IN	for
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
'	''	'
re	IN	re
being	VBG	be
women	NNS	woman
like	IN	like
for	IN	for
example	NN	example
when	WRB	when
they	PP	they
are	VBP	be
menstruating	VVG	menstruating
like	IN	like
for	IN	for
example	NN	example
reproductive	JJ	reproductive
health	NN	health
and	CC	and
we	PP	we
know	VVP	know
also	RB	also
of	IN	of
the	DT	the
onslaught	NN	onslaught
that	IN/that	that
we	PP	we
have	VHP	have
seen	VVN	see
on	IN	on
pregnant	JJ	pregnant
women	NNS	woman
uh	UH	uh
women	NNS	woman
giving	VVG	give
birth	NN	birth
on	IN	on
infants	NNS	infant
uh	UH	uh
we	PP	we
have	VHP	have
now	RB	now
seemingly	RB	seemingly
moved	VVN	move
from	IN	from
uh	UH	uh
bombing	NN	bombing
children	NNS	child
including	VVG	include
infants	NNS	infant
to	TO	to
leaving	VVG	leave
them	PP	them
to	TO	to
die	VV	die
uh	UH	uh
and	CC	and
decompose	VV	decompose
in	IN	in
hospitals	NNS	hospital
to	TO	to
now	RB	now
apparently	RB	apparently
also	RB	also
executing	VVG	execute
them	PP	them
in	IN	in
Cold	NP	Cold
Blood	NP	Blood
what	WP	what
'	POS	'
s	VVG	s
it	PP	it
like	IN	like
being	VBG	be
a	DT	a
5	CD	@card@
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
in	IN	in
Gaza	NP	Gaza
right	RB	right
now	RB	now
H	NN	H
being	VBG	be
a	DT	a
5	CD	@card@
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
in	IN	in
Gaza	NP	Gaza
probably	RB	probably
having	VHG	have
lost	VVN	lose
both	DT	both
of	IN	of
your	PP$	your
parents	NNS	parent
and	CC	and
all	PDT	all
your	PP$	your
siblings	NNS	sibling
having	VHG	have
lost	VVN	lose
a	DT	a
limb	NN	limb
um	NN	um
seeing	VVG	see
no	DT	no
future	NN	future
trying	VVG	try
to	TO	to
survive	VV	survive
uh	UH	uh
being	VBG	be
soaked	VVN	soak
wet	JJ	wet
right	NN	right
now	RB	now
under	IN	under
the	DT	the
the	DT	the
rain	VV	rain
uh	UH	uh
going	VVG	go
hungry	JJ	hungry
not	RB	not
being	VBG	be
able	JJ	able
to	TO	to
eat	VV	eat
in	IN	in
days	NNS	day
um	NNS	um
and	CC	and
uh	UH	uh
feeling	NN	feeling
very	RB	very
abandoned	VVN	abandon
by	IN	by
the	DT	the
world	NN	world
Rema	NN	Rema
salm	NN	salm
un	NN	un
special	JJ	special
rapporter	NN	rapporter
on	IN	on
violence	NN	violence
against	IN	against
women	NNS	woman
and	CC	and
children	NNS	child
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
the	DT	the
program	NN	program
today	NN	today
thank	VVP	thank
you	PP	you
