<video_id>-fe3-DkQ9cI</video_id>	JJ	<video_id>-fe3-DkQ9cI</video_id>
the	DT	the
emergency	NN	emergency
department	NN	department
and	CC	and
in	IN	in
the	DT	the
next	JJ	next
days	NNS	day
we'll	NN	we'll
open	VVP	open
the	DT	the
theaters	NNS	theater
and	CC	and
other	JJ	other
department	NN	department
to	TO	to
receive	VV	receive
the	DT	the
paent	NN	paent
stilling	VVG	still
as	IN	as
you	PP	you
know	VVP	know
more	JJR	more
than	IN	than
700,000	CD	@card@
patients	NNS	patient
are	VBP	be
allocated	VVN	allocate
mostly	RB	mostly
in	IN	in
the	DT	the
north	JJ	north
area	NN	area
in	IN	in
the	DT	the
Eastern	JJ	eastern
area	NN	area
of	IN	of
Gaza	NP	Gaza
and	CC	and
north	RB	north
of	IN	of
Gaza	NP	Gaza
they	PP	they
are	VBP	be
living	VVG	live
there	RB	there
and	CC	and
still	RB	still
they	PP	they
are	VBP	be
in	IN	in
need	NN	need
of	IN	of
medical	JJ	medical
services	NNS	service
and	CC	and
the	DT	the
hospital	NN	hospital
sh	NN	sh
Hospital	NN	hospital
able	JJ	able
to	TO	to
accommodate	VV	accommodate
these	DT	these
patients	NNS	patient
as	RB	as
well	RB	well
until	IN	until
now	RB	now
not	RB	not
yet	RB	yet
we	PP	we
are	VBP	be
okay	JJ	okay
we	PP	we
are	VBP	be
in	IN	in
bad	JJ	bad
need	NN	need
for	IN	for
fuel	NN	fuel
to	TO	to
run	VV	run
our	PP$	our
generators	NNS	generator
and	CC	and
we	PP	we
have	VHP	have
to	TO	to
repair	VV	repair
some	DT	some
of	IN	of
the	DT	the
oxygen	NN	oxygen
generators	NNS	generator
which	WDT	which
is	VBZ	be
damaged	VVN	damage
by	IN	by
the	DT	the
Israel	NP	Israel
army	NN	army
during	IN	during
the	DT	the
incursion	NN	incursion
of	IN	of
shifa	NP	Shifa
Hospital	NP	Hospital
still	RB	still
we	PP	we
are	VBP	be
in	IN	in
need	VVP	need
no	RB	no
fuel	VV	fuel
AR	NP	Ar
to	TO	to
the	DT	the
medical	JJ	medical
yeah	RB	yeah
how	WRB	how
much	JJ	much
fuel	NN	fuel
have	VHP	have
have	VH	have
you	PP	you
gotten	VVN	get
at	IN	at
El	NP	El
shifa	NP	Shifa
Hospital	NP	Hospital
oh	UH	oh
nothing	NN	nothing
we	PP	we
we	PP	we
got	VVD	get
nothing	NN	nothing
from	IN	from
a	DT	a
fuel	NN	fuel
from	IN	from
un	NNS	un
they	PP	they
are	VBP	be
sending	VVG	send
a	DT	a
fuel	NN	fuel
to	TO	to
the	DT	the
Wells	NP	Wells
of	IN	of
the	DT	the
Affiliated	VVN	affiliate
to	TO	to
the	DT	the
UN	NP	UN
and	CC	and
to	TO	to
the	DT	the
municipality	NN	municipality
some	DT	some
of	IN	of
the	DT	the
municipality	NN	municipality
and	CC	and
to	TO	to
the	DT	the
some	DT	some
of	IN	of
the	DT	the
other	JJ	other
services	VVZ	service
uh	UH	uh
R	NP	R
and	CC	and
Society	NP	Society
services	NNS	service
for	IN	for
the	DT	the
ambulance	NN	ambulance
and	CC	and
nothing	NN	nothing
received	VVN	receive
from	IN	from
the	DT	the
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
for	IN	for
the	DT	the
hospital	NN	hospital
uh	UH	uh
for	IN	for
the	DT	the
hospital	NN	hospital
use	NN	use
and	CC	and
so	RB	so
on	IN	on
till	IN	till
now	RB	now
we	PP	we
are	VBP	be
waiting	VVG	wait
to	TO	to
receive	VV	receive
fuel	NN	fuel
to	TO	to
run	VV	run
our	PP$	our
generators	NNS	generator
especially	RB	especially
in	IN	in
the	DT	the
hospital	NN	hospital
CH	NP	CH
and	CC	and
in	IN	in
the	DT	the
North	NP	North
Area	NP	Area
indan	NP	indan
Hospital	NP	Hospital
so	RB	so
when	WRB	when
you	PP	you
when	WRB	when
you've	NN	you've
asked	VVD	ask
for	IN	for
this	DT	this
fuel	NN	fuel
presumably	RB	presumably
you	PP	you
have	VHP	have
what	WP	what
have	VHP	have
you	PP	you
been	VBN	be
told	VVN	tell
about	RB	about
when	WRB	when
you	PP	you
will	MD	will
receive	VV	receive
it	PP	it
and	CC	and
also	RB	also
with	IN	with
the	DT	the
aid	NN	aid
now	RB	now
go	VV	go
on	IN	on
yeah	RB	yeah
we	PP	we
we	PP	we
spoke	VVD	speak
with	IN	with
the	DT	the
UN	NP	UN
personel	NN	personel
who	WP	who
came	VVD	come
with	IN	with
this	DT	this
tanks	NNS	tank
of	IN	of
fuel	NN	fuel
and	CC	and
we	PP	we
asked	VVD	ask
them	PP	them
about	IN	about
the	DT	the
fuel	NN	fuel
for	IN	for
the	DT	the
hospital	NN	hospital
this	DT	this
is	VBZ	be
their	PP$	their
responsibility	NN	responsibility
okay	NN	okay
they	PP	they
asked	VVD	ask
they	PP	they
told	VVD	tell
us	PP	us
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
fuel	NN	fuel
designated	VVN	designate
for	IN	for
the	DT	the
hospital	NN	hospital
it	PP	it
is	VBZ	be
designated	VVN	designate
for	IN	for
the	DT	the
world	NN	world
and	CC	and
for	IN	for
other	JJ	other
municipality	NN	municipality
services	NNS	service
and	CC	and
so	RB	so
on	IN	on
and	CC	and
for	IN	for
ready	JJ	ready
Christian	NP	Christian
Society	NP	Society
ambulances	NNS	ambulance
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
hear	VVP	hear
from	IN	from
them	PP	them
till	VVP	till
now	RB	now
and	CC	and
Israeli	JJ	Israeli
they	PP	they
are	VBP	be
not	RB	not
allowing	VVG	allow
any	DT	any
fuel	NN	fuel
to	TO	to
come	VV	come
to	TO	to
the	DT	the
hospitals	NNS	hospital
to	TO	to
the	DT	the
especially	RB	especially
to	TO	to
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
hospitals	NNS	hospital
there	RB	there
this	DT	this
days	NNS	day
from	IN	from
the	DT	the
AIDS	NP	AIDS
that's	NNS	that's
coming	VVG	come
from	IN	from
uh	UH	uh
to	TO	to
Gaza	NP	Gaza
through	IN	through
the	DT	the
RAF	NN	RAF
border	NN	border
crossing	VVG	cross
over	IN	over
the	DT	the
past	JJ	past
few	JJ	few
days	NNS	day
while	IN	while
this	DT	this
ceasefire	NN	ceasefire
has	VHZ	have
been	VBN	be
in	IN	in
place	NN	place
how	WRB	how
much	RB	much
Aid	NP	Aid
has	VHZ	have
reached	VVN	reach
you	PP	you
at	IN	at
El	NP	El
shifa	NP	Shifa
hospital	NN	hospital
I	PP	I
know	VVP	know
what	WP	what
you've	NN	you've
said	VVD	say
about	RB	about
fuel	VV	fuel
what	WP	what
about	IN	about
Medical	NP	Medical
Aid	NP	Aid
that	IN/that	that
you've	NN	you've
needed	VVD	need
have	VH	have
you	PP	you
gotten	VVN	get
anything	NN	anything
uh	UH	uh
since	IN	since
this	DT	this
is	VBZ	be
fire	NN	fire
okay	JJ	okay
nothing	NN	nothing
is	VBZ	be
coming	VVG	come
to	TO	to
the	DT	the
hospital	NN	hospital
I	PP	I
think	VVP	think
some	DT	some
most	JJS	most
of	IN	of
the	DT	the
Medical	NP	Medical
Aid	NP	Aid
it	PP	it
goes	VVZ	go
to	TO	to
uh	UH	uh
sou	NN	sou
area	NN	area
sou	NN	sou
in	IN	in
hospital	NN	hospital
nothing	NN	nothing
is	VBZ	be
coming	VVG	come
to	TO	to
the	DT	the
northern	JJ	northern
area	NN	area
of	IN	of
Gaza	NP	Gaza
just	RB	just
the	DT	the
food	NN	food
and	CC	and
the	DT	the
water	NN	water
and	CC	and
other	JJ	other
stuff	NN	stuff
that	IN/that	that
and	CC	and
the	DT	the
fuel	NN	fuel
some	DT	some
of	IN	of
the	DT	the
fuel	NN	fuel
which	WDT	which
designated	VVD	designate
to	TO	to
the	DT	the
other	JJ	other
to	TO	to
other	JJ	other
surface	NN	surface
part	NN	part
of	IN	of
in	RB	in
how	WRB	how
many	JJ	many
patients	NNS	patient
are	VBP	be
currently	RB	currently
still	RB	still
at	IN	at
elifa	NN	elifa
hospital	NN	hospital
today	NN	today
no	RB	no
I	PP	I
I	PP	I
sadly	RB	sadly
to	TO	to
say	VV	say
that	IN/that	that
we	PP	we
don't	VVD	don't
have	VH	have
any	DT	any
patients	NNS	patient
now	RB	now
most	RBS	most
of	IN	of
the	DT	the
patients	NNS	patient
are	VBP	be
evacuated	VVN	evacuate
to	TO	to
the	DT	the
sou	NN	sou
hospital	NN	hospital
but	CC	but
a	DT	a
huge	JJ	huge
number	NN	number
of	IN	of
patient	NN	patient
they	PP	they
are	VBP	be
at	IN	at
homes	NNS	home
they	PP	they
are	VBP	be
asking	VVG	ask
for	IN	for
the	DT	the
surfaces	NNS	surface
to	TO	to
complete	VV	complete
their	PP$	their
management	NN	management
not	RB	not
all	DT	all
patients	NNS	patient
who	WP	who
got	VVD	get
injured	VVN	injure
during	IN	during
this	DT	this
war	NN	war
they	PP	they
are	VBP	be
they	PP	they
went	VVD	go
to	TO	to
the	DT	the
Souther	JJR	south
hospital	NN	hospital
they	PP	they
stayed	VVD	stay
here	RB	here
in	IN	in
Gaza	NP	Gaza
and	CC	and
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
Gaza	NP	Gaza
a	DT	a
huge	JJ	huge
number	NN	number
of	IN	of
injured	JJ	injured
patients	NNS	patient
with	IN	with
the	DT	the
fracture	NN	fracture
they	PP	they
are	VBP	be
coming	VVG	come
each	DT	each
day	NN	day
to	TO	to
ask	VV	ask
about	IN	about
the	DT	the
Health	NP	Health
Service	NP	Service
about	RB	about
okay	JJ	okay
to	TO	to
the	DT	the
close	NN	close
the	DT	the
shifa	NN	shifa
but	CC	but
tomorrow	NN	tomorrow
we	PP	we
hope	VVP	hope
that	IN/that	that
we'll	NP	we'll
open	VV	open
the	DT	the
emergency	NN	emergency
department	NN	department
and	CC	and
to	TO	to
start	VV	start
to	TO	to
receive	VV	receive
the	DT	the
newcomers	NNS	newcomer
and	CC	and
new	JJ	new
and	CC	and
new	JJ	new
patient	NN	patient
to	TO	to
ship	VV	ship
in	IN	in
terms	NNS	term
of	IN	of
priorities	NNS	priority
as	IN	as
to	TO	to
what	WP	what
you	PP	you
need	VVP	need
right	RB	right
now	RB	now
you've	NNS	you've
been	VBN	be
very	RB	very
clear	JJ	clear
that	IN/that	that
you	PP	you
need	MD	need
fuel	VV	fuel
yes	RB	yes
yeah	RB	yeah
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
what	WP	what
else	RB	else
the	DT	the
top	JJ	top
priority	NN	priority
for	IN	for
us	PP	us
is	VBZ	be
the	DT	the
fuel	NN	fuel
and	CC	and
to	TO	to
repair	VV	repair
the	DT	the
generator	NN	generator
okay	JJ	okay
to	TO	to
maintain	VV	maintain
our	PP$	our
oygen	NN	oygen
generators	NNS	generator
and	CC	and
so	RB	so
on	IN	on
but	CC	but
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
is	VBZ	be
the	DT	the
fuel	NN	fuel
to	TO	to
run	VV	run
the	DT	the
generators	NNS	generator
of	IN	of
the	DT	the
hospital	NN	hospital
without	IN	without
the	DT	the
fuel	NN	fuel
we	PP	we
cannot	MD	can
do	VV	do
anything	NN	anything
really	RB	really
in	IN	in
these	DT	these
hospitals	NNS	hospital
uh	UH	uh
Dr	NP	Dr
abusada	NP	Abusada
just	RB	just
a	DT	a
final	JJ	final
question	NN	question
for	IN	for
you	PP	you
because	IN	because
we	PP	we
know	VVP	know
that	IN/that	that
when	WRB	when
Israel	NP	Israel
besieged	VVD	besiege
the	DT	the
hospital	NN	hospital
and	CC	and
forced	VVD	force
the	DT	the
patients	NNS	patient
to	TO	to
leave	VV	leave
at	IN	at
the	DT	the
time	NN	time
or	CC	or
a	DT	a
few	JJ	few
days	NNS	day
later	RBR	later
it	PP	it
um	RB	um
detained	VVD	detain
some	DT	some
of	IN	of
the	DT	the
medical	JJ	medical
staff	NN	staff
working	VVG	work
there	RB	there
including	VVG	include
the	DT	the
the	DT	the
director	NN	director
of	IN	of
the	DT	the
hospital	NN	hospital
Muhammad	NP	Muhammad
abui	NP	abui
um	NNS	um
can	MD	can
you	PP	you
update	VV	update
us	PP	us
on	IN	on
um	NNS	um
do	VVP	do
you	PP	you
know	VVP	know
anything	NN	anything
about	IN	about
his	PP$	his
status	NN	status
or	CC	or
his	PP$	his
whereabouts	NN	whereabouts
right	NN	right
now	IN	now
uh	UH	uh
still	RB	still
Dr	NP	Dr
Abu	NP	Abu
detention	NN	detention
from	IN	from
the	DT	the
Israeli	JJ	Israeli
side	NN	side
I	PP	I
think	VVP	think
and	CC	and
I	PP	I
think	VVP	think
more	JJR	more
than	IN	than
six	CD	six
doctors	NNS	doctor
still	RB	still
they	PP	they
are	VBP	be
in	IN	in
detention	NN	detention
of	IN	of
the	DT	the
Israeli	JJ	Israeli
side	NN	side
and	CC	and
another	DT	another
okay	JJ	okay
medical	JJ	medical
staff	NN	staff
is	VBZ	be
still	RB	still
there	RB	there
okay	JJ	okay
about	IN	about
the	DT	the
number	NN	number
I	PP	I
don't	VVD	don't
exactly	RB	exactly
know	VV	know
I	PP	I
think	VV	think
about	RB	about
six	CD	six
doctors	NNS	doctor
and	CC	and
other	JJ	other
medical	JJ	medical
staff	NN	staff
still	RB	still
and	CC	and
more	JJR	more
and	CC	and
some	DT	some
of	IN	of
our	PP$	our
people	NNS	people
Palestina	NN	Palestina
who	WP	who
live	VVP	live
in	IN	in
Gaza	NP	Gaza
in	IN	in
their	PP$	their
way	NN	way
to	TO	to
the	DT	the
South	NP	South
they	PP	they
have	VHP	have
beened	VVN	beened
and	CC	and
so	RB	so
on	IN	on
all	DT	all
right	NN	right
thank	VV	thank
you	PP	you
so	IN	so
much	JJ	much
Dr	NP	Dr
Marana	NP	Marana
abusada	NP	Abusada
thank	VVP	thank
you	PP	you
for	IN	for
speaking	VVG	speak
to	TO	to
us	PP	us
on	IN	on
Al	NP	Al
room	NN	room
</doc>	NN	</doc>
