<video_id>3LZ8Yh5Addk</video_id>	JJ	<video_id>3LZ8Yh5Addk</video_id>
we	PP	we
could	MD	could
hear	VV	hear
the	DT	the
pounding	VVG	pound
of	IN	of
air	NN	air
strikes	NNS	strike
around	IN	around
us	PP	us
here	RB	here
while	IN	while
this	DT	this
Hospital	NN	hospital
remains	VVZ	remain
packed	VVN	pack
with	IN	with
thousands	NNS	thousand
of	IN	of
people	NNS	people
who	WP	who
have	VHP	have
come	VVN	come
to	TO	to
take	VV	take
refuge	NN	refuge
in	IN	in
the	DT	the
yards	NNS	yard
of	IN	of
the	DT	the
hospital	NN	hospital
the	DT	the
uh	UH	uh
situation	NN	situation
in	IN	in
the	DT	the
the	DT	the
hospital	NN	hospital
is	VBZ	be
uh	UH	uh
extremely	RB	extremely
uh	UH	uh
difficult	JJ	difficult
uh	UH	uh
people	NNS	people
are	VBP	be
mainly	RB	mainly
struggling	VVG	struggle
to	TO	to
get	VV	get
water	NN	water
drinking	NN	drinking
water	NN	water
in	IN	in
the	DT	the
entire	JJ	entire
strip	NN	strip
has	VHZ	have
been	VBN	be
uh	UH	uh
uh	UH	uh
in	IN	in
continuous	JJ	continuous
shortage	NN	shortage
for	IN	for
the	DT	the
past	JJ	past
few	JJ	few
days	NNS	day
while	IN	while
uh	UH	uh
it	PP	it
keeps	VVZ	keep
on	IN	on
getting	VVG	get
worse	JJR	bad
and	CC	and
worse	JJR	bad
uh	UH	uh
to	TO	to
get	VV	get
water	NN	water
to	TO	to
drink	VV	drink
for	IN	for
many	JJ	many
many	JJ	many
people	NNS	people
here	RB	here
in	IN	in
this	DT	this
area	NN	area
y	NN	y
I	PP	I
understand	VVP	understand
that	IN/that	that
you	PP	you
have	VHP	have
a	DT	a
guest	NN	guest
with	IN	with
you	PP	you
the	DT	the
head	NN	head
of	IN	of
NASA	NP	NASA
hospital's	NNS	hospital's
emergency	NN	emergency
department	NN	department
we'd	NNS	we'd
love	VVP	love
to	TO	to
hear	VV	hear
what	WP	what
he	PP	he
has	VHZ	have
to	TO	to
say	VV	say
and	CC	and
what	WP	what
the	DT	the
conditions	NNS	condition
are	VBP	be
inside	IN	inside
the	DT	the
hospital	NN	hospital
yes	RB	yes
exactly	RB	exactly
so	IN	so
uh	UH	uh
Dr	NP	Dr
Muhammad	NP	Muhammad
kandil	NN	kandil
he	PP	he
is	VBZ	be
the	DT	the
director	NN	director
of	IN	of
Naser	NP	Naser
Hospital	NP	Hospital
director	NN	director
of	IN	of
the	DT	the
emergency	NN	emergency
department	NN	department
in	IN	in
a	DT	a
Naser	NP	Naser
hospital	NN	hospital
and	CC	and
he	PP	he
will	MD	will
tell	VV	tell
us	PP	us
exactly	RB	exactly
how	WRB	how
the	DT	the
situation	NN	situation
inside	IN	inside
the	DT	the
hospital	NN	hospital
is	VBZ	be
yeah	RB	yeah
the	DT	the
situation	NN	situation
is	VBZ	be
catastrophic	JJ	catastrophic
for	IN	for
the	DT	the
last	JJ	last
seven	CD	seven
days	NNS	day
days	NNS	day
we	PP	we
have	VHP	have
a	DT	a
continuous	JJ	continuous
flow	NN	flow
of	IN	of
severely	RB	severely
wounded	VVN	wound
patient	NN	patient
the	DT	the
hospital	NN	hospital
beds	NNS	bed
were	VBD	be
expanded	VVN	expand
many	JJ	many
times	NNS	time
though	IN	though
it's	NNS	it's
fully	RB	fully
backed	VVN	back
now	RB	now
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
if	IN	if
I'm	NP	I'm
talking	VVG	talk
about	IN	about
the	DT	the
last	JJ	last
hour	NN	hour
we	PP	we
received	VVD	receive
around	IN	around
60	CD	@card@
severely	RB	severely
wounded	VVN	wound
patient	NN	patient
means	VVZ	mean
one	CD	one
patient	NN	patient
per	IN	per
minute	NN	minute
and	CC	and
this	DT	this
is	VBZ	be
very	RB	very
catastrophic	JJ	catastrophic
situation	NN	situation
the	DT	the
health	NN	health
system	NN	system
will	MD	will
will	VV	will
yes	RB	yes
Dr	NP	Dr
Muhammad	NP	Muhammad
tell	VV	tell
me	PP	me
about	IN	about
the	DT	the
shortages	NNS	shortage
of	IN	of
medical	JJ	medical
uh	UH	uh
equipment	NN	equipment
and	CC	and
medication	NN	medication
and	CC	and
fuel	VV	fuel
how	WRB	how
is	VBZ	be
the	DT	the
hospital	NN	hospital
running	VVG	run
these	DT	these
hours	NNS	hour
the	DT	the
hospital	NN	hospital
now	RB	now
working	VVG	work
in	IN	in
the	DT	the
last	JJ	last
hours	NNS	hour
I	PP	I
think	VVP	think
if	IN	if
electricity	NN	electricity
is	VBZ	be
still	RB	still
off	IN	off
the	DT	the
hospital	NN	hospital
fuel	NN	fuel
base	NN	base
generator	NN	generator
will	MD	will
be	VB	be
off	IN	off
the	DT	the
hospit	NN	hospit
the	DT	the
whole	JJ	whole
He	NP	He
system	NN	system
will	MD	will
collapse	VV	collapse
we	PP	we
will	MD	will
not	RB	not
if	IN	if
there	EX	there
is	VBZ	be
no	DT	no
electricity	NN	electricity
in	IN	in
the	DT	the
hospital	NN	hospital
we	PP	we
cannot	MD	can
provide	VV	provide
any	DT	any
medical	JJ	medical
services	NNS	service
for	IN	for
our	PP$	our
patients	NNS	patient
the	DT	the
hospital	NN	hospital
will	MD	will
change	VV	change
to	TO	to
Big	JJ	big
grave	NN	grave
for	IN	for
S	NP	S
and	CC	and
now	RB	now
at	IN	at
this	DT	this
moment	NN	moment
there	EX	there
is	VBZ	be
many	JJ	many
part	NN	part
of	IN	of
the	DT	the
hospital	NN	hospital
without	IN	without
water	NN	water
there	EX	there
is	VBZ	be
no	DT	no
water	NN	water
in	IN	in
uh	UH	uh
woman	NN	woman
Hospital	NN	hospital
in	IN	in
Pediatric	JJ	pediatric
Hospital	NN	hospital
there	EX	there
is	VBZ	be
no	DT	no
water	NN	water
and	CC	and
the	DT	the
engineer	NN	engineer
sector	NN	sector
engineering	NN	engineering
sector	NN	sector
trying	VVG	try
to	TO	to
fix	VV	fix
this	DT	this
the	DT	the
disaster	NN	disaster
is	VBZ	be
what	WP	what
because	IN	because
there	EX	there
is	VBZ	be
cut	NN	cut
of	IN	of
water	NN	water
electricity	NN	electricity
for	IN	for
the	DT	the
last	JJ	last
7	CD	@card@
days	NNS	day
and	CC	and
uh	UH	uh
nothing	NN	nothing
come	VVN	come
from	IN	from
outside	IN	outside
there	EX	there
is	VBZ	be
no	DT	no
Medical	NP	Medical
Aid	NP	Aid
no	RB	no
support	VV	support
no	UH	no
uh	UH	uh
Medical	NP	Medical
Teams	NNS	team
came	VVD	come
to	TO	to
help	VV	help
us	PP	us
and	CC	and
the	DT	the
number	NN	number
of	IN	of
patient	NN	patient
is	VBZ	be
very	RB	very
huge	JJ	huge
tell	VV	tell
me	PP	me
about	IN	about
these	DT	these
tents	NNS	tent
that	WDT	that
I	PP	I
see	VVP	see
everywhere	RB	everywhere
in	IN	in
the	DT	the
yards	NNS	yard
of	IN	of
the	DT	the
hospital	NN	hospital
these	DT	these
white	JJ	white
tents	NNS	tent
what	WP	what
are	VBP	be
they	PP	they
and	CC	and
who	WP	who
do	VVP	do
they	PP	they
have	VHP	have
yeah	RB	yeah
because	IN	because
the	DT	the
hospital	NN	hospital
are	VBP	be
fully	RB	fully
backed	VVN	back
the	DT	the
ICU	NP	ICU
bids	NNS	bid
are	VBP	be
fully	RB	fully
backed	VVN	back
destined	VVN	destine
to	TO	to
receive	VV	receive
the	DT	the
patient	NN	patient
in	IN	in
the	DT	the
next	JJ	next
few	JJ	few
hours	NNS	hour
we	PP	we
don't	VVD	don't
have	VH	have
another	DT	another
choice	NN	choice
in	IN	in
previous	JJ	previous
escalation	NN	escalation
we	PP	we
were	VBD	be
used	VVN	use
to	TO	to
send	VV	send
patient	JJ	patient
outside	NN	outside
to	TO	to
near	JJ	near
countries	NNS	country
so	IN	so
this	DT	this
will	MD	will
help	VV	help
little	JJ	little
bit	NN	bit
with	IN	with
the	DT	the
crowening	NN	crowening
this	DT	this
escalation	NN	escalation
the	DT	the
number	NN	number
of	IN	of
wounded	JJ	wounded
patient	NN	patient
are	VBP	be
very	RB	very
very	RB	very
huge	JJ	huge
and	CC	and
the	DT	the
hospital	NN	hospital
cannot	MD	can
compensate	VV	compensate
such	JJ	such
number	NN	number
imagine	VV	imagine
the	DT	the
last	JJ	last
hour	NN	hour
we	PP	we
received	VVD	receive
around	IN	around
60	CD	@card@
severely	RB	severely
wounded	JJ	wounded
patient	NN	patient
most	JJS	most
of	IN	of
them	PP	them
are	VBP	be
children	NNS	child
and	CC	and
woman	NN	woman
I	PP	I
didn't	VVD	didn't
see	VV	see
any	DT	any
adult	NN	adult
male	NN	male
all	RB	all
of	IN	of
them	PP	them
are	VBP	be
kids	NNS	kid
the	DT	the
oldest	JJS	old
was	VBD	be
11	CD	@card@
years	NNS	year
old	JJ	old
I	PP	I
saw	VVD	see
a	DT	a
pregnant	JJ	pregnant
woman	NN	woman
with	IN	with
severe	JJ	severe
injuries	NNS	injury
the	DT	the
heartbreaking	JJ	heartbreaking
points	NNS	point
here	RB	here
today	NN	today
actually	RB	actually
is	VBZ	be
we	PP	we
were	VBD	be
selecting	VVG	select
between	IN	between
patients	NNS	patient
which	WDT	which
one	CD	one
we	PP	we
can	MD	can
help	VV	help
him	PP	him
which	WDT	which
one	CD	one
we	PP	we
cannot	MD	can
help	VV	help
him	PP	him
because	IN	because
we	PP	we
don't	VVD	don't
have	VH	have
uh	UH	uh
enough	RB	enough
BS	NP	BS
in	IN	in
the	DT	the
hospital	NN	hospital
and	CC	and
this	DT	this
is	VBZ	be
very	RB	very
very	JJ	very
uh	UH	uh
sad	JJ	sad
Point	NP	Point
thank	VV	thank
you	PP	you
Dr	NP	Dr
Muhammad	NP	Muhammad
yes	RB	yes
back	RB	back
to	TO	to
you	PP	you
that's	NN	that's
yumna	NN	yumna
aside	RB	aside
reporting	VVG	report
from	IN	from
Han	NP	Han
Yunis	NP	Yunis
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
yumna	NN	yumna
we	PP	we
were	VBD	be
listening	VVG	listen
very	RB	very
intently	RB	intently
to	TO	to
what	WP	what
your	PP$	your
guest	NN	guest
was	VBD	be
saying	VVG	say
and	CC	and
he's	NNS	he's
saying	VVG	say
they	PP	they
already	RB	already
are	VBP	be
in	IN	in
a	DT	a
position	NN	position
where	WRB	where
they	PP	they
have	VHP	have
to	TO	to
select	VV	select
among	IN	among
patients	NNS	patient
those	DT	those
they	PP	they
can	MD	can
treat	VV	treat
and	CC	and
those	DT	those
that	WDT	that
they	PP	they
believe	VVP	believe
they	PP	they
cannot	MD	can
</doc>	NN	</doc>
