<video_id>JAEQFko4w2w</video_id>	NP	<video_id>JAEQFko4w2w</video_id>
stressful	JJ	stressful
for	IN	for
everyone	NN	everyone
the	DT	the
family	NN	family
for	IN	for
my	PP$	my
family	NN	family
not	RB	not
just	RB	just
for	IN	for
my	PP$	my
family	NN	family
for	IN	for
everyone	NN	everyone
for	IN	for
everyone	NN	everyone
in	IN	in
the	DT	the
country	NN	country
the	DT	the
war	NN	war
really	RB	really
has	VHZ	have
affected	VVN	affect
God	NP	God
in	IN	in
a	DT	a
horrible	JJ	horrible
way	NN	way
this	DT	this
homes	NNS	home
have	VHP	have
been	VBN	be
destroyed	VVN	destroy
there	RB	there
people	NNS	people
sleeping	VVG	sleep
on	IN	on
the	DT	the
streets	NNS	street
you	PP	you
can	MD	can
see	VV	see
Rubble	NN	rubble
nearly	RB	nearly
everywhere	RB	everywhere
you	PP	you
go	VVP	go
it's	NNS	it's
really	RB	really
it's	JJ	it's
horrible	JJ	horrible
there's	NNS	there's
fires	NNS	fire
smoke	VVP	smoke
anywhere	RB	anywhere
you	PP	you
look	VVP	look
it's	NNS	it's
sand	VV	sand
everywhere	RB	everywhere
it's	NNS	it's
like	IN	like
a	DT	a
war	NN	war
zone	NN	zone
it	PP	it
is	VBZ	be
a	DT	a
war	NN	war
[Music]	NN	[Music]
zone	NN	zone
maybe	RB	maybe
I	PP	I
can	MD	can
leave	VV	leave
Gaza	NP	Gaza
if	IN	if
if	IN	if
Rafa	NP	Rafa
does	VVZ	do
open	JJ	open
um	NNS	um
then	RB	then
alhamdulillah	NN	alhamdulillah
maybe	RB	maybe
I	PP	I
could	MD	could
leave	VV	leave
because	IN	because
of	IN	of
the	DT	the
bombs	NNS	bomb
clearly	RB	clearly
no	RB	no
one	PP	one
wants	VVZ	want
to	TO	to
die	VV	die
obviously	RB	obviously
everyone	NN	everyone
including	VVG	include
me	PP	me
and	CC	and
my	PP$	my
family	NN	family
we're	NN	we're
all	RB	all
stressed	VVD	stress
out	IN	out
we	PP	we
don't	VVD	don't
know	VV	know
what	WP	what
to	TO	to
do	VV	do
if	IN	if
if	IN	if
raford	NP	raford
doesn't	NP	doesn't
open	VVP	open
we	PP	we
could	MD	could
be	VB	be
in	IN	in
serious	JJ	serious
trouble	NN	trouble
I	PP	I
don't	VVD	don't
I	PP	I
don't	VVD	don't
know	VV	know
what	WP	what
to	TO	to
do	VV	do
uh	UH	uh
I've	NP	I've
been	VBN	be
in	IN	in
this	DT	this
War	NN	war
I	PP	I
don't	VVD	don't
know	VV	know
five	CD	five
six	CD	six
days	NNS	day
now	RB	now
I've	NP	I've
I've	NP	I've
lost	VVD	lose
track	NN	track
of	IN	of
the	DT	the
weeks	NNS	week
really	RB	really
has	VHZ	have
been	VBN	be
so	RB	so
stressful	JJ	stressful
I'm	NN	I'm
going	VVG	go
to	TO	to
say	VV	say
what	WP	what
you	PP	you
have	VHP	have
right	RB	right
now	RB	now
don't	VVD	don't
take	VV	take
advantage	NN	advantage
of	IN	of
it	PP	it
cuz	VVP	cuz
you	PP	you
never	RB	never
know	VVP	know
when	WRB	when
you	PP	you
could	MD	could
lose	VV	lose
</doc>	NN	</doc>
