<video_id>oNBObxiTQd8</video_id>	JJ	<video_id>oNBObxiTQd8</video_id>
and	CC	and
you	PP	you
as	IN	as
Administration	NP	Administration
to	TO	to
reach	VV	reach
and	CC	and
achieve	VV	achieve
a	DT	a
full	JJ	full
and	CC	and
a	DT	a
complete	JJ	complete
ceas	NNS	ceas
fire	NN	fire
okay	NN	okay
so	RB	so
can	MD	can
I	PP	I
just	RB	just
jump	VVP	jump
in	IN	in
there	EX	there
I	PP	I
just	RB	just
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
get	VV	get
an	DT	an
idea	NN	idea
of	IN	of
of	IN	of
what	WP	what
the	DT	the
challenges	NNS	challenge
are	VBP	be
for	IN	for
Distributing	VVG	distribute
Aid	NN	aid
within	IN	within
gazer	NN	gazer
and	CC	and
even	RB	even
if	IN	if
there	EX	there
was	VBD	be
enough	JJ	enough
Aid	NN	aid
getting	VVG	get
in	IN	in
which	WDT	which
is	VBZ	be
clearly	RB	clearly
not	RB	not
the	DT	the
case	NN	case
in	IN	in
any	DT	any
way	NN	way
at	IN	at
the	DT	the
moment	NN	moment
how	WRB	how
does	VVZ	do
Aid	NP	Aid
get	VV	get
around	RP	around
how	WRB	how
do	VVP	do
people	NNS	people
get	VV	get
their	PP$	their
hands	NNS	hand
on	IN	on
it	PP	it
the	DT	the
roads	NNS	road
are	VBP	be
being	VBG	be
blown	VVN	blow
to	TO	to
Pieces	NNS	piece
how	WRB	how
how	WRB	how
does	VVZ	do
how	WRB	how
do	VVP	do
you	PP	you
trans	NNS	trans
if	IN	if
there	EX	there
was	VBD	be
a	DT	a
port	NN	port
how	WRB	how
would	MD	would
you	PP	you
transport	VV	transport
the	DT	the
aid	NN	aid
from	IN	from
the	DT	the
coast	NN	coast
inland	RB	inland
where	WRB	where
it's	NNS	it's
needed	VVD	need
so	IN	so
there	EX	there
is	VBZ	be
many	JJ	many
challenges	VVZ	challenge
the	DT	the
first	JJ	first
challenge	NN	challenge
for	IN	for
delivery	NN	delivery
of	IN	of
a	DT	a
is	VBZ	be
the	DT	the
limited	JJ	limited
quantity	NN	quantity
that	WDT	that
allowed	VVD	allow
to	TO	to
to	TO	to
Gaza	NP	Gaza
now	RB	now
less	JJR	less
than	IN	than
100	CD	@card@
truck	NN	truck
is	VBZ	be
is	VBZ	be
in	IN	in
is	VBZ	be
entered	VVN	enter
Gaza	NP	Gaza
Gaza	NP	Gaza
needs	VVZ	need
now	RB	now
according	VVG	accord
to	TO	to
the	DT	the
estimation	NN	estimation
in	IN	in
Gaza	NP	Gaza
needs	VVZ	need
more	JJR	more
than	IN	than
1,000	CD	@card@
300	CD	@card@
trucks	NNS	truck
each	DT	each
day	NN	day
due	JJ	due
to	TO	to
the	DT	the
increasing	VVG	increase
needs	NNS	need
of	IN	of
the	DT	the
people	NNS	people
this	DT	this
is	VBZ	be
the	DT	the
if	IN	if
we	PP	we
talk	VVP	talk
from	IN	from
a	DT	a
a	DT	a
quantity	NN	quantity
perspective	NN	perspective
we	PP	we
have	VHP	have
also	RB	also
the	DT	the
destruction	NN	destruction
of	IN	of
the	DT	the
roads	NNS	road
ER	UH	er
the	DT	the
lack	NN	lack
of	IN	of
safety	NN	safety
The	DT	the
Continuous	JJ	continuous
pumping	VVG	pump
the	DT	the
communication	NN	communication
blackout	NN	blackout
which	WDT	which
imped	VVD	imp
the	DT	the
coordination	NN	coordination
between	IN	between
local	JJ	local
and	CC	and
a	DT	a
organization	NN	organization
to	TO	to
H	NP	H
coordinate	VV	coordinate
for	IN	for
the	DT	the
delivery	NN	delivery
of	IN	of
Aid	NN	aid
so	IN	so
what	WDT	what
and	CC	and
lack	NN	lack
of	IN	of
fuel	NN	fuel
which	WDT	which
is	VBZ	be
needed	VVN	need
by	IN	by
the	DT	the
a	DT	a
trucks	NNS	truck
and	CC	and
uh	UH	uh
conv	NN	conv
to	TO	to
to	TO	to
to	TO	to
work	VV	work
and	CC	and
to	TO	to
function	VV	function
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
deliver	VV	deliver
air	NN	air
to	TO	to
different	JJ	different
parts	NNS	part
of	IN	of
Gaza	NP	Gaza
there	EX	there
are	VBP	be
many	JJ	many
challenging	VVG	challenge
challenges	NNS	challenge
on	IN	on
the	DT	the
ground	NN	ground
but	CC	but
they	PP	they
can't	NN	can't
be	VB	be
overcome	VVN	overcome
with	IN	with
a	DT	a
ceas	NNS	ceas
fire	NN	fire
and	CC	and
with	IN	with
a	DT	a
half	JJ	half
strong	JJ	strong
decision	NN	decision
to	TO	to
open	VV	open
all	DT	all
Crossing	VVG	cross
Borders	NP	Borders
are	VBP	be
surrounding	VVG	surround
Gaza	NP	Gaza
I	PP	I
mean	VVP	mean
land	NN	land
Crossing	VVG	cross
Borders	NP	Borders
surrounding	VVG	surround
Gaza	NP	Gaza
yeah	RB	yeah
okay	JJ	okay
now	RB	now
there's	RB	there's
huge	JJ	huge
quantities	NNS	quantity
of	IN	of
Aid	NN	aid
outside	NN	outside
of	IN	of
Gaza	NP	Gaza
waiting	VVG	wait
to	TO	to
get	VV	get
in	IN	in
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
to	TO	to
what	WP	what
degree	NN	degree
uh	UH	uh
the	DT	the
Israelis	NPS	Israelis
prevent	VVP	prevent
it	PP	it
from	IN	from
going	VVG	go
in	IN	in
what	WP	what
is	VBZ	be
the	DT	the
process	NN	process
how	WRB	how
do	VVP	do
they	PP	they
stop	VV	stop
it	PP	it
they	PP	they
stop	VVP	stop
it	PP	it
the	DT	the
there's	RB	there's
a	DT	a
a	DT	a
a	DT	a
deliberate	JJ	deliberate
uh	UH	uh
process	NN	process
of	IN	of
hindering	VVG	hinder
the	DT	the
humanitarian	JJ	humanitarian
AIDS	NP	AIDS
there	EX	there
is	VBZ	be
a	DT	a
long	JJ	long
hour	NN	hour
of	IN	of
inspection	NN	inspection
for	IN	for
the	DT	the
aid	NN	aid
trucks	VVZ	truck
and	CC	and
there	EX	there
is	VBZ	be
a	DT	a
limitation	NN	limitation
and	CC	and
restriction	NN	restriction
on	IN	on
specific	JJ	specific
items	NNS	item
that	WDT	that
are	VBP	be
not	RB	not
allowed	VVN	allow
to	TO	to
inter	VV	inter
Gaza	NP	Gaza
like	IN	like
the	DT	the
oxygen	NN	oxygen
cylinders	NNS	cylinder
and	CC	and
some	RB	some
an	DT	an
anesthesia	NN	anesthesia
the	DT	the
and	CC	and
some	DT	some
kind	NN	kind
of	IN	of
vegetables	NNS	vegetable
they	PP	they
are	VBP	be
under	IN	under
the	DT	the
prex	NN	prex
of	IN	of
security	NN	security
reason	NN	reason
so	RB	so
there	RB	there
there	EX	there
should	MD	should
be	VB	be
removal	NN	removal
for	IN	for
all	PDT	all
the	DT	the
restriction	NN	restriction
and	CC	and
limitation	NN	limitation
on	IN	on
the	DT	the
IDS	NP	IDS
and	CC	and
in	IN	in
terms	NNS	term
of	IN	of
quantities	NNS	quantity
and	CC	and
qualities	NNS	quality
and	CC	and
uh	UH	uh
kinds	NNS	kind
and	CC	and
the	DT	the
two	CD	two
cross	NN	cross
two	CD	two
land	NN	land
Crossing	VVG	cross
Borders	NP	Borders
are	VBP	be
not	RB	not
enough	JJ	enough
to	TO	to
deliver	VV	deliver
the	DT	the
huge	JJ	huge
and	CC	and
flows	VVZ	flow
of	IN	of
a	DT	a
humanitarian	JJ	humanitarian
Aid	NN	aid
we	PP	we
need	VVP	need
more	JJR	more
land	NN	land
to	TO	to
more	JJR	more
land	NN	land
Crossing	VVG	cross
B	NP	B
to	TO	to
be	VB	be
open	JJ	open
and	CC	and
we	PP	we
need	VVP	need
there's	RB	there's
a	DT	a
need	NN	need
for	IN	for
the	DT	the
commercial	JJ	commercial
uh	UH	uh
Crossing	VVG	cross
Borders	NP	Borders
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
have	VH	have
more	JJR	more
flows	NNS	flow
of	IN	of
a	DT	a
humanitarian	JJ	humanitarian
Aid	NN	aid
entering	VVG	enter
Gaza	NP	Gaza
there	RB	there
needs	VVZ	need
to	TO	to
be	VB	be
a	DT	a
greater	JJR	great
flow	NN	flow
reham	NP	reham
I'm	NP	I'm
sorry	JJ	sorry
I'm	NN	I'm
just	RB	just
dropping	VVG	drop
in	IN	in
there	RB	there
because	IN	because
we	PP	we
need	VVP	need
to	TO	to
move	VV	move
on	RP	on
but	CC	but
we	PP	we
do	VVP	do
appreciate	VV	appreciate
uh	UH	uh
your	PP$	your
contribution	NN	contribution
to	TO	to
the	DT	the
program	NN	program
reham	NP	reham
Jafari	NP	Jafari
there	RB	there
from	IN	from
action	NN	action
a	DT	a
thank	VVP	thank
you	PP	you
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
