<video_id>T5XvWdoQvB8</video_id>	JJ	<video_id>T5XvWdoQvB8</video_id>
there	EX	there
are	VBP	be
a	DT	a
a	DT	a
a	DT	a
redeployment	NN	redeployment
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	NN	military
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
G	NP	G
namely	RB	namely
we're	NN	we're
talking	VVG	talk
about	IN	about
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
B	NP	B
hanon	NN	hanon
city	NN	city
as	RB	as
well	RB	well
as	IN	as
b	NN	b
l	NN	l
and	CC	and
pushing	VVG	push
deeper	RBR	deeper
in	IN	in
the	DT	the
vicinity	NN	vicinity
of	IN	of
jabalia	NN	jabalia
town	NN	town
uh	UH	uh
right	RB	right
now	RB	now
as	IN	as
we	PP	we
we	PP	we
speak	VVP	speak
but	CC	but
there	EX	there
was	VBD	be
a	DT	a
an	DT	an
air	NN	air
strike	NN	strike
on	IN	on
a	DT	a
evacuation	NN	evacuation
Center	NN	center
at	IN	at
the	DT	the
durj	NN	durj
neighborhood	NN	neighborhood
the	DT	the
dur	NN	dur
neighborhood	NN	neighborhood
is	VBZ	be
at	IN	at
the	DT	the
Eastern	JJ	eastern
side	NN	side
of	IN	of
Gaza	NP	Gaza
City	NP	City
and	CC	and
very	RB	very
close	VV	close
to	TO	to
a	DT	a
t	NN	t
neighborhood	NN	neighborhood
these	DT	these
are	VBP	be
the	DT	the
Eastern	JJ	eastern
uh	UH	uh
neighborhoods	NNS	neighborhood
of	IN	of
Gaza	NP	Gaza
City	NP	City
there	RB	there
was	VBD	be
also	RB	also
another	DT	another
air	NN	air
strikes	VVZ	strike
on	IN	on
a	DT	a
residential	JJ	residential
homes	NNS	home
in	IN	in
one	CD	one
of	IN	of
the	DT	the
major	JJ	major
roads	NNS	road
that	WDT	that
are	VBP	be
connecting	VVG	connect
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
City	NP	City
with	IN	with
its	PP$	its
Southern	JJ	Southern
neighborhoods	NNS	neighborhood
and	CC	and
better	RBR	well
known	VVN	know
as	IN	as
a	DT	a
nafak	NN	nafak
road	NN	road
and	CC	and
a	DT	a
residential	JJ	residential
home	NN	home
belongs	VVZ	belong
to	TO	to
one	CD	one
of	IN	of
the	DT	the
families	NNS	family
there	RB	there
that	WDT	that
was	VBD	be
Sheltering	VVG	shelter
along	RP	along
with	IN	with
their	PP$	their
relatives	NNS	relative
and	CC	and
in-laws	NNS	in-law
inside	IN	inside
the	DT	the
building	NN	building
that	WDT	that
was	VBD	be
targeted	VVN	target
by	IN	by
a	DT	a
massive	JJ	massive
air	NN	air
strike	VVP	strike
there	RB	there
report	VV	report
about	RB	about
four	CD	four
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
now	RB	now
the	DT	the
the	DT	the
concern	NN	concern
is	VBZ	be
uh	UH	uh
of	IN	of
of	IN	of
people	NNS	people
who	WP	who
are	VBP	be
still	RB	still
under	IN	under
the	DT	the
rebels	NNS	rebel
we're	NN	we're
talking	VVG	talk
about	IN	about
an	DT	an
area	NN	area
that	WDT	that
has	VHZ	have
been	VBN	be
largely	RB	largely
destroyed	VVN	destroy
there	EX	there
are	VBP	be
no	DT	no
civil	JJ	civil
defense	NN	defense
crew	NN	crew
on	IN	on
the	DT	the
ground	JJ	ground
uh	UH	uh
there	EX	there
are	VBP	be
no	DT	no
hospitals	NNS	hospital
functioning	VVG	function
whatsoever	RB	whatsoever
so	IN	so
any	DT	any
injury	NN	injury
or	CC	or
anyone	NN	anyone
reported	VVD	report
killed	VVN	kill
the	DT	the
likelihood	NN	likelihood
of	IN	of
be	VB	be
of	IN	of
of	IN	of
of	IN	of
getting	VVG	get
them	PP	them
from	IN	from
under	IN	under
the	DT	the
rubbles	NNS	rubble
or	CC	or
staying	VVG	stay
uh	UH	uh
there	RB	there
in	IN	in
that	DT	that
targeted	JJ	targeted
area	NN	area
is	VBZ	be
very	RB	very
very	RB	very
high	RB	high
given	VVN	give
that	IN/that	that
there	EX	there
are	VBP	be
no	DT	no
uh	UH	uh
help	VV	help
available	JJ	available
whatsoever	RB	whatsoever
in	IN	in
overnight	JJ	overnight
air	NN	air
strikes	NNS	strike
here	RB	here
in	IN	in
RAF	NN	RAF
about	IN	about
12	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
in	IN	in
a	DT	a
resid	JJ	resid
IAL	JJ	IAL
home	NN	home
and	CC	and
the	DT	the
sad	JJ	sad
part	NN	part
about	IN	about
this	DT	this
is	VBZ	be
this	DT	this
family	NN	family
is	VBZ	be
internally	RB	internally
displaced	VVN	displace
family	NN	family
coming	VVG	come
all	PDT	all
the	DT	the
way	NN	way
from	IN	from
the	DT	the
northern	JJ	northern
part	NN	part
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
central	JJ	central
area	NN	area
kanun	NN	kanun
ended	VVD	end
up	RP	up
in	IN	in
RAF	NN	RAF
City	NN	city
within	IN	within
the	DT	the
past	JJ	past
two	CD	two
weeks	NNS	week
as	IN	as
area	NN	area
bombardment	NN	bombardment
became	VVD	become
more	RBR	more
intense	JJ	intense
than	IN	than
kanun	NN	kanun
they	PP	they
ended	VVD	end
up	RP	up
in	IN	in
RAF	NN	RAF
City	NN	city
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
in	IN	in
Mirage	NP	Mirage
area	NN	area
in	IN	in
a	DT	a
residential	JJ	residential
home	NN	home
it	PP	it
was	VBD	be
targeted	VVN	target
the	DT	the
12	CD	@card@
people	NNS	people
five	CD	five
of	IN	of
them	PP	them
belong	VVP	belong
to	TO	to
one	CD	one
family	NN	family
we	PP	we
talk	VVP	talk
about	IN	about
father	NN	father
mother	NN	mother
and	CC	and
their	PP$	their
children	NNS	child
were	VBD	be
killed	VVN	kill
in	IN	in
in	IN	in
that	DT	that
air	NN	air
strike	NN	strike
in	IN	in
Khan	NP	Khan
Unice	NP	Unice
once	RB	once
again	RB	again
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
air	NN	air
strikes	NNS	strike
targeting	VVG	target
in	IN	in
discriminately	RB	discriminately
residential	JJ	residential
homes	NNS	home
the	DT	the
Israel	NP	Israel
military	NN	military
say	VVP	say
in	IN	in
a	DT	a
statement	NN	statement
it	PP	it
was	VBD	be
targeted	VVN	target
infrastructure	NN	infrastructure
but	CC	but
as	RB	as
of	IN	of
early	JJ	early
hours	NNS	hour
of	IN	of
this	DT	this
morning	NN	morning
we're	NN	we're
seeing	VVG	see
more	JJR	more
of	IN	of
the	DT	the
residential	JJ	residential
homes	NNS	home
that	WDT	that
were	VBD	be
that	RB	that
housed	VVN	house
many	JJ	many
internally	RB	internally
displaced	VVN	displace
Palestinians	NPS	Palestinians
many	JJ	many
civilians	NNS	civilian
many	JJ	many
women	NNS	woman
and	CC	and
children	NNS	child
are	VBP	be
dying	VVG	die
honey	NN	honey
can	MD	can
you	PP	you
describe	VV	describe
the	DT	the
the	DT	the
situation	NN	situation
there	RB	there
for	IN	for
us	PP	us
on	IN	on
the	DT	the
ground	NN	ground
we've	NN	we've
heard	VVN	hear
from	IN	from
so	RB	so
many	JJ	many
Aid	NN	aid
agencies	NNS	agency
too	RB	too
that	RB	that
that	IN/that	that
the	DT	the
level	NN	level
of	IN	of
hunger	NN	hunger
is	VBZ	be
profound	JJ	profound
yes	RB	yes
indeed	RB	indeed
and	CC	and
as	RB	as
of	IN	of
now	RB	now
there	EX	there
are	VBP	be
more	RBR	more
concerning	JJ	concerning
and	CC	and
devastating	JJ	devastating
reports	NNS	report
of	IN	of
people	NNS	people
are	VBP	be
are	NN	are
for	IN	for
real	JJ	real
hungry	JJ	hungry
they	PP	they
they	PP	they
lack	VVP	lack
Food	NN	food
Supplies	NNS	supply
and	CC	and
water	NN	water
supply	NN	supply
most	JJS	most
of	IN	of
the	DT	the
water	NN	water
supply	VV	supply
uh	UH	uh
available	JJ	available
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
and	NP	and
Gaza	NP	Gaza
is	VBZ	be
contaminated	JJ	contaminated
which	WDT	which
increases	VVZ	increase
uh	UH	uh
the	DT	the
level	NN	level
and	CC	and
the	DT	the
risk	NN	risk
of	IN	of
of	IN	of
con	JJ	con
Contracting	NP	Contracting
infectious	JJ	infectious
diseases	NNS	disease
among	IN	among
vulnerable	JJ	vulnerable
groups	NNS	group
children	NNS	child
and	CC	and
women	NNS	woman
and	CC	and
those	DT	those
with	IN	with
critical	JJ	critical
health	NN	health
conditions	NNS	condition
or	CC	or
chronic	JJ	chronic
uh	UH	uh
diseases	NNS	disease
but	CC	but
as	RB	as
of	IN	of
a	DT	a
a	DT	a
famine	NN	famine
the	DT	the
the	DT	the
reports	NNS	report
about	IN	about
a	DT	a
the	DT	the
threat	NN	threat
and	CC	and
a	DT	a
warning	NN	warning
by	IN	by
a	DT	a
topu	NN	topu
official	NN	official
about	IN	about
famine	NN	famine
is	VBZ	be
is	VBZ	be
imminent	JJ	imminent
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
we	PP	we
actually	RB	actually
started	VVD	start
to	TO	to
see	VV	see
that	IN/that	that
happening	VVG	happen
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
and	CC	and
Gaza	NP	Gaza
City	NP	City
we're	NN	we're
talking	VVG	talk
about	IN	about
an	DT	an
area	NN	area
that	WDT	that
has	VHZ	have
been	VBN	be
largely	RB	largely
destroyed	VVN	destroy
all	DT	all
infrastructure	NN	infrastructure
all	DT	all
hygiene	NN	hygiene
facilities	NNS	facility
as	RB	as
well	RB	well
as	IN	as
a	DT	a
more	JJR	more
than	IN	than
60%	CD	@card@
of	IN	of
its	PP$	its
residential	JJ	residential
homes	NNS	home
are	VBP	be
destroyed	VVN	destroy
what	WP	what
people	NNS	people
end	VVP	end
up	RP	up
doing	VVG	do
are	NN	are
are	VBP	be
concentrated	VVN	concentrate
in	IN	in
the	DT	the
remaining	VVG	remain
uh	UH	uh
buildings	NNS	building
that	WDT	that
have	VHP	have
not	RB	not
been	VBN	be
bombed	VVN	bomb
or	CC	or
they	PP	they
are	VBP	be
they	PP	they
have	VHP	have
been	VBN	be
uh	UH	uh
severely	RB	severely
damaged	VVN	damage
but	CC	but
the	DT	the
still	RB	still
they	PP	they
can	MD	can
stay	VV	stay
in	IN	in
them	PP	them
and	CC	and
evacuation	NN	evacuation
centers	NNS	center
we're	NN	we're
talking	VVG	talk
about	IN	about
a	DT	a
honorous	JJ	honorous
school	NN	school
United	NP	United
Nations	NPS	Nations
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
designated	VVD	designate
its	PP$	its
schools	NNS	school
and	CC	and
education	NN	education
centers	NNS	center
and	CC	and
turned	VVD	turn
them	PP	them
into	IN	into
evacuation	NN	evacuation
centers	NNS	center
for	IN	for
internally	RB	internally
displaced	VVN	displace
Palestinians	NPS	Palestinians
but	CC	but
the	DT	the
fact	NN	fact
that	IN/that	that
you	PP	you
have	VHP	have
overcrowded	VVN	overcrowd
areas	NNS	area
like	IN	like
these	DT	these
evacuation	NN	evacuation
centers	NNS	center
or	CC	or
remaining	VVG	remain
residential	JJ	residential
homes	NNS	home
with	IN	with
severe	JJ	severe
shortage	NN	shortage
of	IN	of
resources	NNS	resource
is	VBZ	be
just	RB	just
an	DT	an
indication	NN	indication
of	IN	of
how	WRB	how
hungry	JJ	hungry
people	NNS	people
feel	VVP	feel
they	PP	they
are	VBP	be
hungry	JJ	hungry
now	RB	now
they're	JJ	they're
largely	RB	largely
unsafe	JJ	unsafe
and	CC	and
we've	NN	we've
seen	VVN	see
within	IN	within
the	DT	the
past	JJ	past
two	CD	two
days	NNS	day
that	DT	that
couple	NN	couple
of	IN	of
trucks	NNS	truck
were	VBD	be
on	IN	on
their	PP$	their
way	NN	way
on	IN	on
Gaza	NP	Gaza
on	IN	on
the	DT	the
coasta	NN	coasta
road	NN	road
and	CC	and
people	NNS	people
storm	VVP	storm
these	DT	these
trucks	NNS	truck
not	RB	not
because	IN	because
they	PP	they
want	VVP	want
to	TO	to
steal	VV	steal
it	PP	it
but	CC	but
because	IN	because
they	PP	they
were	VBD	be
really	RB	really
hungry	JJ	hungry
and	CC	and
they	PP	they
want	VVP	want
something	NN	something
to	TO	to
keep	VV	keep
them	PP	them
alive	JJ	alive
in	IN	in
that	DT	that
in	IN	in
that	DT	that
area	NN	area
that	IN/that	that
experience	NN	experience
hard	JJ	hard
living	NN	living
conditions	NNS	condition
H	NP	H
Mahmud	NP	Mahmud
there	RB	there
for	IN	for
us	PP	us
with	IN	with
the	DT	the
latest	JJS	late
from	IN	from
Rafa	NP	Rafa
and	CC	and
Southern	NP	Southern
Gaza	NP	Gaza
thank	VVP	thank
you	PP	you
honey	NN	honey
</doc>	NN	</doc>
