first	RB	first
not	RB	not
months	NNS	month
in	IN	in
fact	NN	fact
ever	RB	ever
since	IN	since
that	DT	that
Fallout	NN	fallout
between	IN	between
uh	UH	uh
President	NP	President
Biden	NP	Biden
and	CC	and
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
back	RB	back
in	IN	in
February	NP	February
it	PP	it
was	VBD	be
clear	JJ	clear
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
was	VBD	be
not	RB	not
looking	VVG	look
favorably	RB	favorably
at	IN	at
the	DT	the
war	NN	war
while	IN	while
continuously	RB	continuously
supporting	VVG	support
um	NNS	um
the	DT	the
war	NN	war
um	NN	um
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
clear	JJ	clear
for	IN	for
uh	UH	uh
Americans	NPS	Americans
including	VVG	include
the	DT	the
American	JJ	American
establishment	NN	establishment
that	IN/that	that
there	EX	there
is	VBZ	be
no	RB	no
ending	VVG	end
of	IN	of
Hamas	NN	Hamas
I	PP	I
think	VVP	think
um	NN	um
there	RB	there
'	POS	'
s	NN	S
also	RB	also
becoming	VVG	become
clear	JJ	clear
that	IN/that	that
the	DT	the
day	NN	day
after	RB	after
will	MD	will
be	VB	be
perhaps	RB	perhaps
an	DT	an
Insurgency	NN	insurgency
in	IN	in
Gaza	NP	Gaza
or	CC	or
a	DT	a
no	DT	no
man	NN	man
'	POS	'
s	NN	S
land	NN	land
which	WDT	which
will	MD	will
eventually	RB	eventually
produce	VV	produce
an	DT	an
Insurgency	NN	insurgency
of	IN	of
sort	NN	sort
or	CC	or
chaos	NN	chaos
and	CC	and
so	RB	so
on	IN	on
so	RB	so
whatever	WDT	whatever
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
looking	VVG	look
to	TO	to
do	VV	do
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
not	RB	not
working	VVG	work
and	CC	and
whatever	WDT	whatever
they	PP	they
think	VVP	think
of	IN	of
as	IN	as
a	DT	a
day	NN	day
after	IN	after
it	PP	it
'	POS	'
s	NN	S
not	RB	not
working	VVG	work
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
with	IN	with
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
distance	NN	distance
with	IN	with
a	DT	a
bit	NN	bit
of	IN	of
experience	NN	experience
a	DT	a
bit	NN	bit
of	IN	of
history	NN	history
is	VBZ	be
able	JJ	able
to	TO	to
advise	VV	advise
Israel	NP	Israel
about	IN	about
why	WRB	why
they	PP	they
needed	VVD	need
to	TO	to
wind	VV	wind
this	DT	this
war	NN	war
down	IN	down
several	JJ	several
weeks	NNS	week
if	IN	if
not	RB	not
months	NNS	month
ago	RB	ago
and	CC	and
why	WRB	why
they	PP	they
need	VVP	need
to	TO	to
accept	VV	accept
the	DT	the
ceasefire	NN	ceasefire
and	CC	and
why	WRB	why
they	PP	they
need	VVP	need
to	TO	to
start	VV	start
thinking	VVG	think
about	IN	about
the	DT	the
day	NN	day
after	IN	after
and	CC	and
why	WRB	why
they	PP	they
need	VVP	need
not	RB	not
anger	VV	anger
Arab	JJ	Arab
neighbors	NNS	neighbor
and	CC	and
so	RB	so
on	RB	on
and	CC	and
so	RB	so
forth	RB	forth
well	RB	well
it	PP	it
still	RB	still
certainly	RB	certainly
sounds	VVZ	sound
like	IN	like
the	DT	the
has	VHZ	have
Faith	NP	Faith
or	CC	or
or	CC	or
certainly	RB	certainly
is	VBZ	be
committed	VVN	commit
to	TO	to
the	DT	the
negotiations	NNS	negotiation
around	IN	around
a	DT	a
ceasefire	NN	ceasefire
what	WP	what
'	''	'
s	VVG	s
your	PP$	your
reading	NN	reading
of	IN	of
of	IN	of
how	WRB	how
that	DT	that
'	''	'
s	NNS	s
going	VVG	go
given	VVN	give
what	WP	what
we	PP	we
'	POS	'
re	NN	re
seeing	VVG	see
now	RB	now
in	IN	in
Rafa	NP	Rafa
it	PP	it
'	POS	'
s	NN	S
not	RB	not
going	VVG	go
but	CC	but
certain	JJ	certain
not	RB	not
going	VVG	go
anywhere	RB	anywhere
and	CC	and
clearly	RB	clearly
from	IN	from
what	WP	what
secretary	NN	secretary
blinkin	NN	blinkin
has	VHZ	have
said	VVN	say
it	PP	it
'	POS	'
s	NNS	s
like	VVP	like
as	RB	as
if	IN	if
there	EX	there
there	RB	there
are	VBP	be
no	DT	no
talks	NNS	talk
because	IN	because
he	PP	he
keeps	VVZ	keep
talking	VVG	talk
about	IN	about
Hamas	NNS	Hamas
giving	VVG	give
up	RP	up
the	DT	the
captives	NNS	captive
if	IN	if
this	DT	this
there	RB	there
is	VBZ	be
no	DT	no
deal	NN	deal
that	WDT	that
was	VBD	be
almost	RB	almost
signed	VVN	sign
if	IN	if
it	PP	it
weren	NNS	weren
'	POS	'
t	NN	t
for	IN	for
uh	UH	uh
Israeli	JJ	Israeli
rejection	NN	rejection
and	CC	and
eventually	RB	eventually
uh	UH	uh
blinking	VVG	blink
blessing	NN	blessing
of	IN	of
Israeli	JJ	Israeli
rejection	NN	rejection
and	CC	and
hence	RB	hence
once	RB	once
again	RB	again
we	PP	we
go	VVP	go
back	RB	back
to	TO	to
negotiat	NN	negotiat
look	NN	look
in	IN	in
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
there	RB	there
'	POS	'
s	JJ	s
something	NN	something
about	IN	about
blink	NN	blink
'	POS	'
s	JJ	s
approach	NN	approach
to	TO	to
this	DT	this
issue	NN	issue
which	WDT	which
I	PP	I
think	VVP	think
sometimes	RB	sometimes
could	MD	could
be	VB	be
Nuance	NN	nuance
with	IN	with
what	WP	what
Biden	NP	Biden
says	VVZ	say
Biden	NP	Biden
as	IN	as
the	DT	the
president	NN	president
apparently	RB	apparently
he	PP	he
has	VHZ	have
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
leeway	NN	leeway
he	PP	he
can	MD	can
sometimes	RB	sometimes
talk	VV	talk
in	IN	in
more	JJR	more
cander	NN	cander
he	PP	he
is	VBZ	be
kind	NN	kind
of	IN	of
older	JJR	old
sometimes	RB	sometimes
words	NNS	word
slip	VVP	slip
like	IN	like
indiscriminate	JJ	indiscriminate
Israel	NP	Israel
indiscriminately	RB	indiscriminately
bombs	VVZ	bomb
Gaza	NP	Gaza
right	NN	right
or	CC	or
it	PP	it
cannot	MD	can
there	RB	there
is	VBZ	be
a	DT	a
red	JJ	red
line	NN	line
now	RB	now
this	DT	this
is	VBZ	be
interesting	JJ	interesting
again	RB	again
Biden	NP	Biden
says	VVZ	say
Red	NP	Red
Line	NP	Line
linoln	NP	linoln
says	VVZ	say
what	WP	what
we	PP	we
don	VVP	don
'	''	'
t	NN	t
do	VVP	do
we	PP	we
don	VV	don
'	''	'
t	NN	t
have	VHP	have
red	JJ	red
lines	NNS	line
for	IN	for
Israel	NP	Israel
I	PP	I
think	VVP	think
that	WDT	that
says	VVZ	say
a	DT	a
lot	NN	lot
about	IN	about
his	PP$	his
psyche	NN	psyche
I	PP	I
think	VVP	think
every	DT	every
time	NN	time
anyone	NN	anyone
says	VVZ	say
red	JJ	red
blink	NN	blink
sees	VVZ	see
orange	JJ	orange
or	CC	or
yellow	JJ	yellow
or	CC	or
green	JJ	green
or	CC	or
something	NN	something
right	NN	right
he	PP	he
he	PP	he
doesn	NP	doesn
'	POS	'
t	NN	t
see	VVP	see
that	IN/that	that
there	EX	there
could	MD	could
be	VB	be
uh	UH	uh
red	JJ	red
lines	NNS	line
for	IN	for
Israel	NP	Israel
he	PP	he
doesn	NP	doesn
'	POS	'
t	NN	t
right	NN	right
and	CC	and
second	VV	second
he	PP	he
doesn	NN	doesn
'	POS	'
t	NN	t
see	VVP	see
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
any	DT	any
double	JJ	double
standards	NNS	standard
with	IN	with
Israel	NP	Israel
he	PP	he
sees	VVZ	see
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
only	RB	only
one	CD	one
Israeli	JJ	Israeli
standard	NN	standard
that	RB	that
'	POS	'
s	NN	S
the	DT	the
American	JJ	American
Standard	NP	Standard
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
Gaza	NP	Gaza
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
in	IN	in
the	DT	the
report	NN	report
when	WRB	when
they	PP	they
talk	VVP	talk
about	IN	about
the	DT	the
the	DT	the
in	IN	in
idents	NNS	idents
not	RB	not
the	DT	the
patterns	NNS	pattern
not	RB	not
the	DT	the
patterns	NNS	pattern
of	IN	of
human	JJ	human
rights	NNS	right
violations	NNS	violation
of	IN	of
war	NN	war
crimes	NNS	crime
of	IN	of
unraveling	NN	unraveling
genocide	NN	genocide
when	WRB	when
he	PP	he
talks	VVZ	talk
about	IN	about
incident	NN	incident
he	PP	he
talks	VVZ	talk
but	CC	but
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
investigating	VVG	investigate
it	PP	it
hence	RB	hence
what	WP	what
why	WRB	why
should	MD	should
we	PP	we
you	PP	you
know	VVP	know
intervene	VV	intervene
when	WRB	when
the	DT	the
Israelis	NPS	Israelis
themselves	PP	themselves
AR	NP	Ar
doing	VVG	do
it	PP	it
as	IN	as
if	IN	if
the	DT	the
Israeli	JJ	Israeli
standards	NNS	standard
of	IN	of
investigating	VVG	investigate
themselves	PP	themselves
and	CC	and
their	PP$	their
own	JJ	own
crimes	NNS	crime
is	VBZ	be
good	JJ	good
enough	RB	enough
for	IN	for
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
continue	VV	continue
to	TO	to
supply	VV	supply
2	CD	@card@
,	,	,
000	CD	@card@
weapons	NNS	weapon
which	WDT	which
they	PP	they
are	VBP	be
still	RB	still
reviewing	VVG	review
and	CC	and
considering	VVG	consider
doing	VVG	do
M	NP	M
Bashar	NP	Bashar
will	NN	will
'	POS	'
ll	NNS	ll
leave	VVP	leave
it	PP	it
there	RB	there
for	IN	for
now	RB	now
thank	VV	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
again	RB	again
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
