<video_id>qcwXz7FTXHA</video_id>	JJ	<video_id>qcwXz7FTXHA</video_id>
because	IN	because
these	DT	these
are	VBP	be
very	RB	very
densely	RB	densely
populated	VVN	populate
area	NN	area
there's	RB	there's
also	RB	also
difficulty	NN	difficulty
on	IN	on
the	DT	the
ground	NN	ground
for	IN	for
the	DT	the
the	DT	the
civil	JJ	civil
defense	NN	defense
crew	VV	crew
uh	UH	uh
to	TO	to
uh	UH	uh
uh	UH	uh
to	TO	to
rescue	VV	rescue
people	NNS	people
in	IN	in
addition	NN	addition
the	DT	the
civil	JJ	civil
defense	NN	defense
crew	NN	crew
are	VBP	be
being	VBG	be
targeted	VVN	target
which	WDT	which
hindered	VVD	hinder
their	PP$	their
effort	NN	effort
of	IN	of
of	IN	of
helping	VVG	help
and	CC	and
rescuing	VVG	rescue
Survivor	NN	survivor
it	PP	it
impedes	VVZ	impede
their	PP$	their
work	NN	work
and	CC	and
imped	VVD	imp
it	PP	it
by	IN	by
hours	NNS	hour
it	PP	it
so	IN	so
it	PP	it
takes	VVZ	take
time	NN	time
for	IN	for
those	DT	those
Rescue	NN	rescue
Team	NN	team
to	TO	to
get	VV	get
to	TO	to
the	DT	the
site	NN	site
and	CC	and
start	VV	start
helping	VVG	help
those	DT	those
who	WP	who
might	MD	might
have	VH	have
survived	VVN	survive
the	DT	the
the	DT	the
bombings	NNS	bombing
you	PP	you
hany	NP	hany
we're	NN	we're
seeing	NN	seeing
pictures	VVZ	picture
uh	UH	uh
of	IN	of
massive	JJ	massive
clouds	NNS	cloud
of	IN	of
smoke	NN	smoke
that	WDT	that
are	VBP	be
just	RB	just
engulfing	VVG	engulf
an	DT	an
entire	JJ	entire
neighborhood	NN	neighborhood
of	IN	of
uh	UH	uh
the	DT	the
jabala	NN	jabala
refugee	NN	refugee
camp	NN	camp
as	IN	as
we	PP	we
watch	VVP	watch
this	DT	this
and	CC	and
we	PP	we
try	VVP	try
to	TO	to
take	VV	take
this	DT	this
in	RB	in
and	CC	and
what	WP	what
has	VHZ	have
just	RB	just
just	RB	just
happened	VVN	happen
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
about	IN	about
the	DT	the
camp	NN	camp
and	CC	and
okay	JJ	okay
hold	NN	hold
on	IN	on
honey	NN	honey
we	PP	we
can	MD	can
now	RB	now
listen	VV	listen
to	TO	to
our	PP$	our
correspondent	NN	correspondent
inj	NN	inj
we're	NN	we're
listening	VVG	listen
to	TO	to
what	WP	what
he's	NNS	he's
saying	VVG	say
this	DT	this
is	VBZ	be
yet	RB	yet
another	DT	another
Massacre	NN	massacre
perpetrated	VVN	perpetrate
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	VVZ	force
a	DT	a
an	DT	an
entire	JJ	entire
residential	JJ	residential
block	NN	block
was	VBD	be
leveled	VVN	level
to	TO	to
the	DT	the
ground	NN	ground
it	PP	it
was	VBD	be
leveled	VVN	level
to	TO	to
the	DT	the
ground	NN	ground
while	IN	while
many	JJ	many
were	VBD	be
inside	RB	inside
as	IN	as
you	PP	you
can	MD	can
see	VV	see
the	DT	the
magnitude	NN	magnitude
of	IN	of
Destruction	NN	destruction
the	DT	the
scale	NN	scale
of	IN	of
Destruction	NN	destruction
is	VBZ	be
beyond	IN	beyond
description	NN	description
oh	UH	oh
my	PP$	my
God	NP	God
the	DT	the
scale	NN	scale
of	IN	of
Destruction	NN	destruction
is	VBZ	be
description	NN	description
one	CD	one
person	NN	person
here	RB	here
this	DT	this
is	VBZ	be
yet	RB	yet
another	DT	another
Massacre	NN	massacre
committed	VVN	commit
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
against	IN	against
innocent	JJ	innocent
civilians	NNS	civilian
this	DT	this
is	VBZ	be
a	DT	a
totally	RB	totally
residential	JJ	residential
area	NN	area
the	DT	the
residential	JJ	residential
block	NN	block
was	VBD	be
surounded	VVN	surounded
by	IN	by
missiles	NNS	missile
without	IN	without
any	DT	any
warning	NN	warning
residents	NNS	resident
and	CC	and
neighbors	NNS	neighbor
are	VBP	be
using	VVG	use
their	PP$	their
bare	JJ	bare
hands	NNS	hand
to	TO	to
dig	VV	dig
this	DT	this
concrete	JJ	concrete
trouble	NN	trouble
here	RB	here
is	VBZ	be
another	DT	another
person	NN	person
uncle	NN	uncle
we	PP	we
can	MD	can
hear	VV	hear
voices	NNS	voice
from	IN	from
under	IN	under
the	DT	the
debris	NN	debris
residents	NNS	resident
and	CC	and
neighbors	NNS	neighbor
are	VBP	be
trying	VVG	try
to	TO	to
dig	VV	dig
out	RP	out
and	CC	and
rescue	VV	rescue
civilians	NNS	civilian
from	IN	from
under	IN	under
the	DT	the
rubble	NN	rubble
God	NP	God
here	RB	here
is	VBZ	be
a	DT	a
baby	NN	baby
Torn	NP	Torn
to	TO	to
Pieces	NNS	piece
very	RB	very
painful	JJ	painful
scenes	NNS	scene
and	CC	and
entire	JJ	entire
the	DT	the
whole	JJ	whole
baby	NN	baby
is	VBZ	be
Torn	NP	Torn
to	TO	to
Pieces	NP	Pieces
large	JJ	large
number	NN	number
of	IN	of
persons	NNS	person
killed	VVD	kill
others	NNS	other
missing	VVG	miss
hundreds	NNS	hundred
under	IN	under
these	DT	these
rubbles	NNS	rubble
the	DT	the
extent	NN	extent
of	IN	of
damage	NN	damage
is	VBZ	be
massive	JJ	massive
where	WRB	where
is	VBZ	be
where	WRB	where
is	VBZ	be
my	PP$	my
father	NN	father
where	WRB	where
is	VBZ	be
your	PP$	your
brother	NN	brother
children	NNS	child
are	VBP	be
looking	VVG	look
for	IN	for
their	PP$	their
family	NN	family
their	PP$	their
[Music]	NN	[Music]
killed	VVD	kill
he's	NNS	he's
still	RB	still
breathing	VVG	breathe
give	VV	give
him	PP	him
a	DT	a
hand	NN	hand
he	PP	he
is	VBZ	be
still	RB	still
breathing	VVG	breathe
another	DT	another
victim	NN	victim
being	VBG	be
pulled	VVN	pull
debris	NN	debris
here	RB	here
is	VBZ	be
another	DT	another
baby	NN	baby
with	IN	with
his	PP$	his
limbs	NNS	limb
severed	VVD	sever
most	JJS	most
of	IN	of
the	DT	the
victims	NNS	victim
are	VBP	be
children	NNS	child
in	IN	in
this	DT	this
building	NN	building
what	WP	what
crime	NN	crime
have	VHP	have
these	DT	these
children	NNS	child
committed	VVN	commit
what	WP	what
sin	VVP	sin
have	VH	have
they	PP	they
made	VVN	make
look	NN	look
at	IN	at
us	PP	us
the	DT	the
whole	JJ	whole
world	NN	world
is	VBZ	be
sitting	VVG	sit
and	CC	and
watching	VVG	watch
oh	UH	oh
my	PP$	my
God	NP	God
all	PDT	all
my	PP$	my
children	NNS	child
were	VBD	be
killed	VVN	kill
they	PP	they
have	VHP	have
gone	VVN	go
as	IN	as
you	PP	you
can	MD	can
see	VV	see
the	DT	the
extent	NN	extent
of	IN	of
damage	NN	damage
is	VBZ	be
massive	JJ	massive
not	RB	not
only	RB	only
the	DT	the
residential	JJ	residential
block	NN	block
but	CC	but
also	RB	also
the	DT	the
surrounding	VVG	surround
and	CC	and
neighboring	VVG	neighbor
buildings	NNS	building
were	VBD	be
leled	VVN	leled
oh	UH	oh
God	NP	God
have	VHP	have
mercy	NN	mercy
on	IN	on
us	PP	us
okay	VV	okay
I'll	NP	I'll
bring	VV	bring
back	RB	back
in	IN	in
hany	NP	hany
Mahmud	NP	Mahmud
aler	NN	aler
is	VBZ	be
hany	NN	hany
Mahmud	NP	Mahmud
Hy	NP	Hy
you're	NN	you're
in	IN	in
Kan	NP	Kan
yunas	NNS	yunas
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we're	NN	we're
still	RB	still
watching	VVG	watch
these	DT	these
pictures	NNS	picture
the	DT	the
latest	JJS	late
pictures	NNS	picture
that	WDT	that
have	VHP	have
come	VVN	come
into	IN	into
us	PP	us
from	IN	from
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	JJ	camp
gaza's	NNS	gaza's
largest	JJS	large
that	WDT	that
is	VBZ	be
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
strip	NN	strip
um	NN	um
honey	NN	honey
I'm	NN	I'm
not	RB	not
sure	JJ	sure
you	PP	you
can	MD	can
see	VV	see
what	WP	what
I	PP	I
what	WP	what
we've	VVP	we've
just	RB	just
all	RB	all
seen	VVN	see
and	CC	and
witnessed	VVN	witness
so	IN	so
I	PP	I
I	PP	I
I'll	NP	I'll
just	RB	just
let	VVD	let
you	PP	you
know	VVP	know
what	WP	what
it	PP	it
is	VBZ	be
that	DT	that
was	VBD	be
on	IN	on
our	PP$	our
screen	NN	screen
and	CC	and
a	DT	a
word	NN	word
to	TO	to
our	PP$	our
viewers	NNS	viewer
we	PP	we
do	VVP	do
understand	VV	understand
that	IN/that	that
some	DT	some
people	NNS	people
will	MD	will
find	VV	find
this	DT	this
distressing	JJ	distressing
uh	UH	uh
a	DT	a
lot	NN	lot
of	IN	of
it	PP	it
is	VBZ	be
this	DT	this
is	VBZ	be
the	DT	the
reality	NN	reality
of	IN	of
what	WP	what
is	VBZ	be
happening	VVG	happen
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
at	IN	at
the	DT	the
moment	NN	moment
so	IN	so
honey	NN	honey
we	PP	we
saw	VVD	see
bodies	NNS	body
in	IN	in
the	DT	the
rubble	NN	rubble
we	PP	we
saw	VVD	see
an	DT	an
entire	JJ	entire
neighborhood	NN	neighborhood
or	CC	or
several	JJ	several
neighborhoods	NNS	neighborhood
utterly	RB	utterly
devastated	VVN	devastate
and	CC	and
destroyed	VVN	destroy
uh	UH	uh
the	DT	the
smoke	NN	smoke
still	RB	still
rising	VVG	rise
from	IN	from
the	DT	the
rubble	NN	rubble
we	PP	we
saw	VVD	see
uh	UH	uh
people	NNS	people
who	WP	who
appear	VVP	appear
critically	RB	critically
injured	JJ	injured
who	WP	who
were	VBD	be
being	VBG	be
carried	VVN	carry
on	IN	on
stretchers	NNS	stretcher
or	CC	or
even	RB	even
mattresses	NNS	mattress
we	PP	we
saw	VVD	see
babies	NNS	baby
um	NNS	um
that	WDT	that
appeared	VVD	appear
lifeless	JJ	lifeless
we	PP	we
saw	VVD	see
a	DT	a
child	NN	child
who	WP	who
couldn't	NN	couldn't
have	VHP	have
been	VBN	be
older	JJR	old
than	IN	than
10	CD	@card@
or	CC	or
11	CD	@card@
years	NNS	year
old	JJ	old
crying	JJ	crying
saying	NN	saying
that	IN/that	that
his	PP$	his
father	NN	father
and	CC	and
brother	NN	brother
had	VHD	have
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
bombardment	NN	bombardment
those	DT	those
are	VBP	be
the	DT	the
scenes	NNS	scene
that	WDT	that
are	VBP	be
coming	VVG	come
out	RP	out
to	TO	to
us	PP	us
from	IN	from
uh	UH	uh
jabala	NN	jabala
refugee	NN	refugee
camp	NN	camp
at	IN	at
the	DT	the
moment	NN	moment
I'm	NN	I'm
just	RB	just
wondering	VVG	wonder
honey	NN	honey
is	VBZ	be
there	RB	there
anything	NN	anything
more	RBR	more
you	PP	you
can	MD	can
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
area	NN	area
that	WDT	that
was	VBD	be
struck	VVN	strike
well	RB	well
all	RB	all
what	WP	what
we	PP	we
know	VVP	know
that	IN/that	that
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
is	VBZ	be
a	DT	a
a	DT	a
densely	RB	densely
populated	VVN	populate
area	NN	area
and	CC	and
any	RB	any
any	DT	any
air	NN	air
strike	NN	strike
no	DT	no
matter	NN	matter
how	WRB	how
small	JJ	small
it	PP	it
is	VBZ	be
will	MD	will
cause	VV	cause
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
damage	NN	damage
to	TO	to
the	DT	the
area	NN	area
and	CC	and
Destroy	VV	destroy
much	RB	much
of	IN	of
its	PP$	its
infrastructure	NN	infrastructure
and	CC	and
residential	JJ	residential
buildings	NNS	building
and	CC	and
but	RB	but
more	RBR	more
importantly	RB	importantly
and	CC	and
which	WDT	which
is	VBZ	be
tragic	JJ	tragic
the	DT	the
death	NN	death
of	IN	of
many	JJ	many
many	JJ	many
people	NNS	people
uh	UH	uh
now	RB	now
I	PP	I
can	MD	can
relate	VV	relate
to	TO	to
what	WP	what
happened	VVD	happen
to	TO	to
just	RB	just
what	WP	what
you	PP	you
were	VBD	be
looking	VVG	look
at	IN	at
to	TO	to
what	WP	what
happened	VVD	happen
at	IN	at
the	DT	the
Eastern	JJ	eastern
side	NN	side
of	IN	of
kanun	NP	kanun
earlier	RBR	earlier
this	DT	this
morning	NN	morning
where	WRB	where
a	DT	a
group	NN	group
of	IN	of
residential	JJ	residential
home	NN	home
in	IN	in
a	DT	a
very	RB	very
populated	VVN	populate
area	NN	area
here	RB	here
were	VBD	be
targeted	VVN	target
homes	NNS	home
been	VBN	be
destroyed	VVN	destroy
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
damage	NN	damage
and	CC	and
people	NNS	people
bodies	NNS	body
were	VBD	be
thrown	VVN	throw
as	IN	as
the	DT	the
the	DT	the
the	DT	the
air	NN	air
strike	NN	strike
were	VBD	be
very	RB	very
intense	JJ	intense
were	VBD	be
thrown	VVN	throw
at	IN	at
in	IN	in
the	DT	the
road	NN	road
away	RB	away
from	IN	from
their	PP$	their
homes	NNS	home
given	VVN	give
the	DT	the
the	DT	the
the	DT	the
the	DT	the
air	NN	air
strike	NN	strike
were	VBD	be
intense	JJ	intense
in	IN	in
terms	NNS	term
of	IN	of
scale	NN	scale
in	IN	in
terms	NNS	term
of	IN	of
magnitude	NN	magnitude
but	CC	but
it's	NNS	it's
the	DT	the
it's	NN	it's
the	DT	the
same	JJ	same
kind	NN	kind
of	IN	of
of	IN	of
a	DT	a
strategy	NN	strategy
it's	NN	it's
this	DT	this
a	DT	a
a	DT	a
massive	JJ	massive
brutal	JJ	brutal
air	NN	air
strike	NN	strike
that	IN/that	that
not	RB	not
only	RB	only
kill	VV	kill
people	NNS	people
but	CC	but
causes	VVZ	cause
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
damage	NN	damage
to	TO	to
the	DT	the
point	NN	point
that	WDT	that
makes	VVZ	make
the	DT	the
area	NN	area
is	VBZ	be
unlivable	JJ	unlivable
make	VV	make
it	PP	it
unlivable	JJ	unlivable
and	CC	and
force	NN	force
people	NNS	people
to	TO	to
leave	VV	leave
it	PP	it
I	PP	I
call	VVP	call
this	DT	this
a	DT	a
displac	NN	displac
force	NN	force
displacement	NN	displacement
of	IN	of
entire	JJ	entire
population	NN	population
from	IN	from
where	WRB	where
they	PP	they
live	VVP	live
for	IN	for
the	DT	the
whole	NN	whole
of	IN	of
their	PP$	their
life	NN	life
and	CC	and
gradually	RB	gradually
pushing	VVG	push
them	PP	them
to	TO	to
a	DT	a
small	JJ	small
area	NN	area
designated	VVN	designate
as	IN	as
a	DT	a
safe	JJ	safe
area	NN	area
at	IN	at
the	DT	the
corner	NN	corner
of	IN	of
the	DT	the
southern	JJ	southern
part	NN	part
between	IN	between
ra	JJ	ra
City	NP	City
and	CC	and
the	DT	the
Egyptian	JJ	Egyptian
borders	NNS	border
this	DT	this
is	VBZ	be
what's	NNS	what's
going	VVG	go
on	IN	on
right	RB	right
now	RB	now
it's	NNS	it's
similar	JJ	similar
to	TO	to
what	WP	what
you	PP	you
were	VBD	be
just	RB	just
looking	VVG	look
at	IN	at
people	NNS	people
are	VBP	be
given	VVN	give
a	DT	a
a	DT	a
a	DT	a
a	DT	a
map	NN	map
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
to	TO	to
move	VV	move
to	TO	to
turning	VVG	turn
the	DT	the
entire	JJ	entire
area	NN	area
into	IN	into
smaller	JJR	small
blocks	NNS	block
but	CC	but
again	RB	again
the	DT	the
whole	NN	whole
the	DT	the
whole	JJ	whole
area	NN	area
is	VBZ	be
under	IN	under
heavy	JJ	heavy
bombardment	NN	bombardment
I	PP	I
was	VBD	be
just	RB	just
saying	VVG	say
people	NNS	people
get	VV	get
the	DT	the
call	NN	call
to	TO	to
evacuate	VV	evacuate
an	DT	an
area	NN	area
and	CC	and
then	RB	then
they	PP	they
move	VVP	move
to	TO	to
another	DT	another
area	NN	area
that	WDT	that
gets	VVZ	get
bombed	VVN	bomb
right	RB	right
away	RB	away
throughout	IN	throughout
like	VV	like
in	IN	in
in	IN	in
their	PP$	their
joury	NN	joury
journey	NN	journey
to	TO	to
move	VV	move
to	TO	to
another	DT	another
area	NN	area
they	PP	they
get	VVP	get
bombed	VVN	bomb
on	IN	on
the	DT	the
road	NN	road
or	CC	or
if	IN	if
they	PP	they
make	VVP	make
a	DT	a
stop	NN	stop
to	TO	to
a	DT	a
nearby	JJ	nearby
house	NN	house
or	CC	or
to	TO	to
a	DT	a
friend	NN	friend
house	NN	house
or	CC	or
a	DT	a
family	NN	family
member	NN	member
house	NN	house
they	PP	they
get	VVP	get
bombed	VVN	bomb
there	RB	there
that's	JJ	that's
the	DT	the
how	WRB	how
unsafe	JJ	unsafe
the	DT	the
situation	NN	situation
H	NP	H
Mahmud	NP	Mahmud
reporting	VVG	report
from	IN	from
hunis	NNS	hunis
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	IN/that	that
as	IN	as
we've	NNS	we've
been	VBN	be
watching	VVG	watch
these	DT	these
harrowing	VVG	harrow
pictures	NNS	picture
coming	VVG	come
out	RP	out
of	IN	of
