<video_id>iwS35-hOgfQ</video_id>	JJ	<video_id>iwS35-hOgfQ</video_id>
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
this	DT	this
particular	JJ	particular
family	NN	family
have	VHP	have
been	VBN	be
targeted	VVN	target
and	CC	and
have	VH	have
family	NN	family
members	NNS	member
being	VBG	be
killed	VVN	kill
at	IN	at
the	DT	the
initial	JJ	initial
weeks	NNS	week
of	IN	of
this	DT	this
genocidal	JJ	genocidal
War	NP	War
24	CD	@card@
members	NNS	member
of	IN	of
this	DT	this
family	NN	family
particularly	RB	particularly
talking	VVG	talk
about	IN	about
the	DT	the
reach	NN	reach
family	NN	family
well	RB	well
known	VVN	know
in	IN	in
Refuge	NP	Refuge
camp	NN	camp
and	CC	and
three	CD	three
more	JJR	more
family	NN	family
members	NNS	member
this	DT	this
morning	NN	morning
were	VBD	be
killed	VVN	kill
as	IN	as
they	PP	they
were	VBD	be
on	IN	on
their	PP$	their
way	NN	way
to	TO	to
set	VV	set
up	RP	up
their	PP$	their
free	JJ	free
meal	NN	meal
distribution	NN	distribution
Point	NP	Point
meanwhile	RB	meanwhile
the	DT	the
really	RB	really
military	JJ	military
continue	VVP	continue
to	TO	to
City	NP	City
and	CC	and
pushing	VVG	push
more	RBR	more
more	JJR	more
occupying	VVG	occupy
Ground	NP	Ground
Force	NP	Force
into	IN	into
the	DT	the
center	NN	center
part	NN	part
of	IN	of
the	DT	the
city	NN	city
as	IN	as
Contin	NP	Contin
to	TO	to
the	DT	the
Rashad	NP	Rashad
on	IN	on
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
the	DT	the
city	NN	city
and	CC	and
further	RBR	further
pushing	VVG	push
people	NNS	people
into	IN	into
further	JJR	further
internal	JJ	internal
displacement	NN	displacement
and	CC	and
within	IN	within
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
and	CC	and
according	VVG	accord
to	TO	to
H	NP	H
report	NN	report
we're	NN	we're
looking	VVG	look
at	IN	at
30	CD	@card@
5,000	CD	@card@
more	JJR	more
people	NNS	people
have	VHP	have
been	VBN	be
pushed	VVN	push
into	IN	into
further	JJR	further
internal	JJ	internal
displacement	NN	displacement
all	RB	all
pouring	VVG	pour
into	IN	into
the	DT	the
Central	JJ	central
area	NN	area
and	CC	and
western	JJ	western
part	NN	part
ofun	NN	ofun
is	VBZ	be
that	IN/that	that
Sal	NP	Sal
the	DT	the
evacuation	NN	evacuation
Zone	NP	Zone
just	RB	just
putting	VVG	put
more	JJR	more
pressure	NN	pressure
on	IN	on
the	DT	the
infrastructure	NN	infrastructure
and	CC	and
the	DT	the
remaining	VVG	remain
facilities	NNS	facility
that	WDT	that
already	RB	already
uh	UH	uh
in	RB	in
has	VHZ	have
no	DT	no
capacity	NN	capacity
and	CC	and
no	DT	no
ability	NN	ability
whatsoever	RB	whatsoever
to	TO	to
uh	UH	uh
to	TO	to
accommodate	VV	accommodate
further	JJR	further
number	NN	number
of	IN	of
displ	NN	displ
population	NN	population
okay	JJ	okay
thanks	NNS	thanks
so	IN	so
much	JJ	much
honey	NN	honey
honey	NN	honey
mm	NN	mm.
for	IN	for
us	PP	us
there	RB	there
inala	NN	inala
</doc>	NN	</doc>
