basm	NN	basm
fighting	NN	fighting
that	WDT	that
is	VBZ	be
taking	VVG	take
place	NN	place
between	IN	between
Hammer	NP	Hammer
Fighters	NNS	fighter
and	CC	and
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
you	PP	you
'	POS	'
re	NN	re
saying	NN	saying
that	WDT	that
is	VBZ	be
outside	IN	outside
the	DT	the
hospital	NN	hospital
sure	RB	sure
I	PP	I
have	VHP	have
seen	VVN	see
the	DT	the
video	NN	video
distributed	VVN	distribute
by	IN	by
Alan	NP	Alan
Brigade	NN	brigade
this	DT	this
evening	NN	evening
I	PP	I
know	VVP	know
the	DT	the
area	NN	area
very	RB	very
well	RB	well
I	PP	I
was	VBD	be
the	DT	the
minister	NN	minister
of	IN	of
health	NN	health
and	CC	and
I	PP	I
was	VBD	be
a	DT	a
doctor	NN	doctor
in	IN	in
hospital	NN	hospital
this	DT	this
is	VBZ	be
at	IN	at
least	JJS	least
150	CD	@card@
to	TO	to
200	CD	@card@
M	NN	M
outside	IN	outside
the	DT	the
hospital	NN	hospital
yes	NN	yes
I	PP	I
can	MD	can
expect	VV	expect
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
resistance	NN	resistance
but	CC	but
this	DT	this
is	VBZ	be
the	DT	the
natural	JJ	natural
response	NN	response
of	IN	of
our	PP$	our
people	NNS	people
to	TO	to
defend	VV	defend
our	PP$	our
hospitals	NNS	hospital
our	PP$	our
innocent	JJ	innocent
people	NNS	people
our	PP$	our
shelters	NNS	shelter
but	CC	but
no	DT	no
military	JJ	military
presence	NN	presence
inside	IN	inside
the	DT	the
hospitals	NNS	hospital
and	CC	and
I	PP	I
think	VVP	think
Al	NP	Al
jazer	NN	jazer
have	VH	have
months	NNS	month
ago	RB	ago
reported	VVD	report
about	IN	about
the	DT	the
plans	NNS	plan
of	IN	of
the	DT	the
Israelis	NPS	Israelis
to	TO	to
invade	VV	invade
H	NP	H
the	DT	the
shifa	NN	shifa
hospital	NN	hospital
and	CC	and
after	IN	after
weeks	NNS	week
of	IN	of
search	NN	search
and	CC	and
destruction	NN	destruction
inside	IN	inside
the	DT	the
hospital	NN	hospital
they	PP	they
were	VBD	be
not	RB	not
able	JJ	able
to	TO	to
to	TO	to
show	VV	show
any	DT	any
proof	NN	proof
of	IN	of
a	DT	a
military	JJ	military
existence	NN	existence
in	IN	in
the	DT	the
hospital	NN	hospital
and	CC	and
Mr	NN	Mr
name	NN	name
can	MD	can
I	PP	I
ask	VV	ask
when	WRB	when
you	PP	you
look	VVP	look
at	IN	at
the	DT	the
level	NN	level
of	IN	of
Destruction	NN	destruction
in	IN	in
Gaza	NP	Gaza
the	DT	the
number	NN	number
of	IN	of
Palestinians	NNS	Palestinian
that	WDT	that
have	VHP	have
been	VBN	be
killed	VVN	kill
the	DT	the
number	NN	number
of	IN	of
children	NNS	child
that	WDT	that
have	VHP	have
died	VVN	die
or	CC	or
are	VBP	be
starving	VVG	starve
at	IN	at
what	WP	what
point	NN	point
does	VVZ	do
Hamas	RB	Hamas
go	VV	go
okay	JJ	okay
enough	NN	enough
is	VBZ	be
enough	JJ	enough
we	PP	we
will	MD	will
find	VV	find
a	DT	a
way	NN	way
to	TO	to
end	VV	end
the	DT	the
war	NN	war
and	CC	and
end	VV	end
the	DT	the
suffering	NN	suffering
of	IN	of
gaza	NP	Gaza
'	POS	'
s	NN	S
people	NNS	people
two	CD	two
things	NNS	thing
first	JJ	first
of	IN	of
all	RB	all
I	PP	I
think	VV	think
uh	UH	uh
the	DT	the
international	JJ	international
uh	UH	uh
justice	NN	justice
court	NN	court
of	IN	of
justice	NN	justice
have	VHP	have
clearly	RB	clearly
defined	VVN	define
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
there	RB	there
it	PP	it
is	VBZ	be
a	DT	a
genocide	NN	genocide
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
V	NN	V
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
the	DT	the
fault	NN	fault
or	CC	or
the	DT	the
mistake	NN	mistake
or	CC	or
the	DT	the
crime	NN	crime
of	IN	of
the	DT	the
victims	NNS	victim
that	IN/that	that
they	PP	they
have	VHP	have
resisted	VVN	resist
they	PP	they
that	IN/that	that
they	PP	they
are	VBP	be
looking	VVG	look
for	IN	for
freedom	NN	freedom
and	CC	and
dignity	NN	dignity
this	DT	this
is	VBZ	be
a	DT	a
clear	JJ	clear
uh	UH	uh
the	DT	the
responsibility	NN	responsibility
of	IN	of
the	DT	the
occupying	JJ	occupying
power	NN	power
which	WDT	which
is	VBZ	be
Israel	NP	Israel
that	IN/that	that
they	PP	they
are	VBP	be
clearly	RB	clearly
violating	VVG	violate
all	DT	all
international	JJ	international
law	NN	law
that	IN/that	that
they	PP	they
are	VBP	be
rejecting	VVG	reject
the	DT	the
international	JJ	international
will	NN	will
of	IN	of
the	DT	the
UN	NP	UN
of	IN	of
the	DT	the
icg	NN	icg
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
yes	NN	yes
we	PP	we
have	VHP	have
proposed	VVN	propose
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
a	DT	a
very	RB	very
rational	JJ	rational
uh	UH	uh
proposal	NN	proposal
to	TO	to
reach	VV	reach
a	DT	a
ceasefire	NN	ceasefire
to	TO	to
end	VV	end
this	DT	this
aggression	NN	aggression
against	IN	against
our	PP$	our
people	NNS	people
which	WDT	which
was	VBD	be
braised	VVN	braise
by	IN	by
the	DT	the
mediators	NNS	mediator
including	VVG	include
also	RB	also
by	IN	by
the	DT	the
Americans	NPS	Americans
what	WP	what
was	VBD	be
the	DT	the
respon	NN	respon
from	IN	from
the	DT	the
Israeli	JJ	Israeli
side	NN	side
they	PP	they
have	VHP	have
uh	UH	uh
until	IN	until
now	RB	now
they	PP	they
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
received	VVD	receive
an	DT	an
official	JJ	official
response	NN	response
but	CC	but
all	PDT	all
the	DT	the
signals	NNS	signal
we	PP	we
have	VHP	have
received	VVN	receive
from	IN	from
the	DT	the
technical	JJ	technical
uh	UH	uh
team	NN	team
in	IN	in
Doha	NP	Doha
today	NN	today
is	VBZ	be
very	RB	very
very	RB	very
disappointed	VVN	disappoint
it	PP	it
is	VBZ	be
clearly	RB	clearly
signaling	VVG	signal
that	IN/that	that
Netanyahu	NP	Netanyahu
is	VBZ	be
using	VVG	use
the	DT	the
negotiations	NNS	negotiation
as	RB	as
to	TO	to
G	NP	G
to	TO	to
gain	VV	gain
more	JJR	more
time	NN	time
to	TO	to
implement	VV	implement
his	PP$	his
plans	NNS	plan
to	TO	to
uh	UH	uh
continue	VV	continue
the	DT	the
aggressions	NNS	aggression
the	DT	the
crimes	NNS	crime
against	IN	against
the	DT	the
hospitals	NNS	hospital
and	CC	and
maybe	RB	maybe
to	TO	to
uh	UH	uh
invade	VV	invade
ra	NNS	ra
during	IN	during
or	CC	or
after	IN	after
Ramadan	NN	Ramadan
okay	NN	okay
I	PP	I
appreciate	VVP	appreciate
your	PP$	your
time	NN	time
basm	NN	basm
Nim	NP	Nim
a	DT	a
member	NN	member
of	IN	of
hamas	NNS	hamas
'	POS	'
s	NNS	s
political	JJ	political
Bureau	NP	Bureau
speaking	VVG	speak
to	TO	to
us	PP	us
there	RB	there
please	VVP	please
