United	NP	United
with	IN	with
the	DT	the
release	NN	release
of	IN	of
the	DT	the
maining	NN	maining
remaining	VVG	remain
captives	NNS	captive
being	VBG	be
held	VVN	hold
by	IN	by
Hamas	JJ	Hamas
and	CC	and
other	JJ	other
groups	NNS	group
in	IN	in
Gaza	NP	Gaza
so	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
complicated	JJ	complicated
than	IN	than
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
made	VVD	make
it	PP	it
sound	VV	sound
in	IN	in
that	DT	that
TV	NN	TV
interview	NN	interview
so	RB	so
so	RB	so
what	WP	what
blinkin	NP	blinkin
is	VBZ	be
saying	VVG	say
is	VBZ	be
somewhat	RB	somewhat
different	JJ	different
to	TO	to
what	WP	what
'	POS	'
s	NN	S
in	IN	in
the	DT	the
draft	NN	draft
resolution	NN	resolution
uh	UH	uh
that	WDT	that
'	POS	'
s	NNS	s
circulating	VVG	circulate
at	IN	at
the	DT	the
UN	NP	UN
but	CC	but
this	DT	this
is	VBZ	be
still	RB	still
significant	JJ	significant
all	RB	all
of	IN	of
this	DT	this
given	VVN	give
the	DT	the
previous	JJ	previous
us	PP	us
vetos	NNS	veto
at	IN	at
the	DT	the
security	NN	security
Council	NN	council
on	IN	on
Gaza	NP	Gaza
and	CC	and
I	PP	I
think	VVP	think
things	NNS	thing
are	VBP	be
changing	VVG	change
I	PP	I
think	VVP	think
things	NNS	thing
are	VBP	be
changing	VVG	change
in	IN	in
two	CD	two
ways	NNS	way
one	CD	one
we	PP	we
have	VHP	have
those	DT	those
very	RB	very
important	JJ	important
talks	NNS	talk
in	IN	in
Doha	NP	Doha
um	JJ	um
secretary	NN	secretary
blinkin	NN	blinkin
also	RB	also
says	VVZ	say
he	PP	he
believes	VVZ	believe
the	DT	the
Gap	NP	Gap
is	VBZ	be
being	VBG	be
narrowed	VVN	narrow
it	PP	it
may	MD	may
well	RB	well
be	VB	be
that	IN/that	that
the	DT	the
US	NP	US
is	VBZ	be
planning	VVG	plan
to	TO	to
put	VV	put
this	DT	this
res	NN	res
ution	NN	ution
forward	RB	forward
after	IN	after
they	PP	they
'	POS	'
ve	NN	ve
got	VVD	get
a	DT	a
deal	VV	deal
uh	UH	uh
here	RB	here
in	IN	in
Doha	NP	Doha
the	DT	the
other	JJ	other
thing	NN	thing
is	VBZ	be
that	IN/that	that
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
only	JJ	only
resolution	NN	resolution
floating	VVG	float
around	IN	around
the	DT	the
security	NN	security
Council	NP	Council
uh	UH	uh
the	DT	the
elected	VVN	elect
members	NNS	member
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
the	DT	the
10	CD	@card@
members	NNS	member
who	WP	who
aren	NNS	aren
'	POS	'
t	NN	t
permanent	JJ	permanent
that	IN/that	that
just	RB	just
sered	VVN	sere
two	CD	two
years	NNS	year
they	PP	they
'	POS	'
ve	NN	ve
had	VHD	have
enough	JJ	enough
they	PP	they
'	''	'
ve	NNS	ve
got	VVD	get
together	RB	together
they	PP	they
'	POS	'
ve	NN	ve
drawn	VVN	draw
up	RP	up
a	DT	a
resolution	NN	resolution
they	PP	they
'	POS	'
re	NN	re
close	NN	close
I	PP	I
believe	VVP	believe
to	TO	to
putting	VVG	put
that	IN/that	that
one	CD	one
to	TO	to
a	DT	a
vote	NN	vote
demanding	VVG	demand
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
with	IN	with
no	DT	no
complication	NN	complication
in	IN	in
the	DT	the
language	NN	language
uh	UH	uh
whatsoever	RB	whatsoever
uh	UH	uh
two	CD	two
of	IN	of
those	DT	those
permanent	JJ	permanent
uh	UH	uh
sorry	RB	sorry
elected	VVN	elect
10	CD	@card@
members	NNS	member
Japan	NP	Japan
and	CC	and
South	NP	South
Korea	NP	Korea
I	PP	I
think	VVP	think
a	DT	a
little	JJ	little
bit	NN	bit
hesitant	JJ	hesitant
because	IN	because
they	PP	they
'	POS	'
re	NN	re
very	RB	very
close	VV	close
us	PP	us
allies	NNS	ally
and	CC	and
they	PP	they
don	VVP	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
further	VV	further
um	NNS	um
antagonize	VV	antagonize
the	DT	the
US	NP	US
and	CC	and
France	NP	France
is	VBZ	be
also	RB	also
working	VVG	work
on	IN	on
a	DT	a
resolution	NN	resolution
we	PP	we
understand	VVP	understand
it	PP	it
uh	UH	uh
and	CC	and
my	PP$	my
understanding	NN	understanding
also	RB	also
is	VBZ	be
the	DT	the
US	NP	US
I	PP	I
think	VVP	think
is	VBZ	be
very	RB	very
hesitant	JJ	hesitant
about	IN	about
the	DT	the
idea	NN	idea
of	IN	of
yet	RB	yet
again	RB	again
given	VVN	give
what	WP	what
they	PP	they
'	POS	'
ve	NN	ve
heard	VVD	hear
about	IN	about
famine	NN	famine
coming	VVG	come
to	TO	to
Gaza	NP	Gaza
what	WDT	what
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
from	IN	from
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
very	RB	very
very	RB	very
worried	VVN	worry
that	IN/that	that
it	PP	it
might	MD	might
have	VH	have
to	TO	to
use	VV	use
its	PP$	its
veto	NN	veto
again	RB	again
so	RB	so
I	PP	I
think	VVP	think
that	IN/that	that
'	POS	'
s	NN	S
why	WRB	why
this	DT	this
us	PP	us
resolution	NN	resolution
which	WDT	which
has	VHZ	have
been	VBN	be
in	IN	in
the	DT	the
works	NNS	work
for	IN	for
some	DT	some
weeks	NNS	week
now	RB	now
now	RB	now
has	VHZ	have
tougher	JJR	tough
Lang	NP	Lang
language	NN	language
language	NN	language
Israel	NP	Israel
won	NN	won
'	POS	'
t	NN	t
like	IN	like
but	CC	but
is	VBZ	be
it	PP	it
language	NN	language
that	WDT	that
would	MD	would
force	VV	force
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
I	PP	I
think	VVP	think
we	PP	we
need	VVP	need
to	TO	to
ask	VV	ask
some	DT	some
more	JJR	more
questions	NNS	question
today	NN	today
while	IN	while
the	DT	the
secretary	NN	secretary
of	IN	of
state	NN	state
is	VBZ	be
in	IN	in
Cairo	NP	Cairo
right	JJ	right
diplomacy	NN	diplomacy
then	RB	then
at	IN	at
the	DT	the
UN	NP	UN
but	CC	but
also	RB	also
in	IN	in
the	DT	the
region	NN	region
Cairo	NN	Cairo
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
meeting	VVG	meet
a	DT	a
number	NN	number
of	IN	of
regional	JJ	regional
leaders	NNS	leader
there	RB	there
and	CC	and
there	EX	there
is	VBZ	be
hope	NN	hope
cautious	JJ	cautious
hope	NN	hope
it	PP	it
would	MD	would
seem	VV	seem
about	IN	about
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
being	VBG	be
achieved	VVN	achieve
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
ceasefire	NN	ceasefire
talks	VVZ	talk
the	DT	the
technical	JJ	technical
talks	NNS	talk
on	IN	on
the	DT	the
ceasefire	NN	ceasefire
continue	VVP	continue
they	PP	they
'	''	'
re	IN	re
going	VVG	go
ahead	RB	ahead
here	RB	here
in	IN	in
Doha	NP	Doha
but	CC	but
it	PP	it
is	VBZ	be
both	DT	both
Qatar	NP	Qatar
and	CC	and
Egypt	NP	Egypt
who	WP	who
'	POS	'
ve	RB	ve
been	VBN	be
the	DT	the
key	JJ	key
media	NNS	medium
here	RB	here
and	CC	and
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
in	IN	in
two	CD	two
hours	NNS	hour
time	NN	time
is	VBZ	be
meeting	VVG	meet
President	NP	President
CeCe	NP	Cece
uh	UH	uh
in	IN	in
Cairo	NP	Cairo
to	TO	to
get	VV	get
an	DT	an
update	NN	update
I	PP	I
think	VVP	think
on	IN	on
the	DT	the
talks	NNS	talk
and	CC	and
the	DT	the
regional	JJ	regional
situation	NN	situation
but	CC	but
he	PP	he
'	POS	'
s	NN	S
also	RB	also
going	VVG	go
to	TO	to
be	VB	be
meeting	VVG	meet
during	IN	during
his	PP$	his
time	NN	time
in	IN	in
Ciro	NP	Ciro
with	IN	with
representatives	NNS	representative
of	IN	of
Egypt	NP	Egypt
Jordan	NP	Jordan
Saudi	NP	Saudi
Arabia	NP	Arabia
UAE	NP	UAE
cutter	NN	cutter
and	CC	and
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
so	RB	so
further	JJR	further
meetings	NNS	meeting
I	PP	I
think	VVP	think
with	IN	with
all	PDT	all
the	DT	the
key	JJ	key
players	NNS	player
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
including	VVG	include
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
those	DT	those
won	NN	won
'	POS	'
t	NN	t
just	RB	just
talk	VV	talk
about	IN	about
the	DT	the
seasar	NN	seasar
I	PP	I
think	VVP	think
they	PP	they
are	VBP	be
also	RB	also
looking	VVG	look
at	IN	at
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
how	WRB	how
that	DT	that
can	MD	can
be	VB	be
uh	UH	uh
reorganized	VVD	reorganize
revitalized	VVN	revitalize
now	RB	now
it	PP	it
has	VHZ	have
a	DT	a
new	JJ	new
prime	JJ	prime
minister	NN	minister
and	CC	and
then	RB	then
how	WRB	how
you	PP	you
potentially	RB	potentially
look	VVP	look
at	IN	at
the	DT	the
governance	NN	governance
of	IN	of
Gaza	NP	Gaza
after	IN	after
a	DT	a
war	NN	war
and	CC	and
then	RB	then
this	DT	this
seems	VVZ	seem
a	DT	a
long	JJ	long
way	NN	way
off	RP	off
but	CC	but
trying	VVG	try
to	TO	to
get	VV	get
political	JJ	political
talks	NNS	talk
back	RB	back
on	IN	on
track	NN	track
for	IN	for
that	DT	that
two	CD	two
-	NN	-
state	NN	state
solution	NN	solution
that	IN/that	that
the	DT	the
US	NP	US
always	RB	always
talks	VVZ	talk
about	RB	about
and	CC	and
always	RB	always
worth	JJ	worth
reminding	VVG	remind
people	NNS	people
that	IN/that	that
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
and	CC	and
the	DT	the
Israeli	JJ	Israeli
government	NN	government
they	PP	they
don	VVP	don
'	''	'
t	NN	t
even	RB	even
agree	VVP	agree
with	IN	with
that	DT	that
idea	NN	idea
indeed	RB	indeed
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
James	NP	James
James	NP	James
SP	NP	SP
is	VBZ	be
our	PP$	our
diplomatic	JJ	diplomatic
editor	NN	editor
let	NN	let
'	POS	'
s	NNS	s
get	VVP	get
the	DT	the
viar	NN	viar
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
in	IN	in
in	IN	in
Imran	NP	Imran
Khan	NP	Khan
who	WP	who
'	POS	'
s	NN	S
there	RB	there
for	IN	for
us	PP	us
so	IN	so
Imran	NP	Imran
this	DT	this
draft	NN	draft
resolution	NN	resolution
and	CC	and
and	CC	and
the	DT	the
reaction	NN	reaction
comments	NNS	comment
from	IN	from
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
in	IN	in
Saudi	NP	Saudi
Arabia	NP	Arabia
how	NN	how
'	POS	'
s	NN	S
that	IN/that	that
all	DT	all
likely	JJ	likely
to	TO	to
go	VV	go
down	RP	down
with	IN	with
the	DT	the
Israelis	NPS	Israelis
will	MD	will
they	PP	they
be	VB	be
paying	VVG	pay
any	DT	any
attention	NN	attention
well	RB	well
we	PP	we
'	POS	'
ve	NNS	ve
spoken	VVN	speak
to	TO	to
the	DT	the
prime	JJ	prime
minister	NN	minister
'	POS	'
s	JJ	s
office	NN	office
they	PP	they
'	POS	'
ve	NN	ve
issued	VVD	issue
us	PP	us
a	DT	a
very	JJ	very
tur	NN	tur
no	DT	no
comment	NN	comment
on	IN	on
this	DT	this
we	PP	we
'	POS	'
ve	NN	ve
also	RB	also
reached	VVD	reach
out	RP	out
to	TO	to
Benny	NP	Benny
Gant	NP	Gant
who	WP	who
'	POS	'
s	NN	S
the	DT	the
former	JJ	former
prime	JJ	prime
minister	NN	minister
and	CC	and
a	DT	a
key	JJ	key
member	NN	member
of	IN	of
the	DT	the
war	NN	war
cabinet	NN	cabinet
the	DT	the
same	JJ	same
response	NN	response
from	IN	from
him	PP	him
as	RB	as
well	RB	well
reached	VVN	reach
out	RP	out
to	TO	to
others	NNS	other
within	IN	within
the	DT	the
government	NN	government
they	PP	they
'	POS	'
re	NN	re
likely	JJ	likely
to	TO	to
all	RB	all
follow	VV	follow
suit	NN	suit
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
certainly	RB	certainly
an	DT	an
official	NN	official
no	DT	no
comment	NN	comment
Day	NN	day
by	IN	by
the	DT	the
looks	NNS	look
of	IN	of
things	NNS	thing
however	RB	however
they	PP	they
will	MD	will
be	VB	be
pouring	VVG	pour
over	IN	over
the	DT	the
language	NN	language
that	IN/that	that
James	NP	James
was	VBD	be
just	JJ	just
uh	UH	uh
referencing	VVG	reference
there	RB	there
they	PP	they
'	''	'
ll	NN	ll
be	VB	be
looking	VVG	look
at	IN	at
what	WP	what
this	DT	this
actually	RB	actually
means	VVZ	mean
for	IN	for
them	PP	them
but	CC	but
remember	VV	remember
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
the	DT	the
United	NP	United
Nations	NPS	Nations
in	IN	in
general	NN	general
is	VBZ	be
treated	VVN	treat
with	IN	with
disdain	NN	disdain
by	IN	by
uh	UH	uh
the	DT	the
Israelis	NPS	Israelis
they	PP	they
say	VVP	say
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
organization	NN	organization
that	WDT	that
has	VHZ	have
a	DT	a
lopsided	JJ	lopsided
attitude	NN	attitude
towards	IN	towards
Israel	NP	Israel
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
Israel	NP	Israel
since	IN	since
2015	CD	@card@
they	PP	they
say	VVP	say
there	EX	there
have	VHP	have
been	VBN	be
about	RB	about
140	CD	@card@
resolutions	NNS	resolution
against	IN	against
uh	UH	uh
Israel	NP	Israel
and	CC	and
it	PP	it
'	POS	'
s	JJ	s
something	NN	something
that	IN/that	that
they	PP	they
'	POS	'
ve	NN	ve
often	RB	often
dismissed	VVD	dismiss
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
incredibly	RB	incredibly
good	JJ	good
at	IN	at
ignoring	VVG	ignore
uh	UH	uh
United	NP	United
Nations	NPS	Nations
uh	UH	uh
resolutions	NNS	resolution
however	RB	however
this	DT	this
one	CD	one
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
incredibly	RB	incredibly
difficult	JJ	difficult
to	TO	to
ignore	VV	ignore
given	VVN	give
that	IN/that	that
it	PP	it
will	MD	will
is	VBZ	be
coming	VVG	come
from	IN	from
their	PP$	their
key	JJ	key
Ally	NP	Ally
right	NN	right
so	RB	so
let	VVD	let
'	''	'
s	NNS	s
see	VVP	see
what	WP	what
happens	VVZ	happen
officially	RB	officially
I	PP	I
think	VVP	think
we	PP	we
are	VBP	be
going	VVG	go
to	TO	to
get	VV	get
a	DT	a
no	DT	no
comment	NN	comment
but	CC	but
people	NNS	people
will	MD	will
be	VB	be
talking	VVG	talk
about	IN	about
this	DT	this
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
big	JJ	big
talking	VVG	talk
point	NN	point
so	IN	so
we	PP	we
'	POS	'
ll	NNS	ll
get	VVP	get
further	JJR	further
reaction	NN	reaction
I	PP	I
think	VVP	think
as	IN	as
the	DT	the
day	NN	day
goes	VVZ	go
on	RB	on
and	CC	and
what	WP	what
about	IN	about
Hamas	JJ	Hamas
sran	NN	sran
this	DT	this
draft	NN	draft
resolution	NN	resolution
also	RB	also
relies	VVZ	rely
on	IN	on
them	PP	them
agreeing	VVG	agree
to	TO	to
free	JJ	free
hostages	NNS	hostage
will	MD	will
they	PP	they
well	VV	well
it	PP	it
'	POS	'
s	NN	S
all	RB	all
about	IN	about
the	DT	the
language	NN	language
Hamas	NN	Hamas
will	MD	will
be	VB	be
looking	VVG	look
at	IN	at
this	DT	this
they	PP	they
'	POS	'
ve	NN	ve
made	VVD	make
their	PP$	their
position	NN	position
incredibly	RB	incredibly
clear	JJ	clear
they	PP	they
want	VVP	want
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
this	DT	this
resolution	NN	resolution
doesn	NN	doesn
'	POS	'
t	NN	t
call	NN	call
for	IN	for
a	DT	a
poning	NN	poning
ceasefire	NN	ceasefire
what	WP	what
it	PP	it
does	VVZ	do
say	VVP	say
is	VBZ	be
it	PP	it
wants	VVZ	want
an	DT	an
immediate	JJ	immediate
ceas	NNS	ceas
fire	NN	fire
but	CC	but
the	DT	the
interesting	JJ	interesting
word	NN	word
there	RB	there
and	CC	and
maybe	RB	maybe
this	DT	this
does	VVZ	do
give	VV	give
some	DT	some
wiggle	NN	wiggle
room	NN	room
is	VBZ	be
sustained	VVN	sustain
ceasefire	NN	ceasefire
does	VVZ	do
that	RB	that
mean	VV	mean
that	IN/that	that
every	DT	every
hostage	NN	hostage
that	WDT	that
is	VBZ	be
released	VVN	release
for	IN	for
every	DT	every
set	NN	set
of	IN	of
hostages	NNS	hostage
released	VVD	release
the	DT	the
ceasefire	NN	ceasefire
gets	VVZ	get
extended	VVN	extend
well	RB	well
that	RB	that
'	''	'
s	NNS	s
what	WP	what
we	PP	we
saw	VVD	see
during	IN	during
the	DT	the
last	JJ	last
ceasefire	NN	ceasefire
which	WDT	which
Hamas	NP	Hamas
actually	RB	actually
accepted	VVD	accept
but	CC	but
Hamas	NNS	Hamas
have	VHP	have
also	RB	also
been	VBN	be
very	RB	very
critical	JJ	critical
in	IN	in
the	DT	the
past	NN	past
of	IN	of
United	NP	United
Nations	NPS	Nations
resolutions	NNS	resolution
take	VVP	take
a	DT	a
look	NN	look
at	IN	at
the	DT	the
one	CD	one
on	IN	on
December	NP	December
22nd	JJ	22nd
that	WDT	that
was	VBD	be
calling	VVG	call
for	IN	for
Aid	NN	aid
coming	VVG	come
into	IN	into
Gaza	NP	Gaza
Hamas	NP	Hamas
said	VVD	say
it	PP	it
didn	NP	didn
'	POS	'
t	NN	t
go	VVP	go
far	RB	far
enough	RB	enough
so	IN	so
the	DT	the
language	NN	language
for	IN	for
mass	NN	mass
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
very	RB	very
key	JJ	key
they	PP	they
'	''	'
re	IN	re
going	VVG	go
to	TO	to
be	VB	be
looking	VVG	look
at	IN	at
this	DT	this
uh	UH	uh
it	PP	it
is	VBZ	be
likely	JJ	likely
that	IN/that	that
they	PP	they
will	MD	will
reject	VV	reject
it	PP	it
given	VVN	give
their	PP$	their
previous	JJ	previous
positions	NNS	position
but	CC	but
this	DT	this
idea	NN	idea
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
an	DT	an
immediate	JJ	immediate
but	CC	but
sustained	JJ	sustained
ceasefire	NN	ceasefire
May	MD	may
well	RB	well
be	VB	be
something	NN	something
that	IN/that	that
Hamas	NNS	Hamas
might	MD	might
And	CC	and
I	PP	I
stress	VVP	stress
the	DT	the
word	NN	word
might	MD	might
uh	UH	uh
be	VB	be
able	JJ	able
to	TO	to
work	VV	work
with	IN	with
Imran	NP	Imran
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	IN/that	that
that	DT	that
'	''	'
s	VVZ	s
Imran	NP	Imran
Khan	NP	Khan
life	NN	life
for	IN	for
say	NN	say
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
