thank	VV	thank
that	IN/that	that
'	POS	'
s	NNS	s
not	RB	not
what	WP	what
we	PP	we
'	POS	'
re	NN	re
seeing	VVG	see
what	WP	what
'	POS	'
s	NN	S
the	DT	the
latest	JJS	late
yes	NN	yes
F	NN	F
everybody	NN	everybody
was	VBD	be
expecting	VVG	expect
a	DT	a
deescalation	NN	deescalation
in	IN	in
the	DT	the
uh	UH	uh
the	DT	the
air	NN	air
strikes	VVZ	strike
campaign	NN	campaign
and	CC	and
the	DT	the
artillery	NN	artillery
Shilling	NP	Shilling
but	CC	but
on	IN	on
the	DT	the
contrary	JJ	contrary
what	WP	what
we	PP	we
'	POS	'
re	NN	re
seeing	VVG	see
is	VBZ	be
a	DT	a
more	JJR	more
of	IN	of
a	DT	a
surge	NN	surge
on	IN	on
Relentless	JJ	relentless
air	NN	air
strike	NN	strike
in	IN	in
the	DT	the
central	JJ	central
area	NN	area
and	CC	and
the	DT	the
on	IN	on
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
G	NP	G
STP	NP	STP
we	PP	we
mainly	RB	mainly
talking	VVG	talk
about	IN	about
ra	NN	ra
City	NP	City
where	WRB	where
more	JJR	more
than	IN	than
1	CD	@card@
.	SENT	.
5	CD	@card@
million	CD	million
displaced	VVN	displace
Palestinians	NNS	Palestinian
are	VBP	be
now	RB	now
staying	VVG	stay
and	CC	and
Sheltering	VVG	shelter
and	CC	and
building	VVG	build
tents	NNS	tent
across	IN	across
ra	NN	ra
City	NN	city
just	RB	just
running	VVG	run
from	IN	from
the	DT	the
horror	NN	horror
of	IN	of
the	DT	the
war	NN	war
going	VVG	go
on	RP	on
in	IN	in
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
we	PP	we
'	POS	'
re	NN	re
seeing	VVG	see
an	DT	an
increasingly	RB	increasingly
uh	UH	uh
a	DT	a
large	JJ	large
scale	NN	scale
of	IN	of
intensity	NN	intensity
and	CC	and
magnitude	NN	magnitude
of	IN	of
the	DT	the
air	NN	air
strikes	NNS	strike
and	CC	and
within	IN	within
just	RB	just
the	DT	the
past	JJ	past
uh	UH	uh
24hour	JJ	24hour
large	JJ	large
number	NN	number
of	IN	of
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
either	RB	either
in	IN	in
their	PP$	their
cars	NNS	car
or	CC	or
their	PP$	their
residential	JJ	residential
homes	NNS	home
or	CC	or
they	PP	they
were	VBD	be
simply	RB	simply
passing	VVG	pass
by	IN	by
the	DT	the
targeted	JJ	targeted
areas	NNS	area
overnight	JJ	overnight
Heavy	NP	Heavy
Artillery	NN	artillery
Shing	NP	Shing
at	IN	at
the	DT	the
Eastern	JJ	eastern
uh	UH	uh
side	NN	side
of	IN	of
Rafa	NP	Rafa
city	NN	city
that	WDT	that
is	VBZ	be
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
the	DT	the
past	JJ	past
three	CD	three
weeks	NNS	week
and	CC	and
very	RB	very
consistent	JJ	consistent
with	IN	with
the	DT	the
is	VBZ	be
really	RB	really
plan	NN	plan
of	IN	of
creating	VVG	create
a	DT	a
buffer	NN	buffer
zone	NN	zone
that	IN/that	that
which	WDT	which
requires	VVZ	require
the	DT	the
the	DT	the
raising	NN	raising
of	IN	of
much	JJ	much
of	IN	of
the	DT	the
uh	UH	uh
area	NN	area
of	IN	of
Agriculture	NP	Agriculture
and	CC	and
farmland	NN	farmland
in	IN	in
the	DT	the
eastern	JJ	eastern
part	NN	part
and	CC	and
uh	UH	uh
the	DT	the
uh	UH	uh
many	DT	many
residential	JJ	residential
uh	UH	uh
Homes	NPS	Homes
at	IN	at
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
Rafa	NP	Rafa
City	NP	City
uh	UH	uh
they	PP	they
'	POS	'
re	NN	re
very	RB	very
consistent	JJ	consistent
with	IN	with
The	DT	the
Narrative	NN	narrative
of	IN	of
EST	NP	est
lishing	VVG	lishing
this	DT	this
buffer	NN	buffer
zone	NN	zone
along	IN	along
the	DT	the
borders	NNS	border
from	IN	from
Bon	NP	Bon
all	RB	all
the	DT	the
way	NN	way
to	TO	to
ra	VV	ra
City	NP	City
close	VV	close
to	TO	to
the	DT	the
Gaza	NP	Gaza
Egyptian	NP	Egyptian
bordered	VVD	border
and	CC	and
over	IN	over
an	DT	an
early	JJ	early
hours	NNS	hour
of	IN	of
this	DT	this
morning	NN	morning
particularly	RB	particularly
at	IN	at
dawn	NN	dawn
time	NN	time
an	DT	an
air	NN	air
strike	NN	strike
targeted	VVD	target
a	DT	a
residential	JJ	residential
homes	NNS	home
so	RB	so
far	RB	far
what	WP	what
we	PP	we
are	VBP	be
uh	UH	uh
confirmed	VVN	confirm
about	IN	about
the	DT	the
reports	VVZ	report
we	PP	we
'	''	'
re	IN	re
getting	VVG	get
only	JJ	only
injuries	NNS	injury
from	IN	from
that	DT	that
residential	JJ	residential
homes	NNS	home
no	DT	no
reports	NNS	report
about	IN	about
people	NNS	people
got	VVD	get
killed	VVN	kill
in	IN	in
that	DT	that
residential	JJ	residential
uh	UH	uh
homes	NNS	home
which	WDT	which
is	VBZ	be
really	RB	really
strange	JJ	strange
and	CC	and
unusual	JJ	unusual
for	IN	for
massive	JJ	massive
air	NN	air
strike	NN	strike
to	TO	to
only	RB	only
leave	VV	leave
injuries	NNS	injury
inside	IN	inside
residential	JJ	residential
home	NN	home
but	CC	but
most	JJS	most
of	IN	of
the	DT	the
killing	JJ	killing
uh	UH	uh
the	DT	the
mass	JJ	mass
killing	NN	killing
is	VBZ	be
taking	VVG	take
place	NN	place
right	RB	right
now	RB	now
in	IN	in
the	DT	the
central	JJ	central
part	NN	part
the	DT	the
refugee	NN	refugee
camps	NNS	camp
and	CC	and
kanun	NP	kanun
City	NP	City
yeah	RB	yeah
so	RB	so
intense	JJ	intense
bombing	NN	bombing
of	IN	of
Central	NP	Central
and	CC	and
Southern	NP	Southern
Gaza	NP	Gaza
honey	NN	honey
and	CC	and
I	PP	I
understand	VVP	understand
you	PP	you
were	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
reporting	VVG	report
from	IN	from
a	DT	a
field	NN	field
Hospital	NN	hospital
in	IN	in
Rafa	NP	Rafa
today	NN	today
but	CC	but
it	PP	it
'	POS	'
s	NNS	s
becoming	VVG	become
more	RBR	more
difficult	JJ	difficult
for	IN	for
people	NNS	people
to	TO	to
move	VV	move
around	RB	around
and	CC	and
even	RB	even
medical	JJ	medical
staff	NN	staff
in	IN	in
some	DT	some
of	IN	of
the	DT	the
hospitals	NNS	hospital
are	VBP	be
having	VHG	have
to	TO	to
pull	VV	pull
out	RP	out
yes	RB	yes
this	DT	this
is	VBZ	be
exactly	RB	exactly
what	WP	what
happened	VVD	happen
it	PP	it
'	''	'
s	NNS	s
becoming	VVG	become
increasingly	RB	increasingly
difficult	JJ	difficult
to	TO	to
move	VV	move
around	RP	around
the	DT	the
Rafa	NP	Rafa
City	NP	City
uh	UH	uh
simply	RB	simply
because	IN	because
it	PP	it
'	POS	'
s	NNS	s
becoming	VVG	become
increasingly	RB	increasingly
risky	JJ	risky
and	CC	and
dangerous	JJ	dangerous
and	CC	and
just	RB	just
the	DT	the
fact	NN	fact
within	IN	within
less	JJR	less
than	IN	than
24	CD	@card@
hours	NNS	hour
uh	UH	uh
yesterday	RB	yesterday
uh	UH	uh
two	CD	two
cars	NNS	car
were	VBD	be
hit	VVN	hit
one	CD	one
that	WDT	that
was	VBD	be
uh	UH	uh
our	PP$	our
colleague	NN	colleague
Hamza	NP	Hamza
and	CC	and
his	PP$	his
his	PP$	his
other	JJ	other
journalist	NN	journalist
colleagues	NNS	colleague
journalists	NNS	journalist
were	VBD	be
in	IN	in
the	DT	the
car	NN	car
were	VBD	be
targeted	VVN	target
and	CC	and
another	DT	another
car	NN	car
was	VBD	be
targeted	VVN	target
just	RB	just
on	IN	on
the	DT	the
main	JJ	main
road	NN	road
leading	VVG	lead
to	TO	to
the	DT	the
Kuwaiti	JJ	Kuwaiti
hospital	NN	hospital
just	RB	just
700	CD	@card@
meters	NNS	meter
away	RB	away
from	IN	from
here	RB	here
there	EX	there
is	VBZ	be
a	DT	a
a	DT	a
growing	VVG	grow
concern	NN	concern
that	IN/that	that
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
uh	UH	uh
the	DT	the
third	JJ	third
phase	NN	phase
of	IN	of
the	DT	the
war	NN	war
which	WDT	which
is	VBZ	be
the	DT	the
target	NN	target
killing	VVG	kill
of	IN	of
of	IN	of
people	NNS	people
as	IN	as
they	PP	they
are	VBP	be
moving	VVG	move
on	IN	on
the	DT	the
roads	NNS	road
or	CC	or
uh	UH	uh
in	IN	in
their	PP$	their
in	IN	in
their	PP$	their
residential	JJ	residential
home	NN	home
so	IN	so
there	EX	there
is	VBZ	be
a	DT	a
risk	NN	risk
involved	VVN	involve
in	IN	in
in	IN	in
in	IN	in
part	NN	part
of	IN	of
what	WP	what
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
and	CC	and
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
done	VVN	do
in	IN	in
in	IN	in
terms	NNS	term
of	IN	of
going	VVG	go
into	IN	into
Field	NP	Field
Works	NP	Works
we	PP	we
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
minimize	VV	minimize
that	IN/that	that
and	CC	and
assess	VV	assess
the	DT	the
security	NN	security
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
situation	NN	situation
in	IN	in
terms	NNS	term
of	IN	of
safety	VV	safety
uh	UH	uh
for	IN	for
us	PP	us
to	TO	to
continue	VV	continue
uh	UH	uh
working	VVG	work
and	CC	and
and	CC	and
deliver	VV	deliver
a	DT	a
a	DT	a
quality	NN	quality
work	NN	work
in	IN	in
in	IN	in
in	IN	in
and	CC	and
doing	VVG	do
our	PP$	our
job	NN	job
but	CC	but
the	DT	the
thing	NN	thing
is	VBZ	be
it	PP	it
'	POS	'
s	NN	S
also	RB	also
overcrowded	VVN	overcrowd
ra	NN	ra
is	VBZ	be
becoming	VVG	become
overcrowded	VVN	overcrowd
Beyond	IN	beyond
imagination	NN	imagination
there	EX	there
are	VBP	be
so	RB	so
many	JJ	many
people	NNS	people
are	VBP	be
now	RB	now
sleeping	VVG	sleep
in	IN	in
the	DT	the
street	NN	street
it	PP	it
'	POS	'
s	NN	S
hard	RB	hard
for	IN	for
people	NNS	people
to	TO	to
walk	VV	walk
hard	RB	hard
for	IN	for
people	NNS	people
to	TO	to
drive	VV	drive
their	PP$	their
cars	NNS	car
as	RB	as
well	RB	well
while	IN	while
roads	NNS	road
are	VBP	be
packed	VVN	pack
with	IN	with
people	NNS	people
yeah	RB	yeah
very	RB	very
difficult	JJ	difficult
to	TO	to
work	VV	work
in	IN	in
these	DT	these
conditions	NNS	condition
and	CC	and
and	CC	and
we	PP	we
appreciate	VVP	appreciate
your	PP$	your
reporting	NN	reporting
honey	NN	honey
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
honey	VV	honey
Mahmud	NP	Mahmud
live	VV	live
for	IN	for
us	PP	us
there	RB	there
in	IN	in
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
