Shina	NP	Shina
let	VVD	let
alone	RB	alone
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
where	WRB	where
people	NNS	people
have	VHP	have
been	VBN	be
deprived	VVN	deprive
or	CC	or
only	RB	only
in	IN	in
the	DT	the
first	JJ	first
month	NN	month
and	CC	and
a	DT	a
half	NN	half
of	IN	of
the	DT	the
year	NN	year
out	RP	out
of	IN	of
77	CD	@card@
planned	JJ	planned
convoys	NNS	convoy
the	DT	the
UN	NP	UN
and	NP	and
and	CC	and
other	JJ	other
NOS	NNS	no
were	VBD	be
only	RB	only
able	JJ	able
to	TO	to
to	RB	to
fully	RB	fully
or	CC	or
partially	RB	partially
facilitate	VV	facilitate
15	CD	@card@
of	IN	of
those	DT	those
of	IN	of
those	DT	those
uh	UH	uh
planned	JJ	planned
missions	NNS	mission
because	IN	because
of	IN	of
lack	NN	lack
of	IN	of
for	IN	for
coordination	NN	coordination
or	CC	or
or	CC	or
flat	JJ	flat
out	IN	out
denials	NNS	denial
by	IN	by
the	DT	the
Israelis	NPS	Israelis
you	PP	you
mentioned	VVD	mention
those	DT	those
extraordinary	JJ	extraordinary
scenes	NNS	scene
that	IN/that	that
we	PP	we
saw	VVD	see
earlier	RBR	earlier
this	DT	this
week	NN	week
where	WRB	where
a	DT	a
convoy	NN	convoy
of	IN	of
trucks	NNS	truck
were	VBD	be
met	VVN	meet
by	IN	by
hundreds	NNS	hundred
of	IN	of
those	DT	those
hungry	JJ	hungry
desperate	JJ	desperate
Palestinians	NNS	Palestinian
but	CC	but
then	RB	then
the	DT	the
Israeli	JJ	Israeli
military	NN	military
started	VVD	start
firing	VVG	fire
on	IN	on
them	PP	them
and	CC	and
we	PP	we
had	VHD	have
SE	FW	se
several	JJ	several
uh	UH	uh
people	NNS	people
wounded	VVN	wound
did	VVD	do
it	PP	it
have	VHP	have
to	TO	to
come	VV	come
to	TO	to
that	WDT	that
I	PP	I
mean	VVP	mean
that	IN/that	that
could	MD	could
it	PP	it
have	VHP	have
been	VBN	be
avoided	VVN	avoid
you	PP	you
know	VVP	know
I	PP	I
I	PP	I
really	RB	really
don	VVP	don
'	POS	'
t	NN	t
understand	VV	understand
why	WRB	why
the	DT	the
Israeli	JJ	Israeli
military	NN	military
was	VBD	be
shooting	VVG	shoot
at	IN	at
at	IN	at
uh	UH	uh
people	NNS	people
desperate	JJ	desperate
people	NNS	people
seeking	VVG	seek
Aid	NN	aid
I	PP	I
can	MD	can
'	''	'
t	NN	t
imagine	VV	imagine
that	IN/that	that
that	WDT	that
any	DT	any
Aid	NP	Aid
workers	NNS	worker
would	MD	would
want	VV	want
um	JJ	um
people	NNS	people
who	WP	who
are	VBP	be
desperate	JJ	desperate
and	CC	and
and	CC	and
and	CC	and
on	IN	on
the	DT	the
brink	NN	brink
of	IN	of
starvation	NN	starvation
to	TO	to
be	VB	be
shot	VVN	shoot
while	IN	while
seeking	VVG	seek
out	RP	out
Aid	NN	aid
of	IN	of
course	NN	course
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
we	PP	we
need	VVP	need
in	IN	in
order	NN	order
for	IN	for
us	PP	us
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
deliver	VV	deliver
Aid	NP	Aid
safely	RB	safely
is	VBZ	be
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
guarantees	NNS	guarantee
of	IN	of
access	NN	access
to	TO	to
all	DT	all
parts	NNS	part
of	IN	of
Gaza	NP	Gaza
where	WRB	where
where	WRB	where
AID	NN	aid
workers	NNS	worker
and	CC	and
those	DT	those
seeking	VVG	seek
out	RP	out
Aid	NN	aid
will	MD	will
will	MD	will
be	VB	be
guaranteed	VVN	guarantee
of	IN	of
their	PP$	their
safety	NN	safety
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
conditions	NNS	condition
of	IN	of
of	IN	of
those	DT	those
attempted	JJ	attempted
distributions	NNS	distribution
earlier	RBR	earlier
this	DT	this
week	NN	week
it	PP	it
'	POS	'
s	NN	S
just	RB	just
simply	RB	simply
unacceptable	JJ	unacceptable
what	WP	what
is	VBZ	be
your	PP$	your
understanding	NN	understanding
of	IN	of
the	DT	the
food	NN	food
security	NN	security
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
now	RB	now
particularly	RB	particularly
in	IN	in
the	DT	the
north	NN	north
I	PP	I
mean	VVP	mean
how	WRB	how
big	JJ	big
a	DT	a
blow	NN	blow
is	VBZ	be
it	PP	it
that	IN/that	that
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
this	DT	this
suspension	NN	suspension
of	IN	of
food	NN	food
Aid	NN	aid
well	RB	well
as	RB	as
of	IN	of
now	RB	now
children	NNS	child
15	CD	@card@
.	SENT	.
6	CD	@card@
%	NN	%
of	IN	of
children	NNS	child
under	IN	under
the	DT	the
age	NN	age
of	IN	of
two	CD	two
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
are	VBP	be
facing	VVG	face
acute	JJ	acute
starvation	NN	starvation
these	DT	these
are	VBP	be
unprecedented	JJ	unprecedented
numbers	NNS	number
prior	RB	prior
to	TO	to
October	NP	October
7th	JJ	7th
less	RBR	less
than	IN	than
1	CD	@card@
%	NN	%
of	IN	of
children	NNS	child
throughout	IN	throughout
Gaza	NP	Gaza
uh	UH	uh
we	PP	we
'	''	'
re	IN	re
facing	VVG	face
that	DT	that
level	NN	level
of	IN	of
starvation	NN	starvation
and	CC	and
Mal	JJ	Mal
malnutrition	NN	malnutrition
so	IN	so
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
quite	RB	quite
quite	RB	quite
severe	JJ	severe
in	IN	in
terms	NNS	term
of	IN	of
Northern	NP	Northern
Gaza	NP	Gaza
there	RB	there
'	POS	'
s	JJ	s
limited	JJ	limited
food	NN	food
getting	VVG	get
in	IN	in
there	RB	there
people	NNS	people
are	VBP	be
running	VVG	run
out	RP	out
of	IN	of
even	RB	even
animal	JJ	animal
fodder	NN	fodder
to	TO	to
eat	VV	eat
uh	UH	uh
I	PP	I
was	VBD	be
speaking	VVG	speak
to	TO	to
one	CD	one
of	IN	of
my	PP$	my
colleagues	NNS	colleague
today	RB	today
who	WP	who
'	POS	'
s	NN	S
in	IN	in
Rafa	NP	Rafa
who	WP	who
'	POS	'
s	NN	S
in	IN	in
touch	NN	touch
with	IN	with
Folks	NP	Folks
up	IN	up
north	RB	north
telling	VVG	tell
us	PP	us
about	IN	about
the	DT	the
skyrocketing	VVG	skyrocket
prices	NNS	price
people	NNS	people
paying	VVG	pay
hundreds	NNS	hundred
of	IN	of
dollars	NNS	dollar
for	IN	for
a	DT	a
few	JJ	few
kilos	NNS	kilo
of	IN	of
of	IN	of
flour	VV	flour
uh	UH	uh
because	IN	because
it	PP	it
because	IN	because
the	DT	the
situation	NN	situation
is	VBZ	be
so	RB	so
desperate	JJ	desperate
in	IN	in
the	DT	the
even	RB	even
in	IN	in
the	DT	the
the	DT	the
South	NP	South
where	WRB	where
AID	NN	aid
is	VBZ	be
is	VBZ	be
more	RBR	more
plentiful	JJ	plentiful
and	CC	and
and	CC	and
some	DT	some
commercial	JJ	commercial
uh	UH	uh
commercial	JJ	commercial
goods	NNS	good
are	VBP	be
reaching	VVG	reach
the	DT	the
market	NN	market
the	DT	the
cost	NN	cost
of	IN	of
of	IN	of
food	NN	food
has	VHZ	have
just	RB	just
skyrocketed	VVN	skyrocket
and	CC	and
and	CC	and
even	RB	even
if	IN	if
people	NNS	people
have	VHP	have
money	NN	money
they	PP	they
still	RB	still
often	RB	often
cannot	MD	can
afford	VV	afford
to	TO	to
to	TO	to
purchase	VV	purchase
enough	JJ	enough
food	NN	food
for	IN	for
themselves	PP	themselves
or	CC	or
their	PP$	their
families	NNS	family
okay	RB	okay
sh	VVD	sh
uh	UH	uh
I	PP	I
really	RB	really
appreciate	VVP	appreciate
you	PP	you
talking	VVG	talk
to	TO	to
us	PP	us
communication	NN	communication
advisor	NN	advisor
at	IN	at
the	DT	the
Norwegian	JJ	Norwegian
Refugee	NN	refugee
Council	NP	Council
speaking	VVG	speak
to	TO	to
us	PP	us
there	RB	there
from	IN	from
occupied	JJ	occupied
East	NP	East
