M	NP	M
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
a	DT	a
cabinet	NN	cabinet
meeting	NN	meeting
Saturday	NP	Saturday
evening	NN	evening
and	CC	and
then	RB	then
Saturday	NP	Saturday
evening	NN	evening
um	NNS	um
the	DT	the
news	NN	news
CES	NN	CES
actually	RB	actually
the	DT	the
meeting	NN	meeting
has	VHZ	have
been	VBN	be
postponed	VVN	postpone
to	TO	to
Sunday	NP	Sunday
or	CC	or
or	CC	or
Monday	NP	Monday
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
the	DT	the
minister	NN	minister
of	IN	of
War	NP	War
Gallant	NN	gallant
has	VHZ	have
called	VVN	call
to	TO	to
a	DT	a
meeting	NN	meeting
with	IN	with
his	PP$	his
security	NN	security
leadership	NN	leadership
would	MD	would
basically	RB	basically
you	PP	you
talk	VVP	talk
about	IN	about
the	DT	the
chief	NN	chief
of	IN	of
the	DT	the
staff	NN	staff
and	CC	and
chabak	NN	chabak
and	CC	and
and	CC	and
mad	VV	mad
that	DT	that
meeting	NN	meeting
was	VBD	be
happening	VVG	happen
where	WRB	where
demonstration	NN	demonstration
was	VBD	be
going	VVG	go
on	IN	on
on	IN	on
the	DT	the
street	NN	street
actually	RB	actually
and	CC	and
they	PP	they
were	VBD	be
listening	VVG	listen
to	TO	to
what	WP	what
being	VBG	be
said	VVN	say
in	IN	in
the	DT	the
street	NN	street
uh	UH	uh
that	WDT	that
meeting	NN	meeting
I	PP	I
consider	VVP	consider
it	PP	it
an	DT	an
important	JJ	important
meeting	NN	meeting
because	IN	because
it	PP	it
is	VBZ	be
a	DT	a
message	NN	message
to	TO	to
Netanyahu	NP	Netanyahu
that	IN/that	that
there	EX	there
are	VBP	be
other	JJ	other
voices	NNS	voice
within	IN	within
Israel	NP	Israel
should	MD	should
be	VB	be
listened	VVN	listen
to	TO	to
and	CC	and
those	DT	those
are	VBP	be
the	DT	the
list	NN	list
those	DT	those
are	VBP	be
the	DT	the
people	NNS	people
in	IN	in
charge	NN	charge
in	IN	in
Real	JJ	real
uh	UH	uh
uh	UH	uh
issues	NNS	issue
when	WRB	when
it	PP	it
happened	VVD	happen
uh	UH	uh
and	CC	and
let	VV	let
'	''	'
s	NNS	s
remember	VVP	remember
that	IN/that	that
shabbach	VVG	shabbach
uh	UH	uh
uh	UH	uh
director	NN	director
he	PP	he
'	POS	'
s	NNS	s
the	DT	the
person	NN	person
who	WP	who
pushed	VVD	push
Netanyahu	NP	Netanyahu
to	TO	to
accept	VV	accept
Palestinian	JJ	Palestinian
to	TO	to
go	VV	go
to	TO	to
Ala	NP	Ala
mosque	NN	mosque
to	TO	to
avoid	VV	avoid
any	DT	any
kind	NN	kind
of	IN	of
uh	UH	uh
uh	UH	uh
confrontation	NN	confrontation
with	IN	with
the	DT	the
Palestinians	NPS	Palestinians
so	IN	so
he	PP	he
wants	VVZ	want
to	TO	to
say	VV	say
to	TO	to
Netanyahu	NP	Netanyahu
there	RB	there
is	VBZ	be
another	DT	another
perspective	NN	perspective
you	PP	you
have	VHP	have
to	TO	to
listen	VV	listen
I	PP	I
consider	VV	consider
that	IN/that	that
meeting	NN	meeting
important	JJ	important
is	VBZ	be
a	DT	a
brainstorming	NN	brainstorming
meeting	NN	meeting
so	IN	so
Gant	NP	Gant
comes	VVZ	come
to	TO	to
the	DT	the
meeting	NN	meeting
today	NN	today
with	IN	with
the	DT	the
war	NN	war
cabinet	NN	cabinet
with	IN	with
ideas	NNS	idea
with	IN	with
um	JJ	um
uh	UH	uh
suggestions	NNS	suggestion
so	IN	so
he	PP	he
can	MD	can
put	VV	put
on	IN	on
at	IN	at
the	DT	the
table	NN	table
Galant	NN	Galant
being	VBG	be
the	DT	the
Israeli	JJ	Israeli
defense	NN	defense
minister	NN	minister
so	IN	so
you	PP	you
'	POS	'
re	NN	re
saying	VVG	say
the	DT	the
security	NN	security
establishment	NN	establishment
in	IN	in
Israel	NP	Israel
has	VHZ	have
already	RB	already
had	VHN	have
its	PP$	its
meeting	NN	meeting
corre	VVD	corre
to	TO	to
to	TO	to
essentially	RB	essentially
um	JJ	um
flesh	NN	flesh
out	IN	out
their	PP$	their
position	NN	position
on	IN	on
these	DT	these
talks	NNS	talk
and	CC	and
Galant	NN	Galant
will	MD	will
kind	RB	kind
of	IN	of
be	VB	be
their	PP$	their
spokesperson	NN	spokesperson
right	RB	right
I	NP	I
'	POS	'
m	NN	m
following	VVG	follow
what	WP	what
you	PP	you
'	''	'
re	IN	re
saying	VVG	say
when	WRB	when
he	PP	he
goes	VVZ	go
to	TO	to
the	DT	the
war	NN	war
cabinet	NN	cabinet
meeting	NN	meeting
which	WDT	which
is	VBZ	be
sometime	RB	sometime
later	JJR	late
today	NN	today
this	DT	this
evening	NN	evening
absolutely	RB	absolutely
in	IN	in
Israel	NP	Israel
we	PP	we
know	VVP	know
at	IN	at
this	DT	this
war	NN	war
cabinet	NN	cabinet
meeting	NN	meeting
there	RB	there
are	VBP	be
competing	VVG	compete
voices	NNS	voice
right	RB	right
there	RB	there
'	''	'
s	NN	S
there	RB	there
'	POS	'
s	NN	S
Netanyahu	NN	Netanyahu
there	RB	there
'	POS	'
s	JJ	s
G	NN	G
as	IN	as
well	RB	well
they	PP	they
may	MD	may
not	RB	not
have	VH	have
all	PDT	all
the	DT	the
same	JJ	same
views	VVZ	view
it	PP	it
it	PP	it
sounds	VVZ	sound
like	IN	like
a	DT	a
pretty	RB	pretty
make	VV	make
or	CC	or
break	VV	break
War	NP	War
cabinet	NN	cabinet
absolutely	RB	absolutely
we	PP	we
already	RB	already
have	VHP	have
a	DT	a
statement	NN	statement
from	IN	from
Gant	NP	Gant
that	IN/that	that
you	PP	you
know	VVP	know
the	DT	the
the	DT	the
the	DT	the
government	NN	government
should	MD	should
show	VV	show
some	DT	some
flexibility	NN	flexibility
or	CC	or
should	MD	should
you	PP	you
know	VVP	know
should	MD	should
show	VV	show
some	DT	some
of	IN	of
new	JJ	new
ideas	NNS	idea
uh	UH	uh
to	TO	to
uh	UH	uh
face	VV	face
this	DT	this
proposal	NN	proposal
by	IN	by
Hamas	NP	Hamas
and	CC	and
also	RB	also
we	PP	we
are	VBP	be
hearing	VVG	hear
from	IN	from
another	DT	another
politician	NN	politician
which	WDT	which
J	NP	J
Who	WP	who
basically	RB	basically
split	VVD	split
of	IN	of
of	IN	of
uh	UH	uh
National	NP	National
Unity	NP	Unity
uh	UH	uh
front	NN	front
he	PP	he
was	VBD	be
part	NN	part
of	IN	of
Gant	NP	Gant
uh	UH	uh
front	RB	front
basically	RB	basically
he	PP	he
also	RB	also
have	VHP	have
a	DT	a
strong	JJ	strong
voice	NN	voice
now	RB	now
where	WRB	where
he	PP	he
he	PP	he
wants	VVZ	want
to	TO	to
be	VB	be
added	VVN	add
to	TO	to
the	DT	the
war	NN	war
he	PP	he
want	VVP	want
to	TO	to
be	VB	be
added	VVN	add
to	TO	to
the	DT	the
cabinet	NN	cabinet
War	NN	war
he	PP	he
he	PP	he
he	PP	he
criticized	VVD	criticize
the	DT	the
government	NN	government
there	RB	there
'	POS	'
s	NN	S
no	DT	no
clear	JJ	clear
Direction	NN	direction
he	PP	he
said	VVD	say
the	DT	the
military	NN	military
has	VHZ	have
no	DT	no
clear	JJ	clear
Target	NP	Target
yesterday	NN	yesterday
he	PP	he
made	VVD	make
a	DT	a
very	RB	very
interesting	JJ	interesting
interview	NN	interview
where	WRB	where
he	PP	he
basically	RB	basically
undermined	VVD	undermine
everything	NN	everything
net	NN	net
has	VHZ	have
done	VVN	do
so	RB	so
far	RB	far
he	PP	he
was	VBD	be
saying	VVG	say
that	IN/that	that
this	DT	this
war	NN	war
basically	RB	basically
endless	JJ	endless
and	CC	and
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
where	WRB	where
are	VBP	be
we	PP	we
going	VVG	go
and	CC	and
that	WDT	that
was	VBD	be
basically	RB	basically
I	PP	I
think	VVP	think
a	DT	a
Hummer	NP	Hummer
on	IN	on
Netanyahu	NP	Netanyahu
uh	UH	uh
internally	RB	internally
so	IN	so
uh	UH	uh
so	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
only	JJ	only
Gans	NP	Gans
it	PP	it
'	POS	'
s	NN	S
not	RB	not
only	RB	only
laid	VVN	lay
also	RB	also
there	EX	there
is	VBZ	be
another	DT	another
voice	NN	voice
criticizing	VVG	criticize
him	PP	him
from	IN	from
the	DT	the
political	JJ	political
sphere	NN	sphere
itself	PP	itself
rather	RB	rather
and	CC	and
looking	VVG	look
at	IN	at
what	WP	what
happened	VVD	happen
in	IN	in
the	DT	the
military	JJ	military
act	NN	act
in	IN	in
the	DT	the
military	JJ	military
front	NN	front
that	WDT	that
is	VBZ	be
more	JJR	more
pressure	NN	pressure
on	IN	on
Netanyahu	NP	Netanyahu
uh	UH	uh
so	RB	so
far	RB	far
so	RB	so
again	RB	again
this	DT	this
point	NN	point
that	IN/that	that
there	EX	there
there	RB	there
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
lots	NNS	lot
of	IN	of
different	JJ	different
voices	NNS	voice
correct	VVP	correct
um	NNS	um
at	IN	at
this	DT	this
war	NN	war
cabinet	NN	cabinet
meeting	NN	meeting
so	IN	so
the	DT	the
policy	NN	policy
really	RB	really
is	VBZ	be
is	VBZ	be
being	VBG	be
fleshed	VVN	flesh
out	RP	out
as	IN	as
we	PP	we
speak	VVP	speak
between	IN	between
now	RB	now
and	CC	and
that	IN/that	that
meeting	NN	meeting
something	NN	something
else	RB	else
I	PP	I
want	VVP	want
to	TO	to
put	VV	put
to	TO	to
you	PP	you
there	EX	there
are	VBP	be
two	CD	two
meetings	NNS	meeting
this	DT	this
evening	NN	evening
as	IN	as
I	PP	I
understand	VVP	understand
it	PP	it
War	NN	war
cabinet	NN	cabinet
meeting	NN	meeting
and	CC	and
then	RB	then
the	DT	the
wider	JJR	wide
cabinet	NN	cabinet
meeting	NN	meeting
where	WRB	where
the	DT	the
entire	JJ	entire
Israeli	JJ	Israeli
government	NN	government
correct	JJ	correct
is	VBZ	be
being	VBG	be
ask	VV	ask
the	DT	the
same	JJ	same
question	NN	question
of	IN	of
what	WP	what
do	VVP	do
we	PP	we
negotiate	VV	negotiate
do	VVP	do
we	PP	we
agree	VVP	agree
is	VBZ	be
there	RB	there
a	DT	a
deal	NN	deal
that	IN/that	that
we	PP	we
could	MD	could
agree	VV	agree
to	TO	to
with	IN	with
Hamas	JJ	Hamas
Etc	NN	etc
two	CD	two
levels	NNS	level
of	IN	of
decision	NN	decision
-	NN	-
making	VVG	make
well	RB	well
plan	NN	plan
Netanyahu	NP	Netanyahu
does	VVZ	do
not	RB	not
want	VV	want
to	TO	to
appear	VV	appear
that	IN/that	that
he	PP	he
'	POS	'
s	NNS	s
the	DT	the
person	NN	person
who	WP	who
'	POS	'
s	JJ	s
giving	VVG	give
concession	NN	concession
or	CC	or
um	NNS	um
giving	VVG	give
any	DT	any
kind	NN	kind
of	IN	of
uh	UH	uh
uh	UH	uh
points	NNS	point
to	TO	to
Hamas	NNS	Hamas
basically	RB	basically
he	PP	he
wanted	VVD	want
the	DT	the
war	NN	war
cabinet	NN	cabinet
to	TO	to
decide	VV	decide
come	VV	come
with	IN	with
a	DT	a
proposal	NN	proposal
take	VV	take
it	PP	it
to	TO	to
the	DT	the
wider	JJR	wide
uh	UH	uh
cabinet	NN	cabinet
where	WRB	where
basically	RB	basically
SM	NN	Sm
the	DT	the
Minister	NP	Minister
of	IN	of
Finance	NP	Finance
and	CC	and
B	NP	B
fear	VVP	fear
there	EX	there
so	RB	so
that	WDT	that
are	VBP	be
the	DT	the
voices	NNS	voice
basically	RB	basically
always	RB	always
supported	VVN	support
the	DT	the
argument	NN	argument
that	IN/that	that
Netanyahu	NP	Netanyahu
has	VHZ	have
so	RB	so
basically	RB	basically
we	PP	we
are	VBP	be
expecting	VVG	expect
whether	CC	whether
uh	UH	uh
radical	JJ	radical
voices	NNS	voice
from	IN	from
uh	UH	uh
the	DT	the
cabinet	NN	cabinet
or	CC	or
actually	RB	actually
accepting	VVG	accept
what	WP	what
the	DT	the
uh	UH	uh
uh	UH	uh
uh	UH	uh
War	NP	War
cabinet	NN	cabinet
suggest	VVP	suggest
to	TO	to
The	DT	the
Wider	NP	Wider
cabinet	NN	cabinet
it	PP	it
is	VBZ	be
Will	NP	Will
planned	VVD	plan
the	DT	the
plan	NN	plan
from	IN	from
Netanyahu	NP	Netanyahu
to	TO	to
avoid	VV	avoid
criticism	NN	criticism
directed	VVN	direct
to	TO	to
him	PP	him
that	IN/that	that
person	NN	person
it	PP	it
gives	VVZ	give
him	PP	him
political	JJ	political
cover	NN	cover
Absolut	NP	Absolut
he	PP	he
gets	VVZ	get
a	DT	a
wider	JJR	wide
approval	NN	approval
correct	VVP	correct
he	PP	he
wants	VVZ	want
a	DT	a
political	JJ	political
cover	NN	cover
he	PP	he
doesn	NP	doesn
'	POS	'
t	NN	t
want	VVP	want
to	TO	to
go	VV	go
and	CC	and
more	JJR	more
importantly	RB	importantly
we	PP	we
have	VHP	have
to	TO	to
look	VV	look
at	IN	at
the	DT	the
Mandate	NN	mandate
issue	NN	issue
because	IN	because
today	NN	today
there	EX	there
is	VBZ	be
an	DT	an
important	JJ	important
mandate	NN	mandate
issue	VV	issue
you	PP	you
me	PP	me
which	WDT	which
I	PP	I
mean	VVP	mean
giving	VVG	give
more	JJR	more
mandate	NN	mandate
to	TO	to
the	DT	the
negotiat	NN	negotiat
team	NN	team
setting	VVG	set
the	DT	the
boundaries	NNS	boundary
for	IN	for
the	DT	the
negotiating	NN	negotiating
where	WRB	where
because	IN	because
in	IN	in
in	IN	in
in	IN	in
Paris	NP	Paris
meeting	NN	meeting
he	PP	he
criticized	VVD	criticize
the	DT	the
director	NN	director
of	IN	of
mad	JJ	mad
why	WRB	why
he	PP	he
crossed	VVD	cross
some	DT	some
of	IN	of
the	DT	the
lines	NNS	line
in	IN	in
previous	JJ	previous
meetings	NNS	meeting
now	RB	now
they	PP	they
say	VVP	say
okay	RB	okay
give	VV	give
us	PP	us
the	DT	the
Mandate	NN	mandate
where	WRB	where
until	IN	until
where	WRB	where
we	PP	we
can	MD	can
move	VV	move
on	IN	on
the	DT	the
discussion	NN	discussion
we	PP	we
are	VBP	be
not	RB	not
there	RB	there
just	RB	just
to	TO	to
deliver	VV	deliver
message	NN	message
and	CC	and
take	VV	take
a	DT	a
message	NN	message
we	PP	we
want	VVP	want
to	TO	to
discuss	VV	discuss
issues	NNS	issue
with	IN	with
details	NNS	detail
and	CC	and
that	IN/that	that
'	POS	'
s	NNS	s
another	DT	another
issue	NN	issue
should	MD	should
be	VB	be
determined	VVN	determine
tonight	RB	tonight
yeah	RB	yeah
how	WRB	how
much	JJ	much
negotiating	NN	negotiating
power	NN	power
will	MD	will
they	PP	they
actually	RB	actually
have	VHP	have
when	WRB	when
they	PP	they
come	VVP	come
to	TO	to
Doha	NP	Doha
corre	NP	Corre
this	DT	this
is	VBZ	be
all	DT	all
fascinating	JJ	fascinating
stuff	NN	stuff
we	PP	we
'	POS	'
ll	NNS	ll
discuss	VV	discuss
it	PP	it
again	RB	again
but	CC	but
but	RB	but
the	DT	the
the	DT	the
key	JJ	key
takeaway	NN	takeaway
here	RB	here
is	VBZ	be
all	RB	all
of	IN	of
this	DT	this
is	VBZ	be
being	VBG	be
hammered	VVN	hammer
out	RP	out
in	IN	in
Israel	NP	Israel
today	NN	today
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
M	NN	M
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
my	PP$	my
pleasure	NN	pleasure
