<video_id>2IZbbDBA4Hc</video_id>	JJ	<video_id>2IZbbDBA4Hc</video_id>
result	NN	result
of	IN	of
what	WP	what
took	VVD	take
place	NN	place
on	IN	on
Saturday	NP	Saturday
we	PP	we
we	PP	we
have	VHP	have
just	RB	just
heard	VVN	hear
from	IN	from
the	DT	the
chief	NN	chief
of	IN	of
staff	NN	staff
of	IN	of
the	DT	the
Armed	NP	Armed
Forces	NPS	Forces
Muhammad	NP	Muhammad
bagari	NP	bagari
he's	NNS	he's
the	DT	the
second	NN	second
in	IN	in
command	NN	command
in	IN	in
Iran	NP	Iran
after	IN	after
the	DT	the
supreme	JJ	supreme
leader	NN	leader
of	IN	of
the	DT	the
country's	NNS	country's
entire	JJ	entire
uh	UH	uh
military	JJ	military
infrastructure	NN	infrastructure
he	PP	he
issued	VVD	issue
a	DT	a
statement	NN	statement
congratulating	VVG	congratulate
the	DT	the
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
and	CC	and
he	PP	he
also	RB	also
said	VVD	say
that	IN/that	that
he	PP	he
hope	VVP	hope
soon	RB	soon
they	PP	they
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
take	VV	take
control	NN	control
of	IN	of
Alexa	NP	Alexa
mosque	NN	mosque
as	IN	as
well	RB	well
H	NN	H
he	PP	he
said	VVD	say
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
Monumental	JJ	monumental
occasion	NN	occasion
and	CC	and
it	PP	it
shows	VVZ	show
that	IN/that	that
really	RB	really
Israel	NP	Israel
is	VBZ	be
not	RB	not
um	JJ	um
as	IN	as
strong	JJ	strong
as	IN	as
many	JJ	many
believe	VVP	believe
it	PP	it
to	TO	to
be	VB	be
he	PP	he
also	RB	also
went	VVD	go
on	RP	on
to	TO	to
say	VV	say
that	IN/that	that
the	DT	the
will	NN	will
of	IN	of
the	DT	the
oppressed	VVN	oppress
people	NNS	people
will	MD	will
be	VB	be
victorious	JJ	victorious
this	DT	this
is	VBZ	be
a	DT	a
sentiment	NN	sentiment
that	IN/that	that
we've	NN	we've
heard	VVN	hear
over	IN	over
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
from	IN	from
a	DT	a
number	NN	number
of	IN	of
officials	NNS	official
in	IN	in
Iran	NP	Iran
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
events	NNS	event
that	WDT	that
transpired	VVD	transpire
uh	UH	uh
in	IN	in
Palestine	NP	Palestine
and	CC	and
Israel	NP	Israel
now	RB	now
uh	UH	uh
we	PP	we
also	RB	also
saw	VVD	see
a	DT	a
number	NN	number
of	IN	of
tweets	VVZ	tweet
that	WDT	that
went	VVD	go
out	RP	out
on	IN	on
the	DT	the
Supreme	NP	Supreme
Leader	NP	Leader
social	JJ	social
media	NN	media
accounts	NNS	account
um	JJ	um
one	CD	one
of	IN	of
them	PP	them
was	VBD	be
a	DT	a
minute	NN	minute
and	CC	and
a	DT	a
one	CD	one
minute	NN	minute
video	NN	video
that	IN/that	that
they	PP	they
put	VVD	put
together	RB	together
of	IN	of
the	DT	the
events	NNS	event
and	CC	and
the	DT	the
scenes	NNS	scene
that	WDT	that
that	RB	that
unfolded	VVD	unfold
uh	UH	uh
in	IN	in
um	JJ	um
Gaza	NP	Gaza
and	CC	and
Southern	NP	Southern
Israel	NP	Israel
in	IN	in
which	WDT	which
the	DT	the
supreme	JJ	supreme
leader	NN	leader
is	VBZ	be
heard	VVN	hear
narrating	VVG	narrate
the	DT	the
footage	NN	footage
and	CC	and
saying	VVG	say
that	IN/that	that
really	RB	really
U	NN	U
congratulating	VVG	congratulate
and	CC	and
commemorating	VVG	commemorate
this	DT	this
historic	JJ	historic
event	NN	event
in	IN	in
terms	NNS	term
of	IN	of
a	DT	a
Victorious	JJ	victorious
one	CD	one
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
and	CC	and
he	PP	he
said	VVD	say
that	IN/that	that
he	PP	he
went	VVD	go
on	RP	on
to	TO	to
encourage	VV	encourage
them	PP	them
to	TO	to
continue	VV	continue
their	PP$	their
fight	NN	fight
against	IN	against
their	PP$	their
oppressor	NN	oppressor
that	WDT	that
is	VBZ	be
the	DT	the
Zionist	JJ	Zionist
regime	NN	regime
as	IN	as
he	PP	he
refers	VVZ	refer
to	TO	to
Israel	NP	Israel
um	NNS	um
the	DT	the
sense	NN	sense
here	RB	here
is	VBZ	be
that	IN/that	that
this	DT	this
is	VBZ	be
certainly	RB	certainly
going	VVG	go
to	TO	to
be	VB	be
an	DT	an
important	JJ	important
Mo	NP	Mo
um	NN	um
event	NN	event
for	IN	for
not	RB	not
only	RB	only
the	DT	the
Palestinian	JJ	Palestinian
uh	UH	uh
fractions	NNS	fraction
but	CC	but
also	RB	also
for	IN	for
Iran	NP	Iran
and	CC	and
their	PP$	their
support	NN	support
of	IN	of
those	DT	those
uh	UH	uh
movements	NNS	movement
within	IN	within
Palestine	NP	Palestine
uh	UH	uh
for	IN	for
the	DT	the
Iranian	JJ	Iranian
system	NN	system
and	CC	and
the	DT	the
establishment	NN	establishment
since	IN	since
1979	CD	@card@
Israel	NP	Israel
has	VHZ	have
been	VBN	be
certainly	RB	certainly
Public	JJ	public
Enemy	NN	enemy
Number	NP	Number
One	CD	one
at	IN	at
every	DT	every
unveiling	NN	unveiling
of	IN	of
a	DT	a
new	JJ	new
uh	UH	uh
rocket	NN	rocket
or	CC	or
missile	NN	missile
and	CC	and
the	DT	the
officials	NNS	official
here	RB	here
make	VVP	make
a	DT	a
point	NN	point
of	IN	of
uh	UH	uh
highlighting	VVG	highlight
how	WRB	how
long	JJ	long
it	PP	it
would	MD	would
take	VV	take
for	IN	for
that	DT	that
missile	NN	missile
to	TO	to
reach	VV	reach
Tel	NP	Tel
Aviv	NP	Aviv
uh	UH	uh
so	RB	so
I	PP	I
think	VVP	think
this	DT	this
certainly	RB	certainly
uh	UH	uh
going	VVG	go
to	TO	to
be	VB	be
seen	VVN	see
as	IN	as
an	DT	an
important	JJ	important
event	NN	event
the	DT	the
Iranians	NNS	Iranian
have	VHP	have
been	VBN	be
very	RB	very
careful	JJ	careful
though	RB	though
not	RB	not
to	TO	to
get	VV	get
involved	VVN	involve
specifically	RB	specifically
in	IN	in
terms	NNS	term
of	IN	of
logistics	NNS	logistic
or	CC	or
financial	JJ	financial
support	NN	support
officially	RB	officially
anyways	RB	anyways
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
we'll	RB	we'll
have	VH	have
to	TO	to
wait	VV	wait
and	CC	and
see	VV	see
what	WP	what
happens	VVZ	happen
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
how	WRB	how
the	DT	the
officials	NNS	official
here	RB	here
will	MD	will
react	VV	react
as	IN	as
a	DT	a
result	NN	result
of	IN	of
that	WDT	that
and	CC	and
of	IN	of
course	NN	course
hezb	NN	hezb
as	IN	as
we've	NNS	we've
been	VBN	be
discussing	VVG	discuss
it	PP	it
launched	VVD	launch
those	DT	those
mortar	NN	mortar
rounds	NNS	round
on	IN	on
the	DT	the
Sheba	NP	Sheba
Farms	NNS	farm
everyone	NN	everyone
very	RB	very
well	RB	well
aware	JJ	aware
of	IN	of
the	DT	the
fragility	NN	fragility
of	IN	of
the	DT	the
situation	NN	situation
certainly	RB	certainly
and	CC	and
I	PP	I
think	VV	think
uh	UH	uh
over	IN	over
the	DT	the
past	JJ	past
few	JJ	few
years	NNS	year
uh	UH	uh
we've	NN	we've
seen	VVN	see
the	DT	the
strong	JJ	strong
support	NN	support
Iran	NP	Iran
has	VHZ	have
had	VHN	have
for	IN	for
Hezbollah	NP	Hezbollah
they're	NN	they're
considered	VVN	consider
to	TO	to
be	VB	be
brothers	NNS	brother
as	IN	as
we've	NN	we've
seen	VVN	see
footage	NN	footage
rare	JJ	rare
footage	NN	footage
after	IN	after
the	DT	the
assassination	NN	assassination
of	IN	of
Kim	NP	Kim
solmani	NP	solmani
during	IN	during
the	DT	the
war	NN	war
with	IN	with
Israel	NP	Israel
between	IN	between
hezb	NP	hezb
and	CC	and
Israel	NP	Israel
we	PP	we
saw	VVD	see
kasim	NN	kasim
solmani	NNS	solmani
recounting	VVG	recount
how	WRB	how
he	PP	he
um	RB	um
helped	VVD	help
assist	VV	assist
the	DT	the
Hezbollah	NP	Hezbollah
commanders	NNS	commander
during	IN	during
those	DT	those
days	NNS	day
um	NN	um
and	CC	and
this	DT	this
was	VBD	be
a	DT	a
documentary	NN	documentary
that	WDT	that
aired	VVD	air
after	IN	after
he	PP	he
was	VBD	be
assassinated	VVN	assassinate
so	IN	so
it	PP	it
gives	VVZ	give
you	PP	you
an	DT	an
idea	NN	idea
of	IN	of
how	WRB	how
close	JJ	close
Iran's	NP	Iran's
military	JJ	military
establishment	NN	establishment
is	VBZ	be
and	CC	and
of	IN	of
course	NN	course
the	DT	the
Revolutionary	JJ	Revolutionary
guard	NN	guard
and	CC	and
the	DT	the
GS	NP	GS
Force	NP	Force
to	TO	to
Hezbollah	NP	Hezbollah
and	CC	and
of	IN	of
course	NN	course
whenever	IN	whenever
uh	UH	uh
as	RB	as
rare	JJ	rare
as	IN	as
it	PP	it
may	MD	may
be	VB	be
whenever	WRB	whenever
Hassan	NP	Hassan
Nella	NP	Nella
the	DT	the
leader	NN	leader
of	IN	of
Hezbollah	NP	Hezbollah
visits	VVZ	visit
uh	UH	uh
Iran	NP	Iran
he	PP	he
makes	VVZ	make
sure	RB	sure
to	TO	to
see	VV	see
the	DT	the
supreme	JJ	supreme
leader	NN	leader
all	PDT	all
these	DT	these
signs	NNS	sign
telling	VVG	tell
how	WRB	how
close	JJ	close
the	DT	the
two	CD	two
are	VBP	be
to	TO	to
one	PP	one
another	DT	another
I	PP	I
think	VVP	think
it's	NNS	it's
going	VVG	go
to	TO	to
be	VB	be
very	RB	very
very	RB	very
um	RB	um
important	JJ	important
to	TO	to
see	VV	see
what	WP	what
happens	VVZ	happen
in	IN	in
uh	UH	uh
Lebanon	NP	Lebanon
between	IN	between
um	VVG	um
the	DT	the
that	DT	that
area	NN	area
that	WDT	that
is	VBZ	be
now	RB	now
um	JJ	um
seeing	VVG	see
some	DT	some
activities	NNS	activity
between	IN	between
Hezbollah	NP	Hezbollah
Fighters	NNS	fighter
and	CC	and
Israel	NP	Israel
uh	UH	uh
Iranians	NNS	Iranian
certainly	RB	certainly
will	MD	will
be	VB	be
monitoring	VVG	monitor
that	IN/that	that
very	RB	very
closely	RB	closely
it	PP	it
will	MD	will
also	RB	also
have	VH	have
ramifications	NNS	ramification
for	IN	for
Iran	NP	Iran
there	RB	there
people	NNS	people
the	DT	the
general	JJ	general
public	NN	public
is	VBZ	be
certainly	RB	certainly
concerned	VVN	concern
about	IN	about
the	DT	the
events	NNS	event
that	WDT	that
have	VHP	have
unfolded	VVN	unfold
as	RB	as
and	CC	and
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
it	PP	it
would	MD	would
mean	VV	mean
for	IN	for
their	PP$	their
own	JJ	own
safety	NN	safety
down	IN	down
the	DT	the
line	NN	line
Israel	NP	Israel
has	VHZ	have
over	RB	over
and	CC	and
over	RB	over
again	RB	again
said	VVN	say
is	VBZ	be
one	CD	one
of	IN	of
their	PP$	their
main	JJ	main
uh	UH	uh
security	NN	security
concerns	NNS	concern
and	CC	and
threats	VVZ	threat
uh	UH	uh
to	TO	to
the	DT	the
uh	UH	uh
establishment	NN	establishment
in	IN	in
Israel	NP	Israel
to	TO	to
the	DT	the
whole	JJ	whole
country	NN	country
uh	UH	uh
so	RB	so
I	PP	I
think	VVP	think
what	WP	what
happens	VVZ	happen
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
and	CC	and
days	NNS	day
will	MD	will
certainly	RB	certainly
be	VB	be
very	RB	very
important	JJ	important
for	IN	for
all	DT	all
sides	NNS	side
and	CC	and
daa	NNS	daa
thank	VVP	thank
you	PP	you
for	IN	for
that	DT	that
da	NP	da
Jabari	NP	Jabari
and	CC	and
Teran	NP	Teran
back	RB	back
with	IN	with
you	PP	you
later	JJR	late
daughter	NN	daughter
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
