<video_id>yTnOvQNTQJ0</video_id>	NP	<video_id>yTnOvQNTQJ0</video_id>
to	TO	to
our	PP$	our
credibility	NN	credibility
on	IN	on
the	DT	the
world	NN	world
stage	VV	stage
uh	UH	uh
and	CC	and
I	PP	I
I	PP	I
do	VVP	do
hope	NN	hope
um	NNS	um
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
shift	NN	shift
in	IN	in
in	IN	in
that	DT	that
acknowledgement	NN	acknowledgement
because	IN	because
these	DT	these
journalists	NNS	journalist
in	IN	in
Gaza	NP	Gaza
Risk	NP	Risk
Everything	NN	everything
um	NN	um
to	TO	to
to	TO	to
tell	VV	tell
a	DT	a
story	NN	story
to	TO	to
Bear	NP	Bear
witness	VV	witness
uh	UH	uh
and	CC	and
without	IN	without
the	DT	the
the	DT	the
Press	NP	Press
we	PP	we
wouldn't	VVD	wouldn't
know	VV	know
many	DT	many
um	JJ	um
uh	UH	uh
you	PP	you
know	VVP	know
historic	JJ	historic
uh	UH	uh
conflicts	NNS	conflict
that	WDT	that
have	VHP	have
taken	VVN	take
place	NN	place
around	IN	around
the	DT	the
world	NN	world
uh	UH	uh
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
we	PP	we
do	VVP	do
not	RB	not
recognize	VV	recognize
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
death	NN	death
and	CC	and
Devastation	NN	devastation
that	WDT	that
is	VBZ	be
faced	VVN	face
um	NN	um
by	IN	by
uh	UH	uh
journalists	NNS	journalist
in	IN	in
in	IN	in
Gaza	NP	Gaza
I	PP	I
think	VVP	think
is	VBZ	be
very	RB	very
telling	VVG	tell
uh	UH	uh
and	CC	and
is	VBZ	be
heartbreaking	JJ	heartbreaking
and	CC	and
they're	NN	they're
specifically	RB	specifically
targeting	VVG	target
the	DT	the
few	JJ	few
journalists	NNS	journalist
that	WDT	that
are	VBP	be
there	IN	here
which	WDT	which
there	EX	there
are	VBP	be
only	RB	only
a	DT	a
few	JJ	few
particularly	RB	particularly
from	IN	from
Al	NP	Al
jazer	NN	jazer
what	WP	what
is	VBZ	be
your	PP$	your
message	NN	message
to	TO	to
the	DT	the
US	NP	US
government	NN	government
to	TO	to
protect	VV	protect
our	PP$	our
journalists	NNS	journalist
we	PP	we
have	VHP	have
an	DT	an
obligation	NN	obligation
um	NN	um
as	IN	as
as	IN	as
a	DT	a
country	NN	country
that	WDT	that
truly	RB	truly
believes	VVZ	believe
in	IN	in
the	DT	the
the	DT	the
freedom	NN	freedom
of	IN	of
the	DT	the
press	NN	press
in	IN	in
the	DT	the
protection	NN	protection
of	IN	of
the	DT	the
press	NN	press
in	IN	in
their	PP$	their
ability	NN	ability
um	NN	um
to	TO	to
uh	UH	uh
to	TO	to
freely	RB	freely
move	VV	move
around	RP	around
in	IN	in
in	IN	in
war	NN	war
zones	NNS	zone
um	NN	um
and	CC	and
I	PP	I
want	VVP	want
them	PP	them
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
that	WDT	that
they	PP	they
shift	VVP	shift
um	VVG	um
their	PP$	their
behavior	NN	behavior
uh	UH	uh
towards	IN	towards
the	DT	the
ones	NNS	one
that	WDT	that
are	VBP	be
in	IN	in
laza	NN	laza
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alaz	NN	alaz
</doc>	NN	</doc>
