<video_id>TsJ0XDgDdcs</video_id>	JJ	<video_id>TsJ0XDgDdcs</video_id>
University	NP	University
he	PP	he
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
Eugene	NP	Eugene
in	IN	in
Oregon	NP	Oregon
Michael	NP	Michael
this	DT	this
word	NN	word
famine	NN	famine
it's	NNS	it's
obviously	RB	obviously
a	DT	a
technical	JJ	technical
term	NN	term
it	PP	it
has	VHZ	have
very	RB	very
specific	JJ	specific
connotations	NNS	connotation
so	IN	so
a	DT	a
certain	JJ	certain
proportion	NN	proportion
of	IN	of
children	NNS	child
for	IN	for
instance	NN	instance
need	VVP	need
to	TO	to
be	VB	be
dying	VVG	die
in	IN	in
order	NN	order
for	IN	for
it	PP	it
to	TO	to
be	VB	be
used	VVN	use
we	PP	we
know	VVP	know
that	IN/that	that
that	DT	that
is	VBZ	be
now	RB	now
happening	VVG	happen
in	IN	in
parts	NNS	part
of	IN	of
Gaza	NP	Gaza
but	CC	but
I	PP	I
wonder	VVP	wonder
if	IN	if
if	IN	if
a	DT	a
technical	JJ	technical
threshold	NN	threshold
like	IN	like
this	DT	this
can	MD	can
be	VB	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
distraction	NN	distraction
I	PP	I
mean	VVP	mean
this	DT	this
is	VBZ	be
a	DT	a
graded	VVN	grade
scale	NN	scale
right	RB	right
the	DT	the
level	NN	level
of	IN	of
starvation	NN	starvation
below	IN	below
famine	NN	famine
is	VBZ	be
still	RB	still
profound	JJ	profound
thank	VV	thank
you	PP	you
Nastasia	NP	Nastasia
no	DT	no
I	PP	I
think	VVP	think
you're	NN	you're
quite	RB	quite
right	RB	right
in	IN	in
terms	NNS	term
of	IN	of
of	IN	of
course	NN	course
there's	RB	there's
a	DT	a
technical	JJ	technical
definition	NN	definition
it	PP	it
measures	VVZ	measure
the	DT	the
number	NN	number
of	IN	of
people	NNS	people
affected	VVN	affect
uh	UH	uh
about	RB	about
one	CD	one
it	PP	it
looks	VVZ	look
for	IN	for
one	CD	one
out	RB	out
of	IN	of
three	CD	three
children	NNS	child
uh	UH	uh
being	VBG	be
acutely	RB	acutely
malnourished	JJ	malnourished
um	NNS	um
but	CC	but
ultimately	RB	ultimately
what	WDT	what
famine	NN	famine
means	VVZ	mean
is	VBZ	be
an	DT	an
a	DT	a
significant	JJ	significant
increase	NN	increase
of	IN	of
rate	NN	rate
of	IN	of
people	NNS	people
dying	VVG	die
from	IN	from
hunger	NN	hunger
and	CC	and
malnutrition	NN	malnutrition
and	CC	and
the	DT	the
challenge	NN	challenge
is	VBZ	be
how	WRB	how
do	VVP	do
you	PP	you
measure	VV	measure
that	IN/that	that
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
a	DT	a
war	NN	war
yeah	RB	yeah
so	RB	so
what	WP	what
we're	NN	we're
hearing	NN	hearing
is	VBZ	be
yes	UH	yes
there's	RB	there's
a	DT	a
significant	JJ	significant
risk	NN	risk
of	IN	of
famine	NN	famine
but	CC	but
now	RB	now
I'm	NN	I'm
wondering	VVG	wonder
are	VBP	be
we	PP	we
actually	RB	actually
in	IN	in
a	DT	a
famine	NN	famine
it's	NNS	it's
unclear	JJ	unclear
so	IN	so
what	WP	what
is	VBZ	be
clear	JJ	clear
is	VBZ	be
that	IN/that	that
all	DT	all
children	NNS	child
under	IN	under
the	DT	the
age	NN	age
of	IN	of
five	CD	five
in	IN	in
Gaza	NP	Gaza
so	IN	so
that's	NP	that's
335	CD	@card@
children	NNS	child
are	VBP	be
not	RB	not
getting	VVG	get
enough	JJ	enough
nutrition	NN	nutrition
that	WDT	that
means	VVZ	mean
they're	NN	they're
all	RB	all
at	IN	at
the	DT	the
risk	NN	risk
of	IN	of
permanent	JJ	permanent
physical	JJ	physical
and	CC	and
cognitive	JJ	cognitive
impairment	NN	impairment
what	WP	what
doctors	NNS	doctor
call	VVP	call
stunting	VVG	stunt
their	PP$	their
future	NN	future
is	VBZ	be
at	IN	at
stake	NN	stake
Michael	NP	Michael
I	PP	I
want	VVP	want
to	TO	to
talk	VV	talk
about	IN	about
the	DT	the
speed	NN	speed
and	CC	and
the	DT	the
scale	NN	scale
of	IN	of
this	DT	this
we	PP	we
keep	VVP	keep
hearing	VVG	hear
the	DT	the
word	NN	word
unprecedented	JJ	unprecedented
but	CC	but
I	PP	I
wonder	VVP	wonder
if	IN	if
you	PP	you
can	MD	can
help	VV	help
us	PP	us
put	VV	put
this	DT	this
in	IN	in
context	NN	context
there	EX	there
have	VHP	have
been	VBN	be
famines	NNS	famine
declared	VVN	declare
in	IN	in
places	NNS	place
like	IN	like
Somalia	NP	Somalia
Yemen	NP	Yemen
Ethiopia	NP	Ethiopia
that	WDT	that
got	VVD	get
a	DT	a
lot	NN	lot
of	IN	of
publicity	NN	publicity
how	WRB	how
does	VVZ	do
this	DT	this
compare	NN	compare
right	NN	right
and	CC	and
I'm	NN	I'm
always	RB	always
careful	JJ	careful
not	RB	not
to	TO	to
compare	VV	compare
different	JJ	different
famines	NNS	famine
every	DT	every
catastrophe	NN	catastrophe
and	CC	and
every	DT	every
atrocity	NN	atrocity
is	VBZ	be
its	PP$	its
own	JJ	own
has	VHZ	have
its	PP$	its
own	JJ	own
Dynamic	NN	dynamic
the	DT	the
what's	NN	what's
what's	NNS	what's
unique	JJ	unique
about	IN	about
this	DT	this
one	CD	one
has	VHZ	have
been	VBN	be
the	DT	the
speed	NN	speed
and	CC	and
how	WRB	how
complete	JJ	complete
we've	NN	we've
never	RB	never
seen	VVN	see
2.2	CD	@card@
million	CD	million
civilians	NNS	civilian
made	VVN	make
to	TO	to
go	VV	go
hungry	JJ	hungry
within	IN	within
weeks	NNS	week
so	IN	so
we've	NN	we've
never	RB	never
seen	VVN	see
this	DT	this
degree	NN	degree
of	IN	of
hunger	NN	hunger
used	VVN	use
as	IN	as
a	DT	a
weapon	NN	weapon
so	RB	so
quickly	RB	quickly
and	CC	and
so	RB	so
completely	RB	completely
uh	UH	uh
uh	UH	uh
ever	RB	ever
Michael	NP	Michael
you	PP	you
you	PP	you
said	VVD	say
it's	NNS	it's
being	VBG	be
used	VVN	use
as	IN	as
a	DT	a
weapon	NN	weapon
so	IN	so
the	DT	the
pattern	NN	pattern
of	IN	of
Israeli	JJ	Israeli
attack	NN	attack
the	DT	the
borrowing	NN	borrowing
of	IN	of
food	NN	food
Aid	NN	aid
in	IN	in
your	PP$	your
mind	NN	mind
that	WDT	that
tells	VVZ	tell
us	PP	us
about	IN	about
the	DT	the
intent	NN	intent
here	RB	here
well	RB	well
exactly	RB	exactly
to	TO	to
understand	VV	understand
how	WRB	how
did	VVD	do
this	DT	this
happen	VV	happen
so	RB	so
quickly	RB	quickly
it	PP	it
doesn't	VVD	doesn't
happen	VV	happen
by	IN	by
chance	NN	chance
starvation	NN	starvation
wherever	WRB	wherever
it	PP	it
happens	VVZ	happen
is	VBZ	be
always	RB	always
the	DT	the
result	NN	result
of	IN	of
political	JJ	political
choices	NNS	choice
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
same	JJ	same
case	NN	case
here	RB	here
so	RB	so
first	JJ	first
Israel	NP	Israel
declared	VVD	declare
a	DT	a
Siege	NN	siege
on	IN	on
October	NP	October
9th	JJ	9th
and	CC	and
immediately	RB	immediately
imple	NN	imple
implemented	VVD	implement
a	DT	a
Siege	NN	siege
now	IN	now
which	WDT	which
meant	VVD	mean
they	PP	they
blocked	VVD	block
all	DT	all
food	NN	food
water	NN	water
fuel	NN	fuel
and	CC	and
medicine	NN	medicine
to	TO	to
civilians	NNS	civilian
now	RB	now
we're	VVP	we're
seeing	VVG	see
a	DT	a
ickle	NN	ickle
of	IN	of
humanitarian	JJ	humanitarian
relief	NN	relief
make	VV	make
its	PP$	its
way	NN	way
in	IN	in
but	CC	but
what	WP	what
we're	NN	we're
hearing	NN	hearing
from	IN	from
un	NN	un
agencies	NNS	agency
is	VBZ	be
that	DT	that
uh	UH	uh
humanitarian	JJ	humanitarian
relief	NN	relief
is	VBZ	be
not	RB	not
reaching	VVG	reach
most	JJS	most
of	IN	of
Gaza	NP	Gaza
so	IN	so
it's	NNS	it's
not	RB	not
enough	RB	enough
so	IN	so
the	DT	the
current	JJ	current
Siege	NN	siege
is	VBZ	be
one	CD	one
cause	NN	cause
but	CC	but
this	DT	this
is	VBZ	be
also	RB	also
an	DT	an
ongoing	JJ	ongoing
problem	NN	problem
there	EX	there
was	VBD	be
a	DT	a
16year	JJ	16year
blockade	NN	blockade
before	IN	before
this	DT	this
so	RB	so
even	RB	even
before	IN	before
the	DT	the
war	NN	war
half	NN	half
of	IN	of
people	NNS	people
in	IN	in
Gaza	NP	Gaza
were	VBD	be
food	NN	food
insecure	JJ	insecure
and	CC	and
80%	CD	@card@
depended	VVN	depend
on	IN	on
Aid	NP	Aid
so	RB	so
already	RB	already
Israel	NP	Israel
made	VVD	make
the	DT	the
situation	NN	situation
precarious	JJ	precarious
through	IN	through
um	NNS	um
through	IN	through
a	DT	a
blockade	NN	blockade
then	RB	then
it	PP	it
imposes	VVZ	impose
a	DT	a
Siege	NN	siege
during	IN	during
the	DT	the
war	NN	war
then	RB	then
it	PP	it
destroys	VVZ	destroy
civilian	JJ	civilian
infrastructure	NN	infrastructure
so	IN	so
Israel	NP	Israel
has	VHZ	have
destroyed	VVN	destroy
hospitals	NNS	hospital
homes	NNS	home
roads	NNS	road
um	NNS	um
making	VVG	make
everyday	JJ	everyday
life	NN	life
impossible	JJ	impossible
and	CC	and
finally	RB	finally
what	WP	what
I'm	NN	I'm
receiving	VVG	receive
reports	NNS	report
is	VBZ	be
the	DT	the
destruction	NN	destruction
of	IN	of
the	DT	the
food	NN	food
system	NN	system
itself	PP	itself
meaning	VVG	mean
Israel	NP	Israel
has	VHZ	have
destroyed	VVN	destroy
approximately	RB	approximately
22%	CD	@card@
of	IN	of
agricultural	JJ	agricultural
land	NN	land
it's	NNS	it's
destroyed	VVD	destroy
70%	CD	@card@
of	IN	of
fishing	NN	fishing
boats	NNS	boat
and	CC	and
has	VHZ	have
denied	VVN	deny
Fishers	NNS	fisher
access	NN	access
to	TO	to
the	DT	the
Sea	NP	Sea
so	RB	so
even	RB	even
if	IN	if
uh	UH	uh
Gaz	NP	Gaz
gazin	NN	gazin
wanted	VVD	want
to	TO	to
feed	VV	feed
themselves	PP	themselves
Israel	NP	Israel
is	VBZ	be
destroying	VVG	destroy
their	PP$	their
food	NN	food
system	NN	system
so	IN	so
you	PP	you
put	VVP	put
all	DT	all
of	IN	of
these	DT	these
combined	VVN	combine
this	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
we're	VVP	we're
seeing	VVG	see
this	DT	this
risk	NN	risk
of	IN	of
famine	NN	famine
happen	VV	happen
so	RB	so
quickly	RB	quickly
Michael	NP	Michael
from	IN	from
what	WP	what
you're	NN	you're
were	VBD	be
saying	VVG	say
it	PP	it
sounds	VVZ	sound
like	IN	like
you	PP	you
believe	VVP	believe
that	IN/that	that
this	DT	this
is	VBZ	be
systematic	JJ	systematic
we've	NN	we've
also	RB	also
seen	VVN	see
the	DT	the
destruction	NN	destruction
of	IN	of
farms	NNS	farm
and	CC	and
attacks	NNS	attack
on	IN	on
farmers	NNS	farmer
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
what	WP	what
in	IN	in
your	PP$	your
mind	NN	mind
is	VBZ	be
Israel's	NPS	Israel's
aim	VVP	aim
here	RB	here
I	PP	I
mean	VVP	mean
their	PP$	their
declared	VVN	declare
aim	NN	aim
has	VHZ	have
been	VBN	be
to	TO	to
push	VV	push
out	RP	out
Palestinians	NNS	Palestinian
out	RP	out
of	IN	of
Gaza	NP	Gaza
they've	NN	they've
said	VVD	say
as	RB	as
much	RB	much
in	IN	in
in	IN	in
black	JJ	black
and	CC	and
white	JJ	white
terms	NNS	term
they've	NN	they've
used	VVD	use
dehumanizing	VVG	dehumanize
language	NN	language
they've	NN	they've
called	VVD	call
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
animals	NNS	animal
and	CC	and
they've	JJ	they've
targeted	JJ	targeted
civilians	NNS	civilian
simply	RB	simply
because	IN	because
they're	JJ	they're
Palestinian	JJ	Palestinian
um	NNS	um
so	RB	so
and	CC	and
their	PP$	their
aim	NN	aim
is	VBZ	be
again	RB	again
from	IN	from
what	WP	what
we	PP	we
keep	VVP	keep
hearing	NN	hearing
and	CC	and
in	IN	in
black	JJ	black
and	CC	and
white	JJ	white
terms	NNS	term
this	DT	this
is	VBZ	be
not	RB	not
reading	VVG	read
between	IN	between
the	DT	the
line	NN	line
lines	NNS	line
it	PP	it
sounds	VVZ	sound
like	IN	like
to	TO	to
occupy	VV	occupy
Gaza	NP	Gaza
even	RB	even
more	RBR	more
and	CC	and
to	TO	to
push	VV	push
out	RP	out
Palestinians	NNS	Palestinian
as	IN	as
much	JJ	much
as	IN	as
possible	JJ	possible
Michael	NP	Michael
you	PP	you
are	VBP	be
the	DT	the
UN	NP	UN
special	JJ	special
rapporter	NN	rapporter
on	IN	on
the	DT	the
right	NN	right
to	TO	to
food	NN	food
what	WP	what
can	MD	can
the	DT	the
UN	NP	UN
do	VVP	do
right	RB	right
now	RB	now
other	JJ	other
than	IN	than
ask	VV	ask
Israel	NP	Israel
to	TO	to
let	VV	let
more	JJR	more
food	NN	food
in	IN	in
I	PP	I
mean	VVP	mean
through	IN	through
formal	JJ	formal
channels	NNS	channel
we've	NN	we've
seen	VVN	see
everything	NN	everything
we've	NN	we've
seen	VVN	see
the	DT	the
security	NN	security
Council	NN	council
we've	NN	we've
seen	VVN	see
the	DT	the
Secretary	NP	Secretary
General	NP	General
we've	NN	we've
seen	VVN	see
the	DT	the
general	JJ	general
assembly	NN	assembly
we've	NN	we've
yet	RB	yet
to	TO	to
hear	VV	hear
from	IN	from
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Council	NP	Council
before	IN	before
we	PP	we
turn	VVP	turn
to	TO	to
the	DT	the
UN	NP	UN
I	PP	I
think	VVP	think
people	NNS	people
on	IN	on
the	DT	the
streets	NNS	street
have	VHP	have
the	DT	the
answer	NN	answer
millions	NNS	million
of	IN	of
people	NNS	people
are	VBP	be
Marching	VVG	march
In	IN	in
the	DT	the
Streets	NPS	Street
demanding	VVG	demand
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
and	CC	and
immediate	JJ	immediate
humanitarian	JJ	humanitarian
relief	NN	relief
it's	NNS	it's
now	RB	now
time	NN	time
for	IN	for
the	DT	the
governments	NNS	government
to	TO	to
work	VV	work
together	RB	together
through	IN	through
the	DT	the
US	NP	US
and	CC	and
to	TO	to
put	VV	put
real	JJ	real
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
its	PP$	its
allies	NNS	ally
have	VHP	have
done	VVN	do
nothing	NN	nothing
to	TO	to
prevent	VV	prevent
this	DT	this
this	DT	this
risk	NN	risk
of	IN	of
famine	NN	famine
and	CC	and
this	DT	this
risk	NN	risk
of	IN	of
genocide	NN	genocide
so	RB	so
now	RB	now
it's	JJ	it's
time	NN	time
for	IN	for
people	NNS	people
to	TO	to
continue	VV	continue
pressuring	VVG	pressure
their	PP$	their
governments	NNS	government
and	CC	and
for	IN	for
governments	NNS	government
to	TO	to
economically	RB	economically
pressure	VV	pressure
Israel	NP	Israel
to	TO	to
diplomatically	RB	diplomatically
pressure	VV	pressure
Israel	NP	Israel
and	CC	and
politically	RB	politically
pressure	VV	pressure
Israel	NP	Israel
to	TO	to
stop	VV	stop
uh	UH	uh
um	VVG	um
uh	UH	uh
this	DT	this
famine	NN	famine
we've	NN	we've
spoken	VVN	speak
a	DT	a
lot	NN	lot
here	RB	here
Michael	NP	Michael
about	IN	about
intent	NN	intent
as	IN	as
many	JJ	many
Aid	NP	Aid
agencies	NNS	agency
have	VHP	have
pointed	VVN	point
out	RP	out
the	DT	the
use	NN	use
of	IN	of
starvation	NN	starvation
as	IN	as
a	DT	a
weapon	NN	weapon
of	IN	of
war	NN	war
is	VBZ	be
a	DT	a
war	NN	war
crime	NN	crime
so	IN	so
what	WP	what
sort	NN	sort
of	IN	of
accountability	NN	accountability
can	MD	can
there	RB	there
be	VB	be
will	MD	will
there	RB	there
be	VB	be
I	PP	I
to	TO	to
call	VV	call
it	PP	it
a	DT	a
war	NN	war
crime	NN	crime
in	IN	in
legal	JJ	legal
terms	NNS	term
what	WP	what
that	RB	that
means	VVZ	mean
is	VBZ	be
to	TO	to
we	PP	we
can	MD	can
try	VV	try
and	CC	and
hold	VV	hold
individuals	NNS	individual
accountable	JJ	accountable
through	IN	through
international	JJ	international
criminal	JJ	criminal
courts	NNS	court
through	IN	through
International	NP	International
court	NN	court
of	IN	of
justice	NN	justice
through	IN	through
National	NP	National
courts	NNS	court
the	DT	the
problem	NN	problem
of	IN	of
focusing	VVG	focus
on	IN	on
International	NP	International
laws	NNS	law
of	IN	of
war	NN	war
is	VBZ	be
it's	JJ	it's
often	RB	often
after	IN	after
the	DT	the
fact	NN	fact
after	IN	after
the	DT	the
fighting	VVG	fight
ends	NNS	end
and	CC	and
it	PP	it
goes	VVZ	go
after	IN	after
individuals	NNS	individual
and	CC	and
it	PP	it
still	RB	still
allows	VVZ	allow
the	DT	the
laws	NNS	law
of	IN	of
war	NN	war
still	RB	still
allow	VV	allow
for	IN	for
killing	VVG	kill
of	IN	of
people	NNS	people
and	CC	and
Israel	NP	Israel
will	MD	will
make	VV	make
the	DT	the
argument	NN	argument
that	IN/that	that
it	PP	it
is	VBZ	be
out	RB	out
of	IN	of
military	JJ	military
necessity	NN	necessity
that	IN/that	that
it	PP	it
is	VBZ	be
starving	VVG	starve
people	NNS	people
and	CC	and
that's	NNS	that's
a	DT	a
legal	JJ	legal
argument	NN	argument
it's	NNS	it's
allowed	VVN	allow
to	TO	to
make	VV	make
now	RB	now
time	NN	time
will	MD	will
tell	VV	tell
whether	IN	whether
that	WDT	that
is	VBZ	be
factually	RB	factually
true	JJ	true
or	CC	or
not	RB	not
um	JJ	um
but	CC	but
I	PP	I
think	VVP	think
what's	NNS	what's
actually	RB	actually
more	RBR	more
important	JJ	important
to	TO	to
frame	VV	frame
it	PP	it
back	RB	back
as	IN	as
a	DT	a
human	JJ	human
rights	NNS	right
concern	NN	concern
there's	RB	there's
a	DT	a
risk	NN	risk
of	IN	of
genocide	NN	genocide
and	CC	and
we've	NN	we've
seen	VVN	see
genocide	NN	genocide
actually	RB	actually
unfolding	VVG	unfold
and	CC	and
there's	RB	there's
no	DT	no
exception	NN	exception
to	TO	to
genocide	NN	genocide
there's	NNS	there's
no	DT	no
exception	NN	exception
to	TO	to
targeting	VVG	target
and	CC	and
killing	VVG	kill
Palestinians	NNS	Palestinian
simply	RB	simply
because	IN	because
they're	NN	they're
Palestinian	JJ	Palestinian
Michael	NP	Michael
fakri	NNS	fakri
there	RB	there
the	DT	the
UN	NP	UN
special	JJ	special
rapporter	NN	rapporter
on	IN	on
the	DT	the
right	NN	right
to	TO	to
food	NN	food
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
Al	NP	Al
jaer	NP	jaer
sir	NN	sir
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
</doc>	NN	</doc>
