<video_id>WHCpRJJLG6M</video_id>	JJ	<video_id>WHCpRJJLG6M</video_id>
end	NN	end
of	IN	of
the	DT	the
genocide	NN	genocide
and	CC	and
Palestinians	NNS	Palestinian
here	RB	here
as	IN	as
we	PP	we
have	VHP	have
been	VBN	be
hearing	VVG	hear
from	IN	from
them	PP	them
they	PP	they
can	MD	can
say	VV	say
that	IN/that	that
we	PP	we
uh	UH	uh
finally	RB	finally
International	NP	International
Community	NP	Community
started	VVD	start
to	TO	to
feel	VV	feel
what	WP	what
Gaza	NP	Gaza
have	VHP	have
been	VBN	be
suffering	VVG	suffer
and	CC	and
experiencing	VVG	experience
uh	UH	uh
within	IN	within
this	DT	this
uh	UH	uh
ongoing	JJ	ongoing
war	NN	war
that	IN/that	that
right	RB	right
now	RB	now
so	RB	so
passed	VVN	pass
more	JJR	more
than	IN	than
6	CD	@card@
months	NNS	month
of	IN	of
bombardment	NN	bombardment
and	CC	and
they	PP	they
have	VHP	have
been	VBN	be
calling	VVG	call
for	IN	for
an	DT	an
end	NN	end
of	IN	of
the	DT	the
genocide	NN	genocide
for	IN	for
cutting	VVG	cut
ties	NNS	tie
with	IN	with
the	DT	the
Israeli	JJ	Israeli
side	NN	side
and	CC	and
the	DT	the
that	WDT	that
completely	RB	completely
have	VHP	have
been	VBN	be
fruitful	JJ	fruitful
from	IN	from
the	DT	the
perspective	NN	perspective
of	IN	of
Palestinians	NPS	Palestinians
as	IN	as
they	PP	they
have	VHP	have
been	VBN	be
clearly	RB	clearly
see	VV	see
how	WRB	how
these	DT	these
acts	NNS	act
have	VHP	have
been	VBN	be
uh	UH	uh
contributed	VVD	contribute
to	TO	to
increasing	VVG	increase
the	DT	the
international	JJ	international
awareness	NN	awareness
about	IN	about
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
calling	VVG	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
and	CC	and
for	IN	for
bring	VV	bring
an	DT	an
end	NN	end
for	IN	for
the	DT	the
fighting	NN	fighting
on	IN	on
the	DT	the
uh	UH	uh
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
what	WP	what
we	PP	we
can	MD	can
also	RB	also
say	VV	say
as	IN	as
we've	NNS	we've
been	VBN	be
hearing	VVG	hear
from	IN	from
Palestinians	NPS	Palestinians
is	VBZ	be
that	IN/that	that
they	PP	they
do	VVP	do
know	VV	know
only	RB	only
one	CD	one
fact	NN	fact
that	IN/that	that
this	DT	this
International	NP	International
movements	NNS	movement
that	WDT	that
had	VHD	have
been	VBN	be
taken	VVN	take
by	IN	by
International	NP	International
students	NNS	student
are	VBP	be
highly	RB	highly
and	CC	and
profoundly	RB	profoundly
appreciated	VVN	appreciate
as	IN	as
they	PP	they
are	VBP	be
also	RB	also
calling	VVG	call
for	IN	for
further	JJR	further
steps	NNS	step
to	TO	to
be	VB	be
taken	VVN	take
in	IN	in
order	NN	order
to	TO	to
exert	VV	exert
more	JJR	more
pressure	NN	pressure
on	IN	on
the	DT	the
uh	UH	uh
on	IN	on
the	DT	the
decision	NN	decision
makers	NNS	maker
just	RB	just
at	IN	at
least	JJS	least
to	TO	to
bring	VV	bring
peace	NN	peace
again	RB	again
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
where	WRB	where
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
under	IN	under
unrelenting	JJ	unrelenting
bombardment	NN	bombardment
for	IN	for
more	JJR	more
than	IN	than
6	CD	@card@
months	NNS	month
right	RB	right
now	RB	now
all	DT	all
right	JJ	right
thanks	NNS	thanks
so	IN	so
much	JJ	much
taba	NNS	taba
Zoom	VVP	zoom
there	RB	there
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alaz	NN	alaz
</doc>	NN	</doc>
