<video_id>9NpQeNEjkLk</video_id>	JJ	<video_id>9NpQeNEjkLk</video_id>
other	JJ	other
parts	NNS	part
of	IN	of
this	DT	this
trip	NN	trip
more	JJR	more
than	IN	than
35	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
so	RB	so
far	RB	far
in	IN	in
Gaza	NP	Gaza
City	NP	City
where	WRB	where
mosque's	NNS	mosque's
residential	JJ	residential
buildings	NNS	building
evacuation	NN	evacuation
centers	NNS	center
were	VBD	be
targeted	VVN	target
as	IN	as
more	JJR	more
military	JJ	military
attacks	NNS	attack
have	VHP	have
been	VBN	be
carried	VVN	carry
out	RP	out
by	IN	by
the	DT	the
Israeli	JJ	Israeli
maneuvering	NN	maneuvering
troops	NNS	troop
and	CC	and
even	RB	even
within	IN	within
the	DT	the
past	JJ	past
couple	NN	couple
of	IN	of
hours	NNS	hour
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
has	VHZ	have
announced	VVN	announce
officially	RB	officially
a	DT	a
new	JJ	new
invasion	NN	invasion
of	IN	of
B	NP	B
hanu	NP	hanu
town	NN	town
by	IN	by
one	CD	one
of	IN	of
the	DT	the
military	JJ	military
brigades	NNS	brigade
as	IN	as
now	RB	now
the	DT	the
numbers	NNS	number
of	IN	of
military	JJ	military
division	NN	division
that	IN/that	that
working	VVG	work
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
had	VHD	have
reached	VVN	reach
to	TO	to
10	CD	@card@
it	PP	it
means	VVZ	mean
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
resuming	VVG	resume
the	DT	the
fighting	NN	fighting
in	IN	in
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
areas	NNS	area
okay	RB	okay
thank	VVP	thank
you	PP	you
so	RB	so
much	JJ	much
T	NN	T
reporting	VVG	report
from	IN	from
in	IN	in
central	JJ	central
Gaza	NP	Gaza
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
