<video_id>6vu-L5UMykQ</video_id>	JJ	<video_id>6vu-L5UMykQ</video_id>
ground	NN	ground
remaining	VVG	remain
public	JJ	public
facilities	NNS	facility
residential	JJ	residential
buildings	NNS	building
are	VBP	be
destroyed	VVN	destroy
or	CC	or
severely	RB	severely
damaged	VVN	damage
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
Hy	NP	Hy
also	RB	also
videos	NNS	video
are	VBP	be
emerging	VVG	emerge
from	IN	from
Palestinian	JJ	Palestinian
groups	NNS	group
what	WP	what
do	VVP	do
they	PP	they
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
fighting	NN	fighting
and	CC	and
the	DT	the
battles	NNS	battle
which	WDT	which
are	VBP	be
raging	VVG	rage
yes	RB	yes
well	RB	well
both	CC	both
in	IN	in
in	IN	in
jabalia	NN	jabalia
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
Rafa	NP	Rafa
City	NP	City
it	PP	it
reports	VVZ	report
of	IN	of
the	DT	the
extreme	JJ	extreme
confrontation	NN	confrontation
between	IN	between
Palestinian	JJ	Palestinian
fighting	VVG	fight
groups	NNS	group
and	CC	and
and	CC	and
isra	NN	isra
milit	NN	milit
and	CC	and
it's	NNS	it's
invading	VVG	invade
forces	NNS	force
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
ra	JJ	ra
we're	NN	we're
looking	VVG	look
at	IN	at
reports	NNS	report
and	CC	and
footage	NN	footage
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
f	NN	f
r	SYM	r
conducting	VVG	conduct
these	DT	these
Street	NP	Street
to	TO	to
Street	NP	Street
and	CC	and
building	NN	building
to	TO	to
building	VVG	build
uh	UH	uh
combat	VV	combat
uh	UH	uh
SP	NP	SP
clashes	NNS	clash
with	IN	with
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
uh	UH	uh
just	RB	just
taking	VVG	take
advantage	NN	advantage
of	IN	of
what	WP	what
what	WP	what
of	IN	of
the	DT	the
the	DT	the
Maze	NP	Maze
of	IN	of
rubbles	NNS	rubble
that	WDT	that
created	VVD	create
by	IN	by
the	DT	the
shocking	JJ	shocking
level	NN	level
of	IN	of
Destruction	NN	destruction
in	IN	in
the	DT	the
area	NN	area
and	CC	and
and	CC	and
helping	VVG	help
Palestinians	NNS	Palestinian
finding	VVG	find
groups	NNS	group
in	IN	in
maneuvering	NN	maneuvering
in	IN	in
the	DT	the
area	NN	area
similar	JJ	similar
situation	NN	situation
in	IN	in
in	IN	in
jabalia	NN	jabalia
as	IN	as
well	RB	well
where	WRB	where
the	DT	the
Israeli	JJ	Israeli
military	NN	military
stating	VVG	state
in	IN	in
a	DT	a
in	IN	in
a	DT	a
in	RB	in
said	VVN	say
in	IN	in
a	DT	a
statement	NN	statement
that	IN/that	that
they	PP	they
have	VHP	have
been	VBN	be
targeting	VVG	target
infrastructure	NN	infrastructure
and	CC	and
stronghold	NN	stronghold
for	IN	for
Hamas	NP	Hamas
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
we're	NN	we're
looking	VVG	look
at	IN	at
this	DT	this
comeback	NN	comeback
of	IN	of
the	DT	the
of	IN	of
Palestinian	JJ	Palestinian
uh	UH	uh
fighting	VVG	fight
groups	NNS	group
and	CC	and
pushing	VVG	push
against	IN	against
the	DT	the
Israeli	JJ	Israeli
tanks	NNS	tank
and	CC	and
armed	JJ	armed
vehicles	NNS	vehicle
in	IN	in
the	DT	the
area	NN	area
there	EX	there
were	VBD	be
earlier	JJR	early
reports	NNS	report
of	IN	of
at	IN	at
least	JJS	least
12	CD	@card@
Israeli	JJ	Israeli
soldiers	NNS	soldier
that	WDT	that
were	VBD	be
killed	VVN	kill
in	IN	in
an	DT	an
ambush	NN	ambush
this	DT	this
has	VHZ	have
not	RB	not
been	VBN	be
verified	VVN	verify
by	IN	by
or	CC	or
haven't	NN	haven't
been	VBN	be
verified	VVN	verify
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
yet	CC	yet
the	DT	the
statement	NN	statement
talks	NNS	talk
about	IN	about
group	NN	group
of	IN	of
of	IN	of
soldier	NN	soldier
who	WP	who
were	VBD	be
injured	VVN	injure
in	IN	in
in	IN	in
jabalia	NN	jabalia
as	RB	as
well	RB	well
as	IN	as
more	JJR	more
of	IN	of
them	PP	them
in	IN	in
in	IN	in
ra	JJ	ra
City	NP	City
all	DT	all
right	JJ	right
thanks	NNS	thanks
so	IN	so
much	JJ	much
hany	NP	hany
Mahmud	NP	Mahmud
there	RB	there
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
