<video_id>eF3T3SLvzyo</video_id>	JJ	<video_id>eF3T3SLvzyo</video_id>
from	IN	from
the	DT	the
main	JJ	main
road	NN	road
leading	VVG	lead
to	TO	to
Han	NP	Han
un	VVZ	un
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
here	RB	here
to	TO	to
Kuwaiti	JJ	Kuwaiti
Hospital	NN	hospital
carrying	VVG	carry
a	DT	a
doctor	NN	doctor
and	CC	and
two	CD	two
other	JJ	other
people	NNS	people
who	WP	who
were	VBD	be
on	IN	on
their	PP$	their
way	NN	way
outside	NN	outside
of	IN	of
the	DT	the
hospital	NN	hospital
a	DT	a
Qui	NNS	Qui
capture	VV	capture
around	RP	around
the	DT	the
vicinity	NN	vicinity
of	IN	of
Naser	NP	Naser
Hospital	NP	Hospital
uh	UH	uh
they	PP	they
were	VBD	be
ordered	VVN	order
by	IN	by
the	DT	the
isra	NN	isra
military	JJ	military
to	TO	to
evacuate	VV	evacuate
they	PP	they
got	VVN	get
through	IN	through
the	DT	the
checkpoints	NNS	checkpoint
but	CC	but
then	RB	then
just	RB	just
minutes	NNS	minute
away	RB	away
from	IN	from
the	DT	the
checkpoints	NNS	checkpoint
qu	NN	qu
copters	NNS	copter
attack	VVP	attack
a	DT	a
drone	NN	drone
fired	VVN	fire
at	IN	at
them	PP	them
uh	UH	uh
injuring	VVG	injure
a	DT	a
doctor	NN	doctor
who	WP	who
was	VBD	be
evacuating	VVG	evacuate
and	CC	and
two	CD	two
other	JJ	other
uh	UH	uh
people	VV	people
uh	UH	uh
an	DT	an
all	RB	all
transferred	VVN	transfer
here	RB	here
to	TO	to
Kuwaiti	JJ	Kuwaiti
Hospital	NN	hospital
next	JJ	next
to	TO	to
where	WRB	where
I'm	NP	I'm
reporting	VVG	report
uh	UH	uh
from	IN	from
this	DT	this
is	VBZ	be
what's	NNS	what's
going	VVG	go
on	IN	on
with	IN	with
evacuees	NNS	evacuee
inside	IN	inside
the	DT	the
hospital	NN	hospital
they're	NN	they're
asked	VVD	ask
to	TO	to
evacuate	VV	evacuate
ordered	VVN	order
Shar	NP	Shar
sharply	RB	sharply
by	IN	by
the	DT	the
military	NN	military
they	PP	they
go	VVP	go
through	IN	through
a	DT	a
checkpoint	NN	checkpoint
and	CC	and
then	RB	then
within	IN	within
just	JJ	just
minutes	NNS	minute
from	IN	from
there	EX	there
uh	UH	uh
evacuating	VVG	evacuate
the	DT	the
hospital	NN	hospital
they	PP	they
are	VBP	be
being	VBG	be
uh	UH	uh
they	PP	they
are	VBP	be
shot	VVN	shoot
at	IN	at
and	CC	and
fired	VVN	fire
at	IN	at
by	IN	by
either	DT	either
either	CC	either
attack	NN	attack
drones	NNS	drone
or	CC	or
heavy	JJ	heavy
Fire	NN	fire
by	IN	by
Machine	NP	Machine
uh	UH	uh
by	IN	by
machine	NN	machine
guns	NNS	gun
but	CC	but
what's	NNS	what's
going	VVG	go
on	IN	on
in	IN	in
right	NN	right
now	RB	now
at	IN	at
the	DT	the
courtyard	NN	courtyard
of	IN	of
the	DT	the
hospital	NN	hospital
Israeli	JJ	Israeli
military	NN	military
bulldozed	VVD	bulldoze
the	DT	the
Southern	JJ	Southern
Fence	NN	fence
of	IN	of
the	DT	the
hospital	NN	hospital
and	CC	and
stormed	VVD	storm
the	DT	the
courtyard	NN	courtyard
from	IN	from
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
health	NN	health
facilities	NNS	facility
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
main	JJ	main
uh	UH	uh
building	VVG	build
the	DT	the
emergency	NN	emergency
uh	UH	uh
building	NN	building
and	CC	and
uh	UH	uh
rounded	VVD	round
up	RP	up
doctors	NNS	doctor
and	CC	and
nurses	NNS	nurse
inside	IN	inside
the	DT	the
hallway	NN	hallway
of	IN	of
the	DT	the
hospital	NN	hospital
now	RB	now
right	RB	right
now	RB	now
they're	JJ	they're
asking	VVG	ask
doctors	NNS	doctor
to	TO	to
take	VV	take
all	PDT	all
the	DT	the
injuries	NNS	injury
and	CC	and
the	DT	the
patients	NNS	patient
and	CC	and
put	VV	put
them	PP	them
in	IN	in
the	DT	the
old	JJ	old
building	VVG	build
uh	UH	uh
of	IN	of
the	DT	the
of	IN	of
the	DT	the
health	NN	health
facility	NN	facility
right	RB	right
this	DT	this
is	VBZ	be
on	IN	on
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
courtyard	NN	courtyard
of	IN	of
the	DT	the
of	IN	of
the	DT	the
hospital	NN	hospital
this	DT	this
old	JJ	old
building	NN	building
represents	VVZ	represent
the	DT	the
building	NN	building
block	NN	block
and	CC	and
the	DT	the
foundation	NN	foundation
block	NN	block
of	IN	of
the	DT	the
hospital	NN	hospital
when	WRB	when
it	PP	it
was	VBD	be
established	VVN	establish
uh	UH	uh
few	JJ	few
years	NNS	year
ago	RB	ago
uh	UH	uh
there	EX	there
are	VBP	be
in	IN	in
there	EX	there
is	VBZ	be
increasingly	RB	increasingly
uh	UH	uh
devastating	JJ	devastating
news	NN	news
inside	IN	inside
the	DT	the
hospital	NN	hospital
as	IN	as
more	JJR	more
of	IN	of
these	DT	these
injuries	NNS	injury
they	PP	they
need	VVP	need
they	PP	they
need	MD	need
help	VV	help
help	VV	help
to	TO	to
move	VV	move
from	IN	from
one	CD	one
Department	NN	department
to	TO	to
another	DT	another
let	NN	let
alone	RB	alone
walking	VVG	walk
a	DT	a
quite	RB	quite
short	JJ	short
long	JJ	long
distance	NN	distance
to	TO	to
get	VV	get
to	TO	to
the	DT	the
old	JJ	old
building	NN	building
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
on	RB	on
on	IN	on
on	IN	on
oxygen	NN	oxygen
tanks	NNS	tank
that	WDT	that
they	PP	they
need	VVP	need
to	TO	to
be	VB	be
carried	VVN	carry
with	IN	with
them	PP	them
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
preventing	VVG	prevent
doctors	NNS	doctor
preventing	VVG	prevent
any	DT	any
of	IN	of
the	DT	the
nurse	NN	nurse
to	TO	to
help	VV	help
any	DT	any
of	IN	of
these	DT	these
injuries	NNS	injury
or	CC	or
the	DT	the
patient	NN	patient
who	WP	who
suffer	VVP	suffer
from	IN	from
a	DT	a
chronic	JJ	chronic
disease	NN	disease
from	IN	from
Health	NP	Health
complications	NNS	complication
to	TO	to
lend	VV	lend
him	PP	him
a	DT	a
hand	NN	hand
to	TO	to
help	VV	help
them	PP	them
move	VV	move
from	IN	from
this	DT	this
from	IN	from
the	DT	the
emergency	NN	emergency
building	VVG	build
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
uh	UH	uh
the	DT	the
Foundation	NP	Foundation
Building	NP	Building
there's	RB	there's
also	RB	also
at	IN	at
earlier	JJR	early
hours	NNS	hour
the	DT	the
let	VVP	let
me	PP	me
just	RB	just
jump	VVP	jump
in	IN	in
there	RB	there
if	IN	if
I	PP	I
may	MD	may
just	RB	just
just	RB	just
to	TO	to
clarify	VV	clarify
make	VV	make
sure	JJ	sure
we're	NN	we're
understanding	VVG	understand
what	WP	what
you're	NN	you're
saying	VVG	say
correctly	RB	correctly
then	RB	then
so	IN	so
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
patients	NNS	patient
and	CC	and
staff	NN	staff
and	CC	and
I	PP	I
I	PP	I
I	PP	I
assume	VVP	assume
you	PP	you
mean	VVP	mean
also	RB	also
those	DT	those
who	WP	who
were	VBD	be
just	RB	just
taking	VVG	take
Refuge	NP	Refuge
from	IN	from
the	DT	the
displaced	VVN	displace
people	NNS	people
they've	NNS	they've
been	VBN	be
told	VVN	tell
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
authorities	NNS	authority
to	TO	to
move	VV	move
towards	IN	towards
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
courtyard	NN	courtyard
so	RB	so
assumably	RB	assumably
there's	RB	there's
still	RB	still
a	DT	a
lot	NN	lot
of	IN	of
civilians	NNS	civilian
inside	IN	inside
the	DT	the
NASA	NP	NASA
hospital	NN	hospital
and	CC	and
the	DT	the
other	JJ	other
thing	NN	thing
you've	NN	you've
mentioned	VVN	mention
is	VBZ	be
some	DT	some
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
were	VBD	be
trying	VVG	try
to	TO	to
evacuate	VV	evacuate
were	VBD	be
attacked	VVN	attack
by	IN	by
Israeli	JJ	Israeli
military	JJ	military
drones	NNS	drone
after	IN	after
they	PP	they
crossed	VVD	cross
a	DT	a
checkpoint	NN	checkpoint
is	VBZ	be
that	WDT	that
is	VBZ	be
that	IN/that	that
the	DT	the
picture	NN	picture
that's	NN	that's
emerging	VVG	emerge
yes	UH	yes
that's	NNS	that's
exactly	RB	exactly
what	WP	what
happened	VVD	happen
and	CC	and
three	CD	three
of	IN	of
those	DT	those
who	WP	who
were	VBD	be
who	WP	who
just	RB	just
evacuated	VVN	evacuate
from	IN	from
the	DT	the
hospital	NN	hospital
got	VVD	get
through	IN	through
the	DT	the
checkpoint	NN	checkpoint
to	TO	to
the	DT	the
Kuwaiti	JJ	Kuwaiti
hospital	NN	hospital
and	CC	and
not	RB	not
right	RB	right
now	RB	now
are	VBP	be
being	VBG	be
treated	VVN	treat
inside	IN	inside
the	DT	the
Kuwaiti	JJ	Kuwaiti
hospital	NN	hospital
it	PP	it
it's	NNS	it's
quite	RB	quite
long	RB	long
distance	VV	distance
they	PP	they
drove	VVD	drive
all	PDT	all
the	DT	the
way	NN	way
while	IN	while
bleeding	VVG	bleed
as	IN	as
they	PP	they
were	VBD	be
attacked	VVN	attack
by	IN	by
the	DT	the
quad	NN	quad
captur	NN	captur
those	DT	those
are	VBP	be
attack	NN	attack
drones	NNS	drone
fired	VVN	fire
at	IN	at
them	PP	them
they	PP	they
were	VBD	be
injured	VVN	injure
carried	VVN	carry
by	IN	by
people	NNS	people
in	IN	in
a	DT	a
car	NN	car
and	CC	and
brought	VVD	bring
all	PDT	all
the	DT	the
way	NN	way
from	IN	from
Kan	NP	Kan
unun	VVG	unun
uh	UH	uh
to	TO	to
the	DT	the
Kuwait	NP	Kuwait
Hospital	NP	Hospital
uh	UH	uh
right	RB	right
here	RB	here
next	JJ	next
to	TO	to
where	WRB	where
I'm	NP	I'm
reporting	VVG	report
uh	UH	uh
from	IN	from
what	WP	what
we're	NN	we're
getting	VVG	get
right	NN	right
now	RB	now
is	VBZ	be
the	DT	the
situation	NN	situation
are	VBP	be
getting	VVG	get
worse	JJR	bad
by	IN	by
uh	UH	uh
by	IN	by
the	DT	the
hour	NN	hour
not	RB	not
only	RB	only
we	PP	we
have	VHP	have
people	NNS	people
who	WP	who
are	VBP	be
inside	IN	inside
the	DT	the
hospital	NN	hospital
being	VBG	be
attacked	VVN	attack
by	IN	by
the	DT	the
is	VBZ	be
really	RB	really
invading	VVG	invade
forces	NNS	force
inside	IN	inside
the	DT	the
courtyard	NN	courtyard
of	IN	of
the	DT	the
hospital	NN	hospital
but	CC	but
also	RB	also
people	NNS	people
who	WP	who
are	VBP	be
sustaining	VVG	sustain
double	JJ	double
injuries	NNS	injury
right	RB	right
now	RB	now
we're	NN	we're
talking	VVG	talk
about	IN	about
the	DT	the
orthopedic	JJ	orthopedic
department	NN	department
where	WRB	where
people	NNS	people
who	WP	who
suffered	VVD	suffer
the	DT	the
critical	JJ	critical
injuries	NNS	injury
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
and	CC	and
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
ground	NN	ground
Invasion	NN	invasion
and	CC	and
because	IN	because
of	IN	of
the	DT	the
constant	JJ	constant
Shilling	NP	Shilling
of	IN	of
the	DT	the
department	NN	department
and	CC	and
the	DT	the
building	NN	building
where	WRB	where
the	DT	the
department	NN	department
is	VBZ	be
they	PP	they
are	VBP	be
injured	VVN	injure
while	IN	while
they	PP	they
are	VBP	be
on	IN	on
their	PP$	their
hospital	NN	hospital
bed	NN	bed
this	DT	this
is	VBZ	be
double	JJ	double
injuries	NNS	injury
and	CC	and
they	PP	they
are	VBP	be
now	RB	now
because	IN	because
the	DT	the
hospital	NN	hospital
is	VBZ	be
out	RP	out
of	IN	of
service	NN	service
completely	RB	completely
let	VVP	let
alone	RB	alone
there	EX	there
is	VBZ	be
no	DT	no
oxygen	NN	oxygen
as	IN	as
the	DT	the
oxygen	NN	oxygen
station	NN	station
destroyed	VVD	destroy
completely	RB	completely
just	RB	just
putting	VVG	put
the	DT	the
the	DT	the
their	PP$	their
life	NN	life
at	IN	at
risk	NN	risk
as	IN	as
the	DT	the
storming	VVG	storm
continue	VV	continue
and	CC	and
the	DT	the
bombing	NN	bombing
continue	VV	continue
and	CC	and
the	DT	the
uh	UH	uh
the	DT	the
rounding	VVG	round
up	RP	up
and	CC	and
a	DT	a
mass	JJ	mass
arrest	NN	arrest
is	VBZ	be
taking	VVG	take
place	NN	place
right	RB	right
now	RB	now
but	CC	but
hany	NN	hany
what's	NNS	what's
happening	VVG	happen
in	IN	in
the	DT	the
rest	NN	rest
of	IN	of
Gaza	NP	Gaza
now	RB	now
because	IN	because
there's	RB	there's
a	DT	a
lot	NN	lot
of	IN	of
concern	NN	concern
about	IN	about
the	DT	the
supply	NN	supply
of	IN	of
medicine	NN	medicine
and	CC	and
basic	JJ	basic
things	NNS	thing
like	IN	like
food	NN	food
for	IN	for
people	NNS	people
since	IN	since
it	PP	it
seems	VVZ	seem
a	DT	a
supplies	NNS	supply
have	VHP	have
been	VBN	be
disrupted	VVN	disrupt
for	IN	for
a	DT	a
while	NN	while
now	RB	now
nothing	NN	nothing
much	RB	much
is	VBZ	be
getting	VVG	get
in	IN	in
yes	RB	yes
not	RB	not
enough	RB	enough
is	VBZ	be
getting	VVG	get
in	IN	in
that	DT	that
that	WDT	that
is	VBZ	be
correct	JJ	correct
and	CC	and
we	PP	we
compare	VVP	compare
the	DT	the
the	DT	the
amount	NN	amount
of	IN	of
Aid	NP	Aid
that	WDT	that
has	VHZ	have
been	VBN	be
so	RB	so
far	RB	far
allowed	VVN	allow
into	IN	into
particularly	RB	particularly
here	RB	here
in	IN	in
ra	NN	ra
City	NP	City
compared	VVD	compare
to	TO	to
to	TO	to
the	DT	the
greater	JJR	great
needs	NNS	need
of	IN	of
people	NNS	people
displaced	VVN	displace
families	NNS	family
and	CC	and
evacuates	VVZ	evacuate
it's	NNS	it's
just	RB	just
a	DT	a
trickle	NN	trickle
amount	NN	amount
of	IN	of
food	NN	food
right	NN	right
now	RB	now
not	RB	not
only	JJ	only
we're	NN	we're
seeing	VVG	see
a	DT	a
depletion	NN	depletion
of	IN	of
basic	JJ	basic
necessities	NNS	necessity
and	CC	and
supplies	NNS	supply
and	CC	and
particularly	RB	particularly
since	IN	since
the	DT	the
announcement	NN	announcement
of	IN	of
a	DT	a
of	IN	of
a	DT	a
plan	NN	plan
to	TO	to
expand	VV	expand
the	DT	the
ground	NN	ground
invasion	NN	invasion
in	IN	in
Rafa	NP	Rafa
City	NP	City
not	RB	not
only	RB	only
a	DT	a
scarcity	NN	scarcity
of	IN	of
supplies	NNS	supply
and	CC	and
necessity	NN	necessity
but	CC	but
also	RB	also
if	IN	if
they	PP	they
are	VBP	be
available	JJ	available
prices	NNS	price
just	JJ	just
uh	UH	uh
scaled	VVN	scale
up	RP	up
to	TO	to
double	VV	double
and	CC	and
triple	VV	triple
uh	UH	uh
the	DT	the
uh	UH	uh
the	DT	the
amount	NN	amount
just	RB	just
making	VVG	make
it	PP	it
very	RB	very
difficult	JJ	difficult
for	IN	for
those	DT	those
who	WP	who
are	VBP	be
suffering	VVG	suffer
from	IN	from
financial	JJ	financial
problems	NNS	problem
and	CC	and
they	PP	they
are	VBP	be
in	IN	in
unable	JJ	unable
uh	UH	uh
to	TO	to
uh	UH	uh
to	TO	to
pay	VV	pay
for	IN	for
the	DT	the
the	DT	the
prices	NNS	price
the	DT	the
double	JJ	double
prices	NNS	price
triple	JJ	triple
prices	NNS	price
of	IN	of
these	DT	these
goods	NNS	good
and	CC	and
supplies	NNS	supply
we're	NN	we're
talking	VVG	talk
four	CD	four
months	NNS	month
and	CC	and
more	JJR	more
than	IN	than
four	CD	four
months	NNS	month
now	RB	now
no	RB	no
no	DT	no
payrolls	NNS	payroll
going	VVG	go
on	IN	on
no	DT	no
paycheck	NN	paycheck
private	JJ	private
sector	NN	sector
completely	RB	completely
destroyed	VVD	destroy
and	CC	and
and	CC	and
suffer	VV	suffer
from	IN	from
economic	JJ	economic
Suffocation	NN	suffocation
the	DT	the
employees	NNS	employee
of	IN	of
the	DT	the
Palestine	NP	Palestine
Authority	NP	Authority
have	VHP	have
not	RB	not
received	VVD	receive
uh	UH	uh
salary	NN	salary
on	IN	on
a	DT	a
regular	JJ	regular
basis	NN	basis
within	IN	within
the	DT	the
past	JJ	past
4	CD	@card@
months	NNS	month
just	RB	just
increasingly	RB	increasingly
difficult	JJ	difficult
living	NN	living
conditions	VVZ	condition
uh	UH	uh
for	IN	for
people	NNS	people
right	RB	right
now	RB	now
who	WP	who
are	VBP	be
unable	JJ	unable
uh	UH	uh
to	TO	to
meet	VV	meet
the	DT	the
the	DT	the
the	DT	the
greater	JJR	great
needs	NNS	need
that	IN/that	that
the	DT	the
that	IN/that	that
their	PP$	their
children	NNS	child
their	PP$	their
families	NNS	family
need	VVP	need
right	RB	right
now	RB	now
as	IN	as
of	IN	of
the	DT	the
the	DT	the
war	NN	war
continues	VVZ	continue
to	TO	to
make	VV	make
their	PP$	their
life	NN	life
very	RB	very
difficult	JJ	difficult
this	DT	this
is	VBZ	be
what	WP	what
what	WDT	what
have	VHP	have
what	WP	what
people	NNS	people
have	VHP	have
been	VBN	be
frustrated	VVN	frustrate
about	IN	about
it's	NNS	it's
not	RB	not
only	RB	only
the	DT	the
bombing	NN	bombing
right	RB	right
now	RB	now
that	DT	that
is	VBZ	be
killing	VVG	kill
them	PP	them
but	CC	but
also	RB	also
the	DT	the
difficult	JJ	difficult
living	NN	living
conditions	NNS	condition
the	DT	the
spread	NN	spread
of	IN	of
diseases	NNS	disease
the	DT	the
malnutrition	NN	malnutrition
that	WDT	that
risk	VVP	risk
the	DT	the
life	NN	life
of	IN	of
their	PP$	their
children	NNS	child
and	CC	and
the	DT	the
most	RBS	most
vulnerable	JJ	vulnerable
groups	NNS	group
in	IN	in
this	DT	this
war	NN	war
particularly	RB	particularly
happen	VV	happen
to	TO	to
be	VB	be
children	NNS	child
all	DT	all
right	NN	right
hany	NN	hany
Mahmud	NP	Mahmud
there	RB	there
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
that	DT	that
update	NN	update
</doc>	NN	</doc>
