<video_id>cjmD7we5edw</video_id>	JJ	<video_id>cjmD7we5edw</video_id>
not	RB	not
leave	VV	leave
uh	UH	uh
their	PP$	their
their	PP$	their
homes	VVZ	home
uh	UH	uh
because	RB	because
there	EX	there
is	VBZ	be
no	DT	no
safe	JJ	safe
passage	VV	passage
uh	UH	uh
for	IN	for
them	PP	them
to	TO	to
uh	UH	uh
to	TO	to
H	NP	H
to	TO	to
the	DT	the
southern	JJ	southern
part	VV	part
uh	UH	uh
as	RB	as
well	RB	well
as	IN	as
major	JJ	major
areas	NNS	area
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
gazb	NN	gazb
are	VBP	be
not	RB	not
also	RB	also
safe	JJ	safe
for	IN	for
evacuees	NNS	evacuee
and	CC	and
we've	NN	we've
seen	VVN	see
in	IN	in
the	DT	the
past	JJ	past
few	JJ	few
uh	UH	uh
uh	UH	uh
days	NNS	day
how	WRB	how
many	JJ	many
people	NNS	people
were	VBD	be
uh	UH	uh
were	VBD	be
a	DT	a
were	VBD	be
a	DT	a
target	NN	target
of	IN	of
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
in	IN	in
zaa	NN	zaa
area	NN	area
in	IN	in
the	DT	the
central	NN	central
of	IN	of
Gaza	NP	Gaza
uh	UH	uh
in	IN	in
kanun	NN	kanun
city	NN	city
and	CC	and
in	IN	in
Rafa	NP	Rafa
City	NP	City
mainly	RB	mainly
people	NNS	people
who	WP	who
evacuated	VVN	evacuate
from	IN	from
Gaza	NP	Gaza
City	NP	City
and	CC	and
the	DT	the
northern	JJ	northern
part	VV	part
uh	UH	uh
to	TO	to
the	DT	the
southern	JJ	southern
part	NN	part
to	TO	to
find	VV	find
themsel	JJ	themsel
uh	UH	uh
getting	VVG	get
killed	VVN	kill
uh	UH	uh
by	IN	by
those	DT	those
Relentless	JJ	relentless
air	NN	air
strikes	NNS	strike
and	CC	and
Har	NP	Har
you	PP	you
mentioned	VVD	mention
the	DT	the
hospitals	NNS	hospital
healthc	NN	healthc
care	NN	care
facilities	NNS	facility
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
collapsing	VVG	collapse
even	RB	even
as	IN	as
we	PP	we
are	VBP	be
seeing	VVG	see
these	DT	these
images	NNS	image
of	IN	of
them	PP	them
being	VBG	be
overrun	VVN	overrun
with	IN	with
new	JJ	new
waves	NNS	wave
of	IN	of
casualties	NNS	casualty
yes	RB	yes
well	RB	well
unfortunately	RB	unfortunately
uh	UH	uh
before	IN	before
these	DT	these
two	CD	two
major	JJ	major
uh	UH	uh
attacks	NNS	attack
on	IN	on
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
the	DT	the
the	DT	the
hospital	NN	hospital
was	VBD	be
already	RB	already
uh	UH	uh
working	VVG	work
under	IN	under
extreme	JJ	extreme
unusual	JJ	unusual
conditions	NNS	condition
there's	RB	there's
shortage	NN	shortage
extreme	JJ	extreme
shortage	NN	shortage
of	IN	of
medical	JJ	medical
supplies	NNS	supply
and	CC	and
Necessities	NNS	necessity
for	IN	for
the	DT	the
hospital	NN	hospital
extreme	JJ	extreme
shortage	NN	shortage
of	IN	of
a	DT	a
fuel	VV	fuel
uh	UH	uh
made	VVD	make
the	DT	the
hospital	NN	hospital
uh	UH	uh
to	TO	to
uh	UH	uh
and	CC	and
shut	VV	shut
down	RP	down
major	JJ	major
parts	NNS	part
of	IN	of
its	PP$	its
Department	NP	Department
to	TO	to
concentrate	VV	concentrate
all	PDT	all
the	DT	the
resources	NNS	resource
to	TO	to
the	DT	the
ICU	NP	ICU
units	NNS	unit
and	CC	and
the	DT	the
ventilation	NN	ventilation
uh	UH	uh
system	NN	system
but	CC	but
as	IN	as
the	DT	the
uh	UH	uh
we	PP	we
heard	VVD	hear
earlier	JJR	early
today	NN	today
the	DT	the
major	JJ	major
power	NN	power
generators	NNS	generator
has	VHZ	have
been	VBN	be
completely	RB	completely
shut	VVN	shut
down	RP	down
it's	NNS	it's
out	RP	out
of	IN	of
service	NN	service
and	CC	and
the	DT	the
hospital	NN	hospital
uh	UH	uh
is	VBZ	be
running	VVG	run
on	IN	on
subordinate	JJ	subordinate
small	JJ	small
power	NN	power
uh	UH	uh
generators	NNS	generator
but	CC	but
uh	UH	uh
these	DT	these
power	NN	power
generators	NNS	generator
are	VBP	be
not	RB	not
enough	JJ	enough
they're	NN	they're
only	RB	only
going	VVG	go
to	TO	to
work	VV	work
for	IN	for
just	RB	just
a	DT	a
limited	JJ	limited
period	NN	period
of	IN	of
time	NN	time
and	CC	and
as	RB	as
soon	RB	soon
as	IN	as
they	PP	they
are	VBP	be
they're	JJ	they're
off	RB	off
because	RB	because
of	IN	of
of	IN	of
of	IN	of
lack	NN	lack
of	IN	of
a	DT	a
fuel	VV	fuel
uh	UH	uh
the	DT	the
the	DT	the
hospital	NN	hospital
will	MD	will
just	RB	just
turn	VV	turn
into	IN	into
a	DT	a
standing	VVG	stand
facility	NN	facility
with	IN	with
no	DT	no
medical	JJ	medical
services	NNS	service
whatsoever	RB	whatsoever
this	DT	this
is	VBZ	be
the	DT	the
fear	NN	fear
that	WDT	that
uh	UH	uh
thousand	CD	thousand
of	IN	of
people	NNS	people
have	VHP	have
inside	IN	inside
the	DT	the
hospital	NN	hospital
whether	IN	whether
their	PP$	their
patients	NNS	patient
injured	VVD	injure
Palestinians	NPS	Palestinians
or	CC	or
those	DT	those
who	WP	who
are	VBP	be
killed	VVN	kill
inside	IN	inside
the	DT	the
the	DT	the
refrigerators	NNS	refrigerator
the	DT	the
they	PP	they
being	VBG	be
stored	VVN	store
there	RB	there
uh	UH	uh
the	DT	the
fear	NN	fear
that	WDT	that
is	VBZ	be
going	VVG	go
to	TO	to
create	VV	create
a	DT	a
a	DT	a
healthy	JJ	healthy
crisis	NN	crisis
as	IN	as
a	DT	a
result	NN	result
of	IN	of
this	DT	this
okay	JJ	okay
hany	NN	hany
Mahmud	NP	Mahmud
brings	VVZ	bring
the	DT	the
very	RB	very
latest	JJS	late
there	RB	there
on	IN	on
the	DT	the
situation	NN	situation
inside	IN	inside
Gaza	NP	Gaza
from	IN	from
khus	NN	khus
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
thanks	NNS	thanks
very	RB	very
much	JJ	much
hany	NN	hany
</doc>	NN	</doc>
