<video_id>l2_lBfHKzI0</video_id>	JJ	<video_id>l2_lBfHKzI0</video_id>
he	PP	he
was	VBD	be
asked	VVN	ask
about	IN	about
it	PP	it
he	PP	he
was	VBD	be
criticized	VVN	criticize
over	IN	over
why	WRB	why
Europe	NP	Europe
normally	RB	normally
responds	VVZ	respond
very	RB	very
clearly	RB	clearly
if	IN	if
there's	RB	there's
any	DT	any
conflict	NN	conflict
in	IN	in
the	DT	the
world	NN	world
about	IN	about
human	JJ	human
rights	NNS	right
abuses	NNS	abuse
of	IN	of
violations	NNS	violation
of	IN	of
international	JJ	international
law	NN	law
and	CC	and
now	RB	now
they	PP	they
have	VHP	have
a	DT	a
very	RB	very
different	JJ	different
response	NN	response
but	CC	but
he	PP	he
said	VVD	say
that's	NNS	that's
not	RB	not
true	JJ	true
we	PP	we
are	VBP	be
still	RB	still
holding	VVG	hold
Universal	JJ	universal
principles	NNS	principle
of	IN	of
Human	NP	Human
Rights	NPS	Rights
and	CC	and
he	PP	he
also	RB	also
says	VVZ	say
that	IN/that	that
he	PP	he
feels	VVZ	feel
that	IN/that	that
some	DT	some
are	VBP	be
trying	VVG	try
to	TO	to
attack	VV	attack
the	DT	the
European	JJ	European
Union	NN	union
on	IN	on
it	PP	it
and	CC	and
that	IN/that	that
they	PP	they
are	VBP	be
questioning	VVG	question
their	PP$	their
credibility	NN	credibility
so	IN	so
it's	NNS	it's
a	DT	a
very	JJ	very
uh	UH	uh
difficult	JJ	difficult
situation	NN	situation
and	CC	and
that's	NNS	that's
also	RB	also
what	WP	what
he	PP	he
described	VVD	describe
it	PP	it
for	IN	for
the	DT	the
European	NP	European
Union	NP	Union
here	RB	here
today	NN	today
step	NN	step
vasson	NN	vasson
there	RB	there
for	IN	for
us	PP	us
in	IN	in
Brussels	NNS	Brussel
with	IN	with
all	PDT	all
the	DT	the
latest	JJS	late
thank	VVP	thank
you	PP	you
step	VV	step
</doc>	NN	</doc>
