<video_id>ySQ4OTN8xYk</video_id>	NN	<video_id>ySQ4OTN8xYk</video_id>
to	TO	to
explode	VV	explode
I	PP	I
mean	VV	mean
people	NNS	people
will	MD	will
will	MD	will
cross	VV	cross
to	TO	to
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
borders	NNS	border
I	PP	I
I	PP	I
can't	VVD	can't
see	VV	see
but	CC	but
this	DT	this
scenario	NN	scenario
happening	VVG	happen
given	VVN	give
the	DT	the
very	RB	very
dire	JJ	dire
situ	NN	situ
the	DT	the
Gaza	NP	Gaza
but	CC	but
they	PP	they
can't	VVD	can't
go	VV	go
to	TO	to
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
Border	NP	Border
there	RB	there
is	VBZ	be
a	DT	a
Crossing	NN	crossing
they	PP	they
can't	VVD	can't
just	RB	just
get	VV	get
across	IN	across
it's	NNS	it's
but	CC	but
you	PP	you
never	RB	never
know	VVP	know
what	WP	what
I	PP	I
mean	VVP	mean
so	RB	so
this	DT	this
is	VBZ	be
a	DT	a
war	NN	war
zone	NN	zone
now	RB	now
I	PP	I
mean	VVP	mean
I	PP	I
mean	VVP	mean
tactically	RB	tactically
I	PP	I
mean	VVP	mean
Israel	NP	Israel
can	MD	can
I	NP	I
don't	NP	don't
want	VVP	want
to	TO	to
go	VV	go
into	IN	into
scenarios	NNS	scenario
but	CC	but
historically	RB	historically
uh	UH	uh
gazans	NNS	Gazan
have	VHP	have
fleed	VVN	fleed
once	RB	once
in	IN	in
2007	CD	@card@
to	TO	to
Egypt	NP	Egypt
they	PP	they
crossed	VVD	cross
to	TO	to
shop	VV	shop
this	DT	this
was	VBD	be
during	IN	during
another	DT	another
vicious	JJ	vicious
uh	UH	uh
Siege	VV	siege
Israel	NP	Israel
imposed	VVN	impose
but	CC	but
most	JJS	most
of	IN	of
them	PP	them
returned	VVD	return
when	WRB	when
they	PP	they
were	VBD	be
done	VVN	do
with	IN	with
their	PP$	their
shopping	NN	shopping
basic	JJ	basic
Commodities	NNS	commodity
but	CC	but
anything	NN	anything
can	MD	can
happen	VV	happen
I	PP	I
mean	VVP	mean
I	PP	I
mean	VVP	mean
you	PP	you
have	VHP	have
so	RB	so
many	JJ	many
militants	NNS	militant
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
resistance	NN	resistance
groups	NNS	group
Israel	NP	Israel
there	RB	there
I	PP	I
mean	VVP	mean
bombing	VVG	bomb
or	CC	or
opening	VVG	open
a	DT	a
hole	NN	hole
in	IN	in
the	DT	the
border	NN	border
crossing	VVG	cross
I	PP	I
mean	VV	mean
why	WRB	why
not	RB	not
I	PP	I
mean	VVP	mean
and	CC	and
and	CC	and
so	RB	so
and	CC	and
imagine	VV	imagine
this	DT	this
scenario	NN	scenario
even	RB	even
I	PP	I
mean	VVP	mean
the	DT	the
the	DT	the
official	JJ	official
Gates	NP	Gates
of	IN	of
the	DT	the
borders	NNS	border
if	IN	if
people	NNS	people
start	VVP	start
flocking	VVG	flock
in	IN	in
hundreds	NNS	hundred
or	CC	or
thousands	NNS	thousand
towards	IN	towards
that	DT	that
gate	NN	gate
you	PP	you
think	VVP	think
the	DT	the
Egyptians	NNS	Egyptian
will	MD	will
start	VV	start
shooting	VVG	shoot
at	IN	at
them	PP	them
who	WP	who
who's	NNS	who's
going	VVG	go
to	TO	to
stop	VV	stop
these	DT	these
refugees	NNS	refugee
these	DT	these
are	VBP	be
refugees	NNS	refugee
so	IN	so
it's	NNS	it's
so	RB	so
again	RB	again
I'm	NN	I'm
still	RB	still
feeling	VVG	feel
this	DT	this
scenario	NN	scenario
I	PP	I
know	VVP	know
everyone	NN	everyone
is	VBZ	be
talking	VVG	talk
the	DT	the
tokens	NNS	token
no	RB	no
for	IN	for
transfer	NN	transfer
but	CC	but
the	DT	the
reality	NN	reality
is	VBZ	be
so	RB	so
dire	JJ	dire
there	RB	there
is	VBZ	be
there	EX	there
is	VBZ	be
a	DT	a
scenario	NN	scenario
let's	NNS	let's
talk	VVP	talk
about	IN	about
something	NN	something
that's	NNS	that's
happening	VVG	happen
now	RB	now
since	IN	since
the	DT	the
end	NN	end
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
on	IN	on
Friday	NP	Friday
morning	NN	morning
we	PP	we
have	VHP	have
seen	VVN	see
hundreds	NNS	hundred
of	IN	of
civilians	NNS	civilian
being	VBG	be
killed	VVN	kill
we	PP	we
are	VBP	be
once	RB	once
again	RB	again
seeing	VVG	see
those	DT	those
horrific	JJ	horrific
pictures	NNS	picture
of	IN	of
you	PP	you
know	VVP	know
children	NNS	child
with	IN	with
terrible	JJ	terrible
injuries	NNS	injury
in	IN	in
hospitals	NNS	hospital
who	WP	who
is	VBZ	be
going	VVG	go
to	TO	to
stop	VV	stop
that	IN/that	that
the	DT	the
US	NP	US
went	VVD	go
to	TO	to
Great	JJ	great
length	NN	length
to	TO	to
say	VV	say
we	PP	we
have	VHP	have
told	VVN	tell
Israel	NP	Israel
to	TO	to
protect	VV	protect
civilian	JJ	civilian
lives	NNS	life
clearly	RB	clearly
that's	NN	that's
not	RB	not
happening	VVG	happen
no	DT	no
I	PP	I
mean	VVP	mean
of	IN	of
course	NN	course
I	PP	I
mean	VVP	mean
I	PP	I
mean	VV	mean
yesterday	NN	yesterday
when	WRB	when
the	DT	the
when	WRB	when
the	DT	the
the	DT	the
bombing	NN	bombing
campaigns	NNS	campaign
resumed	VVD	resume
the	DT	the
first	JJ	first
thing	NN	thing
the	DT	the
Israelis	NPS	Israelis
did	VVD	do
is	VBZ	be
they	PP	they
they	PP	they
targeted	VVD	target
an	DT	an
horaa	NP	horaa
School	NP	School
in	IN	in
jabalia	NN	jabalia
in	IN	in
the	DT	the
North	NP	North
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
then	RB	then
basically	RB	basically
what	WP	what
they're	NN	they're
doing	VVG	do
is	VBZ	be
ethnic	JJ	ethnic
cleansing	VVG	cleanse
math	NN	math
ethnic	JJ	ethnic
cleansing	NN	cleansing
they	PP	they
want	VVP	want
to	TO	to
empty	VV	empty
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
Gaza	NP	Gaza
and	CC	and
the	DT	the
north	NN	north
for	IN	for
the	DT	the
Israelis	NPS	Israelis
this	RB	this
has	VHZ	have
to	TO	to
be	VB	be
a	DT	a
a	DT	a
buffer	NN	buffer
zone	NN	zone
the	DT	the
entire	JJ	entire
and	CC	and
they'	NP	they'
said	VVD	say
that	IN/that	that
Ro	NP	Ro
has	VHZ	have
reported	VVN	report
yesterday	NN	yesterday
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
spoken	VVN	speak
to	TO	to
many	JJ	many
Regional	JJ	regional
leaders	NNS	leader
about	IN	about
creating	VVG	create
the	DT	the
so-called	JJ	so-called
buffer	NN	buffer
zone	NN	zone
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
the	DT	the
buffer	NN	buffer
zone	NN	zone
yes	NN	yes
but	CC	but
they're	NN	they're
talking	VVG	talk
about	IN	about
a	DT	a
narrow	JJ	narrow
Zone	NP	Zone
which	WDT	which
is	VBZ	be
like	IN	like
you	PP	you
know	VVP	know
a	DT	a
one	CD	one
kilo	NN	kilo
or	CC	or
two	CD	two
kilos	NNS	kilo
inside	IN	inside
Gaza	NP	Gaza
but	CC	but
what	WP	what
I'm	NN	I'm
talking	VVG	talk
about	RB	about
now	RB	now
is	VBZ	be
they	PP	they
haven't	JJ	haven't
they're	NN	they're
not	RB	not
done	VVN	do
yet	RB	yet
with	IN	with
emptying	VVG	empty
the	DT	the
entire	JJ	entire
North	NP	North
Gaza	NP	Gaza
and	CC	and
the	DT	the
north	NN	north
is	VBZ	be
it	PP	it
possible	JJ	possible
to	TO	to
do	VV	do
that	IN/that	that
there	EX	there
are	VBP	be
still	RB	still
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
in	IN	in
the	DT	the
north	NN	north
are	VBP	be
they	PP	they
by	IN	by
targeting	VVG	target
honorous	JJ	honorous
schools	NNS	school
and	CC	and
residential	JJ	residential
places	NNS	place
again	RB	again
they're	JJ	they're
asking	VVG	ask
people	NNS	people
to	TO	to
leave	VV	leave
South	NP	South
so	RB	so
as	RB	as
if	IN	if
they	PP	they
have	VHP	have
a	DT	a
clear	JJ	clear
strategy	NN	strategy
of	IN	of
emptying	VVG	empty
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
and	CC	and
the	DT	the
North	NP	North
and	CC	and
for	IN	for
me	PP	me
that's	NNS	that's
troubling	VVG	trouble
because	IN	because
once	RB	once
you	PP	you
squeeze	VVP	squeeze
the	DT	the
entire	JJ	entire
population	NN	population
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
the	DT	the
South	NP	South
and	CC	and
you	PP	you
C	NP	C
to	TO	to
half	NN	half
you	PP	you
have	VHP	have
full	JJ	full
control	NN	control
of	IN	of
the	DT	the
the	DT	the
upper	JJ	upper
North	NP	North
I	PP	I
think	VVP	think
at	IN	at
a	DT	a
later	JJR	late
point	NN	point
this	DT	this
could	MD	could
be	VB	be
enough	JJ	enough
for	IN	for
Israel	NP	Israel
to	TO	to
stop	VV	stop
the	DT	the
war	NN	war
if	IN	if
it	PP	it
really	RB	really
manages	VVZ	manage
to	TO	to
have	VH	have
a	DT	a
full	JJ	full
control	NN	control
of	IN	of
half	NN	half
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
is	VBZ	be
that	DT	that
possible	JJ	possible
49	CD	@card@
days	NNS	day
of	IN	of
bombing	VVG	bomb
the	DT	the
North	NP	North
and	CC	and
Hamas	NP	Hamas
shows	VVZ	show
that	IN/that	that
it	PP	it
can	MD	can
still	RB	still
release	VV	release
captives	NNS	captive
from	IN	from
Gaza	NP	Gaza
City	NP	City
in	IN	in
the	DT	the
center	NN	center
of	IN	of
Gaza	NP	Gaza
well	RB	well
you	PP	you
know	VVP	know
if	IN	if
if	IN	if
well	RB	well
if	IN	if
they	PP	they
continue	VVP	continue
on	IN	on
the	DT	the
same	JJ	same
Pace	NP	Pace
I	PP	I
mean	VVP	mean
I'm	NP	I'm
I'm	NP	I'm
afraid	JJ	afraid
it	PP	it
is	VBZ	be
possible	JJ	possible
because	IN	because
people	NNS	people
have	VHP	have
to	TO	to
flee	VV	flee
eventually	RB	eventually
so	RB	so
what	WP	what
happened	VVD	happen
when	WRB	when
the	DT	the
war	NN	war
stopped	VVN	stop
before	IN	before
the	DT	the
truth	NN	truth
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
remain	VVP	remain
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
north	NN	north
but	CC	but
also	RB	also
some	DT	some
uh	UH	uh
Reports	NNS	report
say	VVP	say
that	IN/that	that
400	CD	@card@
or	CC	or
close	VV	close
to	TO	to
half	PDT	half
a	DT	a
million	CD	million
already	RB	already
went	VVD	go
South	NP	South
so	RB	so
and	CC	and
the	DT	the
numbers	NNS	number
are	VBP	be
debated	VVN	debate
but	CC	but
now	RB	now
as	IN	as
the	DT	the
way	NN	way
the	DT	the
way	NN	way
the	DT	the
systematic	JJ	systematic
bombing	NN	bombing
going	VVG	go
again	RB	again
after	IN	after
schools	NNS	school
after	IN	after
uh	UH	uh
Refugee	NN	refugee
centers	NNS	center
after	IN	after
you	PP	you
know	VVP	know
so	IN	so
it's	NNS	it's
as	IN	as
if	IN	if
they're	NN	they're
still	RB	still
not	RB	not
done	VVN	do
with	IN	with
this	DT	this
objective	NN	objective
which	WDT	which
is	VBZ	be
Gaza	NP	Gaza
and	CC	and
the	DT	the
north	NN	north
to	TO	to
completely	RB	completely
empty	VV	empty
it	PP	it
from	IN	from
its	PP$	its
own	JJ	own
people	NNS	people
and	CC	and
it's	NNS	it's
a	DT	a
horrifying	VVG	horrify
scenario	NN	scenario
for	IN	for
me	PP	me
and	CC	and
then	RB	then
later	RBR	later
on	IN	on
it's	NNS	it's
I	PP	I
don't	VVD	don't
know	VV	know
it's	NNS	it's
a	DT	a
stage	NN	stage
based	VVD	base
it	PP	it
seems	VVZ	seem
to	TO	to
me	PP	me
it's	NN	it's
a	DT	a
stage	NN	stage
based	VVN	base
War	NN	war
you	PP	you
know	VVP	know
approach	NN	approach
so	RB	so
basically	RB	basically
they're	NN	they're
creating	VVG	create
all	PDT	all
these	DT	these
horrifying	VVG	horrify
conditions	NNS	condition
squeezing	VVG	squeeze
people	NNS	people
in	IN	in
the	DT	the
South	NP	South
and	CC	and
eventually	RB	eventually
probably	RB	probably
in	IN	in
their	PP$	their
mind	NN	mind
they	PP	they
want	VVP	want
or	CC	or
they're	NN	they're
thinking	VVG	think
that	IN/that	that
Hamas	NP	Hamas
then	RB	then
will	MD	will
have	VH	have
to	TO	to
engage	VV	engage
with	IN	with
us	PP	us
on	IN	on
on	IN	on
an	DT	an
exit	NN	exit
strategy	NN	strategy
for	IN	for
Hamas	NP	Hamas
but	CC	but
realistically	RB	realistically
speaking	VVG	speak
again	RB	again
the	DT	the
the	DT	the
main	JJ	main
goal	NN	goal
of	IN	of
this	DT	this
war	NN	war
which	WDT	which
is	VBZ	be
toppling	VVG	topple
down	RP	down
Hamas	NNS	Hamas
it	PP	it
will	MD	will
not	RB	not
happen	VV	happen
unless	IN	unless
Israel	NP	Israel
have	VHP	have
has	VHZ	have
full	JJ	full
control	NN	control
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
stays	VVZ	stay
off	RP	off
in	IN	in
years	NNS	year
in	IN	in
the	DT	the
G	NP	G
strip	NN	strip
and	CC	and
again	RB	again
this	DT	this
this	DT	this
I'm	NN	I'm
really	RB	really
sorry	RB	sorry
I	PP	I
have	VHP	have
to	TO	to
interrupt	VV	interrupt
you	PP	you
because	IN	because
</doc>	NN	</doc>
