<video_id>4kkuS4j86Eo</video_id>	JJ	<video_id>4kkuS4j86Eo</video_id>
we've	NN	we've
moved	VVN	move
from	IN	from
a	DT	a
point	NN	point
where	WRB	where
there	EX	there
was	VBD	be
absolutely	RB	absolutely
no	DT	no
chance	NN	chance
for	IN	for
mediation	NN	mediation
where	WRB	where
there	EX	there
is	VBZ	be
there	EX	there
was	VBD	be
a	DT	a
refusal	NN	refusal
for	IN	for
mediation	NN	mediation
to	TO	to
both	DT	both
parties	NNS	party
now	RB	now
every	DT	every
day	NN	day
agreeing	VVG	agree
on	IN	on
the	DT	the
list	NN	list
and	CC	and
having	VHG	have
hostages	NNS	hostage
being	VBG	be
released	VVN	release
daily	RB	daily
and	CC	and
we	PP	we
have	VHP	have
reached	VVN	reach
a	DT	a
stop	NN	stop
of	IN	of
fighting	NN	fighting
that	WDT	that
is	VBZ	be
going	VVG	go
to	TO	to
extend	VV	extend
into	IN	into
uh	UH	uh
almost	RB	almost
a	DT	a
week	NN	week
uh	UH	uh
now	RB	now
and	CC	and
I	PP	I
think	VVP	think
we	PP	we
have	VHP	have
to	TO	to
build	VV	build
on	IN	on
uh	UH	uh
on	IN	on
that	WDT	that
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
we	PP	we
move	VVP	move
forward	RB	forward
obviously	RB	obviously
we	PP	we
are	VBP	be
working	VVG	work
with	IN	with
what	WP	what
we	PP	we
have	VHP	have
the	DT	the
conditions	NNS	condition
of	IN	of
the	DT	the
negotiations	NNS	negotiation
are	VBP	be
not	RB	not
uh	UH	uh
positive	JJ	positive
conditions	NNS	condition
although	IN	although
the	DT	the
commitments	NNS	commitment
we	PP	we
have	VHP	have
received	VVN	receive
over	IN	over
this	DT	this
agreement	NN	agreement
are	VBP	be
very	RB	very
are	VBP	be
very	RB	very
positive	JJ	positive
and	CC	and
the	DT	the
implementation	NN	implementation
as	IN	as
we	PP	we
have	VHP	have
seen	VVN	see
although	IN	although
very	RB	very
difficult	JJ	difficult
and	CC	and
at	IN	at
times	NNS	time
it	PP	it
was	VBD	be
a	DT	a
bit	NN	bit
delicate	JJ	delicate
but	CC	but
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
uh	UH	uh
Mo	NP	Mo
through	IN	through
the	DT	the
agreement	NN	agreement
the	DT	the
four	CD	four
days	NNS	day
and	CC	and
extend	VV	extend
it	PP	it
now	RB	now
for	IN	for
these	DT	these
two	CD	two
days	NNS	day
the	DT	the
team	NN	team
working	VVG	work
here	RB	here
from	IN	from
Doha	NP	Doha
in	IN	in
the	DT	the
operations	NNS	operation
room	NN	room
has	VHZ	have
been	VBN	be
working	VVG	work
day	NN	day
and	CC	and
night	NN	night
nonstop	NN	nonstop
relentlessly	RB	relentlessly
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
we	PP	we
have	VHP	have
this	DT	this
momentum	NN	momentum
and	CC	and
we	PP	we
build	VVP	build
upon	IN	upon
it	PP	it
and	CC	and
I'm	NP	I'm
quite	RB	quite
sure	JJ	sure
that	IN/that	that
the	DT	the
team	NN	team
will	MD	will
have	VH	have
more	JJR	more
work	NN	work
to	TO	to
do	VV	do
now	RB	now
as	IN	as
we	PP	we
H	NP	H
go	VV	go
on	IN	on
to	TO	to
these	DT	these
two	CD	two
extra	JJ	extra
days	NNS	day
well	RB	well
Iman	NP	Iman
Khan	NP	Khan
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
Imran	NP	Imran
so	IN	so
what	WP	what
more	JJR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
then	RB	then
about	IN	about
this	DT	this
latest	JJS	late
Israeli	JJ	Israeli
captive	JJ	captive
release	NN	release
and	CC	and
of	IN	of
course	NN	course
this	DT	this
possible	JJ	possible
extension	NN	extension
to	TO	to
the	DT	the
ceasefire	NN	ceasefire
well	RB	well
the	DT	the
captive	JJ	captive
release	NN	release
eventually	RB	eventually
went	VVD	go
very	RB	very
smoothly	RB	smoothly
that	IN/that	that
may	MD	may
well	RB	well
have	VH	have
encouraged	VVN	encourage
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
to	TO	to
uh	UH	uh
accept	VV	accept
the	DT	the
fact	NN	fact
that	IN/that	that
there	EX	there
is	VBZ	be
an	DT	an
extension	NN	extension
to	TO	to
the	DT	the
ceasefire	NN	ceasefire
officially	RB	officially
but	CC	but
there's	RB	there's
been	VBN	be
no	DT	no
official	JJ	official
announcement	NN	announcement
the	DT	the
closest	JJS	close
we've	NN	we've
actually	RB	actually
got	VVN	get
is	VBZ	be
a	DT	a
statement	NN	statement
from	IN	from
the	DT	the
government	NN	government
press	NN	press
office	NN	office
it	PP	it
says	VVZ	say
the	DT	the
government	NN	government
has	VHZ	have
approved	VVN	approve
the	DT	the
inclusion	NN	inclusion
of	IN	of
50	CD	@card@
female	JJ	female
prisoners	NNS	prisoner
in	IN	in
the	DT	the
list	NN	list
of	IN	of
prisoners	NNS	prisoner
elegible	JJ	elegible
to	TO	to
be	VB	be
released	VVN	release
in	IN	in
the	DT	the
event	NN	event
that	IN/that	that
a	DT	a
release	NN	release
of	IN	of
additional	JJ	additional
Israeli	JJ	Israeli
hostages	NNS	hostage
is	VBZ	be
carried	VVN	carry
out	IN	out
that's	NNS	that's
the	DT	the
closest	JJS	close
we've	NN	we've
got	VVD	get
to	TO	to
an	DT	an
official	JJ	official
confirmation	NN	confirmation
of	IN	of
this	DT	this
2day	JJ	2day
uh	UH	uh
ceasefire	NN	ceasefire
also	RB	also
we've	NN	we've
heard	VVD	hear
that	IN/that	that
a	DT	a
list	NN	list
of	IN	of
10	CD	@card@
names	NNS	name
have	VHP	have
been	VBN	be
given	VVN	give
by	IN	by
Hamas	NN	Hamas
to	TO	to
the	DT	the
Israeli	JJ	Israeli
prison	NN	prison
Authority	NP	Authority
uh	UH	uh
those	DT	those
10	CD	@card@
names	NNS	name
will	MD	will
be	VB	be
Israeli	JJ	Israeli
captives	NNS	captive
that	WDT	that
will	MD	will
be	VB	be
released	VVN	release
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
that's	NNS	that's
not	RB	not
been	VBN	be
officially	RB	officially
confirmed	VVN	confirm
but	CC	but
it	PP	it
has	VHZ	have
been	VBN	be
reported	VVN	report
by	IN	by
Israeli	JJ	Israeli
Army	NP	Army
radio	NN	radio
so	IN	so
those	DT	those
are	VBP	be
the	DT	the
two	CD	two
things	NNS	thing
that	WDT	that
are	VBP	be
giving	VVG	give
people	NNS	people
hope	VVP	hope
that	IN/that	that
the	DT	the
ceasefire	NN	ceasefire
is	VBZ	be
actually	RB	actually
going	VVG	go
to	TO	to
hold	VV	hold
for	IN	for
the	DT	the
next	JJ	next
two	CD	two
days	NNS	day
the	DT	the
Israeli	JJ	Israeli
government	NN	government
has	VHZ	have
actually	RB	actually
been	VBN	be
clear	JJ	clear
they've	NN	they've
said	VVD	say
as	RB	as
long	RB	long
as	IN	as
U	NP	U
captives	NNS	captive
are	VBP	be
being	VBG	be
release	NN	release
then	RB	then
the	DT	the
ceasefire	NN	ceasefire
can	MD	can
be	VB	be
extended	VVN	extend
under	IN	under
the	DT	the
same	JJ	same
conditions	NNS	condition
as	IN	as
it	PP	it
has	VHZ	have
been	VBN	be
for	IN	for
the	DT	the
last	JJ	last
4	CD	@card@
days	NNS	day
now	RB	now
uh	UH	uh
normally	RB	normally
we	PP	we
see	VVP	see
prisoners	NNS	prisoner
being	VBG	be
released	VVN	release
around	RP	around
about	IN	about
4:00	CD	@card@
local	JJ	local
time	NN	time
so	IN	so
that's	NNS	that's
a	DT	a
crucial	JJ	crucial
time	NN	time
we'll	NN	we'll
see	VVP	see
if	IN	if
things	NNS	thing
happen	VVP	happen
around	RP	around
uh	UH	uh
then	RB	then
but	CC	but
certainly	RB	certainly
it	PP	it
looks	VVZ	look
like	IN	like
everything	NN	everything
is	VBZ	be
in	IN	in
place	NN	place
for	IN	for
more	JJR	more
prisoner	NN	prisoner
releases	VVZ	release
today	NN	today
more	RBR	more
captive	JJ	captive
releases	NNS	release
today	NN	today
um	NN	um
Imran	NP	Imran
and	CC	and
so	RB	so
this	DT	this
extension	NN	extension
is	VBZ	be
only	RB	only
for	IN	for
two	CD	two
days	NNS	day
so	RB	so
what	WP	what
more	RBR	more
has	VHZ	have
the	DT	the
Israeli	NP	Israeli
military	NN	military
been	VBN	be
saying	VVG	say
uh	UH	uh
about	IN	about
their	PP$	their
ground	NN	ground
offensive	NN	offensive
once	IN	once
the	DT	the
ceasefire	NN	ceasefire
extension	NN	extension
is	VBZ	be
over	RB	over
well	RB	well
it's	JJ	it's
a	DT	a
very	RB	very
interesting	JJ	interesting
thing	NN	thing
you	PP	you
just	RB	just
heard	VVD	hear
from	IN	from
Majid	NP	Majid
alansari	NP	alansari
there	RB	there
who's	JJ	who's
hopeful	NN	hopeful
that	IN/that	that
the	DT	the
ceasefire	NN	ceasefire
can	MD	can
be	VB	be
extended	VVN	extend
we	PP	we
also	RB	also
have	VHP	have
been	VBN	be
hearing	VVG	hear
from	IN	from
senior	JJ	senior
Hamas	JJ	Hamas
leaders	NNS	leader
who	WP	who
are	VBP	be
hoping	VVG	hope
that	IN/that	that
ceasefire	NN	ceasefire
can	MD	can
become	VV	become
a	DT	a
more	RBR	more
permanent	JJ	permanent
truce	NN	truce
that	WDT	that
is	VBZ	be
not	RB	not
the	DT	the
language	NN	language
that	IN/that	that
you	PP	you
are	VBP	be
hearing	VVG	hear
from	IN	from
Israel	NP	Israel
Israel	NP	Israel
says	VVZ	say
that	IN/that	that
it	PP	it
will	MD	will
continue	VV	continue
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
um	NNS	um
as	IN	as
soon	RB	soon
soon	RB	soon
as	IN	as
they	PP	they
decide	VVP	decide
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
as	RB	as
soon	RB	soon
as	IN	as
they	PP	they
decide	VVP	decide
that	IN/that	that
Hamas	JJ	Hamas
aren't	NN	aren't
releasing	VVG	release
any	DT	any
more	RBR	more
pleases	VVZ	please
they	PP	they
have	VH	have
a	DT	a
stated	JJ	stated
aim	NN	aim
of	IN	of
going	VVG	go
in	RP	in
and	CC	and
destroying	VVG	destroy
Hamas	NNS	Hamas
both	CC	both
politically	RB	politically
and	CC	and
militarily	RB	militarily
but	CC	but
there's	RB	there's
now	RB	now
talk	VV	talk
of	IN	of
going	VVG	go
into	IN	into
the	DT	the
South	NP	South
the	DT	the
south	NN	south
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
was	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
an	DT	an
effective	JJ	effective
safe	JJ	safe
zone	NN	zone
for	IN	for
Palestinians	NPS	Palestinians
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
through	IN	through
various	JJ	various
media	NNS	medium
Outlets	NNS	outlet
through	IN	through
various	JJ	various
trusted	VVN	trust
uh	UH	uh
reporters	NNS	reporter
that	IN/that	that
they	PP	they
have	VHP	have
are	VBP	be
briefing	VVG	brief
that	IN/that	that
Hamas	NNS	Hamas
now	RB	now
have	VHP	have
an	DT	an
operation	NN	operation
and	CC	and
controlling	VVG	control
Command	NP	Command
Center	NP	Center
in	IN	in
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
and	CC	and
that'll	NN	that'll
be	VB	be
the	DT	the
next	JJ	next
Target	NP	Target
obviously	RB	obviously
that's	NNS	that's
incredibly	RB	incredibly
alarming	VVG	alarm
for	IN	for
the	DT	the
International	NP	International
Community	NP	Community
particularly	RB	particularly
because	IN	because
as	IN	as
I	PP	I
say	VVP	say
The	DT	the
South	NP	South
was	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
this	DT	this
safe	JJ	safe
zone	NN	zone
now	RB	now
there	RB	there
isn't	JJ	isn't
really	RB	really
anywhere	RB	anywhere
that's	JJ	that's
completely	RB	completely
safe	JJ	safe
for	IN	for
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
The	NP	The
South	NP	South
was	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
safe	JJ	safe
and	CC	and
now	RB	now
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
briefing	VVG	brief
that	IN/that	that
that	WDT	that
could	MD	could
well	RB	well
be	VB	be
next	JJ	next
all	DT	all
right	JJ	right
Imran	NP	Imran
Khan	NP	Khan
live	VVP	live
for	IN	for
us	PP	us
there	RB	there
from	IN	from
occupi	NP	occupi
East	NP	East
Jerusalem	NP	Jerusalem
Imran	NP	Imran
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
