<video_id>e7gqS0I5akM</video_id>	JJ	<video_id>e7gqS0I5akM</video_id>
like	IN	like
Israel	NP	Israel
has	VHZ	have
you	PP	you
know	VVP	know
cemented	VVN	cement
that	IN/that	that
there	EX	there
is	VBZ	be
only	RB	only
double	JJ	double
standards	NNS	standard
in	IN	in
the	DT	the
International	NP	International
Community	NP	Community
there	RB	there
is	VBZ	be
dehumanization	NN	dehumanization
there	EX	there
is	VBZ	be
also	RB	also
the	DT	the
the	DT	the
what	WP	what
is	VBZ	be
being	VBG	be
practiced	VVN	practice
on	IN	on
the	DT	the
ground	NN	ground
is	VBZ	be
not	RB	not
a	DT	a
war	NN	war
but	CC	but
also	RB	also
a	DT	a
genocide	NN	genocide
so	IN	so
all	DT	all
of	IN	of
these	DT	these
are	VBP	be
leading	VVG	lead
to	TO	to
double	VV	double
standards	NNS	standard
in	IN	in
the	DT	the
International	NP	International
Community	NP	Community
Arena	NP	Arena
and	CC	and
the	DT	the
question	NN	question
is	VBZ	be
related	VVN	relate
how	WRB	how
many	JJ	many
children	NNS	child
and	CC	and
wom	NN	wom
and	CC	and
women	NNS	woman
should	MD	should
be	VB	be
killed	VVN	kill
in	IN	in
order	NN	order
for	IN	for
the	DT	the
United	NP	United
Nations	NPS	Nations
to	TO	to
intervene	VV	intervene
there	EX	there
might	MD	might
be	VB	be
double	JJ	double
standards	NNS	standard
in	IN	in
many	JJ	many
places	NNS	place
around	IN	around
the	DT	the
world	NN	world
there	EX	there
is	VBZ	be
a	DT	a
place	NN	place
where	WRB	where
there	EX	there
are	VBP	be
no	DT	no
double	JJ	double
standards	NNS	standard
in	IN	in
the	DT	the
Secretariat	NN	secretariat
of	IN	of
the	DT	the
UN	NP	UN
under	IN	under
the	DT	the
authority	NN	authority
of	IN	of
the	DT	the
Secretary	NP	Secretary
General	NP	General
for	IN	for
us	PP	us
what	WP	what
matters	NNS	matter
are	VBP	be
the	DT	the
principles	NNS	principle
and	CC	and
the	DT	the
principles	NNS	principle
are	VBP	be
un	VVG	un
Charter	NP	Charter
the	DT	the
principles	NNS	principle
are	VBP	be
international	JJ	international
law	NN	law
territorial	JJ	territorial
Integrity	NN	integrity
of	IN	of
countries	NNS	country
but	CC	but
also	RB	also
International	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
the	DT	the
right	NN	right
of	IN	of
self-determination	NN	self-determination
of	IN	of
peoples	NNS	people
including	VVG	include
the	DT	the
people	NNS	people
of	IN	of
Palestine	NP	Palestine
and	CC	and
in	IN	in
relation	NN	relation
to	TO	to
those	DT	those
principles	NNS	principle
we	PP	we
have	VHP	have
maintain	VV	maintain
our	PP$	our
clear	JJ	clear
positions	NNS	position
in	IN	in
all	DT	all
circumstances	NNS	circumstance
we	PP	we
were	VBD	be
very	RB	very
loud	JJ	loud
and	CC	and
clear	VV	clear
when	WRB	when
he	PP	he
denounced	VVD	denounce
the	DT	the
Russian	JJ	Russian
invasion	NN	invasion
of	IN	of
the	DT	the
Ukraine	NP	Ukraine
and	CC	and
we	PP	we
are	VBP	be
very	RB	very
loud	JJ	loud
and	CC	and
clear	VV	clear
when	WRB	when
we	PP	we
denounce	VVP	denounce
the	DT	the
violations	NNS	violation
of	IN	of
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
that	WDT	that
are	VBP	be
taking	VVG	take
place	NN	place
in	IN	in
Gaza	NP	Gaza
as	IN	as
we	PP	we
denounce	VVP	denounce
the	DT	the
attack	NN	attack
of	IN	of
Hamas	NNS	Hamas
in	IN	in
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
our	PP$	our
principles	NNS	principle
are	VBP	be
the	DT	the
same	JJ	same
and	CC	and
we	PP	we
have	VHP	have
no	DT	no
double	JJ	double
standards	NNS	standard
unfortunately	RB	unfortunately
in	IN	in
the	DT	the
world	NN	world
not	RB	not
everybody	NN	everybody
can	MD	can
say	VV	say
the	DT	the
same	JJ	same
so	RB	so
much	RB	much
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
we	PP	we
you	PP	you
can	MD	can
ask	VV	ask
in	IN	in
the	DT	the
foreign	JJ	foreign
Ministry	NP	Ministry
thank	VVP	thank
you	PP	you
you've	VVP	you've
just	RB	just
been	VBN	be
listening	VVG	listen
to	TO	to
the	DT	the
UN	NP	UN
Secretary	NP	Secretary
General	NP	General
Antonio	NP	Antonio
Guera	NP	Guera
is	VBZ	be
speaking	VVG	speak
live	JJ	live
from	IN	from
Aman	NP	Aman
he's	NNS	he's
currently	RB	currently
touring	VVG	tour
the	DT	the
region	NN	region
uh	UH	uh
he	PP	he
was	VBD	be
in	IN	in
Egypt	NP	Egypt
yesterday	NN	yesterday
we	PP	we
also	RB	also
saw	VVD	see
him	PP	him
inspect	VVP	inspect
the	DT	the
Rafa	NP	Rafa
border	NN	border
crossing	VVG	cross
this	DT	this
is	VBZ	be
of	IN	of
course	NN	course
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
border	NN	border
crossing	VVG	cross
through	IN	through
which	WDT	which
Aid	NP	Aid
goes	VVZ	go
into	IN	into
Gaza	NP	Gaza
the	DT	the
context	NN	context
of	IN	of
this	DT	this
as	RB	as
will	MD	will
be	VB	be
known	VVN	know
to	TO	to
many	JJ	many
of	IN	of
our	PP$	our
viewers	NNS	viewer
is	VBZ	be
that	DT	that
uh	UH	uh
very	RB	very
little	JJ	little
Aid	NN	aid
has	VHZ	have
been	VBN	be
going	VVG	go
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
over	IN	over
the	DT	the
last	JJ	last
five	CD	five
months	NNS	month
really	RB	really
since	IN	since
the	DT	the
war	NN	war
has	VHZ	have
begun	VVN	begin
uh	UH	uh
such	PDT	such
that	DT	that
uh	UH	uh
the	DT	the
IPC	NP	IPC
the	DT	the
body	NN	body
tasked	VVN	task
with	IN	with
looking	VVG	look
at	IN	at
Food	NP	Food
insecurity	NN	insecurity
warned	VVD	warn
just	RB	just
last	JJ	last
month	NN	month
that	IN/that	that
famine	NN	famine
was	VBD	be
imminent	JJ	imminent
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
and	CC	and
that	IN/that	that
the	DT	the
entire	JJ	entire
population	NN	population
of	IN	of
Gaza	NP	Gaza
was	VBD	be
at	IN	at
risk	NN	risk
of	IN	of
famine	NN	famine
so	IN	so
that	WDT	that
is	VBZ	be
the	DT	the
context	NN	context
uh	UH	uh
Antonio	NP	Antonio
guer	NN	guer
saying	VVG	say
yesterday	NN	yesterday
the	DT	the
International	NP	International
Community	NP	Community
needs	VVZ	need
to	TO	to
be	VB	be
on	IN	on
the	DT	the
right	JJ	right
side	NN	side
of	IN	of
history	NN	history
and	CC	and
it	PP	it
is	VBZ	be
time	NN	time
to	TO	to
flood	VV	flood
Gaza	NP	Gaza
with	IN	with
International	NP	International
Aid	NP	Aid
</doc>	NN	</doc>
