<video_id>7HeGDkFKdwM</video_id>	NP	<video_id>7HeGDkFKdwM</video_id>
keep	VV	keep
on	IN	on
keep	VV	keep
the	DT	the
focus	NN	focus
on	IN	on
the	DT	the
ceasefire	NN	ceasefire
talks	NNS	talk
though	IN	though
you	PP	you
we've	VVP	we've
heard	VVN	hear
all	RB	all
of	IN	of
this	DT	this
before	RB	before
and	CC	and
we	PP	we
know	VVP	know
that	IN/that	that
whenever	WRB	whenever
it	PP	it
appears	VVZ	appear
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
is	VBZ	be
agreeing	VVG	agree
to	TO	to
what	WP	what
was	VBD	be
supposedly	RB	supposedly
the	DT	the
Israeli	JJ	Israeli
the	DT	the
Israeli	JJ	Israeli
ceasefire	NN	ceasefire
plan	NN	plan
then	RB	then
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
changes	VVZ	change
the	DT	the
goalposts	NNS	goalpost
demands	NNS	demand
something	NN	something
else	RB	else
and	CC	and
Netanyahu	NP	Netanyahu
himself	PP	himself
seems	VVZ	seem
pretty	RB	pretty
pretty	RB	pretty
open	JJ	open
about	IN	about
the	DT	the
fact	NN	fact
that	IN/that	that
now	RB	now
and	CC	and
certainly	RB	certainly
the	DT	the
isra	NN	isra
media	NNS	medium
are	VBP	be
that	IN/that	that
that	WDT	that
you	PP	you
know	VVP	know
Netanyahu	NP	Netanyahu
wants	VVZ	want
to	TO	to
wants	NNS	want
to	TO	to
prolong	VV	prolong
this	DT	this
as	RB	as
long	JJ	long
as	IN	as
possible	JJ	possible
so	RB	so
as	RB	as
not	RB	not
to	TO	to
face	VV	face
his	PP$	his
own	JJ	own
people	NNS	people
either	CC	either
at	IN	at
the	DT	the
The	NP	The
Ballot	NN	ballot
Box	NP	Box
or	CC	or
in	IN	in
in	IN	in
the	DT	the
law	NN	law
court	NN	court
so	RB	so
yeah	RB	yeah
I	PP	I
mean	VVP	mean
it's	NNS	it's
very	RB	very
difficult	JJ	difficult
to	TO	to
to	RB	to
to	TO	to
pass	VV	pass
what	WP	what
this	DT	this
actually	RB	actually
means	VVZ	mean
whether	IN	whether
everyone	NN	everyone
really	RB	really
is	VBZ	be
closer	JJR	close
to	TO	to
a	DT	a
breakthrough	NN	breakthrough
or	CC	or
is	VBZ	be
this	DT	this
once	RB	once
again	RB	again
just	RB	just
you	PP	you
know	VVP	know
the	DT	the
momentum	NN	momentum
that	IN/that	that
the	DT	the
this	DT	this
attempt	NN	attempt
at	IN	at
momentum	NN	momentum
in	IN	in
some	DT	some
ways	NNS	way
perhaps	RB	perhaps
to	TO	to
diffuse	VV	diffuse
diffuse	VV	diffuse
the	DT	the
tensions	NNS	tension
at	IN	at
least	JJS	least
psychologically	RB	psychologically
I	PP	I
don't	VVD	don't
know	VV	know
but	CC	but
it's	NNS	it's
very	RB	very
difficult	JJ	difficult
to	TO	to
pass	VV	pass
right	RB	right
very	RB	very
difficult	JJ	difficult
to	TO	to
par	JJ	par
s	NN	S
BR	NP	BR
Ry	NP	Ry
a	DT	a
reporting	NN	reporting
there	IN	here
uh	UH	uh
uh	UH	uh
from	IN	from
Washington	NP	Washington
DC	NP	DC
on	IN	on
this	DT	this
breaking	JJ	breaking
development	NN	development
</doc>	NN	</doc>
