<video_id>gRH_3WwR64g</video_id>	JJ	<video_id>gRH_3WwR64g</video_id>
into	IN	into
the	DT	the
city	NN	city
uh	UH	uh
and	CC	and
operated	VVN	operate
there	RB	there
for	IN	for
between	IN	between
uh	UH	uh
five	CD	five
and	CC	and
six	CD	six
hours	NNS	hour
now	RB	now
there	EX	there
were	VBD	be
clashes	VVZ	clash
uh	UH	uh
between	IN	between
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
and	CC	and
armed	JJ	armed
groups	NNS	group
in	IN	in
the	DT	the
area	NN	area
there	EX	there
are	VBP	be
many	JJ	many
armed	VVN	arm
groups	NNS	group
in	IN	in
in	IN	in
Janine	NP	Janine
uh	UH	uh
which	WDT	which
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
why	WRB	why
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
focuses	VVZ	focus
often	RB	often
on	IN	on
that	DT	that
place	NN	place
there	RB	there
representatives	NNS	representative
of	IN	of
the	DT	the
Armed	VVN	arm
factions	NNS	faction
of	IN	of
Hamas	NP	Hamas
and	CC	and
and	NP	and
fata	NP	Fata
and	CC	and
Islamic	NP	Islamic
Jihad	NP	Jihad
as	RB	as
well	RB	well
so	RB	so
often	RB	often
the	DT	the
Israeli	JJ	Israeli
army	NN	army
goes	VVZ	go
in	IN	in
uh	UH	uh
with	IN	with
the	DT	the
intention	NN	intention
of	IN	of
making	VVG	make
arrests	NNS	arrest
or	CC	or
destroying	VVG	destroy
infrastructure	NN	infrastructure
uh	UH	uh
or	CC	or
sometimes	RB	sometimes
it	PP	it
goes	VVZ	go
in	IN	in
with	IN	with
the	DT	the
explicit	JJ	explicit
intention	NN	intention
uh	UH	uh
to	TO	to
kill	VV	kill
as	RB	as
well	RB	well
we	PP	we
understand	VVP	understand
there	EX	there
have	VHP	have
been	VBN	be
clashes	NNS	clash
elsewhere	RB	elsewhere
uh	UH	uh
in	IN	in
cilia	NNS	cilium
too	RB	too
uh	UH	uh
and	CC	and
Nablus	NP	Nablus
and	CC	and
the	DT	the
one	CD	one
Palestinian	JJ	Palestinian
young	JJ	young
man	NN	man
a	DT	a
19-year-old	JJ	19-year-old
uh	UH	uh
has	VHZ	have
been	VBN	be
orted	VVN	orted
to	TO	to
have	VH	have
died	VVN	die
after	IN	after
he	PP	he
was	VBD	be
injured	VVN	injure
uh	UH	uh
I	PP	I
think	VVP	think
he	PP	he
was	VBD	be
shot	VVN	shoot
and	CC	and
then	RB	then
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
blocked	VVD	block
access	NN	access
to	TO	to
the	DT	the
medical	JJ	medical
Crews	NP	Crews
and	NP	and
and	CC	and
he	PP	he
bled	VVD	bleed
to	TO	to
death	NN	death
so	IN	so
that's	NNS	that's
what's	NNS	what's
been	VBN	be
going	VVG	go
on	RP	on
in	IN	in
in	IN	in
that	DT	that
part	NN	part
of	IN	of
the	DT	the
West	NP	West
Bank	NP	Bank
but	CC	but
then	RB	then
we	PP	we
yeah	RB	yeah
yes	RB	yes
Rory	NP	Rory
I	PP	I
was	VBD	be
going	VVG	go
to	TO	to
ask	VV	ask
you	PP	you
we're	NN	we're
also	RB	also
hearing	VVG	hear
reports	NNS	report
that	IN/that	that
the	DT	the
heads	NNS	head
of	IN	of
Israeli	JJ	Israeli
intelligence	NN	intelligence
and	CC	and
Security	NN	security
will	MD	will
be	VB	be
traveling	VVG	travel
to	TO	to
Egypt	NP	Egypt
soon	RB	soon
for	IN	for
talks	NNS	talk
on	IN	on
the	DT	the
release	NN	release
of	IN	of
captives	NNS	captive
in	IN	in
Gaza	NP	Gaza
in	IN	in
exch	NP	Exch
for	IN	for
Palestinians	NPS	Palestinians
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
what	WP	what
are	VBP	be
you	PP	you
hearing	VVG	hear
about	RB	about
that	IN/that	that
yeah	RB	yeah
so	IN	so
the	DT	the
US	NP	US
Administration	NP	Administration
Joe	NP	Joe
Biden's	NP	Biden's
White	NP	White
House	NP	House
really	RB	really
really	RB	really
really	RB	really
wants	VVZ	want
a	DT	a
deal	VV	deal
uh	UH	uh
and	CC	and
it	PP	it
is	VBZ	be
been	VBN	be
pushing	VVG	push
Israel	NP	Israel
to	TO	to
come	VV	come
back	RB	back
to	TO	to
the	DT	the
negotiating	VVG	negotiate
table	NN	table
that	WDT	that
is	VBZ	be
after	IN	after
the	DT	the
uh	UH	uh
Israeli	JJ	Israeli
rejection	NN	rejection
of	IN	of
a	DT	a
Hamas	JJ	Hamas
proposal	NN	proposal
that	WDT	that
was	VBD	be
based	VVN	base
on	IN	on
an	DT	an
agreement	NN	agreement
or	CC	or
frame	NN	frame
work	NN	work
that	WDT	that
was	VBD	be
drawn	VVN	draw
up	RP	up
between	IN	between
the	DT	the
intelligence	NN	intelligence
Chiefs	NPS	Chiefs
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
Israel	NP	Israel
and	CC	and
Egypt	NP	Egypt
with	IN	with
input	NN	input
from	IN	from
the	DT	the
ceries	NNS	ceries
as	RB	as
well	RB	well
in	IN	in
Paris	NP	Paris
that	IN/that	that
deal	NN	deal
fell	VVD	fall
apart	RP	apart
uh	UH	uh
fairly	RB	fairly
quickly	RB	quickly
as	RB	as
soon	RB	soon
as	IN	as
it	PP	it
hit	VVD	hit
the	DT	the
reality	NN	reality
of	IN	of
Hamas	JJ	Hamas
and	CC	and
Israeli	JJ	Israeli
uh	UH	uh
politics	NNS	politics
but	CC	but
the	DT	the
United	NP	United
States	NPS	States
are	VBP	be
trying	VVG	try
to	TO	to
get	VV	get
everyone	NN	everyone
back	RB	back
around	IN	around
the	DT	the
table	NN	table
again	RB	again
to	TO	to
work	VV	work
over	IN	over
this	DT	this
uh	UH	uh
for	IN	for
another	DT	another
time	NN	time
so	IN	so
there	EX	there
had	VHD	have
been	VBN	be
a	DT	a
lot	NN	lot
of	IN	of
doubt	NN	doubt
about	RB	about
whether	IN	whether
Israel	NP	Israel
was	VBD	be
even	RB	even
going	VVG	go
to	TO	to
send	VV	send
a	DT	a
delegation	NN	delegation
to	TO	to
Cairo	NP	Cairo
but	CC	but
we	PP	we
have	VHP	have
heard	VVN	hear
from	IN	from
both	DT	both
haret	NN	haret
newspaper	NN	newspaper
and	CC	and
uh	UH	uh
Jerusalem	NP	Jerusalem
Post	NP	Post
not	RB	not
officially	RB	officially
announced	VVN	announce
but	CC	but
they	PP	they
have	VHP	have
been	VBN	be
speaking	VVG	speak
to	TO	to
unnamed	JJ	unnamed
Israeli	JJ	Israeli
officials	NNS	official
who	WP	who
say	VVP	say
that	IN/that	that
the	DT	the
head	NN	head
of	IN	of
Mossad	NN	Mossad
that's	NNS	that's
the	DT	the
external	JJ	external
uh	UH	uh
intelligence	NN	intelligence
and	CC	and
Security	NP	Security
Agency	NP	Agency
and	CC	and
the	DT	the
head	NN	head
of	IN	of
shinette	NN	shinette
that's	NNS	that's
the	DT	the
internal	JJ	internal
security	NN	security
and	CC	and
intelligence	NN	intelligence
agency	NN	agency
along	IN	along
with	IN	with
army	NN	army
officials	NNS	official
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
going	VVG	go
to	TO	to
Cairo	NP	Cairo
and	CC	and
they	PP	they
will	MD	will
there	RB	there
be	VB	be
talking	VVG	talk
with	IN	with
Bill	NP	Bill
Burns	NP	Burns
the	DT	the
head	NN	head
of	IN	of
the	DT	the
CIA	NP	CIA
and	CC	and
the	DT	the
C	NP	C
prime	JJ	prime
minister	NN	minister
the	DT	the
head	NN	head
of	IN	of
the	DT	the
Israeli	JJ	Israeli
intelligence	NN	intelligence
as	IN	as
well	RB	well
so	RB	so
of	IN	of
course	NN	course
the	DT	the
the	DT	the
main	JJ	main
issue	NN	issue
there	RB	there
the	DT	the
big	JJ	big
Gulf	NP	Gulf
that	IN/that	that
they	PP	they
have	VHP	have
to	TO	to
try	VV	try
and	CC	and
Bridge	NP	Bridge
again	RB	again
is	VBZ	be
this	DT	this
impa	NN	impa
between	IN	between
the	DT	the
Hamas	JJ	Hamas
position	NN	position
and	CC	and
the	DT	the
Israeli	JJ	Israeli
position	NN	position
Hamas	NN	Hamas
wants	VVZ	want
to	TO	to
exchange	VV	exchange
prisoners	NNS	prisoner
and	CC	and
captives	NNS	captive
for	IN	for
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
and	CC	and
Israel	NP	Israel
says	VVZ	say
that	IN/that	that
the	DT	the
war	NN	war
has	VHZ	have
to	TO	to
go	VV	go
on	IN	on
until	IN	until
Hamas	NP	Hamas
is	VBZ	be
destroyed	VVN	destroy
yeah	RB	yeah
interesting	JJ	interesting
that	IN/that	that
these	DT	these
talks	NNS	talk
are	VBP	be
very	RB	very
much	RB	much
still	RB	still
taking	VVG	take
place	NN	place
behind	IN	behind
the	DT	the
scenes	NNS	scene
Roy	NP	Roy
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	DT	that
Roy	NP	Roy
challeng	NN	challeng
with	IN	with
the	DT	the
latest	JJS	late
live	JJ	live
and	CC	and
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
</doc>	NN	</doc>
