<video_id>OzFHYyyXLvc</video_id>	NN	<video_id>OzFHYyyXLvc</video_id>
not	RB	not
allow	VV	allow
these	DT	these
things	NNS	thing
in	IN	in
and	CC	and
then	RB	then
they	PP	they
started	VVD	start
allowing	VVG	allow
it	PP	it
in	IN	in
and	CC	and
a	DT	a
drip	NN	drip
drip	NN	drip
fashion	NN	fashion
we	PP	we
will	MD	will
allow	VV	allow
a	DT	a
few	JJ	few
trucks	NNS	truck
here	RB	here
we'll	RB	we'll
allow	VV	allow
a	DT	a
few	JJ	few
trucks	NNS	truck
there	RB	there
but	CC	but
we	PP	we
will	MD	will
also	RB	also
control	VV	control
not	RB	not
only	RB	only
how	WRB	how
much	JJ	much
food	NN	food
comes	VVZ	come
in	IN	in
and	CC	and
what	WP	what
kind	NN	kind
of	IN	of
food	NN	food
comes	VVZ	come
in	IN	in
we	PP	we
also	RB	also
want	VVP	want
to	TO	to
control	VV	control
who	WP	who
does	VVZ	do
the	DT	the
distribution	NN	distribution
and	CC	and
who	WP	who
safeguards	VVZ	safeguard
these	DT	these
convoys	NNS	convoy
in	IN	in
the	DT	the
beginning	NN	beginning
it	PP	it
was	VBD	be
the	DT	the
regular	JJ	regular
police	NN	police
who	WP	who
would	MD	would
Safeguard	VV	safeguard
these	DT	these
convoys	NNS	convoy
but	CC	but
then	RB	then
Israel	NP	Israel
started	VVD	start
targeting	VVG	target
these	DT	these
police	NN	police
because	IN	because
they	PP	they
are	VBP	be
in	IN	in
uniform	NN	uniform
sometimes	RB	sometimes
they	PP	they
are	VBP	be
armed	VVN	arm
so	IN	so
they	PP	they
consider	VVP	consider
them	PP	them
uh	UH	uh
enemy	NN	enemy
combatants	NNS	combatant
members	NNS	member
of	IN	of
Hamas	NN	Hamas
and	CC	and
they	PP	they
shoot	VVP	shoot
them	PP	them
then	RB	then
after	IN	after
a	DT	a
while	IN	while
the	DT	the
convoys	NNS	convoy
have	VHP	have
no	DT	no
protection	NN	protection
to	TO	to
protect	VV	protect
them	PP	them
uh	UH	uh
once	RB	once
they	PP	they
come	VVP	come
in	IN	in
Israelis	NPS	Israelis
also	RB	also
determined	VVD	determine
that	IN/that	that
they	PP	they
will	MD	will
not	RB	not
allow	VV	allow
the	DT	the
food	NN	food
to	TO	to
come	VV	come
in	IN	in
through	IN	through
the	DT	the
north	NN	north
there's	RB	there's
300,000	CD	@card@
people	NNS	people
living	VVG	live
in	IN	in
the	DT	the
northern	JJ	northern
half	NN	half
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
Israel	NP	Israel
has	VHZ	have
control	NN	control
of	IN	of
of	IN	of
all	PDT	all
the	DT	the
borders	NNS	border
and	CC	and
The	DT	the
Crossings	NNS	crossing
there	RB	there
they	PP	they
don't	VVD	don't
allow	VV	allow
any	DT	any
food	NN	food
to	TO	to
come	VV	come
in	IN	in
from	IN	from
the	DT	the
north	NN	north
instead	RB	instead
it	PP	it
has	VHZ	have
to	TO	to
come	VV	come
from	IN	from
the	DT	the
south	NN	south
after	IN	after
it	PP	it
is	VBZ	be
inspected	VVN	inspect
by	IN	by
the	DT	the
Israelis	NPS	Israelis
so	RB	so
by	IN	by
the	DT	the
time	NN	time
the	DT	the
food	NN	food
convoys	VVZ	convoy
even	RB	even
the	DT	the
the	DT	the
few	JJ	few
that	WDT	that
are	VBP	be
allowed	VVN	allow
by	IN	by
the	DT	the
time	NN	time
they	PP	they
enter	VV	enter
uh	UH	uh
they	PP	they
have	VHP	have
to	TO	to
feed	VV	feed
the	DT	the
people	NNS	people
on	IN	on
the	DT	the
way	NN	way
so	IN	so
they're	NN	they're
either	CC	either
attacked	VVN	attack
or	CC	or
that	IN/that	that
they	PP	they
are	VBP	be
looted	VVN	loot
or	CC	or
people	NNS	people
who	WP	who
are	VBP	be
hungry	JJ	hungry
simply	RB	simply
grab	VV	grab
the	DT	the
food	NN	food
on	IN	on
the	DT	the
way	NN	way
the	DT	the
starvation	NN	starvation
now	RB	now
is	VBZ	be
becoming	VVG	become
part	NN	part
of	IN	of
Israel's	NP	Israel's
policy	NN	policy
they	PP	they
want	VVP	want
to	TO	to
stop	VV	stop
the	DT	the
Jonathan	NP	Jonathan
it's	NNS	it's
clear	VVP	clear
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
not	RB	not
complied	VVN	comply
with	IN	with
the	DT	the
previous	JJ	previous
provisional	JJ	provisional
measures	NNS	measure
that	IN/that	that
the	DT	the
court	NN	court
handed	VVN	hand
down	RP	down
and	CC	and
we	PP	we
also	RB	also
don't	VVD	don't
know	VV	know
what	WP	what
was	VBD	be
in	IN	in
the	DT	the
report	NN	report
that	IN/that	that
they	PP	they
were	VBD	be
due	JJ	due
to	TO	to
submit	VV	submit
to	TO	to
the	DT	the
icj	NN	icj
over	IN	over
a	DT	a
week	NN	week
ago	RB	ago
many	JJ	many
have	VHP	have
described	VVN	describe
them	PP	them
as	IN	as
acting	VVG	act
with	IN	with
impunity	NN	impunity
what	WP	what
sort	VVP	sort
of	IN	of
recourse	NN	recourse
is	VBZ	be
there	RB	there
well	RB	well
I	PP	I
think	VVP	think
the	DT	the
question	NN	question
now	RB	now
is	VBZ	be
about	RB	about
the	DT	the
court	NN	court
itself	PP	itself
and	CC	and
about	RB	about
international	JJ	international
law	NN	law
in	IN	in
a	DT	a
real	JJ	real
way	NN	way
what	WP	what
South	NP	South
Africa	NP	Africa
did	VVD	do
uh	UH	uh
was	VBD	be
not	RB	not
so	RB	so
much	RB	much
put	VV	put
Israel	NP	Israel
on	IN	on
trial	NN	trial
but	CC	but
put	VV	put
international	JJ	international
law	NN	law
itself	PP	itself
on	IN	on
trial	NN	trial
uh	UH	uh
put	VV	put
the	DT	the
system	NN	system
of	IN	of
international	JJ	international
law	NN	law
and	CC	and
the	DT	the
icj	NN	icj
itself	PP	itself
because	IN	because
like	IN	like
every	DT	every
other	JJ	other
court	NN	court
in	IN	in
the	DT	the
world	NN	world
the	DT	the
court	NN	court
doesn't	NN	doesn't
have	VHP	have
an	DT	an
army	NN	army
its	PP$	its
enforcement	NN	enforcement
depends	VVZ	depend
on	IN	on
the	DT	the
willingness	NN	willingness
of	IN	of
the	DT	the
population	NN	population
and	CC	and
of	IN	of
the	DT	the
countries	NNS	country
of	IN	of
the	DT	the
world	NN	world
to	TO	to
obey	VV	obey
its	PP$	its
rules	NNS	rule
and	CC	and
when	WRB	when
Israel	NP	Israel
acts	VVZ	act
with	IN	with
total	JJ	total
and	CC	and
utter	JJ	utter
impunity	NN	impunity
and	CC	and
nobody	NN	nobody
is	VBZ	be
bringing	VVG	bring
them	PP	them
to	TO	to
accountability	NN	accountability
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
course	NN	course
uses	VVZ	use
the	DT	the
veto	NN	veto
to	TO	to
prevent	VV	prevent
the	DT	the
security	NN	security
Council	NN	council
from	IN	from
enforcing	VVG	enforce
international	JJ	international
law	NN	law
then	RB	then
international	JJ	international
law	NN	law
itself	PP	itself
uh	UH	uh
becomes	VVZ	become
uh	UH	uh
under	RB	under
question	VVP	question
you	PP	you
say	VVP	say
that	IN/that	that
this	DT	this
is	VBZ	be
is	VBZ	be
pressure	NN	pressure
on	IN	on
the	DT	the
court	NN	court
now	RB	now
by	IN	by
all	DT	all
accounts	NNS	account
Gaza	NP	Gaza
is	VBZ	be
on	IN	on
the	DT	the
brink	NN	brink
of	IN	of
famine	NN	famine
we	PP	we
know	VVP	know
it's	NNS	it's
already	RB	already
happening	VVG	happen
in	IN	in
parts	NNS	part
of	IN	of
the	DT	the
strip	NN	strip
the	DT	the
icj	NN	icj
case	NN	case
that	IN/that	that
we're	NN	we're
talking	VVG	talk
about	RB	about
is	VBZ	be
potentially	RB	potentially
going	VVG	go
to	TO	to
take	VV	take
years	NNS	year
so	IN	so
what	WP	what
sort	NN	sort
of	IN	of
a	DT	a
difference	NN	difference
would	MD	would
more	RBR	more
provisional	JJ	provisional
measures	NNS	measure
make	VVP	make
if	IN	if
the	DT	the
court	NN	court
does	VVZ	do
grant	VV	grant
them	PP	them
to	TO	to
South	NP	South
Africa	NP	Africa
is	VBZ	be
this	DT	this
then	RB	then
about	RB	about
ramping	VVG	ramp
up	RP	up
diplomatic	JJ	diplomatic
pressure	NN	pressure
too	RB	too
on	IN	on
Israel's	NP	Israel's
allies	NNS	ally
is	VBZ	be
is	VBZ	be
that	IN/that	that
where	WRB	where
the	DT	the
difference	NN	difference
lies	VVZ	lie
yes	UH	yes
a	DT	a
diplomatic	JJ	diplomatic
and	CC	and
moral	JJ	moral
pressure	VV	pressure
uh	UH	uh
because	IN	because
if	IN	if
the	DT	the
court	NN	court
speaks	VVZ	speak
and	CC	and
speaks	VVZ	speak
clearly	RB	clearly
then	RB	then
it's	NNS	it's
on	IN	on
the	DT	the
countries	NNS	country
of	IN	of
the	DT	the
world	NN	world
whether	IN	whether
they	PP	they
are	VBP	be
willing	JJ	willing
to	TO	to
respect	VV	respect
international	JJ	international
law	NN	law
or	CC	or
to	TO	to
allow	VV	allow
Israel	NP	Israel
to	TO	to
act	VV	act
with	IN	with
impunity	NN	impunity
I	PP	I
think	VVP	think
it	PP	it
becomes	VVZ	become
more	RBR	more
difficult	JJ	difficult
for	IN	for
the	DT	the
United	NP	United
States	NP	States
it	PP	it
becomes	VVZ	become
more	RBR	more
difficult	JJ	difficult
for	IN	for
countries	NNS	country
uh	UH	uh
for	IN	for
example	NN	example
countries	NNS	country
which	WDT	which
have	VHP	have
cut	VVN	cut
off	RP	off
uh	UH	uh
the	DT	the
aid	NN	aid
to	TO	to
Ana	NP	Ana
which	WDT	which
is	VBZ	be
the	DT	the
only	JJ	only
organization	NN	organization
capable	JJ	capable
of	IN	of
Distributing	VVG	distribute
that	DT	that
food	NN	food
already	RB	already
the	DT	the
EU	NP	EU
has	VHZ	have
changed	VVN	change
its	PP$	its
position	NN	position
and	CC	and
Canada	NP	Canada
has	VHZ	have
changed	VVN	change
its	PP$	its
position	NN	position
and	CC	and
hopefully	RB	hopefully
the	DT	the
other	JJ	other
countries	NNS	country
also	RB	also
will	VV	will
uh	UH	uh
end	VV	end
the	DT	the
suspension	NN	suspension
of	IN	of
Aid	NP	Aid
to	TO	to
hona	NP	hona
Jonathan	NP	Jonathan
we've	NN	we've
been	VBN	be
talking	VVG	talk
primarily	RB	primarily
here	RB	here
about	IN	about
the	DT	the
icj	NN	icj
case	NN	case
but	CC	but
as	IN	as
you	PP	you
say	VVP	say
the	DT	the
constraints	NNS	constraint
on	IN	on
humanitarian	JJ	humanitarian
Aid	NN	aid
as	IN	as
people	NNS	people
are	VBP	be
starving	VVG	starve
to	TO	to
death	NN	death
are	VBP	be
also	RB	also
in	IN	in
clear	JJ	clear
violation	NN	violation
of	IN	of
humanitarian	JJ	humanitarian
law	NN	law
is	VBZ	be
there	RB	there
then	RB	then
perhaps	RB	perhaps
another	DT	another
route	NN	route
another	DT	another
simultaneous	JJ	simultaneous
route	NN	route
to	TO	to
some	DT	some
kind	NN	kind
of	IN	of
accountability	NN	accountability
well	RB	well
the	DT	the
only	RB	only
the	DT	the
only	JJ	only
route	NN	route
that	WDT	that
is	VBZ	be
available	JJ	available
uh	UH	uh
is	VBZ	be
the	DT	the
different	JJ	different
countries	NNS	country
of	IN	of
the	DT	the
world	NN	world
uh	UH	uh
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
uh	UH	uh
three	CD	three
times	NNS	time
they	PP	they
already	RB	already
tried	VVD	try
and	CC	and
even	RB	even
a	DT	a
fourth	JJ	fourth
time	NN	time
and	CC	and
each	DT	each
time	NN	time
they	PP	they
were	VBD	be
blocked	VVN	block
by	IN	by
a	DT	a
us	PP	us
veto	VVP	veto
already	RB	already
we	PP	we
are	VBP	be
hearing	VVG	hear
some	DT	some
uh	UH	uh
sounds	NNS	sound
from	IN	from
the	DT	the
American	NP	American
Administration	NP	Administration
that	IN/that	that
they	PP	they
want	VV	want
uh	UH	uh
a	DT	a
ceasefire	NN	ceasefire
that	IN/that	that
they	PP	they
want	VVP	want
food	NN	food
to	TO	to
be	VB	be
allowed	VVN	allow
in	IN	in
unimpeded	JJ	unimpeded
that	IN/that	that
more	JJR	more
food	NN	food
should	MD	should
be	VB	be
allowed	VVN	allow
in	IN	in
uh	UH	uh
how	WRB	how
serious	JJ	serious
they	PP	they
are	VBP	be
uh	UH	uh
we	PP	we
will	MD	will
find	VV	find
out	RP	out
in	IN	in
the	DT	the
next	JJ	next
few	JJ	few
days	NNS	day
we	PP	we
will	MD	will
indeed	RB	indeed
and	CC	and
we'll	RB	we'll
continue	VV	continue
watching	VVG	watch
very	RB	very
closely	RB	closely
indeed	RB	indeed
Jonathan	NP	Jonathan
cutab	NN	cutab
there	RB	there
an	DT	an
international	JJ	international
human	JJ	human
rights	NNS	right
lawyer	NN	lawyer
and	CC	and
also	RB	also
a	DT	a
co-founder	NN	co-founder
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
Human	NP	Human
Rights	NPS	Rights
group	NN	group
alhak	NN	alhak
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
Al	NP	Al
jazer	NN	jazer
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
