<video_id>GziOE_lAuD4</video_id>	JJ	<video_id>GziOE_lAuD4</video_id>
our	PP$	our
time	NN	time
in	IN	in
bethleem	NN	bethleem
um	NNS	um
but	CC	but
this	DT	this
year	NN	year
has	VHZ	have
been	VBN	be
so	RB	so
different	JJ	different
we	PP	we
couldn't	NN	couldn't
do	VVP	do
that	IN/that	that
but	CC	but
they	PP	they
are	VBP	be
finding	VVG	find
their	PP$	their
happiness	NN	happiness
in	IN	in
the	DT	the
minimal	JJ	minimal
things	NNS	thing
um	NNS	um
like	IN	like
um	NNS	um
playing	VVG	play
with	IN	with
their	PP$	their
new	JJ	new
toys	NNS	toy
um	NNS	um
enjoying	VVG	enjoy
their	PP$	their
Christmas	NP	Christmas
Vacation	NN	vacation
mainly	RB	mainly
that's	NNS	that's
it	PP	it
but	CC	but
if	IN	if
you	PP	you
talk	VVP	talk
about	IN	about
the	DT	the
real	JJ	real
Spirit	NN	spirit
of	IN	of
Christmas	NP	Christmas
it	PP	it
doesn't	VVD	doesn't
really	RB	really
exist	VV	exist
I	PP	I
mean	VV	mean
um	NNS	um
I	PP	I
took	VVD	take
I	PP	I
took	VVD	take
them	PP	them
to	TO	to
to	TO	to
church	NN	church
um	NNS	um
I	PP	I
try	VVP	try
to	TO	to
to	TO	to
have	VH	have
some	DT	some
family	NN	family
visits	VVZ	visit
um	NNS	um
to	TO	to
socialize	VV	socialize
because	IN	because
that's	NNS	that's
um	VVG	um
our	PP$	our
main	JJ	main
so	RB	so
support	VV	support
system	NN	system
it's	NNS	it's
the	DT	the
social	JJ	social
um	NN	um
relationships	NNS	relationship
that's	NN	that's
how	WRB	how
we	PP	we
mainly	RB	mainly
try	VVP	try
to	TO	to
to	TO	to
spend	VV	spend
our	PP$	our
Christmas	NN	Christmas
with	IN	with
family	NN	family
and	CC	and
friends	NNS	friend
and	CC	and
Charlie	NP	Charlie
how	WRB	how
is	VBZ	be
that	DT	that
season	NN	season
being	VBG	be
felt	VVN	feel
how	WRB	how
was	VBD	be
the	DT	the
decision	NN	decision
to	TO	to
put	VV	put
up	RP	up
a	DT	a
tree	NN	tree
actually	RB	actually
as	IN	as
Saina	NP	Saina
say	VVP	say
that	IN/that	that
we	PP	we
put	VVD	put
that	DT	that
tree	NN	tree
just	RB	just
to	TO	to
create	VV	create
the	DT	the
minimal	JJ	minimal
Spirit	NN	spirit
of	IN	of
Christmas	NP	Christmas
because	IN	because
for	IN	for
me	PP	me
Christmas	NP	Christmas
it's	NNS	it's
about	IN	about
Joy	NP	Joy
about	IN	about
happiness	NN	happiness
about	IN	about
family	NN	family
uh	UH	uh
yeah	RB	yeah
that's	JJ	that's
the	DT	the
main	JJ	main
idea	NN	idea
and	CC	and
the	DT	the
purpose	NN	purpose
of	IN	of
putting	VVG	put
the	DT	the
Christmas	NP	Christmas
tree	NN	tree
in	IN	in
the	DT	the
end	NN	end
it's	NNS	it's
a	DT	a
tree	NN	tree
and	CC	and
it's	NNS	it's
the	DT	the
symbol	NN	symbol
of	IN	of
uh	UH	uh
the	DT	the
Christmas	NP	Christmas
symbol	NN	symbol
of	IN	of
the	DT	the
uh	UH	uh
you	PP	you
know	VVP	know
the	DT	the
the	DT	the
celebration	NN	celebration
but	CC	but
it's	NNS	it's
still	RB	still
I	PP	I
mean	VVP	mean
even	RB	even
though	IN	though
we	PP	we
are	VBP	be
like	IN	like
um	NNS	um
in	IN	in
the	DT	the
season	NN	season
of	IN	of
Christmas	NP	Christmas
but	CC	but
still	RB	still
we	PP	we
feel	VVP	feel
the	DT	the
pain	NN	pain
inside	IN	inside
and	CC	and
Charlie	NP	Charlie
you	PP	you
also	RB	also
work	VVP	work
in	IN	in
the	DT	the
mental	JJ	mental
health	NN	health
sector	NN	sector
how	WRB	how
are	VBP	be
you	PP	you
seeing	VVG	see
Palestinians	NPS	Palestinians
going	VVG	go
through	IN	through
this	DT	this
time	NN	time
because	IN	because
we	PP	we
know	VVP	know
that	DT	that
they're	NN	they're
far	RB	far
away	RB	away
from	IN	from
the	DT	the
besieged	JJ	besieged
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
they	PP	they
are	VBP	be
feeling	VVG	feel
that	DT	that
pain	NN	pain
of	IN	of
course	NN	course
exactly	RB	exactly
actually	RB	actually
I'm	NN	I'm
working	VVG	work
now	RB	now
with	IN	with
an	DT	an
international	JJ	international
organizations	NNS	organization
and	CC	and
the	DT	the
main	JJ	main
uh	UH	uh
I	PP	I
mean	VVP	mean
object	NN	object
of	IN	of
this	DT	this
the	DT	the
mission	NN	mission
of	IN	of
uh	UH	uh
this	DT	this
organization	NN	organization
is	VBZ	be
to	TO	to
give	VV	give
like	VV	like
uh	UH	uh
Services	NPS	Services
of	IN	of
mental	JJ	mental
health	NN	health
and	CC	and
psychosocial	JJ	psychosocial
support	NN	support
of	IN	of
course	NN	course
like	IN	like
West	NP	West
Bank	NP	Bank
and	CC	and
has	VHZ	have
highly	RB	highly
affected	VVN	affect
especially	RB	especially
when	WRB	when
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
the	DT	the
south	NN	south
of	IN	of
Hebron	NP	Hebron
and	CC	and
hundred	CD	hundred
and	CC	and
of	IN	of
Palestinians	NPS	Palestinians
who	WP	who
were	VBD	be
displaced	VVN	displace
from	IN	from
their	PP$	their
places	NNS	place
with	IN	with
the	DT	the
attack	NN	attack
of	IN	of
the	DT	the
soldiers	NNS	soldier
and	CC	and
um	NNS	um
the	DT	the
sers	NNS	ser
of	IN	of
course	NN	course
and	CC	and
they	PP	they
are	VBP	be
like	IN	like
living	VVG	live
now	RB	now
in	IN	in
a	DT	a
very	RB	very
bad	JJ	bad
condition	NN	condition
our	PP$	our
organization	NN	organization
uh	UH	uh
and	CC	and
me	PP	me
myself	PP	myself
it's	NNS	it's
like	IN	like
a	DT	a
personal	JJ	personal
value	NN	value
which	WDT	which
is	VBZ	be
like	IN	like
support	NN	support
these	DT	these
people	NNS	people
these	DT	these
Palestinians	NPS	Palestinians
with	IN	with
the	DT	the
minimal	JJ	minimal
uh	UH	uh
services	NNS	service
either	CC	either
Mental	JJ	mental
Health	NP	Health
Services	NPS	Services
or	CC	or
other	JJ	other
services	NNS	service
in	IN	in
cooperation	NN	cooperation
with	IN	with
other	JJ	other
organizations	NNS	organization
yes	RB	yes
thank	VVP	thank
you	PP	you
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
allowing	VVG	allow
us	PP	us
into	IN	into
your	PP$	your
house	NN	house
Merry	NP	Merry
Christmas	NP	Christmas
to	TO	to
you	PP	you
and	CC	and
to	TO	to
your	PP$	your
children	NNS	child
and	CC	and
as	IN	as
we've	NNS	we've
been	VBN	be
reporting	VVG	report
to	TO	to
you	PP	you
Christmas	NP	Christmas
celebrations	NNS	celebration
have	VHP	have
been	VBN	be
canceled	VVN	cancel
but	CC	but
prayers	NNS	prayer
did	VVD	do
not	RB	not
stop	VV	stop
people	NNS	people
are	VBP	be
calling	VVG	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
they	PP	they
say	VVP	say
it's	JJ	it's
imminent	JJ	imminent
it's	NNS	it's
needed	VVD	need
now	RB	now
more	JJR	more
than	IN	than
later	JJR	late
thanks	NNS	thanks
so	IN	so
much	JJ	much
ibraim	NNS	ibraim
there	RB	there
</doc>	JJ	</doc>
