She	PP	she
the	DT	the
spirit	NN	spirit
of	IN	of
more	JJR	more
than	IN	than
one	CD	one
.	SENT	.
I	PP	I
swear	VVP	swear
to	TO	to
God	NP	God
,	,	,
you	PP	you
are	VBP	be
going	VVG	go
,	,	,
God	NP	God
knows	VVZ	know
,	,	,
you	PP	you
think	VVP	think
you	PP	you
are	VBP	be
coming	VVG	come
back	RB	back
,	,	,
and	CC	and
he	PP	he
is	VBZ	be
not	RB	not
coming	VVG	come
back	RB	back
.	SENT	.
I	PP	I
swear	VVP	swear
the	DT	the
day	NN	day
before	IN	before
yesterday	NN	yesterday
,	,	,
the	DT	the
young	JJ	young
man	NN	man
and	CC	and
I	PP	I
stayed	VVD	stay
at	IN	at
the	DT	the
sea	NN	sea
,	,	,
a	DT	a
cruiser	NN	cruiser
that	WDT	that
hit	VVD	hit
the	DT	the
water	NN	water
and	CC	and
the	DT	the
snipers	NNS	sniper
.	SENT	.
I	PP	I
swear	VVP	swear
to	TO	to
God	NP	God
,	,	,
I	PP	I
did	VVD	do
not	RB	not
expect	VV	expect
to	TO	to
come	VV	come
back	RB	back
.	SENT	.
I	PP	I
swear	VVP	swear
to	TO	to
God	NP	God
,	,	,
I	PP	I
did	VVD	do
not	RB	not
expect	VV	expect
to	TO	to
go	VV	go
to	TO	to
Tayyib	NP	Tayyib
,	,	,
sitting	VVG	sit
with	IN	with
potatoes	NNS	potato
.	SENT	.
We	PP	we
saw	VVD	see
nothing	NN	nothing
but	CC	but
flying	VVG	fly
,	,	,
knock	VV	knock
,	,	,
knock	VV	knock
,	,	,
knock	VV	knock
,	,	,
from	IN	from
the	DT	the
one	CD	one
who	WP	who
died	VVD	die
.	SENT	.
And	CC	and
the	DT	the
one	CD	one
who	WP	who
is	VBZ	be
right	JJ	right
and	CC	and
the	DT	the
one	CD	one
who	WP	who
is	VBZ	be
straying	VVG	stray
,	,	,
by	IN	by
God	NP	God
Almighty	JJ	almighty
,	,	,
we	PP	we
did	VVD	do
not	RB	not
expect	VV	expect
to	TO	to
go	VV	go
well	RB	well
,	,	,
and	CC	and
the	DT	the
second	JJ	second
day	NN	day
we	PP	we
repeat	VVP	repeat
the	DT	the
same	JJ	same
thing	NN	thing
again	RB	again
,	,	,
we	PP	we
will	MD	will
go	VV	go
back	RB	back
to	TO	to
get	VV	get
food	NN	food
and	CC	and
drink	NN	drink
,	,	,
some	DT	some
potatoes	NNS	potato
,	,	,
some	DT	some
onions	NNS	onion
,	,	,
there	EX	there
is	VBZ	be
pepper	NN	pepper
,	,	,
whatever	WDT	whatever
is	VBZ	be
in	IN	in
it	PP	it
,	,	,
so	RB	so
that	IN/that	that
the	DT	the
children	NNS	child
can	MD	can
eat	VV	eat
,	,	,
we	PP	we
will	MD	will
bring	VV	bring
it	PP	it
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
with	IN	with
children	NNS	child
and	CC	and
young	JJ	young
women	NNS	woman
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
not	RB	not
a	DT	a
problem	NN	problem
.	SENT	.
They	PP	they
are	VBP	be
patient	JJ	patient
,	,	,
but	CC	but
women	NNS	woman
and	CC	and
children	NNS	child
are	VBP	be
patient	JJ	patient
.	SENT	.
He	PP	he
does	VVZ	do
not	RB	not
know	VV	know
patience	NN	patience
,	,	,
and	CC	and
God	NP	God
will	MD	will
help	VV	help
him	PP	him
with	IN	with
their	PP$	their
situation	NN	situation
.	SENT	.
Everyone	NN	everyone
is	VBZ	be
suffocated	VVN	suffocate
and	CC	and
distressed	VVN	distress
,	,	,
and	CC	and
the	DT	the
one	CD	one
who	WP	who
lost	VVD	lose
a	DT	a
loved	VVN	love
one	CD	one
and	CC	and
the	DT	the
one	CD	one
who	WP	who
lost	VVD	lose
a	DT	a
brother	NN	brother
,	,	,
why	WRB	why
have	VH	have
we	PP	we
started	VVN	start
eating	VVG	eat
the	DT	the
food	NN	food
of	IN	of
animals	NNS	animal
,	,	,
may	MD	may
God	NP	God
bless	VV	bless
you	PP	you
?	SENT	?
They	PP	they
have	VHP	have
started	VVN	start
mixing	VVG	mix
barley	NN	barley
.	SENT	.
Its	PP$	its
age	NN	age
was	VBD	be
barley	NN	barley
flour	NN	flour
,	,	,
and	CC	and
its	PP$	its
age	NN	age
was	VBD	be
barley	NN	barley
flour	NN	flour
.	SENT	.
By	IN	by
God	NP	God
,	,	,
its	PP$	its
age	NN	age
.	SENT	.
In	IN	in
Arab	JJ	Arab
history	NN	history
,	,	,
we	PP	we
have	VHP	have
not	RB	not
heard	VVN	hear
of	IN	of
barley	NN	barley
and	CC	and
corn	NN	corn
flour	NN	flour
,	,	,
man	UH	man
,	,	,
we	PP	we
have	VHP	have
started	VVN	start
eating	VVG	eat
.	SENT	.
Barley	NN	barley
flour	NN	flour
and	CC	and
corn	NN	corn
,	,	,
and	CC	and
it	PP	it
makes	VVZ	make
their	PP$	their
stomach	NN	stomach
ache	NN	ache
,	,	,
and	CC	and
we	PP	we
say	VVP	say
,	,	,
Oh	NP	Oh
God	NP	God
,	,	,
because	IN	because
of	IN	of
the	DT	the
siege	NN	siege
and	CC	and
because	IN	because
of	IN	of
the	DT	the
Jews	NPS	Jews
and	CC	and
the	DT	the
Daesh	NP	Daesh
,	,	,
we	PP	we
must	MD	must
be	VB	be
patient	JJ	patient
,	,	,
even	RB	even
if	IN	if
it	PP	it
is	VBZ	be
in	IN	in
some	DT	some
form	NN	form
.	SENT	.
We	PP	we
remain	VVP	remain
patient	NN	patient
.	SENT	.
We	PP	we
are	VBP	be
in	IN	in
this	DT	this
homeland	NN	homeland
,	,	,
O	NN	O
great	JJ	great
one	CD	one
.	SENT	.
Subs	NNS	sub
lest	IN	lest
