<video_id>_KYx1hR8OaQ</video_id>	NP	<video_id>_KYx1hR8OaQ</video_id>
but	CC	but
the	DT	the
Israeli	JJ	Israeli
government	NN	government
will	MD	will
know	VV	know
that	IN/that	that
every	DT	every
time	NN	time
there	EX	there
is	VBZ	be
a	DT	a
loss	NN	loss
in	IN	in
the	DT	the
Israeli	JJ	Israeli
army	NN	army
fighting	VVG	fight
in	IN	in
Gaza	NP	Gaza
then	RB	then
it	PP	it
might	MD	might
just	RB	just
tip	VV	tip
the	DT	the
balance	NN	balance
of	IN	of
support	NN	support
away	RB	away
from	IN	from
the	DT	the
war	NN	war
they	PP	they
are	VBP	be
aware	JJ	aware
of	IN	of
that	DT	that
and	CC	and
certainly	RB	certainly
there's	RB	there's
been	VBN	be
criticism	NN	criticism
of	IN	of
the	DT	the
way	NN	way
that	IN/that	that
the	DT	the
Army	NP	Army
has	VHZ	have
conducted	VVN	conduct
the	DT	the
war	NN	war
led	VVN	lead
by	IN	by
the	DT	the
Israeli	JJ	Israeli
cabinet	NN	cabinet
one	CD	one
member	NN	member
of	IN	of
Benjamin	NP	Benjamin
netanyahu's	NNS	netanyahu's
government	NN	government
actually	RB	actually
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
said	VVD	say
there	EX	there
should	MD	should
be	VB	be
more	JJR	more
air	NN	air
strikes	VVZ	strike
that	IN/that	that
too	RB	too
many	JJ	many
soldiers	NNS	soldier
were	VBD	be
dying	VVG	die
on	IN	on
the	DT	the
ground	NN	ground
now	RB	now
the	DT	the
intention	NN	intention
is	VBZ	be
that	IN/that	that
this	DT	this
war	NN	war
will	MD	will
go	VV	go
on	IN	on
for	IN	for
several	JJ	several
months	NNS	month
we	PP	we
heard	VVD	hear
it	PP	it
from	IN	from
from	IN	from
Daniel	NP	Daniel
hagari	NP	hagari
the	DT	the
Israeli	JJ	Israeli
Army	NP	Army
spokesman	NN	spokesman
just	RB	just
last	JJ	last
night	NN	night
we've	NN	we've
heard	VVD	hear
it	PP	it
from	IN	from
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
as	IN	as
well	RB	well
he	PP	he
says	VVZ	say
he	PP	he
speaks	VVZ	speak
to	TO	to
the	DT	the
families	NNS	family
of	IN	of
those	DT	those
who've	NN	who've
died	VVD	die
all	RB	all
of	IN	of
them	PP	them
he	PP	he
says	VVZ	say
have	VHP	have
told	VVN	tell
him	PP	him
to	TO	to
continue	VV	continue
fighting	VVG	fight
the	DT	the
war	NN	war
otherwise	RB	otherwise
their	PP$	their
sons	NNS	son
loss	NN	loss
would	MD	would
be	VB	be
in	IN	in
vain	JJ	vain
and	CC	and
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
insists	VVZ	insist
that	IN/that	that
that's	NNS	that's
exactly	RB	exactly
what	WP	what
he's	NNS	he's
going	VVG	go
to	TO	to
do	VV	do
the	DT	the
war	NN	war
will	MD	will
go	VV	go
on	IN	on
for	IN	for
months	NNS	month
and	CC	and
the	DT	the
war	NN	war
will	MD	will
go	VV	go
on	IN	on
until	IN	until
Benjamin	NP	Benjamin
Natan	NP	Natan
who	WP	who
believes	VVZ	believe
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
its	PP$	its
Victory	NP	Victory
Alan	NP	Alan
thank	VV	thank
you	PP	you
Alan	NP	Alan
fish	NN	fish
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
</doc>	NN	</doc>
