well	RB	well
leads	VVZ	lead
through	IN	through
hunis	NNS	hunis
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
a	DT	a
lot	NN	lot
of	IN	of
Israeli	JJ	Israeli
military	JJ	military
activity	NN	activity
in	IN	in
that	DT	that
zone	NN	zone
that	RB	that
'	POS	'
s	VVG	s
what	WP	what
they	PP	they
call	VVP	call
it	PP	it
the	DT	the
Palestinians	NPS	Palestinians
call	VVP	call
it	PP	it
just	RB	just
bombardment	NN	bombardment
and	CC	and
that	IN/that	that
'	POS	'
s	VVG	s
what	WP	what
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
also	RB	also
seen	VVN	see
Ground	NN	ground
Forces	NNS	force
go	VVP	go
in	IN	in
now	RB	now
this	DT	this
is	VBZ	be
very	RB	very
alarming	VVG	alarm
to	TO	to
the	DT	the
Americans	NPS	Americans
because	IN	because
they	PP	they
'	POS	'
ve	NN	ve
said	VVD	say
very	RB	very
clearly	RB	clearly
uh	UH	uh
to	TO	to
the	DT	the
Israelis	NNS	Israeli
that	IN/that	that
they	PP	they
cannot	MD	can
use	VV	use
the	DT	the
same	JJ	same
type	NN	type
of	IN	of
intensity	NN	intensity
of	IN	of
bombardment	NN	bombardment
that	IN/that	that
they	PP	they
did	VVD	do
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
country	NN	country
but	CC	but
that	IN/that	that
'	POS	'
s	NNS	s
exactly	RB	exactly
what	WP	what
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
and	CC	and
the	DT	the
Israeli	NP	Israeli
is	VBZ	be
very	RB	very
clear	JJ	clear
that	IN/that	that
they	PP	they
will	MD	will
conduct	VV	conduct
this	DT	this
war	NN	war
as	RB	as
far	RB	far
as	IN	as
they	PP	they
see	VVP	see
fit	NN	fit
but	CC	but
even	RB	even
59	CD	@card@
days	NNS	day
into	IN	into
the	DT	the
war	NN	war
Hamas	NN	Hamas
is	VBZ	be
still	RB	still
able	JJ	able
to	TO	to
send	VV	send
Rockets	NNS	rocket
into	IN	into
uh	UH	uh
the	DT	the
Gaza	NP	Gaza
from	IN	from
Gaza	NP	Gaza
into	IN	into
the	DT	the
southern	JJ	southern
communi	NN	communi
of	IN	of
Israel	NP	Israel
uh	UH	uh
the	DT	the
last	JJ	last
alarm	NN	alarm
going	VVG	go
off	RP	off
about	IN	about
15	CD	@card@
20	CD	@card@
minutes	NNS	minute
ago	RB	ago
so	RB	so
that	RB	that
'	''	'
s	NNS	s
still	RB	still
something	NN	something
that	RB	that
'	POS	'
s	NN	S
happening	VVG	happen
and	CC	and
that	WDT	that
does	VVZ	do
call	NN	call
into	IN	into
question	NN	question
the	DT	the
Israeli	JJ	Israeli
claims	NNS	claim
that	IN/that	that
they	PP	they
control	VV	control
uh	UH	uh
the	DT	the
North	NP	North
and	CC	and
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
so	IN	so
all	PDT	all
this	DT	this
is	VBZ	be
going	VVG	go
on	IN	on
meanwhile	RB	meanwhile
pressure	NN	pressure
very	RB	very
much	RB	much
mounting	VVG	mount
on	IN	on
Benjamin	NP	Benjamin
netan	NN	netan
who	WP	who
from	IN	from
the	DT	the
families	NNS	family
of	IN	of
captives	NNS	captive
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
we	PP	we
heard	VVD	hear
from	IN	from
them	PP	them
earlier	JJR	early
today	NN	today
let	NN	let
'	POS	'
s	NNS	s
just	RB	just
have	VHP	have
a	DT	a
quick	JJ	quick
listen	NN	listen
to	TO	to
this	DT	this
we	PP	we
are	VBP	be
facing	VVG	face
a	DT	a
very	RB	very
difficult	JJ	difficult
emotional	JJ	emotional
situation	NN	situation
where	WRB	where
the	DT	the
heavy	JJ	heavy
disaster	NN	disaster
along	IN	along
with	IN	with
this	DT	this
ominous	JJ	ominous
Silence	NN	silence
has	VHZ	have
led	VVN	lead
136	CD	@card@
families	NNS	family
to	TO	to
despair	VV	despair
we	PP	we
request	VV	request
a	DT	a
meeting	NN	meeting
with	IN	with
the	DT	the
war	NN	war
cabinet	NN	cabinet
to	TO	to
receive	VV	receive
updates	NNS	update
on	IN	on
the	DT	the
fate	NN	fate
of	IN	of
our	PP$	our
family	NN	family
members	NNS	member
now	RB	now
now	RB	now
not	RB	not
tomorrow	NN	tomorrow
now	RB	now
if	IN	if
you	PP	you
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
time	NN	time
for	IN	for
us	PP	us
we	PP	we
will	MD	will
go	VV	go
to	TO	to
someone	NN	someone
else	RB	else
and	CC	and
we	PP	we
will	MD	will
find	VV	find
the	DT	the
one	CD	one
who	WP	who
will	MD	will
represent	VV	represent
us	PP	us
Iman	NP	Iman
what	WP	what
more	RBR	more
do	VV	do
we	PP	we
know	VV	know
about	IN	about
this	DT	this
request	NN	request
for	IN	for
a	DT	a
meeting	NN	meeting
between	IN	between
the	DT	the
families	NNS	family
and	CC	and
the	DT	the
war	NN	war
cabinet	NN	cabinet
well	RB	well
there	EX	there
was	VBD	be
some	DT	some
hope	NN	hope
for	IN	for
the	DT	the
families	NNS	family
just	RB	just
a	DT	a
few	JJ	few
hours	NNS	hour
ago	RB	ago
it	PP	it
was	VBD	be
announced	VVN	announce
that	IN/that	that
they	PP	they
were	VBD	be
you	PP	you
to	TO	to
meet	VV	meet
with	IN	with
the	DT	the
Israeli	JJ	Israeli
War	NP	War
cabinet	NN	cabinet
the	DT	the
full	JJ	full
Israeli	JJ	Israeli
War	NN	war
cabinet	NN	cabinet
around	IN	around
about	RB	about
8	CD	@card@
:	:	:
00	CD	@card@
p	NN	p
.	SENT	.
m	NN	m
.	SENT	.
local	JJ	local
then	RB	then
that	IN/that	that
meeting	NN	meeting
got	VVD	get
canceled	VVD	cancel
ostensibly	RB	ostensibly
say	VV	say
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
uh	UH	uh
spokesman	NN	spokesman
for	IN	for
the	DT	the
for	IN	for
the	DT	the
government	NN	government
that	IN/that	that
actually	RB	actually
we	PP	we
needed	VVD	need
to	TO	to
get	VV	get
a	DT	a
lot	NN	lot
more	JJR	more
members	NNS	member
uh	UH	uh
of	IN	of
the	DT	the
families	NNS	family
there	RB	there
that	IN/that	that
not	RB	not
everybody	NN	everybody
could	MD	could
attend	VV	attend
but	RB	but
that	RB	that
'	''	'
s	VVG	s
uh	UH	uh
been	VBN	be
dismissed	VVN	dismiss
by	IN	by
the	DT	the
families	NNS	family
we	PP	we
'	POS	'
re	NN	re
hearing	VVG	hear
uh	UH	uh
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
incredibly	RB	incredibly
disappointed	VVD	disappoint
that	IN/that	that
this	DT	this
meeting	NN	meeting
didn	NN	didn
'	POS	'
t	NN	t
take	VVP	take
place	NN	place
um	VVG	um
uh	UH	uh
the	DT	the
meeting	NN	meeting
is	VBZ	be
scheduled	VVN	schedule
for	IN	for
tomorrow	NN	tomorrow
so	IN	so
the	DT	the
families	NNS	family
are	VBP	be
hopeful	JJ	hopeful
that	IN/that	that
they	PP	they
'	''	'
ll	NN	ll
be	VB	be
able	JJ	able
to	TO	to
push	VV	push
their	PP$	their
case	NN	case
now	RB	now
the	DT	the
bring	VV	bring
them	PP	them
back	VV	back
Campaign	NN	campaign
which	WDT	which
is	VBZ	be
the	DT	the
umbrella	NN	umbrella
organization	NN	organization
that	WDT	that
represents	VVZ	represent
the	DT	the
families	NNS	family
has	VHZ	have
a	DT	a
significantly	RB	significantly
loud	JJ	loud
voice	NN	voice
in	IN	in
Israel	NP	Israel
it	PP	it
is	VBZ	be
a	DT	a
pressure	NN	pressure
group	NN	group
that	WDT	that
is	VBZ	be
able	JJ	able
uh	UH	uh
to	TO	to
influence	VV	influence
uh	UH	uh
a	DT	a
certainly	RB	certainly
public	JJ	public
opinion	NN	opinion
by	IN	by
taking	VVG	take
this	DT	this
meeting	VVG	meet
they	PP	they
'	POS	'
ll	NNS	ll
want	VVP	want
that	DT	that
pressure	NN	pressure
to	TO	to
directly	RB	directly
translate	VV	translate
into	IN	into
pressure	NN	pressure
on	IN	on
the	DT	the
people	NNS	people
that	WDT	that
can	MD	can
actually	RB	actually
change	VV	change
things	NNS	thing
and	CC	and
what	WP	what
they	PP	they
'	POS	'
re	NN	re
looking	VVG	look
for	IN	for
is	VBZ	be
a	DT	a
ceasefire	NN	ceasefire
to	TO	to
get	VV	get
more	JJR	more
people	NNS	people
out	IN	out
now	RB	now
now	RB	now
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
very	RB	very
difficult	JJ	difficult
for	IN	for
the	DT	the
Israelis	NPS	Israelis
because	IN	because
Hamas	NP	Hamas
have	VHP	have
already	RB	already
said	VVN	say
that	IN/that	that
the	DT	the
negotiations	NNS	negotiation
now	RB	now
are	VBP	be
over	IN	over
soldiers	NNS	soldier
and	CC	and
Military	JJ	military
aged	VVN	age
U	NN	U
men	NNS	man
and	CC	and
women	NNS	woman
that	IN/that	that
they	PP	they
have	VHP	have
in	IN	in
captivity	NN	captivity
in	IN	in
order	NN	order
to	TO	to
release	VV	release
those	DT	those
they	PP	they
want	VVP	want
a	DT	a
much	RB	much
more	RBR	more
permanent	JJ	permanent
truce	NN	truce
and	CC	and
we	PP	we
'	POS	'
ll	NNS	ll
leave	VVP	leave
it	PP	it
there	RB	there
for	IN	for
the	DT	the
moment	NN	moment
thanks	NNS	thanks
for	IN	for
that	DT	that
IM	NP	im
rank	NN	rank
reporting	VVG	report
there	RB	there
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
