<video_id>PgsdvdiYVi4</video_id>	JJ	<video_id>PgsdvdiYVi4</video_id>
that	WDT	that
expresses	VVZ	express
the	DT	the
pain	NN	pain
in	IN	in
which	WDT	which
we	PP	we
live,	VVZ	live,
the	DT	the
people,	NP	people,
the	DT	the
people	NNS	people
of	IN	of
Gaza,	NP	Gaza,
messages	NNS	message
that	WDT	that
also	RB	also
suggest	VVP	suggest
something	NN	something
else,	NNS	else,
that	WDT	that
we	PP	we
want	VVP	want
an	DT	an
end	NN	end
to	TO	to
this	DT	this
pain	NN	pain
and	CC	and
a	DT	a
limit	NN	limit
to	TO	to
these	DT	these
genocides	NNS	genocide
and	CC	and
the	DT	the
war	NN	war
that	WDT	that
is	VBZ	be
happening	VVG	happen
with	IN	with
us,	NP	us,
but	CC	but
we	PP	we
want	VVP	want
that	IN/that	that
we	PP	we
are	VBP	be
here	RB	here
to	TO	to
return,	VV	return,
that	IN/that	that
we	PP	we
live,	VVZ	live,
to	TO	to
return	VV	return
to	TO	to
the	DT	the
way	NN	way
we	PP	we
lived	VVD	live
before	IN	before
the	DT	the
war,	NP	war,
and	CC	and
to	TO	to
return	VV	return
to	TO	to
our	PP$	our
lives.	NN	lives.
We	PP	we
return	VVP	return
to	TO	to
a	DT	a
peaceful	JJ	peaceful
life	NN	life
and	CC	and
we	PP	we
have	VHP	have
what	WP	what
is	VBZ	be
the	DT	the
basic	JJ	basic
element	NN	element
that	IN/that	that
we	PP	we
lost	VVD	lose
in	IN	in
our	PP$	our
lives,	NN	lives,
which	WDT	which
is	VBZ	be
the	DT	the
element	NN	element
of	IN	of
safety,	NP	safety,
the	DT	the
element	NN	element
of	IN	of
life.	VVG	life.
We	PP	we
hide	VV	hide
to	TO	to
the	DT	the
world	NN	world
that	IN/that	that
we	PP	we
want	VVP	want
this	DT	this
element	NN	element
to	TO	to
be	VB	be
nurtured	VVN	nurture
as	IN	as
it	PP	it
was,	VVP	was,
and	CC	and
we	PP	we
continue	VVP	continue
our	PP$	our
lives	NNS	life
normally.	JJ	normally.
</doc>	NN	</doc>
