Al	NP	Al
in	IN	in
a	DT	a
very	RB	very
difficult	JJ	difficult
position	NN	position
almost	RB	almost
right	RB	right
into	IN	into
a	DT	a
corner	NN	corner
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
actually	RB	actually
using	VVG	use
its	PP$	its
veto	NN	veto
in	IN	in
favor	NN	favor
of	IN	of
Israel	NP	Israel
as	RB	as
has	VHZ	have
done	VVN	do
in	IN	in
the	DT	the
past	NN	past
I	PP	I
think	VVP	think
in	IN	in
many	JJ	many
ways	NNS	way
uh	UH	uh
Rob	NP	Rob
the	DT	the
idea	NN	idea
today	NN	today
that	IN/that	that
these	DT	these
15	CD	@card@
judges	NNS	judge
from	IN	from
15	CD	@card@
different	JJ	different
countries	NNS	country
the	DT	the
world	NN	world
'	POS	'
s	JJ	s
highest	JJS	high
court	NN	court
have	VHP	have
decided	VVN	decide
based	VVN	base
on	IN	on
evidence	NN	evidence
and	CC	and
based	VVN	base
on	IN	on
United	NP	United
Nations	NPS	Nations
agencies	NNS	agency
that	IN/that	that
they	PP	they
will	MD	will
put	VV	put
Israel	NP	Israel
on	IN	on
trial	NN	trial
for	IN	for
genocide	NN	genocide
moving	VVG	move
forward	RB	forward
that	IN/that	that
moral	JJ	moral
weight	NN	weight
of	IN	of
this	DT	this
court	NN	court
of	IN	of
that	DT	that
judgment	NN	judgment
based	VVN	base
on	IN	on
evidence	NN	evidence
of	IN	of
the	DT	the
past	JJ	past
100	CD	@card@
plus	CC	plus
days	NNS	day
will	MD	will
have	VH	have
huge	JJ	huge
effect	NN	effect
on	IN	on
the	DT	the
psychology	NN	psychology
and	CC	and
the	DT	the
moral	JJ	moral
standing	NN	standing
of	IN	of
those	DT	those
countries	NNS	country
who	WP	who
have	VHP	have
been	VBN	be
supporting	VVG	support
Israel	NP	Israel
unconditionally	RB	unconditionally
the	DT	the
past	JJ	past
3	CD	@card@
four	CD	four
months	NNS	month
how	WRB	how
they	PP	they
react	VVP	react
AC	NP	AC
you	PP	you
know	VVP	know
based	VVN	base
on	IN	on
that	DT	that
that	WDT	that
depends	VVZ	depend
on	IN	on
how	WRB	how
expedient	JJ	expedient
they	PP	they
are	VBP	be
how	WRB	how
narrow	JJ	narrow
-	NN	-
minded	VVD	mind
they	PP	they
are	VBP	be
or	CC	or
how	WRB	how
much	JJ	much
they	PP	they
feel	VVP	feel
themselves	PP	themselves
to	TO	to
be	VB	be
men	NNS	man
and	CC	and
women	NNS	woman
of	IN	of
History	NN	history
right	NN	right
that	IN/that	that
they	PP	they
are	VBP	be
on	IN	on
the	DT	the
right	JJ	right
side	NN	side
of	IN	of
History	NN	history
because	IN	because
here	RB	here
as	IN	as
you	PP	you
said	VVD	say
and	CC	and
as	IN	as
Pat	NP	Pat
stated	VVD	state
that	IN/that	that
some	DT	some
of	IN	of
the	DT	the
ruling	NN	ruling
some	DT	some
of	IN	of
it	PP	it
right	RB	right
in	IN	in
effect	NN	effect
does	VVZ	do
Echo	NP	Echo
some	DT	some
of	IN	of
what	WP	what
the	DT	the
unit	NN	unit
some	DT	some
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
been	VBN	be
warning	VVG	warn
about	IN	about
you	PP	you
need	VVP	need
to	TO	to
stop	VV	stop
the	DT	the
indiscriminate	JJ	indiscriminate
bombing	NN	bombing
you	PP	you
need	VVP	need
to	TO	to
you	PP	you
need	NN	need
to	TO	to
uh	UH	uh
leasen	VV	leasen
the	DT	the
civilian	JJ	civilian
casualties	NNS	casualty
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
but	CC	but
that	IN/that	that
'	POS	'
s	NNS	s
not	RB	not
where	WRB	where
the	DT	the
importance	NN	importance
of	IN	of
this	DT	this
Court	NP	Court
'	POS	'
s	NN	S
ruling	NN	ruling
is	VBZ	be
the	DT	the
importance	NN	importance
of	IN	of
this	DT	this
ring	VV	ring
uh	UH	uh
this	DT	this
Court	NP	Court
ruling	NN	ruling
lies	VVZ	lie
in	IN	in
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
suspect	VVP	suspect
there	EX	there
'	''	'
s	VVG	s
a	DT	a
plausible	JJ	plausible
evidence	NN	evidence
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
carrying	VVG	carry
genocide	NN	genocide
against	IN	against
a	DT	a
people	NNS	people
so	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
about	IN	about
war	NN	war
crimes	NNS	crime
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
about	IN	about
avoiding	VVG	avoid
civilian	JJ	civilian
casualties	NNS	casualty
they	PP	they
think	VVP	think
there	EX	there
'	''	'
s	VVG	s
a	DT	a
plausible	JJ	plausible
proof	NN	proof
plausible	JJ	plausible
evidence	NN	evidence
plausible	JJ	plausible
evid	NN	evid
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
carrying	VVG	carry
genocide	NN	genocide
against	IN	against
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
in	IN	in
Gaza	NP	Gaza
so	IN	so
that	WDT	that
must	MD	must
then	RB	then
provoke	VV	provoke
or	CC	or
invoke	VV	invoke
a	DT	a
certain	JJ	certain
move	NN	move
on	IN	on
the	DT	the
part	NN	part
of	IN	of
those	DT	those
who	WP	who
support	VVP	support
Israel	NP	Israel
and	CC	and
those	DT	those
who	WP	who
do	VVP	do
not	RB	not
support	VV	support
Israel	NP	Israel
because	IN	because
pressure	NN	pressure
is	VBZ	be
going	VVG	go
to	TO	to
start	VV	start
building	VVG	build
up	RP	up
by	IN	by
the	DT	the
Western	JJ	Western
public	JJ	public
opinion	NN	opinion
on	IN	on
Western	NP	Western
States	NPS	States
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
security	NN	security
Council	NP	Council
to	TO	to
call	VV	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
I	PP	I
think	VVP	think
different	JJ	different
countries	NNS	country
from	IN	from
the	DT	the
global	JJ	global
South	NP	South
are	VBP	be
also	RB	also
going	VVG	go
to	TO	to
start	VV	start
putting	VVG	put
pressure	NN	pressure
on	IN	on
their	PP$	their
Northern	NP	Northern
Partners	NPS	Partners
right	NN	right
to	TO	to
start	VV	start
putting	VVG	put
more	JJR	more
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
because	IN	because
the	DT	the
the	DT	the
the	DT	the
the	DT	the
the	DT	the
icj	NN	icj
is	VBZ	be
not	RB	not
just	RB	just
making	VVG	make
rulings	NNS	ruling
in	IN	in
the	DT	the
abstract	NN	abstract
I	PP	I
mean	VVP	mean
as	IN	as
I	PP	I
said	VVD	say
it	PP	it
'	''	'
s	VVG	s
a	DT	a
moral	JJ	moral
legal	JJ	legal
blow	NN	blow
but	CC	but
in	RB	in
effect	VV	effect
they	PP	they
'	''	'
re	IN	re
they	PP	they
'	POS	'
re	NN	re
telling	VVG	tell
Israel	NP	Israel
we	PP	we
want	VVP	want
to	TO	to
hear	VV	hear
back	RB	back
from	IN	from
you	PP	you
in	IN	in
a	DT	a
month	NN	month
time	NN	time
it	PP	it
'	POS	'
s	NN	S
like	IN	like
Israel	NP	Israel
is	VBZ	be
on	IN	on
probation	NN	probation
already	RB	already
it	PP	it
'	POS	'
s	NN	S
like	IN	like
Israel	NP	Israel
is	VBZ	be
on	IN	on
parole	NN	parole
already	RB	already
that	IN/that	that
you	PP	you
need	VVP	need
to	TO	to
come	VV	come
back	RB	back
and	CC	and
tell	VV	tell
us	PP	us
and	CC	and
show	VV	show
us	PP	us
how	WRB	how
you	PP	you
are	VBP	be
respecting	VVG	respect
the	DT	the
things	NNS	thing
we	PP	we
are	VBP	be
telling	VVG	tell
you	PP	you
so	IN	so
Israel	NP	Israel
is	VBZ	be
a	DT	a
suspect	JJ	suspect
Israel	NP	Israel
is	VBZ	be
on	IN	on
trial	NN	trial
and	CC	and
not	RB	not
just	RB	just
on	IN	on
trial	NN	trial
for	IN	for
this	DT	this
and	CC	and
that	DT	that
insignificant	JJ	insignificant
thing	NN	thing
it	PP	it
'	POS	'
s	NN	S
on	IN	on
trial	NN	trial
for	IN	for
genocide	NN	genocide
Mar	NP	Mar
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
be	VB	be
talking	VVG	talk
to	TO	to
you	PP	you
again	RB	again
in	IN	in
about	RB	about
half	PDT	half
an	DT	an
hour	NN	hour
'	POS	'
s	NN	S
time	NN	time
but	CC	but
for	IN	for
now	RB	now
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
Maran	NP	Maran
Bashar	NP	Bashar
