thousands	NNS	thousand
as	IN	as
well	RB	well
but	CC	but
the	DT	the
but	CC	but
this	DT	this
is	VBZ	be
where	WRB	where
the	DT	the
flash	NN	flash
pointed	VVD	point
here	RB	here
in	IN	in
the	DT	the
uh	UH	uh
Jordanian	NN	Jordanian
Capital	NP	Capital
Aman	NP	Aman
where	WRB	where
people	NNS	people
want	VVP	want
to	TO	to
go	VV	go
and	CC	and
vent	VV	vent
their	PP$	their
anger	NN	anger
at	IN	at
the	DT	the
Israeli	NP	Israeli
Embassy	NP	Embassy
we	PP	we
spoke	VVD	speak
to	TO	to
a	DT	a
former	JJ	former
Jordanian	JJ	Jordanian
MP	NN	MP
as	IN	as
well	RB	well
last	JJ	last
night	NN	night
she	PP	she
told	VVD	tell
us	PP	us
uh	UH	uh
that	IN/that	that
this	DT	this
the	DT	the
presence	NN	presence
of	IN	of
the	DT	the
Israeli	NP	Israeli
Embassy	NP	Embassy
is	VBZ	be
hurtful	JJ	hurtful
and	CC	and
in	IN	in
her	PP$	her
words	NNS	word
shameful	JJ	shameful
for	IN	for
jordanians	NNS	Jordanian
and	CC	and
Palestinians	NNS	Palestinian
living	VVG	live
here	RB	here
because	IN	because
they	PP	they
do	VVP	do
not	RB	not
want	VV	want
to	TO	to
talk	VV	talk
to	TO	to
Israel	NP	Israel
while	IN	while
there	EX	there
are	VBP	be
in	IN	in
their	PP$	their
words	NNS	word
massacres	NNS	massacre
being	VBG	be
committed	VVN	commit
uh	UH	uh
on	IN	on
Palestinian	JJ	Palestinian
soil	NN	soil
you	PP	you
'	POS	'
ve	NN	ve
heard	VVD	hear
from	IN	from
the	DT	the
Jordanian	JJ	Jordanian
foreign	JJ	foreign
minister	NN	minister
earlier	RBR	earlier
as	IN	as
well	RB	well
saying	VVG	say
that	IN/that	that
this	DT	this
Summit	NP	Summit
which	WDT	which
was	VBD	be
supposed	VVN	suppose
to	TO	to
happen	VV	happen
today	NN	today
in	IN	in
Aman	NP	Aman
between	IN	between
the	DT	the
Americans	NPS	Americans
the	DT	the
jordanians	NNS	Jordanian
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
the	DT	the
Egyptians	NNS	Egyptian
is	VBZ	be
no	RB	no
longer	RBR	longer
going	VVG	go
to	TO	to
take	VV	take
place	NN	place
here	RB	here
because	IN	because
what	WP	what
he	PP	he
calls	VVZ	call
massacres	NNS	massacre
that	WDT	that
are	VBP	be
being	VBG	be
committed	VVN	commit
by	IN	by
the	DT	the
Israeli	JJ	Israeli
government	NN	government
so	RB	so
as	IN	as
you	PP	you
said	VVD	say
this	DT	this
is	VBZ	be
not	RB	not
just	RB	just
a	DT	a
protest	NN	protest
in	IN	in
one	PP	one
spot	VVP	spot
there	EX	there
are	VBP	be
sporadic	JJ	sporadic
protests	NNS	protest
that	WDT	that
are	VBP	be
happening	VVG	happen
across	IN	across
Jordan	NP	Jordan
a	DT	a
country	NN	country
which	WDT	which
is	VBZ	be
home	NN	home
to	TO	to
more	JJR	more
than	IN	than
2	CD	@card@
million	CD	million
Palestinian	JJ	Palestinian
refugees	NNS	refugee
okay	VVP	okay
the	DT	the
meeting	NN	meeting
between	IN	between
Arab	JJ	Arab
leaders	NNS	leader
and	CC	and
Joe	NP	Joe
Biden	NP	Biden
has	VHZ	have
been	VBN	be
cancelled	VVN	cancel
but	CC	but
surely	RB	surely
there	EX	there
must	MD	must
be	VB	be
some	DT	some
behind	IN	behind
the	DT	the
scenes	NNS	scene
uh	UH	uh
diplomatic	JJ	diplomatic
activity	NN	activity
right	RB	right
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
on	IN	on
that	DT	that
front	NN	front
well	RB	well
we	PP	we
'	POS	'
re	NN	re
hearing	NN	hearing
that	IN/that	that
there	EX	there
is	VBZ	be
still	RB	still
lines	NNS	line
of	IN	of
communication	NN	communication
which	WDT	which
are	VBP	be
open	JJ	open
amongst	IN	amongst
all	DT	all
of	IN	of
these	DT	these
sides	NNS	side
but	CC	but
there	EX	there
'	''	'
s	RB	s
been	VBN	be
very	RB	very
categoric	JJ	categoric
rejection	NN	rejection
by	IN	by
both	CC	both
the	DT	the
jordanians	NNS	Jordanian
and	CC	and
the	DT	the
Egyptians	NNS	Egyptian
that	WDT	that
they	PP	they
do	VVP	do
not	RB	not
want	VV	want
the	DT	the
displacement	NN	displacement
of	IN	of
another	DT	another
uh	UH	uh
Mass	NN	Mass
migration	NN	migration
from	IN	from
the	DT	the
Palestinians	NPS	Palestinians
from	IN	from
their	PP$	their
lands	NNS	land
into	IN	into
either	DT	either
Jordan	NP	Jordan
or	CC	or
Egyptian	JJ	Egyptian
territories	NNS	territory
and	CC	and
that	DT	that
is	VBZ	be
something	NN	something
where	WRB	where
they	PP	they
are	VBP	be
clear	JJ	clear
that	IN/that	that
they	PP	they
do	VVP	do
not	RB	not
want	VV	want
to	TO	to
open	VV	open
their	PP$	their
borders	VVZ	border
uh	UH	uh
for	IN	for
these	DT	these
people	NNS	people
to	TO	to
be	VB	be
displaced	VVN	displace
because	IN	because
as	IN	as
I	PP	I
said	VVD	say
there	EX	there
are	VBP	be
more	JJR	more
than	IN	than
2	CD	@card@
million	CD	million
Palestinian	JJ	Palestinian
refugees	NNS	refugee
still	RB	still
here	RB	here
who	WP	who
do	VVP	do
not	RB	not
have	VH	have
the	DT	the
right	NN	right
to	TO	to
return	VV	return
to	TO	to
Israel	NP	Israel
so	IN	so
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
difficult	JJ	difficult
things	NNS	thing
that	IN/that	that
getting	VVG	get
these	DT	these
parties	NNS	party
to	TO	to
agree	VV	agree
on	RP	on
whether	IN	whether
if	IN	if
they	PP	they
want	VVP	want
to	TO	to
take	VV	take
some	DT	some
Palestinians	NPS	Palestinians
from	IN	from
the	DT	the
other	JJ	other
side	NN	side
or	CC	or
to	TO	to
allow	VV	allow
in	IN	in
Aid	NP	Aid
and	CC	and
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
two	CD	two
sides	VVZ	side
uh	UH	uh
seem	VV	seem
to	TO	to
be	VB	be
uh	UH	uh
stuck	VVN	stick
on	IN	on
where	WRB	where
the	DT	the
Arab	JJ	Arab
governments	NNS	government
have	VHP	have
been	VBN	be
asking	VVG	ask
for	IN	for
a	DT	a
cessation	NN	cessation
of	IN	of
hostilities	NNS	hostility
to	TO	to
allow	VV	allow
in	IN	in
a	DT	a
to	TO	to
the	DT	the
besieged	JJ	besieged
Gaza	NP	Gaza
Strip	NP	Strip
whereas	IN	whereas
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
has	VHZ	have
been	VBN	be
pushing	VVG	push
uh	UH	uh
the	DT	the
Arab	JJ	Arab
leaders	NNS	leader
to	TO	to
use	VV	use
their	PP$	their
influence	NN	influence
on	IN	on
Palestinians	NNS	Palestinian
for	IN	for
hostage	NN	hostage
release	NN	release
and	CC	and
maybe	RB	maybe
some	DT	some
sort	NN	sort
of	IN	of
opening	NN	opening
over	IN	over
the	DT	the
borders	NNS	border
for	IN	for
people	NNS	people
to	TO	to
flee	VV	flee
from	IN	from
Asama	NP	Asama
bin	NN	bin
Javed	NP	Javed
reporting	VVG	report
from	IN	from
Aman	NP	Aman
in	IN	in
Jordan	NP	Jordan
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
