claim	NN	claim
the	DT	the
lockdown	JJ	lockdown
situation	NN	situation
and	CC	and
the	DT	the
students	NNS	student
who	WP	who
are	VBP	be
on	IN	on
campus	NN	campus
were	VBD	be
advised	VVN	advise
to	TO	to
stay	VV	stay
in	IN	in
their	PP$	their
dormitories	NNS	dormitory
and	CC	and
not	RB	not
come	VV	come
out	RP	out
uh	UH	uh
in	IN	in
the	DT	the
runup	NN	runup
to	TO	to
this	DT	this
clearly	RB	clearly
the	DT	the
University	NP	University
was	VBD	be
prepping	VVG	prep
everyone	NN	everyone
for	IN	for
this	DT	this
Mass	NP	Mass
takeover	NN	takeover
by	IN	by
the	DT	the
police	NN	police
Kristen	NP	Kristen
do	VVP	do
stay	VV	stay
with	IN	with
us	PP	us
as	IN	as
we	PP	we
update	VVP	update
our	PP$	our
viewers	NNS	viewer
who	WP	who
might	MD	might
just	RB	just
be	VB	be
joining	VVG	join
us	PP	us
on	IN	on
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
happening	VVG	happen
these	DT	these
really	RB	really
important	JJ	important
developments	NNS	development
at	IN	at
Columbia	NP	Columbia
University	NP	University
in	IN	in
New	NP	New
York	NP	York
this	DT	this
is	VBZ	be
Al	NP	Al
daer	NP	daer
and	CC	and
you	PP	you
are	VBP	be
watching	VVG	watch
live	JJ	live
pictures	NNS	picture
from	IN	from
Columbia	NP	Columbia
University	NP	University
where	WRB	where
in	IN	in
the	DT	the
past	JJ	past
uh	UH	uh
45	CD	@card@
minutes	NNS	minute
we	PP	we
have	VHP	have
seen	VVN	see
police	NN	police
officers	NNS	officer
moving	VVG	move
into	IN	into
climbing	VVG	climb
up	RP	up
and	CC	and
entering	VVG	enter
through	IN	through
a	DT	a
window	NN	window
at	IN	at
the	DT	the
historic	JJ	historic
Hamilton	NP	Hamilton
Hall	NP	Hall
in	IN	in
Columbia	NP	Columbia
University	NP	University
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
a	DT	a
group	NN	group
of	IN	of
students	NNS	student
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
how	WRB	how
many	JJ	many
exactly	RB	exactly
but	CC	but
a	DT	a
group	NN	group
of	IN	of
students	NNS	student
barricaded	VVD	barricade
themselves	PP	themselves
inside	IN	inside
Hamilton	NP	Hamilton
Hall	NP	Hall
on	IN	on
Monday	NP	Monday
evening	NN	evening
to	TO	to
continue	VV	continue
to	TO	to
protest	VV	protest
against	IN	against
Israel	NP	Israel
'	POS	'
s	JJ	s
war	NN	war
on	IN	on
Gaza	NP	Gaza
they	PP	they
said	VVD	say
that	IN/that	that
they	PP	they
had	VHD	have
renamed	VVN	rename
Hamilton	NP	Hamilton
Hall	NP	Hall
hind	JJ	hind
Hall	NP	Hall
after	IN	after
the	DT	the
six	CD	six
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
Palestinian	JJ	Palestinian
girl	NN	girl
in	IN	in
Gaza	NP	Gaza
who	WP	who
was	VBD	be
killed	VVN	kill
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
while	IN	while
on	IN	on
the	DT	the
phone	NN	phone
with	IN	with
emergency	NN	emergency
paramedics	NNS	paramedic
begging	VVG	beg
them	PP	them
to	TO	to
come	VV	come
and	CC	and
save	VV	save
her	PP	her
and	CC	and
whose	WP$	whose
phone	NN	phone
call	NN	call
went	VVD	go
viral	JJ	viral
around	IN	around
the	DT	the
world	NN	world
there	EX	there
is	VBZ	be
a	DT	a
heavy	JJ	heavy
police	NN	police
presence	NN	presence
at	IN	at
Columbia	NP	Columbia
University	NP	University
after	IN	after
University	NP	University
authorities	NNS	authority
called	VVD	call
police	VV	police
uh	UH	uh
saying	VVG	say
that	IN/that	that
they	PP	they
were	VBD	be
agitated	VVN	agitate
who	WP	who
had	VHD	have
infiltrated	VVN	infiltrate
this	DT	this
protest	NN	protest
let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
our	PP$	our
correspondent	JJ	correspondent
Kristen	NP	Kristen
salumi	NNS	salumi
back	RB	back
in	IN	in
she	PP	she
is	VBZ	be
one	CD	one
of	IN	of
two	CD	two
correspondents	NNS	correspondent
that	IN/that	that
we	PP	we
have	VHP	have
outside	IN	outside
Columbia	NP	Columbia
University	NP	University
at	IN	at
different	JJ	different
points	NNS	point
um	JJ	um
outside	IN	outside
the	DT	the
university	NN	university
covering	VVG	cover
this	DT	this
ongoing	JJ	ongoing
situation	NN	situation
for	IN	for
us	PP	us
and	CC	and
Kristen	NP	Kristen
you	PP	you
know	VVP	know
you	PP	you
were	VBD	be
telling	VVG	tell
us	PP	us
about	IN	about
the	DT	the
university	NN	university
statement	NN	statement
saying	VVG	say
that	IN/that	that
there	RB	there
that	IN/that	that
there	EX	there
are	VBP	be
agitators	NNS	agitator
and	CC	and
our	PP$	our
correspondent	NN	correspondent
today	NN	today
a	DT	a
boy	NN	boy
was	VBD	be
telling	VVG	tell
earlier	RBR	earlier
that	IN/that	that
you	PP	you
know	VVP	know
she	PP	she
'	''	'
s	RB	s
been	VBN	be
speaking	VVG	speak
to	TO	to
many	JJ	many
protesters	NNS	protester
over	IN	over
the	DT	the
course	NN	course
of	IN	of
days	NNS	day
of	IN	of
reporting	VVG	report
as	IN	as
you	PP	you
have	VHP	have
for	IN	for
you	PP	you
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
weeks	NNS	week
now	RB	now
uh	UH	uh
covering	VVG	cover
these	DT	these
protests	NNS	protest
in	IN	in
Colombia	NP	Colombia
and	CC	and
they	PP	they
say	VVP	say
you	PP	you
know	VVP	know
that	IN/that	that
these	DT	these
claims	NNS	claim
of	IN	of
infiltrators	NNS	infiltrator
is	VBZ	be
simply	RB	simply
not	RB	not
true	JJ	true
and	CC	and
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
really	RB	really
interesting	JJ	interesting
not	RB	not
just	RB	just
at	IN	at
Colombia	NP	Colombia
but	CC	but
other	JJ	other
universities	NNS	university
Across	IN	across
America	NP	America
is	VBZ	be
that	IN/that	that
students	NNS	student
themselves	PP	themselves
are	VBP	be
being	VBG	be
charged	VVN	charge
students	NNS	student
and	CC	and
professors	NNS	professor
themselves	PP	themselves
are	VBP	be
being	VBG	be
charged	VVN	charge
with	IN	with
trespassing	VVG	trespass
which	WDT	which
they	PP	they
say	VVP	say
is	VBZ	be
an	DT	an
absolutely	RB	absolutely
bizarre	JJ	bizarre
charge	VV	charge
uh	UH	uh
trespassing	NN	trespassing
somewhere	RB	somewhere
where	WRB	where
you	PP	you
go	VVP	go
or	CC	or
you	PP	you
work	VVP	work
yeah	RB	yeah
that	RB	that
'	''	'
s	NN	S
right	NN	right
and	CC	and
Columbia	NP	Columbia
University	NP	University
of	IN	of
course	NN	course
has	VHZ	have
this	DT	this
long	JJ	long
history	NN	history
of	IN	of
student	NN	student
demonstrations	NNS	demonstration
in	IN	in
the	DT	the
very	RB	very
same	JJ	same
Hall	NP	Hall
where	WRB	where
the	DT	the
students	NNS	student
uh	UH	uh
are	VBP	be
being	VBG	be
arrested	VVN	arrest
where	WRB	where
they	PP	they
uh	UH	uh
took	VVD	take
over	IN	over
the	DT	the
building	NN	building
in	IN	in
1968	CD	@card@
demonstrators	NNS	demonstrator
did	VVD	do
the	DT	the
same	JJ	same
thing	NN	thing
there	IN	here
uh	UH	uh
so	RB	so
they	PP	they
see	VVP	see
this	DT	this
as	RB	as
continuing	VVG	continue
a	DT	a
tradition	NN	tradition
and	CC	and
happened	VVD	happen
again	RB	again
with	IN	with
the	DT	the
apartheid	NN	apartheid
in	IN	in
South	NP	South
Africa	NP	Africa
they	PP	they
were	VBD	be
demonstrations	NNS	demonstration
at	IN	at
the	DT	the
same	JJ	same
spot	NN	spot
so	IN	so
and	NP	and
and	CC	and
Columbia	NP	Columbia
University	NP	University
has	VHZ	have
a	DT	a
law	NN	law
school	NN	school
it	PP	it
'	POS	'
s	NNS	s
the	DT	the
home	NN	home
to	TO	to
the	DT	the
night	NN	night
First	NP	First
Amendment	NP	Amendment
Institute	NP	Institute
uh	UH	uh
and	CC	and
the	DT	the
faculty	NN	faculty
from	IN	from
the	DT	the
law	NN	law
school	NN	school
and	CC	and
the	DT	the
night	NN	night
First	NP	First
Amendment	NP	Amendment
Institute	NP	Institute
have	VHP	have
all	RB	all
come	VVN	come
out	RP	out
on	IN	on
the	DT	the
side	NN	side
of	IN	of
the	DT	the
demonstrators	NNS	demonstrator
saying	VVG	say
that	IN/that	that
you	PP	you
know	VVP	know
they	PP	they
'	''	'
ve	RB	ve
been	VBN	be
peaceful	JJ	peaceful
especially	RB	especially
when	WRB	when
the	DT	the
first	JJ	first
arrest	NN	arrest
came	VVD	come
along	IN	along
uh	UH	uh
it	PP	it
was	VBD	be
you	PP	you
know	VVP	know
a	DT	a
peaceful	JJ	peaceful
encampment	NN	encampment
where	WRB	where
people	NNS	people
were	VBD	be
up	RP	up
and	CC	and
by	IN	by
the	DT	the
police	NN	police
department	NN	department
'	POS	'
s	JJ	s
own	JJ	own
statements	NNS	statement
they	PP	they
themselves	PP	themselves
said	VVD	say
that	IN/that	that
the	DT	the
demonstrators	NNS	demonstrator
had	VHD	have
not	RB	not
done	VVN	do
anything	NN	anything
violent	JJ	violent
per	FW	per
se	FW	se
so	CC	so
uh	UH	uh
from	IN	from
within	IN	within
the	DT	the
campus	NN	campus
you	PP	you
have	VHP	have
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
the	DT	the
administration	NN	administration
and	CC	and
the	DT	the
Board	NP	Board
of	IN	of
Trustees	NNS	trustee
who	WP	who
uh	UH	uh
clearly	RB	clearly
are	VBP	be
under	IN	under
pressure	VV	pressure
uh	UH	uh
from	IN	from
leaders	NNS	leader
of	IN	of
the	DT	the
city	NN	city
and	CC	and
the	DT	the
state	NN	state
and	CC	and
the	DT	the
federal	JJ	federal
government	NN	government
to	TO	to
clamp	VV	clamp
down	RP	down
on	IN	on
this	DT	this
and	CC	and
get	VV	get
it	PP	it
under	IN	under
control	NN	control
but	CC	but
within	IN	within
the	DT	the
Colombia	NP	Colombia
community	NN	community
I	NP	I
'	POS	'
m	NN	m
not	RB	not
saying	VVG	say
all	DT	all
faculty	NN	faculty
members	NNS	member
support	VVP	support
the	DT	the
demonstrators	NNS	demonstrator
but	CC	but
certainly	RB	certainly
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
majority	NN	majority
of	IN	of
uh	UH	uh
just	RB	just
by	IN	by
the	DT	the
Senate	NP	Senate
vote	NN	vote
that	WDT	that
was	VBD	be
taken	VVN	take
this	DT	this
uh	UH	uh
faculty	NN	faculty
Senate	NP	Senate
vote	VV	vote
uh	UH	uh
was	VBD	be
very	RB	very
critical	JJ	critical
of	IN	of
the	DT	the
fact	NN	fact
that	IN/that	that
police	NNS	police
were	VBD	be
used	VVN	use
to	TO	to
handle	VV	handle
a	DT	a
situation	NN	situation
the	DT	the
University	NP	University
faculty	NN	faculty
see	VVP	see
this	DT	this
as	IN	as
their	PP$	their
Community	NN	community
as	IN	as
their	PP$	their
students	NNS	student
this	DT	this
is	VBZ	be
a	DT	a
teachable	JJ	teachable
moment	NN	moment
many	JJ	many
of	IN	of
them	PP	them
will	MD	will
say	VV	say
uh	UH	uh
when	WRB	when
they	PP	they
can	MD	can
uh	UH	uh
you	PP	you
know	VVP	know
encourage	VV	encourage
disc	NN	disc
discussions	NNS	discussion
and	CC	and
debate	NN	debate
and	CC	and
the	DT	the
expression	NN	expression
of	IN	of
free	JJ	free
speech	NN	speech
yeah	RB	yeah
and	CC	and
yet	RB	yet
it	PP	it
was	VBD	be
just	RB	just
a	DT	a
blanket	NN	blanket
shutdown	NN	shutdown
so	IN	so
ABS	NP	ABS
a	DT	a
lot	NN	lot
of	IN	of
feeling	VVG	feel
that	IN/that	that
the	DT	the
negotiations	NNS	negotiation
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
in	IN	in
good	JJ	good
faith	NN	faith
but	CC	but
you	PP	you
know	VVP	know
Kristen	NP	Kristen
I	PP	I
think	VVP	think
we	PP	we
'	''	'
ve	NNS	ve
seen	VVN	see
since	IN	since
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
began	VVD	begin
certainly	RB	certainly
before	RB	before
but	CC	but
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
heightened	VVN	heighten
since	IN	since
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
began	VVD	begin
that	IN/that	that
the	DT	the
exception	NN	exception
to	TO	to
free	JJ	free
speech	NN	speech
even	RB	even
at	IN	at
universities	NNS	university
seems	VVZ	seem
to	TO	to
be	VB	be
on	IN	on
Palestine	NP	Palestine
well	RB	well
I	PP	I
don	VV	don
'	''	'
t	NN	t
recall	VVP	recall
any	DT	any
arrests	NNS	arrest
during	IN	during
the	DT	the
South	JJ	South
African	JJ	African
apartheid	NN	apartheid
devest	VV	devest
movement	NN	movement
uh	UH	uh
there	RB	there
you	PP	you
know	VVP	know
it	PP	it
this	DT	this
really	RB	really
uh	UH	uh
this	DT	this
really	RB	really
seemed	VVN	seem
to	TO	to
trigger	VV	trigger
a	DT	a
response	NN	response
not	RB	not
only	RB	only
here	RB	here
at	IN	at
Colombia	NP	Colombia
but	CC	but
elsewhere	RB	elsewhere
and	CC	and
uh	UH	uh
there	EX	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
of	IN	of
sympathy	NN	sympathy
for	IN	for
uh	UH	uh
the	DT	the
Israel	NP	Israel
and	CC	and
for	IN	for
uh	UH	uh
what	WP	what
happened	VVD	happen
there	RB	there
there	RB	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
of	IN	of
um	NNS	um
you	PP	you
know	VVP	know
strong	JJ	strong
feelings	NNS	feeling
when	WRB	when
Israel	NP	Israel
is	VBZ	be
threatened	VVN	threaten
uh	UH	uh
people	NNS	people
here	RB	here
have	VHP	have
family	NN	family
there	RB	there
there	RB	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
of	IN	of
connections	NNS	connection
between	IN	between
Israel	NP	Israel
and	CC	and
New	NP	New
York	NP	York
in	IN	in
particular	JJ	particular
so	IN	so
there	EX	there
is	VBZ	be
sympathy	NN	sympathy
there	RB	there
um	JJ	um
but	CC	but
there	EX	there
'	''	'
s	NNS	s
also	RB	also
growing	VVG	grow
awareness	NN	awareness
of	IN	of
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
pictures	NNS	picture
that	WDT	that
have	VHP	have
been	VBN	be
coming	VVG	come
from	IN	from
that	DT	that
conflict	NN	conflict
and	CC	and
uh	UH	uh
again	RB	again
this	DT	this
is	VBZ	be
a	DT	a
an	DT	an
educational	JJ	educational
setting	NN	setting
where	WRB	where
people	NNS	people
are	VBP	be
learning	VVG	learn
about	IN	about
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
in	IN	in
the	DT	the
world	NN	world
and	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
being	VBG	be
taught	VVN	teach
about	IN	about
human	JJ	human
rights	NNS	right
if	IN	if
you	PP	you
'	POS	'
re	NN	re
being	VBG	be
taught	VVN	teach
about	IN	about
Free	NP	Free
Speech	NN	speech
uh	UH	uh
people	NNS	people
are	VBP	be
saying	VVG	say
why	WRB	why
can	MD	can
'	''	'
t	NN	t
we	PP	we
talk	VVP	talk
about	IN	about
this	DT	this
why	NN	why
can	MD	can
'	''	'
t	NN	t
we	PP	we
use	VVP	use
our	PP$	our
voices	NNS	voice
to	TO	to
to	TO	to
protest	VV	protest
and	CC	and
that	IN/that	that
'	POS	'
s	VVG	s
what	WP	what
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
seeing	VVG	see
happening	VVG	happen
and	NP	and
and	CC	and
Kristen	NP	Kristen
you	PP	you
know	VVP	know
to	TO	to
your	PP$	your
point	NN	point
about	IN	about
a	DT	a
part	NN	part
A	DT	a
our	PP$	our
correspondent	NN	correspondent
Rob	NP	Rob
McBride	NP	McBride
who	WP	who
'	POS	'
s	RB	s
been	VBN	be
covering	VVG	cover
the	DT	the
protests	NNS	protest
at	IN	at
the	DT	the
University	NP	University
of	IN	of
California	NP	California
Los	NP	Los
Angeles	NP	Angeles
he	PP	he
interviewed	VVD	interview
a	DT	a
history	NN	history
Professor	NP	Professor
a	DT	a
few	JJ	few
hours	NNS	hour
ago	RB	ago
live	VVP	live
in	IN	in
one	CD	one
of	IN	of
our	PP$	our
bulletins	NNS	bulletin
and	CC	and
he	PP	he
was	VBD	be
talking	VVG	talk
about	RB	about
how	WRB	how
in	IN	in
all	DT	all
of	IN	of
his	PP$	his
years	NNS	year
of	IN	of
being	VBG	be
part	NN	part
of	IN	of
protests	NNS	protest
in	IN	in
America	NP	America
including	VVG	include
against	IN	against
aparted	NN	aparted
he	PP	he
hasn	NP	hasn
'	POS	'
t	NN	t
seen	VVN	see
something	NN	something
like	IN	like
this	DT	this
so	IN	so
that	WDT	that
that	DT	that
was	VBD	be
really	RB	really
interesting	VVG	interest
you	PP	you
'	POS	'
ve	NN	ve
covered	VVD	cover
the	DT	the
protests	NNS	protest
in	IN	in
America	NP	America
since	IN	since
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
began	VVD	begin
and	CC	and
especially	RB	especially
um	JJ	um
the	DT	the
ones	NNS	one
at	IN	at
universities	NNS	university
Kristen	NP	Kristen
Ju	NP	Ju
Just	RB	just
lastly	RB	lastly
how	WRB	how
would	MD	would
you	PP	you
characterize	VV	characterize
what	WP	what
you	PP	you
'	''	'
re	IN	re
seeing	VVG	see
tonight	NN	tonight
at	IN	at
Colombia	NP	Colombia
in	IN	in
the	DT	the
context	NN	context
of	IN	of
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
happening	VVG	happen
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
weeks	NNS	week
you	PP	you
know	VVP	know
it	PP	it
'	''	'
s	VVG	s
a	DT	a
great	JJ	great
question	NN	question
because	IN	because
the	DT	the
demonstrations	NNS	demonstration
in	IN	in
New	NP	New
York	NP	York
started	VVD	start
from	IN	from
not	RB	not
long	JJ	long
after	IN	after
October	NP	October
7th	JJ	7th
uh	UH	uh
there	EX	there
has	VHZ	have
actually	RB	actually
been	VBN	be
weekly	JJ	weekly
in	IN	in
some	DT	some
cases	NNS	case
multi	JJ	multi
uh	UH	uh
many	JJ	many
days	NNS	day
a	DT	a
week	NN	week
there	EX	there
have	VHP	have
been	VBN	be
protests	NNS	protest
where	WRB	where
people	NNS	people
have	VHP	have
come	VVN	come
to	TO	to
the	DT	the
streets	NNS	street
but	CC	but
they	PP	they
weren	NN	weren
'	POS	'
t	NN	t
getting	VVG	get
covered	VVN	cover
they	PP	they
weren	NNS	weren
'	POS	'
t	NN	t
getting	VVG	get
a	DT	a
lot	NN	lot
of	IN	of
attention	NN	attention
unless	IN	unless
they	PP	they
were	VBD	be
a	DT	a
big	JJ	big
one	CD	one
where	WRB	where
they	PP	they
shut	VVD	shut
down	RP	down
Grand	NP	Grand
Central	NP	Central
and	CC	and
people	NNS	people
were	VBD	be
arrested	VVN	arrest
Ed	NP	Ed
there	RB	there
um	JJ	um
or	CC	or
they	PP	they
shut	VVD	shut
down	RP	down
the	DT	the
Brooklyn	NP	Brooklyn
Bridge	NP	Bridge
when	WRB	when
those	DT	those
things	NNS	thing
would	MD	would
happen	VV	happen
they	PP	they
would	MD	would
get	VV	get
some	DT	some
attention	NN	attention
they	PP	they
would	MD	would
get	VV	get
some	DT	some
coverage	NN	coverage
but	CC	but
people	NNS	people
were	VBD	be
coming	VVG	come
out	RP	out
almost	RB	almost
daily	JJ	daily
as	IN	as
the	DT	the
the	DT	the
the	DT	the
longer	RBR	longer
the	DT	the
war	NN	war
has	VHZ	have
continued	VVN	continue
the	DT	the
more	RBR	more
frequent	JJ	frequent
those	DT	those
demonstrations	NNS	demonstration
became	VVD	become
but	CC	but
again	RB	again
the	DT	the
the	DT	the
media	NNS	medium
sort	NN	sort
of	IN	of
lost	JJ	lost
interest	NN	interest
it	PP	it
wasn	NP	wasn
'	POS	'
t	NN	t
until	IN	until
the	DT	the
campus	NN	campus
the	DT	the
college	NN	college
students	NNS	student
got	VVD	get
involved	VVN	involve
that	WDT	that
uh	UH	uh
that	IN/that	that
they	PP	they
started	VVD	start
paying	VVG	pay
attention	NN	attention
again	RB	again
so	RB	so
while	IN	while
people	NNS	people
can	MD	can
be	VB	be
critical	JJ	critical
of	IN	of
the	DT	the
students	NNS	student
and	CC	and
their	PP$	their
methods	NNS	method
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
heard	VVD	hear
that	IN/that	that
actually	RB	actually
from	IN	from
some	DT	some
of	IN	of
the	DT	the
Jewish	JJ	Jewish
students	NNS	student
I	PP	I
spoke	VVD	speak
to	TO	to
here	RB	here
at	IN	at
Colombia	NP	Colombia
actually	RB	actually
had	VHD	have
some	DT	some
sympathy	NN	sympathy
for	IN	for
the	DT	the
plight	NN	plight
of	IN	of
Gins	NP	Gins
in	IN	in
this	DT	this
conflict	NN	conflict
but	CC	but
they	PP	they
felt	VVD	feel
that	IN/that	that
the	DT	the
students	NNS	student
were	VBD	be
going	VVG	go
about	IN	about
it	PP	it
wrong	JJ	wrong
or	CC	or
they	PP	they
didn	NP	didn
'	POS	'
t	NN	t
like	IN	like
the	DT	the
chant	NN	chant
of	IN	of
inata	NNS	inata
or	CC	or
from	IN	from
the	DT	the
river	NN	river
to	TO	to
the	DT	the
Sea	NP	Sea
because	IN	because
they	PP	they
felt	VVD	feel
like	IN	like
it	PP	it
was	VBD	be
directed	VVN	direct
at	IN	at
them	PP	them
and	CC	and
it	PP	it
was	VBD	be
uh	UH	uh
it	PP	it
was	VBD	be
anti	JJ	anti
-	NN	-
semitic	NN	semitic
in	IN	in
nature	NN	nature
yeah	RB	yeah
even	RB	even
though	IN	though
the	DT	the
from	IN	from
the	DT	the
river	NN	river
to	TO	to
the	DT	the
sea	NN	sea
is	VBZ	be
actually	RB	actually
from	IN	from
Benjamin	NP	Benjamin
start	VVP	start
happening	VVG	happen
here	IN	here
it	PP	it
wasn	NN	wasn
'	POS	'
t	NN	t
getting	VVG	get
right	RB	right
the	DT	the
different	JJ	different
different	JJ	different
sides	NNS	side
