<video_id>fHHPepOmOb4</video_id>	JJ	<video_id>fHHPepOmOb4</video_id>
that	IN/that	that
it	PP	it
does	VVZ	do
not	RB	not
believe	VV	believe
that	DT	that
Council	NP	Council
action	NN	action
would	MD	would
uh	UH	uh
help	VV	help
the	DT	the
situation	NN	situation
they	PP	they
instead	RB	instead
called	VVD	call
for	IN	for
continued	JJ	continued
negotiations	NNS	negotiation
said	VVD	say
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
was	VBD	be
continuing	VVG	continue
to	TO	to
work	VV	work
with	IN	with
Israel	NP	Israel
to	TO	to
improve	VV	improve
the	DT	the
situation	NN	situation
for	IN	for
humanitarian	JJ	humanitarian
access	NN	access
on	IN	on
the	DT	the
ground	NN	ground
but	CC	but
uh	UH	uh
as	IN	as
the	DT	the
situation	NN	situation
goes	VVZ	go
from	IN	from
bad	JJ	bad
to	TO	to
worse	RBR	worse
we	PP	we
see	VVP	see
the	DT	the
Secretary	NP	Secretary
General	JJ	general
uh	UH	uh
invoking	VVG	invoke
this	DT	this
power	NN	power
to	TO	to
press	VV	press
the	DT	the
security	NN	security
Council	NN	council
to	TO	to
take	VV	take
action	NN	action
uh	UH	uh
that	IN/that	that
it	PP	it
has	VHZ	have
been	VBN	be
unable	JJ	unable
to	TO	to
do	VV	do
so	RB	so
far	RB	far
so	RB	so
this	DT	this
is	VBZ	be
a	DT	a
pretty	RB	pretty
significant	JJ	significant
uh	UH	uh
Ste	NN	Ste
by	IN	by
the	DT	the
Secretary	NP	Secretary
General	NP	General
in	IN	in
his	PP$	his
entire	JJ	entire
time	NN	time
as	IN	as
Secretary	NP	Secretary
General	NP	General
since	IN	since
2017	CD	@card@
he	PP	he
has	VHZ	have
never	RB	never
once	RB	once
used	VVN	use
article	NN	article
99	CD	@card@
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
so	IN	so
that	DT	that
uh	UH	uh
gives	VVZ	give
a	DT	a
sense	NN	sense
of	IN	of
just	RB	just
how	WRB	how
uh	UH	uh
dire	FW	dire
the	DT	the
situation	NN	situation
is	VBZ	be
in	IN	in
Gaza	NP	Gaza
and	CC	and
it	PP	it
comes	VVZ	come
as	IN	as
we	PP	we
just	RB	just
heard	VVD	hear
from	IN	from
the	DT	the
Palestinian	JJ	Palestinian
ambassador	NN	ambassador
to	TO	to
the	DT	the
UN	NP	UN
as	IN	as
well	UH	well
uh	UH	uh
he	PP	he
came	VVD	come
to	TO	to
the	DT	the
stake	NN	stake
out	RP	out
with	IN	with
a	DT	a
members	NNS	member
of	IN	of
the	DT	the
uh	UH	uh
Arab	JJ	Arab
group	NN	group
and	CC	and
organization	NN	organization
of	IN	of
Islamic	JJ	Islamic
cooperation	NN	cooperation
to	TO	to
say	VV	say
that	IN/that	that
they	PP	they
would	MD	would
be	VB	be
going	VVG	go
to	TO	to
Washington	NP	Washington
DC	NP	DC
tomorrow	NN	tomorrow
to	TO	to
also	RB	also
press	VV	press
us	PP	us
officials	NNS	official
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
so	IN	so
what	WP	what
we're	NN	we're
seeing	VVG	see
from	IN	from
un	NN	un
officials	NNS	official
and	CC	and
delegations	NNS	delegation
here	RB	here
at	IN	at
the	DT	the
UN	NP	UN
is	VBZ	be
a	DT	a
full	JJ	full
court	NN	court
press	NN	press
to	TO	to
try	VV	try
to	TO	to
get	VV	get
a	DT	a
ceasefire	NN	ceasefire
uh	UH	uh
and	CC	and
some	DT	some
relief	NN	relief
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
all	DT	all
right	JJ	right
we'll	NN	we'll
leave	VV	leave
it	PP	it
there	RB	there
thanks	VVZ	thank
so	RB	so
much	JJ	much
Kristen	NP	Kristen
salumi	NN	salumi
let's	NNS	let's
</doc>	NN	</doc>
