L	NP	L
is	VBZ	be
on	IN	on
the	DT	the
ground	NN	ground
as	IN	as
we	PP	we
speak	VVP	speak
what	WP	what
does	VVZ	do
that	IN/that	that
mean	JJ	mean
are	NN	are
are	VBP	be
you	PP	you
hopeful	JJ	hopeful
that	IN/that	that
soon	RB	soon
Aid	NP	Aid
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
enter	VV	enter
gasa	NN	gasa
well	RB	well
we	PP	we
cannot	MD	can
have	VH	have
an	DT	an
effective	JJ	effective
distribution	NN	distribution
of	IN	of
Aid	NN	aid
in	IN	in
gasa	NN	gasa
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
war	NN	war
we	PP	we
need	VVP	need
the	DT	the
space	NN	space
to	TO	to
get	VV	get
that	IN/that	that
in	IN	in
and	CC	and
get	VV	get
it	PP	it
distributed	VVN	distribute
to	TO	to
more	JJR	more
than	IN	than
2	CD	@card@
million	CD	million
people	NNS	people
on	IN	on
the	DT	the
inside	NN	inside
so	IN	so
that	WDT	that
is	VBZ	be
what	WP	what
we	PP	we
have	VHP	have
been	VBN	be
working	VVG	work
on	IN	on
into	IN	into
the	DT	the
nres	NNS	nres
over	IN	over
the	DT	the
last	JJ	last
uh	UH	uh
days	NNS	day
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
is	VBZ	be
it	PP	it
coming	VVG	come
though	IN	though
Contin	NN	Contin
it	PP	it
do	VVP	do
you	PP	you
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
going	VVG	go
to	TO	to
happen	VV	happen
anytime	RB	anytime
soon	RB	soon
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
going	VVG	go
to	TO	to
happen	VV	happen
and	CC	and
I	PP	I
hope	VVP	hope
it	PP	it
will	MD	will
happen	VV	happen
as	RB	as
soon	RB	soon
as	RB	as
possible	JJ	possible
you	PP	you
'	''	'
ve	RB	ve
also	RB	also
been	VBN	be
uh	UH	uh
having	VHG	have
discussions	NNS	discussion
with	IN	with
different	JJ	different
diplomats	NNS	diplomat
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
I	NP	I
'	POS	'
m	NN	m
wondering	VVG	wonder
from	IN	from
your	PP$	your
discussions	NNS	discussion
with	IN	with
the	DT	the
Iranian	JJ	Iranian
foreign	JJ	foreign
minister	NN	minister
what	WP	what
do	VVP	do
you	PP	you
understand	VVP	understand
about	IN	about
an	DT	an
Israeli	JJ	Israeli
ground	NN	ground
offensive	NN	offensive
might	MD	might
that	RB	that
trigger	VV	trigger
a	DT	a
response	NN	response
from	IN	from
Iran	NP	Iran
well	RB	well
now	RB	now
you	PP	you
'	POS	'
re	NN	re
into	IN	into
the	DT	the
secret	JJ	secret
files	NNS	file
and	CC	and
I	PP	I
am	VBP	be
not	RB	not
we	PP	we
love	VVP	love
the	DT	the
secret	NN	secret
files	VVZ	file
yeah	RB	yeah
I	PP	I
know	VVP	know
but	CC	but
I	PP	I
'	POS	'
m	NN	m
not	RB	not
accessing	VVG	access
them	PP	them
as	IN	as
un	NNS	un
so	IN	so
I	PP	I
mean	VVP	mean
don	NN	don
'	POS	'
t	NN	t
ask	VV	ask
me	PP	me
that	DT	that
question	NN	question
because	IN	because
honestly	RB	honestly
I	PP	I
can	MD	can
'	''	'
t	NN	t
respond	VV	respond
to	TO	to
it	PP	it
I	PP	I
got	VVD	get
to	TO	to
ask	VV	ask
you	PP	you
these	DT	these
questions	NNS	question
though	IN	though
you	PP	you
understand	VVP	understand
unfortunately	RB	unfortunately
you	PP	you
know	VVP	know
we	PP	we
the	DT	the
people	NNS	people
want	VVP	want
to	TO	to
know	VV	know
what	WP	what
is	VBZ	be
basically	RB	basically
going	VVG	go
to	TO	to
happen	VV	happen
next	JJ	next
and	CC	and
the	DT	the
the	DT	the
the	DT	the
fear	NN	fear
is	VBZ	be
the	DT	the
next	JJ	next
phase	NN	phase
of	IN	of
this	DT	this
will	MD	will
be	VB	be
an	DT	an
even	RB	even
bloodier	JJR	bloody
ground	NN	ground
offensive	NN	offensive
which	WDT	which
will	MD	will
then	RB	then
trigger	VV	trigger
a	DT	a
wider	JJR	wide
escalation	NN	escalation
throughout	IN	throughout
the	DT	the
region	NN	region
let	VVD	let
me	PP	me
put	VVD	put
it	PP	it
this	DT	this
way	NN	way
without	IN	without
asking	VVG	ask
you	PP	you
to	TO	to
divulge	VV	divulge
what	WP	what
discussions	NNS	discussion
you	PP	you
'	POS	'
ve	NN	ve
had	VHD	have
with	IN	with
anyone	NN	anyone
are	VBP	be
you	PP	you
person	NN	person
ly	NNS	ly
worried	VVD	worry
that	IN/that	that
a	DT	a
grand	JJ	grand
offensive	NN	offensive
will	MD	will
lead	VV	lead
to	TO	to
a	DT	a
wider	JJR	wide
escalation	NN	escalation
across	IN	across
the	DT	the
whole	JJ	whole
region	NN	region
Le	NP	Le
let	VVD	let
me	PP	me
put	VVD	put
it	PP	it
that	IN/that	that
way	RB	way
the	DT	the
longer	RBR	longer
this	DT	this
going	NN	going
to	TO	to
last	VV	last
on	IN	on
the	DT	the
ground	NN	ground
the	DT	the
more	RBR	more
intensive	JJ	intensive
it	PP	it
is	VBZ	be
the	DT	the
bigger	JJR	big
uh	UH	uh
the	DT	the
chance	NN	chance
is	VBZ	be
for	IN	for
some	DT	some
incidents	NNS	incident
to	TO	to
happen	VV	happen
that	WDT	that
would	MD	would
trigger	VV	trigger
uh	UH	uh
a	DT	a
very	RB	very
very	RB	very
dangerous	JJ	dangerous
situation	NN	situation
also	RB	also
regionally	RB	regionally
that	RB	that
'	''	'
s	VVG	s
my	PP$	my
view	NN	view
and	CC	and
uh	UH	uh
I	PP	I
see	VVP	see
no	DT	no
nothing	NN	nothing
to	TO	to
revise	VV	revise
that	IN/that	that
one	CD	one
at	IN	at
the	DT	the
moment	NN	moment
and	CC	and
I	PP	I
must	MD	must
say	VV	say
that	IN/that	that
one	CD	one
of	IN	of
these	DT	these
incidences	NNS	incidence
was	VBD	be
the	DT	the
hospital	NN	hospital
incident	NN	incident
in	IN	in
uh	UH	uh
in	IN	in
gasa	NN	gasa
yesterday	NN	yesterday
and	CC	and
I	PP	I
really	RB	really
want	VVP	want
to	TO	to
step	VV	step
back	RB	back
and	CC	and
and	CC	and
present	VV	present
the	DT	the
condolences	NNS	condolence
and	CC	and
my	PP$	my
deep	JJ	deep
sympathy	NN	sympathy
for	IN	for
for	IN	for
those	DT	those
who	WP	who
were	VBD	be
hit	VVN	hit
by	IN	by
that	DT	that
one	CD	one
I	PP	I
I	PP	I
have	VHP	have
had	VHN	have
my	PP$	my
family	NN	family
in	IN	in
situations	NNS	situation
that	WDT	that
scares	VVZ	scare
life	NN	life
out	RB	out
of	IN	of
you	PP	you
and	CC	and
I	PP	I
can	MD	can
only	RB	only
imagine	VV	imagine
how	WRB	how
the	DT	the
Carnage	NN	carnage
was	VBD	be
it	PP	it
'	POS	'
s	JJ	s
terrible	JJ	terrible
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
an	DT	an
example	NN	example
for	IN	for
why	WRB	why
we	PP	we
have	VHP	have
to	TO	to
go	VV	go
into	IN	into
this	DT	this
in	IN	in
order	NN	order
to	TO	to
give	VV	give
the	DT	the
necessary	JJ	necessary
space	NN	space
for	IN	for
work	NN	work
to	TO	to
be	VB	be
done	VVN	do
on	IN	on
the	DT	the
key	JJ	key
files	NNS	file
now	RB	now
supplies	VVZ	supply
in	IN	in
uh	UH	uh
get	VV	get
the	DT	the
space	NN	space
for	IN	for
that	WDT	that
to	TO	to
happen	VV	happen
and	CC	and
also	RB	also
actually	RB	actually
to	TO	to
to	TO	to
have	VH	have
the	DT	the
space	NN	space
to	TO	to
address	VV	address
uh	UH	uh
the	DT	the
situation	NN	situation
of	IN	of
abducted	VVN	abduct
people	NNS	people
held	VVN	hold
inside	IN	inside
Gaza	NP	Gaza
do	VVP	do
do	VVP	do
you	PP	you
believe	VVP	believe
the	DT	the
parties	NNS	party
are	VBP	be
any	RB	any
closer	RBR	closer
to	TO	to
that	DT	that
kind	NN	kind
of	IN	of
understanding	NN	understanding
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
pretty	RB	pretty
clear	JJ	clear
to	TO	to
both	DT	both
sides	NNS	side
in	IN	in
this	DT	this
conflict	NN	conflict
and	CC	and
also	RB	also
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
to	TO	to
the	DT	the
regional	JJ	regional
part	NN	part
parties	NNS	party
that	IN/that	that
I	NP	I
'	POS	'
ve	RB	ve
been	VBN	be
in	IN	in
contact	NN	contact
with	IN	with
and	CC	and
to	TO	to
the	DT	the
International	NP	International
Community	NP	Community
that	IN/that	that
this	DT	this
is	VBZ	be
needed	VVN	need
the	DT	the
question	NN	question
is	VBZ	be
when	WRB	when
we	PP	we
set	VVP	set
it	PP	it
the	DT	the
Secretary	NP	Secretary
General	NP	General
is	VBZ	be
going	VVG	go
to	TO	to
the	DT	the
region	NN	region
Now	RB	now
isn	NP	isn
'	POS	'
t	NN	t
he	PP	he
he	PP	he
is	VBZ	be
coming	VVG	come
in	IN	in
tomorrow	NN	tomorrow
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VVG	go
with	IN	with
him	PP	him
there	RB	there
to	TO	to
participate	VV	participate
in	IN	in
the	DT	the
political	JJ	political
discussions	NNS	discussion
that	WDT	that
will	MD	will
take	VV	take
place	NN	place
in	IN	in
Cairo	NP	Cairo
uh	UH	uh
on	IN	on
Saturday	NP	Saturday
there	RB	there
need	VVP	need
to	TO	to
be	VB	be
a	DT	a
political	JJ	political
framework	NN	framework
addressed	VVD	address
just	RB	just
now	RB	now
not	RB	not
only	RB	only
to	TO	to
deal	VV	deal
with	IN	with
the	DT	the
nitty	JJ	nitty
-	NN	-
gritties	NNS	gritties
but	CC	but
also	RB	also
actually	RB	actually
to	TO	to
look	VV	look
at	IN	at
the	DT	the
day	NN	day
after	IN	after
uh	UH	uh
and	CC	and
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
start	NN	start
looking	VVG	look
at	IN	at
the	DT	the
day	NN	day
after	IN	after
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
situation	NN	situation
we	PP	we
are	VBP	be
in	IN	in
now	RB	now
it	PP	it
will	MD	will
be	VB	be
too	RB	too
late	JJ	late
what	WP	what
is	VBZ	be
the	DT	the
day	NN	day
after	IN	after
what	WP	what
should	MD	should
it	PP	it
look	VV	look
like	IN	like
according	VVG	accord
to	TO	to
your	PP$	your
vision	NN	vision
well	RB	well
we	PP	we
have	VHP	have
to	TO	to
set	VV	set
up	RP	up
a	DT	a
system	NN	system
the	DT	the
day	NN	day
after	IN	after
that	WDT	that
gives	VVZ	give
the	DT	the
necessary	JJ	necessary
assurances	NNS	assurance
uh	UH	uh
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
a	DT	a
different	JJ	different
direction	NN	direction
coming	VVG	come
an	DT	an
end	NN	end
of	IN	of
occupation	NN	occupation
I	PP	I
would	MD	would
just	RB	just
say	VV	say
it	PP	it
the	DT	the
following	VVG	follow
way	NN	way
if	IN	if
we	PP	we
we	PP	we
are	VBP	be
not	RB	not
starting	VVG	start
now	RB	now
to	TO	to
address	VV	address
the	DT	the
key	JJ	key
issues	NNS	issue
that	IN/that	that
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
able	JJ	able
to	TO	to
address	VV	address
properly	RB	properly
for	IN	for
the	DT	the
last	JJ	last
three	CD	three
years	NNS	year
we	PP	we
are	VBP	be
on	IN	on
we	PP	we
are	VBP	be
in	IN	in
the	DT	the
wrong	JJ	wrong
direction	NN	direction
of	IN	of
things	NNS	thing
okay	JJ	okay
but	CC	but
specifically	RB	specifically
there	EX	there
should	MD	should
be	VB	be
would	MD	would
you	PP	you
say	VVP	say
there	EX	there
should	MD	should
be	VB	be
an	DT	an
end	NN	end
of	IN	of
occupation	NN	occupation
an	DT	an
end	NN	end
of	IN	of
Siege	NN	siege
so	RB	so
that	IN/that	that
both	DT	both
Israelis	NPS	Israelis
and	CC	and
Palestinians	NPS	Palestinians
can	MD	can
live	VV	live
in	IN	in
peaceful	JJ	peaceful
dignified	JJ	dignified
lives	NNS	life
with	IN	with
equal	JJ	equal
rights	NNS	right
that	WDT	that
is	VBZ	be
the	DT	the
international	JJ	international
line	NN	line
that	WDT	that
is	VBZ	be
the	DT	the
UN	NP	UN
line	NN	line
how	WRB	how
that	DT	that
will	MD	will
look	VV	look
when	WRB	when
we	PP	we
start	VVP	start
moving	VVG	move
into	IN	into
and	CC	and
working	VVG	work
it	PP	it
out	RP	out
that	IN/that	that
we	PP	we
will	MD	will
have	VH	have
to	TO	to
see	VV	see
and	CC	and
uh	UH	uh
final	JJ	final
quick	JJ	quick
question	NN	question
the	DT	the
Secretary	NP	Secretary
General	NP	General
finally	RB	finally
made	VVD	make
a	DT	a
call	NN	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
what	WP	what
prompted	VVD	prompt
that	DT	that
did	VVD	do
it	PP	it
have	VHP	have
to	TO	to
take	VV	take
the	DT	the
bombing	NN	bombing
of	IN	of
a	DT	a
hospital	NN	hospital
for	IN	for
him	PP	him
to	TO	to
call	VV	call
for	IN	for
that	WDT	that
we	PP	we
are	VBP	be
superbly	RB	superbly
cautious	JJ	cautious
both	CC	both
to	TO	to
what	WP	what
we	PP	we
are	VBP	be
saying	VVG	say
and	CC	and
when	WRB	when
we	PP	we
are	VBP	be
saying	VVG	say
it	PP	it
and	CC	and
we	PP	we
are	VBP	be
saying	VVG	say
it	PP	it
when	WRB	when
we	PP	we
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
important	JJ	important
to	TO	to
get	VV	get
it	PP	it
set	VV	set
it	PP	it
wasn	NN	wasn
'	POS	'
t	NN	t
important	JJ	important
24	CD	@card@
hours	NNS	hour
no	DT	no
I	NP	I
'	POS	'
ll	NNS	ll
explain	VVP	explain
that	IN/that	that
for	IN	for
you	PP	you
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
have	VHP	have
died	VVN	die
uh	UH	uh
we	PP	we
have	VHP	have
1	CD	@card@
,	,	,
000	CD	@card@
I	NP	I
don	NN	don
'	POS	'
t	NN	t
know	VVP	know
more	JJR	more
than	IN	than
1200	CD	@card@
Israelis	NPS	Israelis
have	VHP	have
died	VVN	die
right	JJ	right
wasn	NN	wasn
'	POS	'
t	NN	t
this	DT	this
important	JJ	important
24	CD	@card@
hours	NNS	hour
ago	RB	ago
yes	RB	yes
it	PP	it
was	VBD	be
uh	UH	uh
but	CC	but
here	RB	here
is	VBZ	be
the	DT	the
background	NN	background
for	IN	for
that	DT	that
as	IN	as
I	PP	I
told	VVD	tell
you	PP	you
we	PP	we
have	VHP	have
been	VBN	be
working	VVG	work
on	IN	on
the	DT	the
integrities	NNS	integrity
of	IN	of
getting	VVG	get
the	DT	the
space	NN	space
done	VVN	do
to	TO	to
get	VV	get
supplies	NNS	supply
to	TO	to
two	CD	two
and	CC	and
2	CD	@card@
.	SENT	.
3	CD	@card@
million	CD	million
people	NNS	people
in	IN	in
Gaza	NP	Gaza
we	PP	we
need	VVP	need
to	TO	to
get	VV	get
that	IN/that	that
into	IN	into
place	NN	place
now	RB	now
it	PP	it
has	VHZ	have
been	VBN	be
very	RB	very
clear	JJ	clear
to	TO	to
us	PP	us
from	IN	from
when	WRB	when
I	PP	I
was	VBD	be
in	IN	in
KY	NP	Ky
last	JJ	last
Wednesday	NP	Wednesday
up	RB	up
until	IN	until
today	NN	today
that	IN/that	that
that	DT	that
space	NN	space
has	VHZ	have
not	RB	not
yet	RB	yet
been	VBN	be
there	RB	there
now	RB	now
we	PP	we
need	VVP	need
it	PP	it
and	CC	and
that	DT	that
was	VBD	be
why	WRB	why
he	PP	he
addressed	VVD	address
it	PP	it
now	RB	now
it	PP	it
has	VHZ	have
to	TO	to
do	VV	do
with	IN	with
where	WRB	where
we	PP	we
are	VBP	be
to	TO	to
resolve	VV	resolve
the	DT	the
conflict	NN	conflict
to	TO	to
address	VV	address
it	PP	it
thank	VV	thank
you	PP	you
very	RB	very
much	JJ	much
sir	NN	sir
for	IN	for
coming	VVG	come
in	IN	in
talking	VVG	talk
to	TO	to
us	PP	us
thank	VVP	thank
you	PP	you
thank	VVP	thank
you	PP	you
