Muhammad	NP	Muhammad
for	IN	for
one	CD	one
person	NN	person
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
the	DT	the
second	JJ	second
afternoon	NN	afternoon
or	CC	or
the	DT	the
afternoon	NN	afternoon
was	VBD	be
over	RP	over
.	SENT	.
I	PP	I
had	VHD	have
his	PP$	his
meal	NN	meal
and	CC	and
we	PP	we
finished	VVD	finish
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
food	NN	food
or	CC	or
drink	NN	drink
.	SENT	.
The	DT	the
school	NN	school
’	POS	'
s	NN	S
bathrooms	NNS	bathroom
,	,	,
may	MD	may
God	NP	God
bless	VV	bless
you	PP	you
,	,	,
are	VBP	be
absolutely	RB	absolutely
terrible	JJ	terrible
.	SENT	.
There	EX	there
are	VBP	be
no	DT	no
bathrooms	NNS	bathroom
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
cleanliness	NN	cleanliness
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
I	PP	I
am	VBP	be
killing	VVG	kill
them	PP	them
.	SENT	.
The	DT	the
liver	NN	liver
of	IN	of
the	DT	the
epidemic	NN	epidemic
is	VBZ	be
yolk	NN	yolk
in	IN	in
their	PP$	their
eyes	NNS	eye
.	SENT	.
There	EX	there
are	VBP	be
people	NNS	people
who	WP	who
,	,	,
by	IN	by
God	NP	God
,	,	,
donate	VVP	donate
it	PP	it
to	TO	to
me	PP	me
.	SENT	.
It	PP	it
is	VBZ	be
like	IN	like
cutting	VVG	cut
the	DT	the
brain	NN	brain
.	SENT	.
I	PP	I
swear	VVP	swear
to	TO	to
God	NP	God
,	,	,
to	TO	to
stabilize	VV	stabilize
the	DT	the
pregnancy	NN	pregnancy
.	SENT	.
May	NP	May
God	NP	God
grant	VV	grant
you	PP	you
a	DT	a
finger	NN	finger
.	SENT	.
You	PP	you
are	VBP	be
supposed	VVN	suppose
to	TO	to
take	VV	take
what	WP	what
you	PP	you
took	VVD	take
prepared	VVN	prepare
.	SENT	.
I	PP	I
said	VVD	say
in	IN	in
the	DT	the
eighth	JJ	eighth
month	NN	month
,	,	,
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
eighth	NN	eighth
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
am	VBP	be
in	IN	in
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
eighth	NN	eighth
at	IN	at
the	DT	the
moment	NN	moment
.	SENT	.
I	PP	I
do	VVP	do
not	RB	not
know	VV	know
how	WRB	how
I	PP	I
want	VVP	want
to	TO	to
be	VB	be
.	SENT	.
I	PP	I
am	VBP	be
not	RB	not
aware	JJ	aware
of	IN	of
the	DT	the
child	NN	child
.	SENT	.
I	PP	I
am	VBP	be
not	RB	not
aware	JJ	aware
of	IN	of
what	WP	what
I	PP	I
am	VBP	be
aware	JJ	aware
of	IN	of
.	SENT	.
It	PP	it
is	VBZ	be
important	JJ	important
that	IN/that	that
I	PP	I
want	VVP	want
to	TO	to
answer	VV	answer
at	IN	at
all	DT	all
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
the	DT	the
health	NN	health
situation	NN	situation
at	IN	at
all	DT	all
.	SENT	.
When	WRB	when
I	PP	I
want	VVP	want
a	DT	a
father	NN	father
,	,	,
where	WRB	where
I	PP	I
want	VVP	want
to	TO	to
go	VV	go
.	SENT	.
I	PP	I
am	VBP	be
afraid	JJ	afraid
of	IN	of
the	DT	the
father	NN	father
as	IN	as
well	RB	well
.	SENT	.
The	DT	the
eighth	JJ	eighth
or	CC	or
last	JJ	last
,	,	,
I	PP	I
tell	VVP	tell
you	PP	you
,	,	,
O	NP	O
Lord	NP	Lord
,	,	,
the	DT	the
next	JJ	next
is	VBZ	be
on	IN	on
the	DT	the
ninth	JJ	ninth
,	,	,
God	NP	God
willing	JJ	willing
.	SENT	.
God	NP	God
will	MD	will
keep	VV	keep
you	PP	you
safe	JJ	safe
from	IN	from
us	PP	us
.	SENT	.
But	CC	but
where	WRB	where
do	VVP	do
I	PP	I
want	VVP	want
to	TO	to
go	VV	go
?	SENT	?
I	PP	I
hope	VVP	hope
that	IN/that	that
I	PP	I
will	MD	will
return	VV	return
to	TO	to
my	PP$	my
home	NN	home
.	SENT	.
Me	PP	me
and	CC	and
my	PP$	my
children	NNS	child
are	VBP	be
also	RB	also
a	DT	a
home	NN	home
that	WDT	that
suffered	VVD	suffer
in	IN	in
the	DT	the
war	NN	war
.	SENT	.
When	WRB	when
it	PP	it
first	RB	first
started	VVD	start
,	,	,
they	PP	they
burned	VVD	burn
it	PP	it
,	,	,
they	PP	they
burned	VVD	burn
it	PP	it
all	DT	all
.	SENT	.
After	IN	after
that	DT	that
,	,	,
they	PP	they
gave	VVD	give
it	PP	it
away	RP	away
.	SENT	.
What	WP	what
’	POS	'
s	NNS	s
wrong	JJ	wrong
with	IN	with
it	PP	it
?	SENT	?
No	UH	no
,	,	,
we	PP	we
are	VBP	be
Hamas	JJ	Hamas
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
jihad	NN	jihad
,	,	,
nor	CC	nor
are	VBP	be
we	PP	we
any	DT	any
details	NNS	detail
