begin	VV	begin
resolution	NN	resolution
that	IN/that	that
the	DT	the
US	NP	US
is	VBZ	be
putting	VVG	put
forward	RB	forward
and	CC	and
this	DT	this
is	VBZ	be
of	IN	of
course	NN	course
a	DT	a
significant	JJ	significant
uh	UH	uh
change	VV	change
it	PP	it
would	MD	would
appear	VV	appear
given	VVN	give
the	DT	the
US	NP	US
'	POS	'
s	VVZ	s
uh	UH	uh
previous	JJ	previous
vetos	NNS	veto
uh	UH	uh
at	IN	at
the	DT	the
security	NN	security
Council	NN	council
on	IN	on
Gaza	NP	Gaza
yes	NN	yes
we	PP	we
have	VHP	have
for	IN	for
three	CD	three
times	NNS	time
we	PP	we
'	POS	'
ve	NN	ve
had	VHD	have
uh	UH	uh
the	DT	the
US	NP	US
representative	NN	representative
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
sort	NN	sort
raise	VV	raise
their	PP$	their
arm	NN	arm
in	IN	in
veto	NN	veto
against	IN	against
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
only	RB	only
the	DT	the
UK	NP	UK
has	VHZ	have
been	VBN	be
on	IN	on
two	CD	two
of	IN	of
those	DT	those
resolutions	NNS	resolution
not	RB	not
supporting	VVG	support
the	DT	the
resolution	NN	resolution
in	IN	in
exstension	NN	exstension
um	NNS	um
but	CC	but
the	DT	the
US	NP	US
is	VBZ	be
the	DT	the
only	JJ	only
one	CD	one
that	IN/that	that
with	IN	with
veto	NN	veto
Powers	NP	Powers
blocked	VVD	block
those	DT	those
resolutions	NNS	resolution
the	DT	the
security	NN	security
Council	NP	Council
would	MD	would
have	VH	have
called	VVN	call
for	IN	for
an	DT	an
immediate	JJ	immediate
Ceasar	NP	Ceasar
at	IN	at
the	DT	the
end	NN	end
of	IN	of
last	JJ	last
year	NN	year
if	IN	if
it	PP	it
hadn	NN	hadn
'	POS	'
t	NN	t
been	VBN	be
uh	UH	uh
for	IN	for
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
I	PP	I
know	VVP	know
from	IN	from
diplomats	NNS	diplomat
uh	UH	uh
in	IN	in
New	NP	New
York	NP	York
and	CC	and
elsewhere	RB	elsewhere
that	IN/that	that
there	EX	there
'	''	'
s	RB	s
been	VBN	be
um	JJ	um
considerable	JJ	considerable
concern	NN	concern
about	IN	about
this	DT	this
among	IN	among
the	DT	the
security	NN	security
Council	NN	council
but	CC	but
also	RB	also
I	PP	I
think	VVP	think
among	IN	among
the	DT	the
US	NP	US
diplomatic	JJ	diplomatic
Community	NP	Community
uh	UH	uh
diplomats	NNS	diplomat
senior	JJ	senior
diplomats	NNS	diplomat
have	VHP	have
told	VVN	tell
me	PP	me
they	PP	they
believe	VVP	believe
that	IN/that	that
the	DT	the
US	NP	US
ambassador	NN	ambassador
herself	PP	herself
Linda	NP	Linda
Thomas	NP	Thomas
Greenfield	NP	Greenfield
has	VHZ	have
been	VBN	be
uneasy	JJ	uneasy
about	IN	about
the	DT	the
US	NP	US
position	NN	position
and	CC	and
has	VHZ	have
been	VBN	be
advocating	VVG	advocate
for	IN	for
the	DT	the
US	NP	US
to	TO	to
take	VV	take
a	DT	a
stronger	JJR	strong
position	NN	position
given	VVN	give
uh	UH	uh
the	DT	the
scale	NN	scale
of	IN	of
the	DT	the
deaths	NNS	death
caused	VVN	cause
by	IN	by
Israel	NP	Israel
'	POS	'
s	NN	S
bombardment	NN	bombardment
James	NP	James
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
the	DT	the
moment	NN	moment
that	RB	that
'	POS	'
s	NN	S
James	NP	James
Bas	NP	Bas
our	PP$	our
diplomatic	JJ	diplomatic
editor	NN	editor
on	IN	on
the	DT	the
line	NN	line
there	RB	there
we	PP	we
'	POS	'
ll	NNS	ll
have	VHP	have
have	VH	have
more	JJR	more
on	IN	on
this	DT	this
breaking	JJ	breaking
news	NN	news
story	NN	story
throughout	IN	throughout
the	DT	the
day	NN	day
here	RB	here
of	IN	of
course	NN	course
the	DT	the
US	NP	US
reportedly	RB	reportedly
submitting	VVG	submit
a	DT	a
new	JJ	new
draft	NN	draft
resolution	NN	resolution
at	IN	at
the	DT	the
security	NN	security
Council	NN	council
calling	VVG	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
