<video_id>KvoJpH1PMvw</video_id>	JJ	<video_id>KvoJpH1PMvw</video_id>
said	VVD	say
is	VBZ	be
that	IN/that	that
this	DT	this
was	VBD	be
the	DT	the
result	NN	result
of	IN	of
a	DT	a
misidentification	NN	misidentification
of	IN	of
the	DT	the
target	NN	target
they	PP	they
say	VVP	say
that	IN/that	that
they	PP	they
thought	VVD	think
that	IN/that	that
there	EX	there
was	VBD	be
an	DT	an
armed	JJ	armed
fighter	NN	fighter
on	IN	on
one	CD	one
of	IN	of
these	DT	these
a	DT	a
trucks	NNS	truck
and	CC	and
then	RB	then
when	WRB	when
the	DT	the
uh	UH	uh
uh	UH	uh
Convoy	NN	convoy
got	VVD	get
to	TO	to
the	DT	the
warehouse	NN	warehouse
they	PP	they
thought	VVD	think
there	EX	there
was	VBD	be
another	DT	another
armed	JJ	armed
fighter	NN	fighter
that	WDT	that
left	VVD	leave
on	IN	on
the	DT	the
Convoy	NN	convoy
from	IN	from
the	DT	the
warehouse	NN	warehouse
they	PP	they
say	VVP	say
they	PP	they
didn't	VVD	didn't
identify	VV	identify
the	DT	the
trucks	NNS	truck
as	IN	as
being	VBG	be
associated	VVN	associate
with	IN	with
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
despite	IN	despite
the	DT	the
fact	NN	fact
as	IN	as
we	PP	we
know	VVP	know
already	RB	already
uh	UH	uh
from	IN	from
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
that	IN/that	that
they	PP	they
have	VHP	have
been	VBN	be
updating	VVG	update
the	DT	the
Israeli	JJ	Israeli
military	NN	military
all	PDT	all
the	DT	the
way	NN	way
uh	UH	uh
on	IN	on
their	PP$	their
on	IN	on
their	PP$	their
mission	NN	mission
and	CC	and
supposedly	RB	supposedly
the	DT	the
Israeli	JJ	Israeli
military	NN	military
knew	VVD	know
exactly	RB	exactly
where	WRB	where
they	PP	they
were	VBD	be
so	RB	so
this	DT	this
report	NN	report
says	VVZ	say
that	IN/that	that
the	DT	the
strike	NN	strike
was	VBD	be
a	DT	a
serious	JJ	serious
violation	NN	violation
of	IN	of
the	DT	the
commands	NNS	command
and	CC	and
of	IN	of
the	DT	the
military	JJ	military
standard	NN	standard
oper	JJR	ope
operating	VVG	operate
procedures	NNS	procedure
and	CC	and
it	PP	it
shouldn't	VVD	shouldn't
have	VH	have
occurred	VVN	occur
what	WP	what
they're	NN	they're
going	VVG	go
to	TO	to
do	VV	do
about	IN	about
it	PP	it
well	RB	well
heads	NNS	head
are	VBP	be
rolling	VVG	roll
basically	RB	basically
um	JJ	um
they	PP	they
uh	UH	uh
the	DT	the
the	DT	the
military's	NP	military's
Chief	NP	Chief
of	IN	of
Staff	NP	Staff
has	VHZ	have
decided	VVN	decide
that	IN/that	that
the	DT	the
Brigade	NN	brigade
fire	NN	fire
supports	VVZ	support
commander	NN	commander
who	WP	who
is	VBZ	be
a	DT	a
major	JJ	major
he	PP	he
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
dismissed	VVN	dismiss
the	DT	the
brigade's	NNS	brigade's
chief	JJ	chief
of	IN	of
staff	NN	staff
who	WP	who
was	VBD	be
the	DT	the
colonel	NN	colonel
is	VBZ	be
also	RB	also
going	VVG	go
to	TO	to
be	VB	be
dismissed	VVN	dismiss
and	CC	and
then	RB	then
there	EX	there
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
reprimands	NNS	reprimand
for	IN	for
the	DT	the
Brigade	NN	brigade
support	NN	support
commander	NN	commander
and	CC	and
the	DT	the
162nd	NP	162nd
Division	NP	Division
commander	NN	commander
and	CC	and
a	DT	a
reprimand	VV	reprimand
uh	UH	uh
for	IN	for
the	DT	the
commander	NN	commander
of	IN	of
the	DT	the
entire	JJ	entire
uh	UH	uh
Southern	NP	Southern
command	VV	command
they	PP	they
finish	VV	finish
this	DT	this
uh	UH	uh
initial	JJ	initial
report	NN	report
by	IN	by
saying	VVG	say
the	DT	the
the	DT	the
IDF	NP	IDF
will	MD	will
learn	VV	learn
lessons	NNS	lesson
and	CC	and
incorporate	VV	incorporate
them	PP	them
into	IN	into
its	PP$	its
ongoing	JJ	ongoing
operations	NNS	operation
so	IN	so
it's	NNS	it's
an	DT	an
apology	NN	apology
it's	JJ	it's
uh	UH	uh
you	PP	you
know	VVP	know
it's	NNS	it's
it's	NNS	it's
dismissals	NNS	dismissal
and	CC	and
it's	NNS	it's
saying	VVG	say
that	IN/that	that
they	PP	they
will	MD	will
endeavor	VV	endeavor
not	RB	not
to	TO	to
make	VV	make
the	DT	the
same	JJ	same
mistakes	NNS	mistake
again	RB	again
that's	NN	that's
is	VBZ	be
where	WRB	where
this	DT	this
report	NN	report
takes	VVZ	take
us	PP	us
right	RB	right
and	CC	and
Rory	NP	Rory
I	PP	I
mean	VVP	mean
to	TO	to
just	RB	just
put	VV	put
s	JJ	s
things	NNS	thing
in	IN	in
context	NN	context
here	RB	here
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
international	JJ	international
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
after	IN	after
this	DT	this
in	IN	in
ident	NN	ident
was	VBD	be
there	RB	there
not	RB	not
and	CC	and
particularly	RB	particularly
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
say	VVP	say
because	IN	because
the	DT	the
killings	NNS	killing
involved	VVD	involve
foreign	JJ	foreign
aid	NN	aid
workers	NNS	worker
in	IN	in
Gaza	NP	Gaza
well	RB	well
exactly	RB	exactly
I	PP	I
mean	VVP	mean
this	DT	this
seems	VVZ	seem
to	TO	to
have	VH	have
been	VBN	be
something	NN	something
of	IN	of
a	DT	a
watershed	JJ	watershed
uh	UH	uh
in	IN	in
this	DT	this
war	NN	war
we	PP	we
have	VHP	have
certainly	RB	certainly
seen	VVN	see
from	IN	from
Israel's	NP	Israel's
friends	NNS	friend
and	CC	and
allies	NNS	ally
around	IN	around
the	DT	the
world	NN	world
uh	UH	uh
the	DT	the
condemnation	NN	condemnation
uh	UH	uh
following	VVG	follow
this	DT	this
incident	NN	incident
that	IN/that	that
perhaps	RB	perhaps
they	PP	they
weren't	NN	weren't
willing	JJ	willing
to	TO	to
extend	VV	extend
to	TO	to
the	DT	the
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
of	IN	of
deaths	NNS	death
of	IN	of
Palestinians	NPS	Palestinians
that	IN/that	that
you	PP	you
could	MD	could
say	VV	say
might	MD	might
have	VH	have
been	VBN	be
killed	VVN	kill
in	IN	in
similarly	RB	similarly
erroneous	JJ	erroneous
uh	UH	uh
conditions	NNS	condition
or	CC	or
or	JJ	or
situations	NNS	situation
but	CC	but
because	IN	because
these	DT	these
uh	UH	uh
people	NNS	people
were	VBD	be
foreigners	NNS	foreigner
because	IN	because
you	PP	you
know	VVP	know
they	PP	they
had	VHD	have
they	PP	they
came	VVD	come
from	IN	from
countries	NNS	country
like	IN	like
the	DT	the
UK	NP	UK
uh	UH	uh
like	IN	like
Poland	NP	Poland
Canada	NP	Canada
the	DT	the
United	NP	United
States	NPS	States
um	NN	um
governments	NNS	government
that	WDT	that
have	VHP	have
been	VBN	be
you	PP	you
know	VVP	know
in	IN	in
the	DT	the
past	NN	past
very	RB	very
friendly	JJ	friendly
towards	IN	towards
Israel	NP	Israel
they're	NP	they're
angry	JJ	angry
and	CC	and
they're	JJ	they're
annoyed	JJ	annoyed
and	CC	and
so	RB	so
they	PP	they
are	VBP	be
putting	VVG	put
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
uh	UH	uh
to	TO	to
respond	VV	respond
so	IN	so
this	DT	this
response	NN	response
I	PP	I
think	VVP	think
is	VBZ	be
Israel	NP	Israel
hoping	VVG	hope
that	IN/that	that
it	PP	it
is	VBZ	be
uh	UH	uh
drawing	VVG	draw
a	DT	a
line	NN	line
under	IN	under
this	DT	this
incident	NN	incident
what	WP	what
we're	VVP	we're
not	RB	not
seeing	VVG	see
uh	UH	uh
in	IN	in
this	DT	this
report	NN	report
is	VBZ	be
that	IN/that	that
there	EX	there
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
any	DT	any
legal	JJ	legal
prosecutions	NNS	prosecution
against	IN	against
these	DT	these
people	NNS	people
now	RB	now
that	WDT	that
might	MD	might
come	VV	come
in	IN	in
the	DT	the
future	NN	future
but	CC	but
that's	NNS	that's
certainly	RB	certainly
not	RB	not
contained	VVN	contain
in	IN	in
this	DT	this
this	NN	this
this	DT	this
report	NN	report
what	WP	what
we	PP	we
get	VVP	get
is	VBZ	be
dismissals	NNS	dismissal
from	IN	from
positions	NNS	position
and	CC	and
Military	JJ	military
reprimands	NNS	reprimand
but	CC	but
that's	NNS	that's
not	RB	not
necessarily	RB	necessarily
Justice	JJ	Justice
uh	UH	uh
for	IN	for
the	DT	the
people	NNS	people
for	IN	for
the	DT	the
families	NNS	family
and	CC	and
friends	NNS	friend
of	IN	of
those	DT	those
who	WP	who
died	VVD	die
okay	JJ	okay
Rory	NP	Rory
thank	VVP	thank
you	PP	you
for	IN	for
that	DT	that
update	NN	update
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
</doc>	NN	</doc>
