<video_id>rX8o6yI4gTg</video_id>	JJ	<video_id>rX8o6yI4gTg</video_id>
Israeli	JJ	Israeli
forces	NNS	force
is	VBZ	be
trying	VVG	try
to	TO	to
manipulate	VV	manipulate
the	DT	the
public	JJ	public
opinion	NN	opinion
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
assistance	NN	assistance
those	DT	those
assistance	NN	assistance
that	IN/that	that
the	DT	the
assistance	NN	assistance
that	WDT	that
arrives	VVZ	arrive
to	TO	to
Gaza	NP	Gaza
during	IN	during
the	DT	the
truce	NN	truce
or	CC	or
the	DT	the
ceasefire	NN	ceasefire
does	VVZ	do
not	RB	not
even	RB	even
cover	VV	cover
1%	CD	@card@
of	IN	of
the	DT	the
needs	NNS	need
of	IN	of
gazan	JJ	gazan
people	NNS	people
and	CC	and
given	VVN	give
that	IN/that	that
all	PDT	all
the	DT	the
crossings	NNS	crossing
are	VBP	be
being	VBG	be
closed	VVN	close
our	PP$	our
Palestinian	JJ	Palestinian
people	NNS	people
are	VBP	be
also	RB	also
still	RB	still
subjected	VVN	subject
to	TO	to
uh	UH	uh
starvation	NN	starvation
policy	NN	policy
which	WDT	which
is	VBZ	be
also	RB	also
indicating	VVG	indicate
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
a	DT	a
disaster	NN	disaster
in	IN	in
Gaza	NP	Gaza
especially	RB	especially
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
food	NN	food
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
food	NN	food
and	CC	and
water	VV	water
the	DT	the
situation	NN	situation
is	VBZ	be
very	RB	very
dire	JJ	dire
it	PP	it
is	VBZ	be
also	RB	also
very	RB	very
difficult	JJ	difficult
to	TO	to
get	VV	get
food	NN	food
and	CC	and
different	JJ	different
vital	JJ	vital
food	NN	food
also	RB	also
that	RB	that
given	VVN	give
that	IN/that	that
it's	NNS	it's
not	RB	not
available	JJ	available
in	IN	in
the	DT	the
marketplace	NN	marketplace
as	IN	as
our	PP$	our
people	NNS	people
in	IN	in
Gaza	NP	Gaza
continue	VVP	continue
to	TO	to
hold	VV	hold
up	IN	up
we	PP	we
would	MD	would
like	VV	like
to	TO	to
confirm	VV	confirm
on	IN	on
the	DT	the
following	VVG	follow
we	PP	we
still	RB	still
hold	VVP	hold
the	DT	the
International	NP	International
Community	NP	Community
and	CC	and
Israel	NP	Israel
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
responsible	JJ	responsible
especially	RB	especially
the	DT	the
secretary	NN	secretary
of	IN	of
state	NN	state
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
for	IN	for
supporting	VVG	support
and	CC	and
accepting	VVG	accept
the	DT	the
genocide	NN	genocide
and	CC	and
they	PP	they
gave	VVD	give
the	DT	the
green	JJ	green
light	NN	light
to	TO	to
eliminate	VV	eliminate
all	PDT	all
the	DT	the
Palestinians	NPS	Palestinians
either	CC	either
by	IN	by
killing	VVG	kill
them	PP	them
or	CC	or
by	IN	by
displacing	VVG	displace
them	PP	them
the	DT	the
whole	JJ	whole
word	NN	word
is	VBZ	be
witnessing	VVG	witness
this	DT	this
the	DT	the
the	DT	the
unconditional	JJ	unconditional
support	NN	support
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
providing	VVG	provide
to	TO	to
Israel	NP	Israel
which	WDT	which
is	VBZ	be
not	RB	not
in	IN	in
line	NN	line
with	IN	with
international	JJ	international
law	NN	law
we	PP	we
demand	VVP	demand
all	PDT	all
the	DT	the
countries	NNS	country
of	IN	of
the	DT	the
world	NN	world
to	TO	to
intervene	VV	intervene
in	IN	in
order	NN	order
to	TO	to
put	VV	put
an	DT	an
end	NN	end
to	TO	to
this	DT	this
crazy	JJ	crazy
war	NN	war
and	CC	and
to	TO	to
stop	VV	stop
the	DT	the
Bloodshed	NN	bloodshed
here	RB	here
in	IN	in
Gaza	NP	Gaza
second	JJ	second
in	IN	in
this	DT	this
starvation	NN	starvation
policy	NN	policy
we	PP	we
demand	VVP	demand
that	IN/that	that
food	NN	food
trucks	NNS	truck
should	MD	should
be	VB	be
allowed	VVN	allow
to	TO	to
Gaza	NP	Gaza
every	DT	every
day	NN	day
and	CC	and
to	TO	to
allow	VV	allow
million	CD	million
to	TO	to
allow	VV	allow
many	JJ	many
liters	NNS	liter
of	IN	of
fuel	NN	fuel
to	TO	to
enter	VV	enter
Gaza	NP	Gaza
so	RB	so
that	IN/that	that
we	PP	we
can	MD	can
save	VV	save
what	WP	what
can	MD	can
be	VB	be
saved	VVN	save
in	IN	in
Gaza	NP	Gaza
and	CC	and
to	TO	to
save	VV	save
as	IN	as
many	JJ	many
people	NNS	people
as	IN	as
possible	JJ	possible
third	NN	third
we	PP	we
demand	VVP	demand
all	PDT	all
the	DT	the
free	JJ	free
world	NN	world
and	CC	and
the	DT	the
Arab	JJ	Arab
countries	NNS	country
to	TO	to
help	VV	help
Gaza	NP	Gaza
before	IN	before
it's	NNS	it's
too	RB	too
late	RB	late
we	PP	we
are	VBP	be
here	RB	here
warning	VVG	warn
the	DT	the
world	NN	world
in	IN	in
all	DT	all
languages	NNS	language
and	CC	and
we	PP	we
warn	VVP	warn
the	DT	the
international	JJ	international
organizations	NNS	organization
and	CC	and
we	PP	we
invite	VVP	invite
them	PP	them
to	TO	to
come	VV	come
to	TO	to
Gaza	NP	Gaza
and	CC	and
witness	VV	witness
this	DT	this
catastrophic	JJ	catastrophic
situation	NN	situation
that	WDT	that
did	VVD	do
not	RB	not
stop	VV	stop
for	IN	for
the	DT	the
health	NN	health
sector	NN	sector
needs	VVZ	need
urgently	RB	urgently
help	VV	help
especially	RB	especially
hos	JJ	hos
on	IN	on
the	DT	the
field	NN	field
hospitals	NNS	hospital
in	IN	in
order	NN	order
to	TO	to
try	VV	try
to	TO	to
save	VV	save
the	DT	the
lives	NNS	life
of	IN	of
thousands	NNS	thousand
of	IN	of
of	IN	of
wounded	JJ	wounded
people	NNS	people
who	WP	who
suffered	VVD	suffer
from	IN	from
the	DT	the
war	NN	war
we	PP	we
also	RB	also
demand	VVP	demand
that	IN/that	that
thousands	NNS	thousand
of	IN	of
injured	JJ	injured
who	WP	who
suffered	VVD	suffer
from	IN	from
the	DT	the
war	NN	war
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
transfer	VV	transfer
them	PP	them
especially	RB	especially
those	DT	those
in	IN	in
critical	JJ	critical
condition	NN	condition
to	TO	to
the	DT	the
Arab	JJ	Arab
we	PP	we
have	VHP	have
been	VBN	be
listening	VVG	listen
there	RB	there
to	TO	to
the	DT	the
Gaza	NP	Gaza
government	NN	government
spokesperson	NN	spokesperson
isma	NP	isma
Al	NP	Al
who's	NNS	who's
giving	VVG	give
an	DT	an
update	NN	update
on	IN	on
the	DT	the
situation	NN	situation
there	EX	there
were	VBD	be
more	JJR	more
than	IN	than
100	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
strike	NN	strike
on	IN	on
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
he	PP	he
was	VBD	be
saying	VVG	say
that	IN/that	that
more	JJR	more
than	IN	than
40,000	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
injured	VVN	injure
since	IN	since
the	DT	the
attacks	NNS	attack
began	VVD	begin
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
</doc>	NN	</doc>
