live	VV	live
particular	JJ	particular
area	NN	area
from	IN	from
a	DT	a
refugee	NN	refugee
camp	NN	camp
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
city	NN	city
but	CC	but
so	RB	so
far	JJ	far
we	PP	we
'	''	'
re	IN	re
looking	VVG	look
at	IN	at
five	CD	five
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
inside	IN	inside
the	DT	the
residential	JJ	residential
homes	NNS	home
inside	IN	inside
evacuation	NN	evacuation
Center	NN	center
that	RB	that
'	POS	'
s	JJ	s
aluba	NN	aluba
school	NN	school
that	RB	that
'	POS	'
s	NNS	s
an	DT	an
honor	NN	honor
School	NP	School
managed	VVN	manage
and	CC	and
operated	VVN	operate
by	IN	by
the	DT	the
United	NP	United
Nations	NPS	Nations
for	IN	for
Palestinians	NPS	Palestinians
uh	UH	uh
refugees	NNS	refugee
more	RBR	more
of	IN	of
the	DT	the
infrastructure	NN	infrastructure
and	CC	and
the	DT	the
public	JJ	public
facility	NN	facility
we	PP	we
started	VVD	start
to	TO	to
see	VV	see
based	VVN	base
on	IN	on
on	IN	on
what	WP	what
we	PP	we
hear	VVP	hear
from	IN	from
Iron	NP	Iron
Witnesses	NNS	witness
a	DT	a
pattern	NN	pattern
of	IN	of
what	WP	what
happened	VVD	happen
in	IN	in
the	DT	the
city	NN	city
of	IN	of
kanun	NN	kanun
where	WRB	where
the	DT	the
Israeli	JJ	Israeli
military	NN	military
withdrew	VVD	withdraw
within	IN	within
the	DT	the
past	JJ	past
week	NN	week
leaving	VVG	leave
behind	IN	behind
a	DT	a
sheer	JJ	sheer
level	NN	level
of	IN	of
Destruction	NN	destruction
to	TO	to
all	DT	all
means	NN	means
of	IN	of
life	NN	life
including	VVG	include
public	JJ	public
facilities	NNS	facility
infrastructure	NN	infrastructure
residential	JJ	residential
homes	NNS	home
including	VVG	include
close	NN	close
to	TO	to
eight	CD	eight
facilities	NNS	facility
managed	VVN	manage
and	CC	and
operated	VVN	operate
by	IN	by
Ona	NP	Ona
in	IN	in
the	DT	the
city	NN	city
of	IN	of
KH	NP	KH
units	NNS	unit
particularly	RB	particularly
the	DT	the
healthc	NN	healthc
care	NN	care
sectors	NNS	sector
that	WDT	that
has	VHZ	have
been	VBN	be
destroyed	VVN	destroy
Beyond	IN	beyond
anyone	NN	anyone
can	MD	can
imagine	VV	imagine
meanwhile	RB	meanwhile
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
Gaza	NP	Gaza
City	NP	City
the	DT	the
Israeli	JJ	Israeli
military	NN	military
continues	VVZ	continue
to	TO	to
pound	VV	pound
across	IN	across
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
Gaza	NP	Gaza
City	NP	City
the	DT	the
popular	JJ	popular
Market	NN	market
that	WDT	that
was	VBD	be
targeted	VVN	target
more	JJR	more
reports	NNS	report
of	IN	of
many	JJ	many
injuries	NNS	injury
and	CC	and
also	RB	also
a	DT	a
the	DT	the
attack	NN	attack
on	IN	on
a	DT	a
law	NN	law
enforcement	NN	enforcement
officer	NN	officer
who	WP	who
worked	VVD	work
within	IN	within
the	DT	the
past	JJ	past
weeks	NNS	week
to	TO	to
secure	VV	secure
the	DT	the
delivery	NN	delivery
of	IN	of
Aid	NN	aid
to	TO	to
uh	UH	uh
uh	UH	uh
to	TO	to
the	DT	the
population	NN	population
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
Gaza	NP	Gaza
City	NP	City
he	PP	he
'	POS	'
s	NN	S
also	RB	also
the	DT	the
director	NN	director
of	IN	of
jabalia	NN	jabalia
police	NN	police
department	NN	department
the	DT	the
Israeli	JJ	Israeli
military	NN	military
issued	VVD	issue
a	DT	a
statement	NN	statement
saying	VVG	say
they	PP	they
targeted	VVD	target
killing	VVG	kill
Hamas	JJ	Hamas
operative	NN	operative
but	CC	but
what	WP	what
we	PP	we
hear	VVP	hear
from	IN	from
people	NNS	people
on	IN	on
the	DT	the
ground	NN	ground
that	IN/that	that
he	PP	he
'	POS	'
s	NN	S
a	DT	a
a	DT	a
law	NN	law
enforcement	NN	enforcement
officer	NN	officer
who	WP	who
'	POS	'
s	RB	s
been	VBN	be
working	VVG	work
on	IN	on
securing	VVG	secure
the	DT	the
delivery	NN	delivery
of	IN	of
Aid	NP	Aid
coordinating	VVG	coordinate
effort	NN	effort
with	IN	with
Gaza	NP	Gaza
based	VVN	base
Clans	NNS	clan
to	TO	to
continue	VV	continue
delivering	VVG	deliver
Aid	NN	aid
and	CC	and
in	IN	in
terms	NNS	term
in	IN	in
terms	NNS	term
of	IN	of
delivering	VVG	deliver
Aid	NN	aid
what	WP	what
is	VBZ	be
coming	VVG	come
into	IN	into
the	DT	the
region	NN	region
so	RB	so
far	RB	far
it	PP	it
is	VBZ	be
less	JJR	less
than	IN	than
what	WP	what
what	WP	what
one	PP	one
would	MD	would
imagine	VV	imagine
to	TO	to
to	TO	to
help	VV	help
people	NNS	people
combat	VV	combat
the	DT	the
extreme	JJ	extreme
difficult	JJ	difficult
living	NN	living
conditions	NNS	condition
they	PP	they
created	VVD	create
not	RB	not
only	RB	only
by	IN	by
the	DT	the
ongoing	JJ	ongoing
intense	JJ	intense
bombing	NN	bombing
campaign	NN	campaign
but	CC	but
also	RB	also
by	IN	by
the	DT	the
ongoing	JJ	ongoing
obstruction	NN	obstruction
and	CC	and
restrictions	NNS	restriction
on	IN	on
the	DT	the
ground	JJ	ground
uh	UH	uh
to	TO	to
deliver	VV	deliver
Aid	NN	aid
to	TO	to
the	DT	the
nor	CC	nor
part	NN	part
in	IN	in
Gaza	NP	Gaza
City	NP	City
so	RB	so
far	RB	far
we	PP	we
'	POS	'
re	NN	re
looking	VVG	look
at	IN	at
two	CD	two
parts	NNS	part
of	IN	of
the	DT	the
strip	NN	strip
that	WDT	that
have	VHP	have
been	VBN	be
divided	VVN	divide
we	PP	we
have	VHP	have
overcrowded	VVN	overcrowd
Rafa	NP	Rafa
City	NP	City
where	WRB	where
there	EX	there
'	''	'
s	NN	S
depletion	NN	depletion
of	IN	of
resources	NNS	resource
and	CC	and
and	CC	and
BAS	NP	BAS
supplies	NNS	supply
and	CC	and
a	DT	a
famine	NN	famine
that	WDT	that
is	VBZ	be
Raging	VVG	rage
in	IN	in
the	DT	the
nor	CC	nor
part	NN	part
in	IN	in
Gaza	NP	Gaza
City	NP	City
30	CD	@card@
people	NNS	people
have	VHP	have
died	VVN	die
because	IN	because
of	IN	of
the	DT	the
enforced	VVN	enforce
dehydration	NN	dehydration
and	CC	and
starvation	NN	starvation
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
announced	VVN	announce
uh	UH	uh
500	CD	@card@
trucks	NNS	truck
will	MD	will
be	VB	be
would	MD	would
be	VB	be
allowed	VVN	allow
to	TO	to
enter	VV	enter
the	DT	the
Gaza	NP	Gaza
STP	NP	STP
but	CC	but
so	RB	so
far	RB	far
this	DT	this
is	VBZ	be
only	RB	only
a	DT	a
drop	NN	drop
in	IN	in
the	DT	the
ocean	NN	ocean
of	IN	of
the	DT	the
greater	JJR	great
needs	NNS	need
right	RB	right
now	RB	now
that	IN/that	that
people	NNS	people
are	VBP	be
experiencing	VVG	experience
from	IN	from
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
Border	NP	Border
are	VBP	be
is	VBZ	be
the	DT	the
crossing	VVG	cross
particularly	RB	particularly
in	IN	in
which	WDT	which
the	DT	the
Israeli	JJ	Israeli
military	NN	military
insist	VVP	insist
that	IN/that	that
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
open	VV	open
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
deliver	VV	deliver
and	CC	and
see	VV	see
more	JJR	more
trucks	NNS	truck
here	RB	here
into	IN	into
Gaza	NP	Gaza
but	CC	but
based	VVN	base
on	IN	on
a	DT	a
a	DT	a
statement	NN	statement
issued	VVN	issue
by	IN	by
UNICEF	NP	UNICEF
stating	VVG	state
that	IN/that	that
they	PP	they
haven	VVP	haven
'	''	'
t	NN	t
seen	VVN	see
any	DT	any
AED	JJ	AED
trucks	NNS	truck
or	CC	or
humanitarian	JJ	humanitarian
trucks	NNS	truck
coming	VVG	come
into	IN	into
G	NP	G
from	IN	from
the	DT	the
landed	JJ	landed
Crossings	NNS	crossing
the	DT	the
Israeli	JJ	Israeli
military	NN	military
announced	VVD	announce
it	PP	it
will	MD	will
be	VB	be
particularly	RB	particularly
used	VVN	use
for	IN	for
more	JJR	more
a	DT	a
trucks	NNS	truck
to	TO	to
get	VV	get
into	IN	into
Gaza	NP	Gaza
K	NP	K
Mahmud	NP	Mahmud
there	RB	there
for	IN	for
us	PP	us
uh	UH	uh
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
thank	VVP	thank
you	PP	you
