<video_id>vAVQQPAFz1w</video_id>	JJ	<video_id>vAVQQPAFz1w</video_id>
looking	VVG	look
at	IN	at
this	DT	this
is	VBZ	be
3	CD	@card@
weeks	NNS	week
into	IN	into
the	DT	the
war	NN	war
well	NN	well
let's	NNS	let's
move	VVP	move
forward	JJ	forward
we've	NN	we've
got	VVD	get
here	RB	here
just	RB	just
a	DT	a
week	NN	week
later	RBR	later
look	VV	look
how	WRB	how
much	RB	much
more	RBR	more
widespread	JJ	widespread
that	IN/that	that
damage	NN	damage
is	VBZ	be
and	CC	and
what	WP	what
does	VVZ	do
that	IN/that	that
mean	JJ	mean
we're	NN	we're
talking	VVG	talk
about	IN	about
homes	NNS	home
and	CC	and
lives	NNS	life
destroyed	VVD	destroy
and	CC	and
what	WP	what
does	VVZ	do
this	DT	this
mean	NN	mean
also	RB	also
when	WRB	when
you	PP	you
look	VVP	look
at	IN	at
this	DT	this
map	NN	map
we're	NN	we're
talking	VVG	talk
about	IN	about
Gaza	NP	Gaza
City	NP	City
B	NP	B
hanon	NN	hanon
these	DT	these
are	VBP	be
all	RB	all
densely	RB	densely
populated	VVN	populate
areas	NNS	area
when	WRB	when
we	PP	we
talk	VVP	talk
about	RB	about
densely	RB	densely
populated	VVN	populate
this	DT	this
is	VBZ	be
what	WP	what
that	DT	that
looks	NNS	look
like	VVP	like
again	RB	again
Gaza	NP	Gaza
City	NP	City
you	PP	you
see	VVP	see
there	RB	there
dark	VV	dark
black	JJ	black
areas	NNS	area
this	DT	this
is	VBZ	be
how	WRB	how
many	JJ	many
people	NNS	people
live	VVP	live
there	RB	there
civilians	NNS	civilian
no	RB	no
one	PP	one
can	MD	can
leave	VV	leave
Gaza	NP	Gaza
um	NNS	um
so	RB	so
if	IN	if
we	PP	we
superimpose	VVP	superimpose
those	DT	those
red	JJ	red
dots	NNS	dot
and	CC	and
remember	VV	remember
this	DT	this
is	VBZ	be
building	VVG	build
destruction	NN	destruction
just	RB	just
look	VVP	look
how	WRB	how
extensive	JJ	extensive
that	DT	that
is	VBZ	be
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
for	IN	for
example	NN	example
the	DT	the
densest	JJS	dense
place	NN	place
in	IN	in
Gaza	NP	Gaza
Gaza	NP	Gaza
City	NP	City
essentially	RB	essentially
the	DT	the
capital	NN	capital
so	RB	so
when	WRB	when
we	PP	we
look	VVP	look
at	IN	at
the	DT	the
numbers	NNS	number
what	WP	what
the	DT	the
research	NN	research
found	VVD	find
more	JJR	more
than	IN	than
a	DT	a
quarter	NN	quarter
of	IN	of
Gaza	NP	Gaza
City	NP	City
essentially	RB	essentially
the	DT	the
capital	NN	capital
of	IN	of
Gaza	NP	Gaza
has	VHZ	have
been	VBN	be
destroyed	VVN	destroy
Northern	NP	Northern
Gaza	NP	Gaza
over	IN	over
a	DT	a
third	JJ	third
of	IN	of
it	PP	it
has	VHZ	have
gone	VVN	go
so	IN	so
we've	NN	we've
looked	VVN	look
at	IN	at
the	DT	the
North	JJ	North
let's	NNS	let's
move	VVP	move
South	JJ	South
hunis	NNS	hunis
over	IN	over
there	RB	there
this	DT	this
of	IN	of
course	NN	course
an	DT	an
area	NN	area
that	IN/that	that
Israel	NP	Israel
urged	VVD	urge
the	DT	the
people	NNS	people
from	IN	from
the	DT	the
north	NN	north
to	TO	to
move	VV	move
too	RB	too
saying	VVG	say
it	PP	it
was	VBD	be
safe	RB	safe
well	RB	well
you	PP	you
see	VVP	see
those	DT	those
rat	NN	rat
dots	VVZ	dot
as	RB	as
well	RB	well
remember	VV	remember
building	VVG	build
destruction	NN	destruction
in	IN	in
those	DT	those
areas	NNS	area
so	IN	so
this	DT	this
is	VBZ	be
why	WRB	why
people	NNS	people
will	MD	will
tell	VV	tell
you	PP	you
no	DT	no
one	NN	one
in	IN	in
uh	UH	uh
nowhere	RB	nowhere
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
safe	JJ	safe
and	CC	and
people	NNS	people
cannot	MD	can
get	VV	get
out	RP	out
what	WP	what
does	VVZ	do
that	DT	that
mean	NN	mean
in	IN	in
terms	NNS	term
of	IN	of
numbers	NNS	number
the	DT	the
bigger	JJR	big
picture	NN	picture
the	DT	the
research	NN	research
shows	VVZ	show
16%	CD	@card@
of	IN	of
buildings	NNS	building
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
have	VHP	have
been	VBN	be
destroyed	VVN	destroy
and	CC	and
what	WP	what
does	VVZ	do
that	DT	that
look	NN	look
like	IN	like
well	RB	well
entire	JJ	entire
residential	JJ	residential
areas	NNS	area
are	VBP	be
flattened	VVN	flatten
in	IN	in
one	CD	one
of	IN	of
the	DT	the
densest	JJS	dense
Urban	NP	Urban
environments	NNS	environment
in	IN	in
the	DT	the
world	NN	world
and	CC	and
un	NN	un
facilities	NNS	facility
hospitals	NNS	hospital
and	CC	and
other	JJ	other
places	NNS	place
where	WRB	where
thousands	NNS	thousand
of	IN	of
people	NNS	people
are	VBP	be
Sheltering	VVG	shelter
well	RB	well
they're	JJ	they're
supposedly	RB	supposedly
safe	JJ	safe
places	NNS	place
but	CC	but
they've	NN	they've
also	RB	also
been	VBN	be
targeted	VVN	target
by	IN	by
Israel	NP	Israel
</doc>	NP	</doc>
