<video_id>HzFMAa6IOTo</video_id>	JJ	<video_id>HzFMAa6IOTo</video_id>
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
