<video_id>GTTM9H6CnS8</video_id>	NP	<video_id>GTTM9H6CnS8</video_id>
you	PP	you
know	VVP	know
arguably	RB	arguably
but	CC	but
certainly	RB	certainly
the	DT	the
past	JJ	past
30	CD	@card@
or	CC	or
40	CD	@card@
years	NNS	year
Israel	NP	Israel
has	VHZ	have
been	VBN	be
a	DT	a
burden	NN	burden
not	RB	not
an	DT	an
asset	NN	asset
to	TO	to
the	DT	the
United	NP	United
States	NP	States
which	WDT	which
just	RB	just
the	DT	the
last	JJ	last
five	CD	five
weeks	NNS	week
you	PP	you
know	VVP	know
what	WP	what
have	VHP	have
shown	VVN	show
us	PP	us
that	IN/that	that
how	WRB	how
much	JJ	much
of	IN	of
a	DT	a
liability	NN	liability
it	PP	it
has	VHZ	have
become	VVN	become
the	DT	the
entire	JJ	entire
mid	NN	mid
greater	JJR	great
mid	IN	mid
least	JJS	least
57	CD	@card@
Arab	JJ	Arab
and	CC	and
Muslim	JJ	Muslim
majority	NN	majority
countries	NNS	country
are	VBP	be
standing	VVG	stand
against	IN	against
Israel	NP	Israel
and	CC	and
asking	VVG	ask
the	DT	the
United	NP	United
states	NNS	state
to	TO	to
stop	VV	stop
being	VBG	be
so	RB	so
hypocritical	JJ	hypocritical
and	CC	and
to	TO	to
use	VV	use
double	JJ	double
standard	NN	standard
in	IN	in
his	PP$	his
foreign	JJ	foreign
policy	NN	policy
and	CC	and
the	DT	the
majority	NN	majority
of	IN	of
public	JJ	public
opinion	NN	opinion
including	VVG	include
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
in	IN	in
the	DT	the
asking	NN	asking
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
so	RB	so
really	RB	really
the	DT	the
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
knows	VVZ	know
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
a	DT	a
liability	NN	liability
but	CC	but
continues	VVZ	continue
to	TO	to
support	VV	support
it	PP	it
because	IN	because
President	NP	President
Biden	NP	Biden
himself	PP	himself
is	VBZ	be
has	VHZ	have
been	VBN	be
blinded	VVN	blind
by	IN	by
his	PP$	his
so-called	JJ	so-called
I'm	NN	I'm
a	DT	a
Zionist	NN	Zionist
although	IN	although
I'm	NP	I'm
a	DT	a
Christian	JJ	Christian
and	CC	and
boxing	VVG	box
himself	PP	himself
behind	IN	behind
Netanyahu	NP	Netanyahu
and	CC	and
just	RB	just
a	DT	a
quick	JJ	quick
notice	NN	notice
note	NN	note
about	IN	about
that	DT	that
by	IN	by
the	DT	the
way	NN	way
way	NN	way
he	PP	he
was	VBD	be
a	DT	a
vice	JJ	vice
president	NN	president
for8	NN	for8
years	NNS	year
under	IN	under
Barack	NP	Barack
Obama	NP	Obama
and	CC	and
Barack	NP	Barack
Obama	NP	Obama
spent	VVD	spend
his	PP$	his
eight	CD	eight
years	NNS	year
trying	VVG	try
to	TO	to
decouple	VV	decouple
the	DT	the
mindset	NN	mindset
between	IN	between
the	DT	the
mind	NN	mind
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
Israel	NP	Israel
because	IN	because
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
a	DT	a
superpower	NN	superpower
it's	NNS	it's
not	RB	not
supposed	VVN	suppose
to	TO	to
act	VV	act
like	IN	like
a	DT	a
little	JJ	little
Rog	NP	Rog
State	NP	State
and	CC	and
Biden	NP	Biden
was	VBD	be
part	NN	part
and	CC	and
parcel	NN	parcel
of	IN	of
those	DT	those
eight	CD	eight
years	NNS	year
uh	UH	uh
of	IN	of
Barack	JJ	Barack
uh	UH	uh
Biden	NP	Biden
Administration	NP	Administration
but	CC	but
now	RB	now
Biden	NP	Biden
is	VBZ	be
back	RB	back
again	RB	again
coupling	VVG	couple
the	DT	the
mindsets	NNS	mindsets
and	CC	and
repeating	VVG	repeat
and	CC	and
supporting	VVG	support
everything	NN	everything
that	IN/that	that
Israel	NP	Israel
says	VVZ	say
which	WDT	which
is	VBZ	be
really	RB	really
is	VBZ	be
quite	RB	quite
paradoxical	JJ	paradoxical
and	CC	and
quite	RB	quite
damaging	VVG	damage
to	TO	to
America	NP	America
standing	NN	standing
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
Beyond	NP	Beyond
</doc>	NN	</doc>
