<video_id>XFe4kFA1_rM</video_id>	JJ	<video_id>XFe4kFA1_rM</video_id>
bring	VV	bring
home	RB	home
all	PDT	all
those	DT	those
kidnapped	VVN	kidnap
who	WP	who
are	VBP	be
sparing	VVG	spare
no	DT	no
effort	NN	effort
to	TO	to
annihilate	VV	annihilate
this	DT	this
horrible	JJ	horrible
enemy	NN	enemy
however	RB	however
on	IN	on
behalf	NN	behalf
of	IN	of
all	PDT	all
all	DT	all
our	PP$	our
brave	JJ	brave
Fighters	NNS	fighter
like	IN	like
you	PP	you
we	PP	we
have	VHP	have
many	JJ	many
volunteers	NNS	volunteer
who	WP	who
have	VHP	have
come	VVN	come
from	IN	from
from	IN	from
abroad	RB	abroad
to	TO	to
join	VV	join
the	DT	the
battlefield	NN	battlefield
it	PP	it
is	VBZ	be
the	DT	the
moment	NN	moment
of	IN	of
truth	NN	truth
it	PP	it
is	VBZ	be
a	DT	a
battle	NN	battle
it	PP	it
is	VBZ	be
an	DT	an
all	RB	all
out	IN	out
War	NP	War
I	PP	I
sum	VVP	sum
it	PP	it
all	RB	all
in	IN	in
one	CD	one
word	NN	word
Victory	NP	Victory
is	VBZ	be
inevitable	JJ	inevitable
dismantling	VVG	dismantle
and	CC	and
annihilating	VVG	annihilate
Hamas	NN	Hamas
is	VBZ	be
inevitable	JJ	inevitable
Hamas	NN	Hamas
equals	VVZ	equal
Isis	NP	Isis
this	DT	this
is	VBZ	be
a	DT	a
real	JJ	real
crisis	NN	crisis
Hamas	NN	Hamas
is	VBZ	be
no	RB	no
less	JJR	less
than	IN	than
Isis	NP	Isis
after	IN	after
what	WP	what
happened	VVD	happen
in	IN	in
911	CD	@card@
this	DT	this
is	VBZ	be
a	DT	a
big	JJ	big
event	NN	event
at	IN	at
that	DT	that
time	NN	time
there	EX	there
was	VBD	be
a	DT	a
Global	NP	Global
Alliance	NP	Alliance
to	TO	to
fight	VV	fight
terrorism	NN	terrorism
no	DT	no
one	CD	one
said	VVD	say
anything	NN	anything
about	IN	about
sitting	VVG	sit
and	CC	and
negotiating	VVG	negotiate
with	IN	with
the	DT	the
leaders	NNS	leader
of	IN	of
Isis	NP	Isis
that's	NNS	that's
why	WRB	why
today	NN	today
I	PP	I
am	VBP	be
reiterating	VVG	reiterate
we	PP	we
cannot	MD	can
sit	VV	sit
or	CC	or
talk	VV	talk
to	TO	to
Hamas	NNS	Hamas
if	IN	if
there	EX	there
is	VBZ	be
any	DT	any
leadership	NN	leadership
sitting	VVG	sit
and	CC	and
talking	VVG	talk
to	TO	to
them	PP	them
we	PP	we
must	MD	must
condemn	VV	condemn
them	PP	them
we	PP	we
must	MD	must
ition	NN	ition
them	PP	them
this	DT	this
is	VBZ	be
the	DT	the
message	NN	message
a	DT	a
message	NN	message
of	IN	of
unity	NN	unity
from	IN	from
this	DT	this
hole	NN	hole
from	IN	from
this	DT	this
hole	NN	hole
where	WRB	where
we	PP	we
run	VVP	run
our	PP$	our
own	JJ	own
Affairs	NPS	Affairs
the	DT	the
young	JJ	young
Generations	NNS	generation
are	VBP	be
pinning	VVG	pin
High	NP	High
Hopes	NP	Hopes
we	PP	we
have	VHP	have
no	DT	no
weakness	NN	weakness
we	PP	we
all	RB	all
together	RB	together
without	IN	without
exceptions	NNS	exception
are	VBP	be
joined	VVN	join
and	CC	and
United	VVN	unite
by	IN	by
one	CD	one
purpose	NN	purpose
to	TO	to
expel	VV	expel
and	CC	and
drive	VV	drive
out	RP	out
brutality	NN	brutality
to	TO	to
anate	VV	anate
Isis	NP	Isis
to	TO	to
dismantle	VV	dismantle
habas	NNS	habas
the	DT	the
whole	JJ	whole
world	NN	world
has	VHZ	have
witnessed	VVN	witness
the	DT	the
Fighters	NNS	fighter
the	DT	the
atrocities	NNS	atrocity
perpetrated	VVN	perpetrate
in	IN	in
our	PP$	our
towns	NNS	town
today	NN	today
the	DT	the
whole	JJ	whole
world	NN	world
realized	VVD	realize
dire	JJ	dire
need	NN	need
to	TO	to
annihilate	VV	annihilate
this	DT	this
barbaric	JJ	barbaric
movement	NN	movement
I	PP	I
am	VBP	be
in	IN	in
close	JJ	close
contact	NN	contact
with	IN	with
the	DT	the
United	NP	United
States	NPS	States
president	NN	president
and	CC	and
other	JJ	other
head	NN	head
World	NN	world
heads	VVZ	head
of	IN	of
state	NN	state
like	IN	like
the	DT	the
Britain	NP	Britain
France	NP	France
Italy	NP	Italy
and	CC	and
many	JJ	many
others	NNS	other
this	DT	this
morning	NN	morning
I	PP	I
met	VVD	meet
with	IN	with
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
who	WP	who
delivered	VVD	deliver
a	DT	a
message	NN	message
and	CC	and
a	DT	a
moving	VVG	move
one	CD	one
and	CC	and
I	PP	I
certain	JJ	certain
that	IN/that	that
you	PP	you
have	VHP	have
heard	VVN	hear
these	DT	these
words	NNS	word
from	IN	from
Biden	NP	Biden
and	CC	and
Lincoln	NP	Lincoln
and	CC	and
you	PP	you
can	MD	can
see	VV	see
the	DT	the
ultimate	JJ	ultimate
support	NN	support
to	TO	to
our	PP$	our
struggle	NN	struggle
tomorrow	NN	tomorrow
I	PP	I
will	MD	will
be	VB	be
meeting	VVG	meet
with	IN	with
the	DT	the
defense	NN	defense
secretary	NN	secretary
of	IN	of
defense	NN	defense
our	PP$	our
state	NN	state
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
is	VBZ	be
receiving	VVG	receive
unprecedented	JJ	unprecedented
support	NN	support
and	CC	and
in	IN	in
this	DT	this
battle	NN	battle
we	PP	we
are	VBP	be
reinforced	VVN	reinforce
and	CC	and
backed	VVN	back
by	IN	by
the	DT	the
world	NN	world
support	NN	support
solidarity	NN	solidarity
and	CC	and
firm	NN	firm
stances	NNS	stance
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
we	PP	we
are	VBP	be
equipped	VVN	equip
and	CC	and
backed	VVN	back
by	IN	by
the	DT	the
military	JJ	military
assistance	NN	assistance
including	VVG	include
the	DT	the
air	NN	air
aircraft	NN	aircraft
Carri	NP	Carri
carriers	NNS	carrier
we	PP	we
explain	VVP	explain
to	TO	to
the	DT	the
world	NN	world
leaders	NNS	leader
including	VVG	include
Mr	NP	Mr
Biden	NP	Biden
that	IN/that	that
we	PP	we
must	MD	must
put	VV	put
an	DT	an
end	NN	end
to	TO	to
all	DT	all
these	DT	these
problems	NNS	problem
including	VVG	include
those	DT	those
have	VHP	have
heard	VVN	hear
a	DT	a
while	NN	while
ago	RB	ago
we	PP	we
must	MD	must
resolve	VV	resolve
all	PDT	all
these	DT	these
problems	NNS	problem
within	IN	within
the	DT	the
the	DT	the
towns	NNS	town
surrounding	VVG	surround
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
the	DT	the
residents	NNS	resident
of	IN	of
these	DT	these
towns	NNS	town
must	MD	must
be	VB	be
provided	VVN	provide
with	IN	with
full	JJ	full
arms	NNS	arm
members	NNS	member
of	IN	of
the	DT	the
KET	NP	KET
my	PP$	my
fellow	JJ	fellow
citizens	NNS	citizen
our	PP$	our
people	NNS	people
our	PP$	our
people	NNS	people
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
oldest	JJS	old
peoples	NNS	people
in	IN	in
the	DT	the
world	NN	world
and	CC	and
throughout	IN	throughout
history	NN	history
we	PP	we
have	VHP	have
been	VBN	be
tested	VVN	test
we	PP	we
have	VHP	have
been	VBN	be
we	PP	we
have	VHP	have
been	VBN	be
through	IN	through
pain	NN	pain
and	CC	and
sufferings	NNS	suffering
many	JJ	many
pains	NNS	pain
and	CC	and
sufferings	NNS	suffering
however	RB	however
we	PP	we
never	RB	never
knelt	VVD	kneel
down	RB	down
we	PP	we
were	VBD	be
never	RB	never
brought	VVN	bring
to	TO	to
our	PP$	our
knees	NNS	knee
our	PP$	our
fortitude	NN	fortitude
is	VBZ	be
what	WP	what
makes	VVZ	make
us	PP	us
Stand	VVP	stand
Out	RB	out
among	IN	among
other	JJ	other
peoples	NNS	people
[Music]	JJ	[Music]
Saturday	NP	Saturday
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
will	MD	will
remain	VV	remain
carved	VVN	carve
in	IN	in
the	DT	the
memory	NN	memory
of	IN	of
our	PP$	our
people	NNS	people
and	CC	and
all	DT	all
other	JJ	other
peoples	NNS	people
dark	JJ	dark
painful	JJ	painful
day	NN	day
it	PP	it
is	VBZ	be
the	DT	the
darkest	JJS	dark
and	CC	and
the	DT	the
most	RBS	most
dire	JJ	dire
day	NN	day
in	IN	in
our	PP$	our
people's	NN	people's
history	NN	history
not	RB	not
only	RB	only
because	IN	because
of	IN	of
the	DT	the
atrocities	NNS	atrocity
we	PP	we
have	VHP	have
witnessed	VVN	witness
those	DT	those
reminiscent	NN	reminiscent
of	IN	of
the	DT	the
atrocities	NNS	atrocity
perpetrated	VVN	perpetrate
in	IN	in
the	DT	the
past	JJ	past
but	CC	but
also	RB	also
of	IN	of
the	DT	the
pain	NN	pain
inflicted	VVN	inflict
on	IN	on
all	DT	all
of	IN	of
us	PP	us
I	PP	I
have	VHP	have
met	VVN	meet
no	DT	no
one	CD	one
who	WP	who
doesn't	VVD	doesn't
know	VV	know
another	DT	another
person	NN	person
a	DT	a
relative	NN	relative
a	DT	a
family	NN	family
member	NN	member
we	PP	we
all	RB	all
have	VHP	have
lost	VVN	lose
loved	VVN	love
ones	NNS	one
killed	VVD	kill
kidnapped	VVN	kidnap
or	CC	or
mine	VVP	mine
an	DT	an
officer	NN	officer
deployed	VVN	deploy
on	IN	on
the	DT	the
front	NN	front
he	PP	he
was	VBD	be
uh	UH	uh
serving	VVG	serve
in	IN	in
the	DT	the
prime	JJ	prime
minister's	NN	minister's
office	NN	office
but	CC	but
he	PP	he
was	VBD	be
deployed	VVN	deploy
to	TO	to
the	DT	the
front	NN	front
he	PP	he
has	VHZ	have
been	VBN	be
always	RB	always
with	IN	with
my	PP$	my
family	NN	family
my	PP$	my
children	NNS	child
and	CC	and
his	PP$	his
played	VVN	play
peace	NN	peace
I	PP	I
call	VVP	call
him	PP	him
as	IN	as
my	PP$	my
brother	NN	brother
he	PP	he
was	VBD	be
among	IN	among
those	DT	those
he	PP	he
is	VBZ	be
Dr	NN	Dr
is	VBZ	be
the	DT	the
son	NN	son
of	IN	of
yob	NN	yob
may	MD	may
he	PP	he
rest	VV	rest
in	IN	in
peace	NN	peace
he	PP	he
also	RB	also
who	WP	who
is	VBZ	be
also	RB	also
a	DT	a
patri	NNS	patri
patriotic	JJ	patriotic
with	IN	with
a	DT	a
father	NN	father
to	TO	to
seven	CD	seven
children	NNS	child
I	PP	I
remember	VVP	remember
very	RB	very
well	RB	well
how	WRB	how
yob	NN	yob
introduced	VVD	introduce
me	PP	me
to	TO	to
him	PP	him
with	IN	with
passion	NN	passion
and	CC	and
love	VVP	love
so	RB	so
I	PP	I
repeat	VVP	repeat
I	PP	I
have	VHP	have
met	VVN	meet
none	NN	none
who	WP	who
is	VBZ	be
not	RB	not
with	IN	with
pain	NN	pain
including	VVG	include
strong	RB	strong
however	RB	however
I	PP	I
can	MD	can
say	VV	say
that	IN/that	that
there	EX	there
are	VBP	be
degrees	NNS	degree
and	CC	and
levels	NNS	level
of	IN	of
pain	NN	pain
children	NNS	child
see	VVP	see
their	PP$	their
parents	NNS	parent
murders	NNS	murder
and	CC	and
otherwise	RB	otherwise
parents	NNS	parent
V	CD	@card@
the	DT	the
rape	NN	rape
and	CC	and
the	DT	the
killing	VVG	kill
the	DT	the
atrocities	NNS	atrocity
by	IN	by
all	DT	all
sins	NNS	sin
of	IN	of
the	DT	the
world	NN	world
we	PP	we
have	VHP	have
a	DT	a
solution	NN	solution
at	IN	at
hand	NN	hand
it	PP	it
is	VBZ	be
very	RB	very
clear	JJ	clear
a	DT	a
clear	JJ	clear
solution	NN	solution
at	IN	at
hand	NN	hand
in	IN	in
happiness	NN	happiness
and	CC	and
sadness	NN	sadness
in	IN	in
bad	JJ	bad
and	CC	and
good	JJ	good
in	IN	in
dark	NN	dark
and	CC	and
in	IN	in
light	NN	light
we	PP	we
have	VHP	have
created	VVN	create
this	DT	this
precious	JJ	precious
state	NN	state
and	CC	and
turned	VVD	turn
it	PP	it
into	IN	into
a	DT	a
beacon	NN	beacon
for	IN	for
hope	NN	hope
we	PP	we
built	VVD	build
our	PP$	our
state	NN	state
by	IN	by
hand	NN	hand
and	CC	and
by	IN	by
the	DT	the
other	JJ	other
hand	NN	hand
we	PP	we
brought	VVD	bring
our	PP$	our
enemies	NNS	enemy
to	TO	to
their	PP$	their
knees	NNS	knee
lighted	VVN	light
prevailed	VVD	prevail
over	IN	over
Darkness	NN	darkness
survival	NN	survival
triumphant	JJ	triumphant
over	IN	over
anything	NN	anything
else	RB	else
fellow	JJ	fellow
members	NNS	member
I	PP	I
said	VVD	say
a	DT	a
while	NN	while
ago	RB	ago
that	IN/that	that
the	DT	the
atrocities	NNS	atrocity
perpetrated	VVN	perpetrate
by	IN	by
Hamas	NNS	Hamas
are	VBP	be
reminiscent	JJ	reminiscent
of	IN	of
those	DT	those
of	IN	of
the	DT	the
Holy	NP	Holy
caust	NN	caust
however	RB	however
the	DT	the
difference	NN	difference
is	VBZ	be
we	PP	we
are	VBP	be
not	RB	not
kept	VVN	keep
behind	IN	behind
the	DT	the
ghos	NN	ghos
or	CC	or
concentration	NN	concentration
camps	NNS	camp
we	PP	we
are	VBP	be
on	IN	on
our	PP$	our
homeland	NN	homeland
let's	NNS	let's
remain	VVP	remain
united	VVN	unite
we	PP	we
have	VHP	have
been	VBN	be
always	RB	always
remembering	VVG	remember
and	CC	and
P	NN	P
in	IN	in
in	IN	in
the	DT	the
past	NN	past
the	DT	the
left	JJ	left
and	CC	and
right	RB	right
did	VVD	do
not	RB	not
come	VV	come
together	RB	together
each	DT	each
Camp	NP	Camp
remained	VVD	remain
steadfast	JJ	steadfast
on	IN	on
its	PP$	its
position	NN	position
and	CC	and
the	DT	the
ultimate	JJ	ultimate
today	NN	today
we	PP	we
are	VBP	be
here	RB	here
today	NN	today
on	IN	on
our	PP$	our
homeland	NN	homeland
and	CC	and
despite	IN	despite
what	WP	what
all	DT	all
what	WP	what
is	VBZ	be
been	VBN	be
said	VVN	say
every	DT	every
time	NN	time
we	PP	we
are	VBP	be
faced	VVN	face
with	IN	with
a	DT	a
terrorist	JJ	terrorist
operation	NN	operation
and	CC	and
every	DT	every
time	NN	time
we	PP	we
find	VVP	find
our	PP$	our
people	NNS	people
killed	VVN	kill
at	IN	at
the	DT	the
hands	NNS	hand
of	IN	of
Hamas	NP	Hamas
or	CC	or
any	DT	any
other	JJ	other
organization	NN	organization
I	PP	I
always	RB	always
said	VVD	say
if	IN	if
a	DT	a
single	JJ	single
isolated	JJ	isolated
incident	NN	incident
or	CC	or
on	IN	on
a	DT	a
bus	NN	bus
all	RB	all
these	DT	these
events	NNS	event
remind	VVP	remind
us	PP	us
that	IN/that	that
a	DT	a
big	JJ	big
event	NN	event
is	VBZ	be
coming	VVG	come
they	PP	they
have	VHP	have
malicious	JJ	malicious
intend	VVP	intend
intentions	NNS	intention
against	IN	against
us	PP	us
but	CC	but
today	RB	today
these	DT	these
m	NN	m
memories	NNS	memory
are	VBP	be
back	RB	back
to	TO	to
our	PP$	our
memories	NNS	memory
we	PP	we
must	MD	must
remain	VV	remain
united	VVN	unite
we	PP	we
must	MD	must
March	NP	March
for	IN	for
victory	NN	victory
we	PP	we
have	VHP	have
a	DT	a
robust	JJ	robust
State	NP	State
Mighty	NP	Mighty
Army	NP	Army
and	CC	and
above	IN	above
all	DT	all
we	PP	we
have	VHP	have
a	DT	a
mighty	JJ	mighty
people	NNS	people
we	PP	we
have	VHP	have
a	DT	a
mighty	JJ	mighty
power	NN	power
with	IN	with
a	DT	a
firm	NN	firm
conviction	NN	conviction
and	CC	and
unshaken	JJ	unshaken
faith	NN	faith
those	DT	those
on	IN	on
Forefront	NN	forefront
will	MD	will
fight	VV	fight
with	IN	with
all	DT	all
power	NN	power
until	IN	until
we	PP	we
bring	VVP	bring
our	PP$	our
enemies	NNS	enemy
we	PP	we
we	PP	we
will	MD	will
rebuild	VV	rebuild
all	PDT	all
the	DT	the
destroyed	VVN	destroy
state	NN	state
I	PP	I
ask	VVP	ask
every	DT	every
one	CD	one
of	IN	of
you	PP	you
our	PP$	our
police	NN	police
and	CC	and
security	NN	security
personnel	NNS	personnel
and	CC	and
our	PP$	our
security	NN	security
guards	VVZ	guard
our	PP$	our
army	NN	army
Personnel	NNS	Personnel
everyone	NN	everyone
including	VVG	include
myself	PP	myself
I	PP	I
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
and	CC	and
I	PP	I
thank	VVP	thank
the	DT	the
volunteers	NNS	volunteer
Rose	NP	Rose
in	IN	in
outstanding	JJ	outstanding
numbers	NNS	number
I	PP	I
am	VBP	be
overwhelmed	VVN	overwhelm
with	IN	with
all	PDT	all
these	DT	these
powers	NNS	power
and	CC	and
this	DT	this
Spirit	NN	spirit
we	PP	we
will	MD	will
continue	VV	continue
to	TO	to
March	NP	March
we	PP	we
will	MD	will
Triumph	VV	triumph
the	DT	the
these	NNS	these
have	VHP	have
been	VBN	be
Dark	JJ	dark
Days	NNS	day
difficult	JJ	difficult
ones	NNS	one
however	RB	however
we	PP	we
cannot	MD	can
fail	VV	fail
to	TO	to
despair	VV	despair
we	PP	we
cannot	MD	can
give	VV	give
up	RP	up
as	IN	as
our	PP$	our
Holy	NP	Holy
Scripture	NP	Scripture
says	VVZ	say
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
there	EX	there
will	MD	will
be	VB	be
light	JJ	light
and	CC	and
I'm	NP	I'm
certain	JJ	certain
there	EX	there
will	MD	will
be	VB	be
light	JJ	light
we	PP	we
will	MD	will
exit	VV	exit
this	DT	this
plight	NN	plight
more	RBR	more
robust	JJ	robust
more	JJR	more
strong	JJ	strong
more	RBR	more
powerful	JJ	powerful
we	PP	we
are	VBP	be
hand	NN	hand
in	IN	in
hand	NN	hand
shoulder	NN	shoulder
by	IN	by
shoulder	NN	shoulder
we	PP	we
will	MD	will
win	VV	win
our	PP$	our
Victory	NP	Victory
our	PP$	our
Triumph	NN	triumph
and	CC	and
we	PP	we
will	VVP	will
prevailing	VVG	prevail
the	DT	the
bylaws	NNS	bylaw
I	PP	I
would	MD	would
like	VV	like
to	TO	to
tell	VV	tell
you	PP	you
in	IN	in
the	DT	the
name	NN	name
of	IN	of
the	DT	the
Kess	NP	Kess
all	RB	all
will	MD	will
be	VB	be
in	IN	in
line	NN	line
with	IN	with
the	DT	the
terms	NNS	term
of	IN	of
the	DT	the
Constitution	NP	Constitution
on	IN	on
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
because	IN	because
of	IN	of
this	DT	this
is	VBZ	be
a	DT	a
war	NN	war
of	IN	of
necessity	NN	necessity
imposed	VVN	impose
upon	IN	upon
us	PP	us
from	IN	from
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
in	IN	in
order	NN	order
to	TO	to
save	VV	save
guard	VV	guard
the	DT	the
Safety	NP	Safety
and	CC	and
Security	NP	Security
of	IN	of
our	PP$	our
people	NNS	people
I	PP	I
say	VVP	say
according	VVG	accord
to	TO	to
Kess	NP	Kess
many	JJ	many
of	IN	of
the	DT	the
members	NNS	member
joined	VVD	join
the	DT	the
government	NN	government
according	VVG	accord
to	TO	to
Article	NP	Article
15	CD	@card@
and	CC	and
as	IN	as
a	DT	a
result	NN	result
the	DT	the
government	NN	government
has	VHZ	have
decided	VVN	decide
to	TO	to
amend	VV	amend
the	DT	the
situation	NN	situation
the	DT	the
position	NN	position
Minister	NP	Minister
government	NN	government
seeks	VVZ	seek
the	DT	the
endorsement	NN	endorsement
of	IN	of
the	DT	the
speaker	NN	speaker
of	IN	of
the	DT	the
K	NN	K
with	IN	with
thank	VV	thank
well	RB	well
that	WDT	that
was	VBD	be
uh	UH	uh
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
speaking	NN	speaking
at	IN	at
Israel's	NP	Israel's
knesset	NN	Knesset
where	WRB	where
he	PP	he
announced	VVD	announce
Israel's	NP	Israel's
formal	JJ	formal
declaration	NN	declaration
of	IN	of
war	NN	war
against	IN	against
Hamas	JJ	Hamas
we're	NN	we're
going	VVG	go
to	TO	to
bring	VV	bring
in	IN	in
Maan	NP	Maan
Bashar	NP	Bashar
now	RB	now
he	PP	he
is	VBZ	be
Al	NP	Al
jazer	NP	jazer
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
Paris	NP	Paris
and	CC	and
M	NP	M
on	IN	on
two	CD	two
main	JJ	main
points	NNS	point
from	IN	from
Netanyahu	NP	Netanyahu
there	EX	there
the	DT	the
first	JJ	first
to	TO	to
unite	VV	unite
Israel	NP	Israel
behind	IN	behind
what	WP	what
has	VHZ	have
happened	VVN	happen
over	IN	over
the	DT	the
last	JJ	last
week	NN	week
the	DT	the
second	JJ	second
main	JJ	main
point	NN	point
which	WDT	which
he	PP	he
spoke	VVD	speak
about	RB	about
at	IN	at
length	NN	length
was	VBD	be
to	TO	to
absolutely	RB	absolutely
destroy	VV	destroy
Hamas	JJ	Hamas
yes	NN	yes
these	DT	these
were	VBD	be
um	RB	um
The	DT	the
Confident	JJ	confident
words	NNS	word
of	IN	of
a	DT	a
wartime	NN	wartime
leader	NN	leader
that	IN/that	that
Netanyahu	NP	Netanyahu
has	VHZ	have
become	VVN	become
the	DT	the
only	JJ	only
days	NNS	day
after	IN	after
his	PP$	his
uh	UH	uh
major	JJ	major
debacle	NN	debacle
by	IN	by
allowing	VVG	allow
uh	UH	uh
such	PDT	such
an	DT	an
operation	NN	operation
to	TO	to
take	VV	take
place	NN	place
under	IN	under
his	PP$	his
watch	NN	watch
He's	NP	He's
certainly	RB	certainly
trying	VVG	try
to	TO	to
changed	VVN	change
the	DT	the
narrative	NN	narrative
about	IN	about
his	PP$	his
failure	NN	failure
and	CC	and
that	IN/that	that
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
establishment	NN	establishment
by	IN	by
rallying	VVG	rally
the	DT	the
spirits	NNS	spirit
uh	UH	uh
of	IN	of
the	DT	the
public	JJ	public
opinion	NN	opinion
about	IN	about
what	WP	what
is	VBZ	be
coming	VVG	come
uh	UH	uh
which	WDT	which
is	VBZ	be
a	DT	a
long	JJ	long
and	CC	and
painful	JJ	painful
War	NN	war
as	IN	as
he	PP	he
put	VVP	put
it	PP	it
and	CC	and
clearly	RB	clearly
uh	UH	uh
he's	NNS	he's
trying	VVG	try
to	TO	to
unite	VV	unite
the	DT	the
Nations	NPS	Nations
behind	IN	behind
this	DT	this
new	JJ	new
so-called	JJ	so-called
uh	UH	uh
Unity	NP	Unity
emergency	NN	emergency
government	NN	government
in	IN	in
order	NN	order
to	TO	to
launch	VV	launch
that	DT	that
war	NN	war
that	IN/that	that
every	DT	every
expert	NN	expert
in	IN	in
the	DT	the
world	NN	world
agrees	VVZ	agree
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
quite	RB	quite
bloody	JJ	bloody
long	JJ	long
and	CC	and
costly	JJ	costly
notably	RB	notably
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
with	IN	with
some	DT	some
putting	VVG	put
the	DT	the
estimate	NN	estimate
at	IN	at
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
perhaps	RB	perhaps
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
casualties	NNS	casualty
to	TO	to
build	VV	build
the	DT	the
case	NN	case
for	IN	for
war	NN	war
I	PP	I
think	VVP	think
he's	NNS	he's
uh	UH	uh
almost	RB	almost
manufacturing	VVG	manufacture
a	DT	a
certain	JJ	certain
uh	UH	uh
atmosphere	NN	atmosphere
that	WDT	that
is	VBZ	be
