Muhammad	NP	Muhammad
the	DT	the
operations	NNS	operation
department	NN	department
.	SENT	.
The	DT	the
completely	RB	completely
stopped	VVN	stop
.	SENT	.
It	PP	it
consists	VVZ	consist
of	IN	of
two	CD	two
operating	VVG	operate
rooms	NNS	room
.	SENT	.
Now	RB	now
this	DT	this
operating	VVG	operate
room	NN	room
has	VHZ	have
stopped	VVN	stop
,	,	,
and	CC	and
with	IN	with
a	DT	a
previous	JJ	previous
targeting	VVG	target
,	,	,
and	CC	and
with	IN	with
a	DT	a
previous	JJ	previous
targeting	VVG	target
,	,	,
the	DT	the
two	CD	two
operating	VVG	operate
rooms	NNS	room
in	IN	in
the	DT	the
building	NN	building
,	,	,
in	IN	in
the	DT	the
second	JJ	second
building	NN	building
,	,	,
were	VBD	be
destroyed	VVN	destroy
,	,	,
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
destruction	NN	destruction
of	IN	of
the	DT	the
two	CD	two
sections	NNS	section
of	IN	of
accommodation	NN	accommodation
for	IN	for
the	DT	the
wounded	JJ	wounded
and	CC	and
the	DT	the
sick	JJ	sick
.	SENT	.
The	DT	the
operating	VVG	operate
room	NN	room
stopped	VVD	stop
providing	VVG	provide
services	NNS	service
.	SENT	.
46	CD	@card@
scheduled	JJ	scheduled
operations	NNS	operation
were	VBD	be
postponed	VVN	postpone
.	SENT	.
Caesarean	JJ	Caesarean
section	NN	section
surgery	NN	surgery
for	IN	for
women	NNS	woman
will	MD	will
be	VB	be
stopped	VVN	stop
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
dangerous	JJ	dangerous
thing	NN	thing
.	SENT	.
It	PP	it
threatens	VVZ	threaten
the	DT	the
lives	NNS	life
of	IN	of
many	JJ	many
women	NNS	woman
who	WP	who
need	VVP	need
to	TO	to
undergo	VV	undergo
surgeries	NNS	surgery
,	,	,
even	RB	even
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
fact	NN	fact
that	IN/that	that
we	PP	we
are	VBP	be
able	JJ	able
to	TO	to
refer	VV	refer
these	DT	these
women	NNS	woman
to	TO	to
undergo	VV	undergo
surgeries	NNS	surgery
in	IN	in
government	NN	government
hospitals	NNS	hospital
,	,	,
but	CC	but
we	PP	we
cannot	MD	can
refer	VV	refer
them	PP	them
now	RB	now
because	IN	because
government	NN	government
hospitals	NNS	hospital
have	VHP	have
been	VBN	be
closed	VVN	close
since	IN	since
yesterday	NN	yesterday
and	CC	and
services	NNS	service
will	MD	will
not	RB	not
be	VB	be
provided	VVN	provide
.	SENT	.
Obstetrics	NNS	obstetrics
and	CC	and
gynecology	NN	gynecology
services	NNS	service
for	IN	for
women	NNS	woman
now	RB	now
.	SENT	.
Two	CD	two
operating	VVG	operate
rooms	NNS	room
have	VHP	have
been	VBN	be
completely	RB	completely
stopped	VVN	stop
due	JJ	due
to	TO	to
lack	NN	lack
of	IN	of
fuel	NN	fuel
,	,	,
in	IN	in
addition	NN	addition
to	TO	to
two	CD	two
operating	VVG	operate
rooms	NNS	room
that	WDT	that
were	VBD	be
previously	RB	previously
stopped	VVN	stop
due	JJ	due
to	TO	to
the	DT	the
Israeli	JJ	Israeli
bombing	NN	bombing
of	IN	of
the	DT	the
second	JJ	second
building	NN	building
of	IN	of
the	DT	the
hospital	NN	hospital
.	SENT	.
Orthopedic	JJ	orthopedic
and	CC	and
general	JJ	general
surgery	NN	surgery
operations	NNS	operation
are	VBP	be
performed	VVN	perform
in	IN	in
addition	NN	addition
to	TO	to
caesarean	JJ	Caesarean
section	NN	section
surgeries	NNS	surgery
.	SENT	.
Recently	RB	recently
,	,	,
plastic	JJ	plastic
surgeries	NNS	surgery
that	WDT	that
need	VVP	need
some	DT	some
surgeries	NNS	surgery
that	WDT	that
need	VVP	need
interventions	NNS	intervention
,	,	,
i	NP	i
.	SENT	.
e	LS	e
.	SENT	.
tertiary	JJ	tertiary
care	NN	care
,	,	,
have	VHP	have
been	VBN	be
included	VVN	include
.	SENT	.
We	PP	we
perform	VVP	perform
plastic	JJ	plastic
surgeries	NNS	surgery
on	IN	on
them	PP	them
so	RB	so
that	IN/that	that
limbs	NNS	limb
are	VBP	be
not	RB	not
amputated	VVN	amputate
due	JJ	due
to	TO	to
the	DT	the
wound	NN	wound
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
alternative	NN	alternative
in	IN	in
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
or	CC	or
in	IN	in
Gaza	NP	Gaza
,	,	,
as	IN	as
the	DT	the
alternatives	NNS	alternative
are	VBP	be
related	VVN	relate
to	TO	to
the	DT	the
work	NN	work
of	IN	of
government	NN	government
hospitals	NNS	hospital
affiliated	VVN	affiliate
with	IN	with
the	DT	the
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
,	,	,
but	CC	but
we	PP	we
are	VBP	be
the	DT	the
only	JJ	only
hospital	NN	hospital
in	IN	in
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
that	WDT	that
specializes	VVZ	specialize
in	IN	in
performing	VVG	perform
orthopedic	JJ	orthopedic
surgeries	NNS	surgery
,	,	,
even	RB	even
if	IN	if
we	PP	we
do	VVP	do
not	RB	not
do	VV	do
this	DT	this
.	SENT	.
Surgeries	NNS	surgery
will	MD	will
threaten	VV	threaten
the	DT	the
lives	NNS	life
of	IN	of
46	CD	@card@
