<video_id>flINjQgsnC4</video_id>	NP	<video_id>flINjQgsnC4</video_id>
struck	VVD	strike
a	DT	a
residential	JJ	residential
building	NN	building
where	WRB	where
12	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
reported	VVN	report
killed	VVN	kill
and	CC	and
the	DT	the
attack	NN	attack
had	VHD	have
been	VBN	be
conducted	VVN	conduct
in	IN	in
an	DT	an
area	NN	area
that	WDT	that
is	VBZ	be
very	RB	very
close	JJ	close
to	TO	to
rafah	NNS	rafah
Crossing	VVG	cross
across	IN	across
the	DT	the
Egyptian	JJ	Egyptian
uh	UH	uh
borders	NNS	border
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
part	NN	part
of	IN	of
the	DT	the
ongoing	JJ	ongoing
military	JJ	military
attacks	NNS	attack
on	IN	on
rafah	NP	rafah
District	NP	District
earlier	RBR	earlier
where	WRB	where
the	DT	the
the	DT	the
Eastern	NP	Eastern
areas	NNS	area
had	VHD	have
also	RB	also
been	VBN	be
exposed	VVN	expose
to	TO	to
different	JJ	different
artillery	NN	artillery
Shilling	NP	Shilling
that	WDT	that
had	VHD	have
targeted	VVN	target
empty	JJ	empty
empty	JJ	empty
agricultural	JJ	agricultural
lands	VVZ	land
uh	UH	uh
in	IN	in
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
the	DT	the
district	NN	district
now	RB	now
also	RB	also
the	DT	the
attacks	NNS	attack
on	IN	on
the	DT	the
uh	UH	uh
kanun	NN	kanun
City	NN	city
contined	NN	contined
as	IN	as
uh	UH	uh
we	PP	we
have	VHP	have
been	VBN	be
uh	UH	uh
receiving	VVG	receive
different	JJ	different
uh	UH	uh
reports	NNS	report
and	CC	and
appeals	NNS	appeal
from	IN	from
people	NNS	people
regarding	VVG	regard
the	DT	the
expansion	NN	expansion
of	IN	of
heavy	JJ	heavy
gunfire	NN	gunfire
exchange	NN	exchange
between	IN	between
the	DT	the
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
and	CC	and
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
on	IN	on
the	DT	the
downtime	NN	downtime
where	WRB	where
it	PP	it
means	VVZ	mean
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
military	JJ	military
operations	NNS	operation
had	VHD	have
been	VBN	be
conducted	VVN	conduct
in	IN	in
a	DT	a
particular	JJ	particular
part	NN	part
of	IN	of
kanun	NN	kanun
City	NN	city
between	IN	between
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
and	CC	and
it's	NNS	it's
also	RB	also
as	IN	as
a	DT	a
part	NN	part
of	IN	of
the	DT	the
ongoing	JJ	ongoing
military	JJ	military
campaign	NN	campaign
to	TO	to
take	VV	take
full	JJ	full
control	NN	control
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
of	IN	of
the	DT	the
city	NN	city
of	IN	of
kanu	NN	kanu
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
constant	JJ	constant
destruction	NN	destruction
of	IN	of
residential	JJ	residential
buildings	NNS	building
and	CC	and
civil	JJ	civil
infrastructure	NN	infrastructure
there	RB	there
as	IN	as
there	EX	there
are	VBP	be
some	DT	some
people	NNS	people
is	VBZ	be
still	RB	still
in	IN	in
kanun	NN	kanun
is	VBZ	be
being	VBG	be
trapped	VVN	trap
unable	JJ	unable
to	TO	to
leave	VV	leave
uh	UH	uh
alongside	RB	alongside
with	IN	with
a	DT	a
very	RB	very
large	JJ	large
number	NN	number
of	IN	of
victims	NNS	victim
and	CC	and
injured	JJ	injured
people	NNS	people
are	VBP	be
still	RB	still
right	RB	right
now	RB	now
under	IN	under
the	DT	the
rles	NNS	rles
without	IN	without
receiving	VVG	receive
any	DT	any
evacuation	NN	evacuation
help	NN	help
by	IN	by
the	DT	the
civil	JJ	civil
defense	NN	defense
Crews	NP	Crews
uh	UH	uh
inside	IN	inside
khuna	NN	khuna
City	NN	city
due	JJ	due
to	TO	to
the	DT	the
unrelenting	JJ	unrelenting
C	NP	C
circle	NN	circle
of	IN	of
destruction	NN	destruction
of	IN	of
course	NN	course
in	IN	in
that	DT	that
City	NP	City
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
territory	NN	territory
yeah	RB	yeah
and	CC	and
T	NN	T
as	IN	as
we've	NNS	we've
been	VBN	be
reporting	VVG	report
horrendous	JJ	horrendous
conditions	NNS	condition
at	IN	at
the	DT	the
alaxa	NN	alaxa
hospital	NN	hospital
which	WDT	which
has	VHZ	have
now	RB	now
run	VVN	run
out	RB	out
of	IN	of
fuel	VV	fuel
yes	UH	yes
uh	UH	uh
that's	NNS	that's
completely	RB	completely
true	JJ	true
the	DT	the
alaka	NN	alaka
hospital	NN	hospital
yesterday	NN	yesterday
has	VHZ	have
completely	RB	completely
uh	UH	uh
suffered	VVN	suffer
from	IN	from
black	JJ	black
a	DT	a
complete	JJ	complete
blackout	VV	blackout
uh	UH	uh
of	IN	of
electricity	NN	electricity
and	CC	and
today	RB	today
earlier	RBR	earlier
there	RB	there
are	VBP	be
different	JJ	different
videos	NNS	video
emerged	VVD	emerge
from	IN	from
the	DT	the
location	NN	location
of	IN	of
the	DT	the
hospital	NN	hospital
showing	VVG	show
the	DT	the
sound	NN	sound
of	IN	of
heavy	JJ	heavy
fire	VV	fire
uh	UH	uh
Gun	NP	Gun
Exchange	NP	Exchange
between	IN	between
the	DT	the
uh	UH	uh
the	DT	the
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
and	CC	and
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
were	VBD	be
also	RB	also
military	JJ	military
attacks	NNS	attack
had	VHD	have
been	VBN	be
conducted	VVN	conduct
on	IN	on
the	DT	the
vicinity	NN	vicinity
of	IN	of
the	DT	the
hospital	NN	hospital
in	IN	in
the	DT	the
past	JJ	past
hour	NN	hour
now	RB	now
a	DT	a
residential	JJ	residential
building	NN	building
on	IN	on
the	DT	the
vicinity	NN	vicinity
of	IN	of
the	DT	the
hospital	NN	hospital
had	VHD	have
been	VBN	be
targeted	VVN	target
as	IN	as
also	RB	also
the	DT	the
medical	JJ	medical
teams	NNS	team
are	VBP	be
struggling	VVG	struggle
to	TO	to
provide	VV	provide
medical	JJ	medical
treatment	NN	treatment
and	CC	and
the	DT	the
ongoing	JJ	ongoing
blackout	NN	blackout
of	IN	of
telecommunication	NN	telecommunication
uh	UH	uh
on	IN	on
these	DT	these
areas	NNS	area
due	JJ	due
to	TO	to
the	DT	the
uh	UH	uh
widescale	NN	widescale
destruction	NN	destruction
and	CC	and
aggression	NN	aggression
that	WDT	that
had	VHD	have
been	VBN	be
launched	VVN	launch
by	IN	by
Israel	NP	Israel
and	CC	and
uh	UH	uh
the	DT	the
the	DT	the
situation	NN	situation
there	RB	there
is	VBZ	be
getting	VVG	get
beer	NN	beer
hour	NN	hour
difficult	JJ	difficult
and	CC	and
more	RBR	more
worse	JJR	bad
as	IN	as
the	DT	the
Israel	NP	Israel
is	VBZ	be
trying	VVG	try
to	TO	to
expand	VV	expand
its	PP$	its
military	JJ	military
operation	NN	operation
that	IN/that	that
it's	NNS	it's
completely	RB	completely
far	RB	far
away	RB	away
from	IN	from
the	DT	the
hospital	NN	hospital
only	JJ	only
hundreds	NNS	hundred
of	IN	of
meters	NNS	meter
all	DT	all
right	NN	right
TK	NP	TK
abaz	NP	abaz
live	VVP	live
for	IN	for
us	PP	us
there	RB	there
in	IN	in
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
TK	NP	TK
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
