<video_id>xugzQ8i_Xso</video_id>	NP	<video_id>xugzQ8i_Xso</video_id>
reason	NN	reason
um	NN	um
that	IN/that	that
the	DT	the
US	NP	US
would	MD	would
like	VV	like
to	TO	to
see	VV	see
references	NNS	reference
to	TO	to
international	JJ	international
law	NN	law
removed	VVN	remove
from	IN	from
the	DT	the
draft	NN	draft
resolution	NN	resolution
is	VBZ	be
because	IN	because
under	IN	under
international	JJ	international
law	NN	law
and	CC	and
let's	NNS	let's
remember	VVP	remember
the	DT	the
Security	NP	Security
Council	NP	Council
is	VBZ	be
effectively	RB	effectively
the	DT	the
custodian	NN	custodian
of	IN	of
the	DT	the
of	IN	of
of	IN	of
international	JJ	international
law	NN	law
to	TO	to
a	DT	a
large	JJ	large
extent	NN	extent
under	IN	under
international	JJ	international
law	NN	law
there	EX	there
can	MD	can
be	VB	be
no	DT	no
conditionality	NN	conditionality
to	TO	to
the	DT	the
provision	NN	provision
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
um	NNS	um
to	TO	to
a	DT	a
civilian	JJ	civilian
population	NN	population
and	CC	and
more	RBR	more
importantly	RB	importantly
or	CC	or
as	RB	as
importantly	RB	importantly
under	IN	under
international	JJ	international
law	NN	law
and	CC	and
occupying	JJ	occupying
power	NN	power
has	VHZ	have
a	DT	a
positive	JJ	positive
obligation	NN	obligation
to	TO	to
provide	VV	provide
humanitarian	JJ	humanitarian
assistance	NN	assistance
to	TO	to
the	DT	the
population	NN	population
it	PP	it
occupies	VVZ	occupy
so	RB	so
as	IN	as
your	PP$	your
question	NN	question
implied	VVD	imply
there	EX	there
is	VBZ	be
a	DT	a
complete	JJ	complete
disconnect	VV	disconnect
between	IN	between
the	DT	the
discussions	NNS	discussion
in	IN	in
New	NP	New
York	NP	York
and	CC	and
the	DT	the
reality	NN	reality
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
and	NP	and
and	CC	and
as	IN	as
a	DT	a
final	JJ	final
point	NN	point
I	PP	I
think	VVP	think
it	PP	it
it's	JJ	it's
worth	NN	worth
considering	VVG	consider
that	IN/that	that
one	PP	one
reason	VVP	reason
that	IN/that	that
the	DT	the
US	NP	US
is	VBZ	be
SE	FW	se
seeking	VVG	seek
to	TO	to
make	VV	make
this	DT	this
an	DT	an
absolutely	RB	absolutely
meaningless	JJ	meaningless
word	NN	word
salad	NN	salad
of	IN	of
a	DT	a
resolution	NN	resolution
is	VBZ	be
that	IN/that	that
perhaps	RB	perhaps
they're	NN	they're
trying	VVG	try
to	TO	to
provoke	VV	provoke
the	DT	the
Russians	NPS	Russians
or	CC	or
perhaps	RB	perhaps
the	DT	the
Chinese	JJ	Chinese
into	IN	into
casting	VVG	cast
a	DT	a
vote	NN	vote
against	IN	against
this	DT	this
resolution	NN	resolution
because	IN	because
it	PP	it
does	VVZ	do
nothing	NN	nothing
and	CC	and
then	RB	then
you	PP	you
know	VVP	know
they	PP	they
can	MD	can
play	VV	play
the	DT	the
innocent	JJ	innocent
Angel	NP	Angel
uh	UH	uh
and	CC	and
blame	VV	blame
others	NNS	other
uh	UH	uh
for	IN	for
the	DT	the
continuation	NN	continuation
of	IN	of
their	PP$	their
policies	NNS	policy
good	JJ	good
to	TO	to
get	VV	get
your	PP$	your
perspective	NN	perspective
on	IN	on
this	DT	this
m	NN	m
Rabani	NP	Rabani
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
thank	VVP	thank
you	PP	you
you	PP	you
</doc>	JJ	</doc>
