we	PP	we
they	PP	they
want	VVP	want
to	TO	to
have	VH	have
more	JJR	more
Arab	JJ	Arab
countries	NNS	country
pay	VVP	pay
higher	JJR	high
price	NN	price
in	IN	in
order	NN	order
for	IN	for
Israel	NP	Israel
to	TO	to
be	VB	be
satisfied	VVN	satisfy
this	DT	this
genocidal	JJ	genocidal
Israel	NP	Israel
should	MD	should
be	VB	be
rewarded	VVN	reward
for	IN	for
its	PP$	its
genocide	NN	genocide
with	IN	with
more	JJR	more
recognition	NN	recognition
more	JJR	more
Aid	NN	aid
more	JJR	more
sponsorship	NN	sponsorship
more	JJR	more
arms	NNS	arm
and	CC	and
more	JJR	more
diplomatic	JJ	diplomatic
protection	NN	protection
this	DT	this
doesn	NN	doesn
'	POS	'
t	NN	t
make	VV	make
sense	NN	sense
for	IN	for
much	JJ	much
of	IN	of
the	DT	the
International	NP	International
Community	NP	Community
and	CC	and
for	IN	for
those	DT	those
people	NNS	people
who	WP	who
are	VBP	be
voting	VVG	vote
today	RB	today
12	CD	@card@
of	IN	of
them	PP	them
I	PP	I
mean	VVP	mean
how	WRB	how
do	VVP	do
you	PP	you
explain	VV	explain
what	WP	what
sheab	NN	sheab
was	VBD	be
just	RB	just
talking	VVG	talk
about	IN	about
a	DT	a
moment	NN	moment
ago	RB	ago
when	WRB	when
he	PP	he
was	VBD	be
saying	VVG	say
that	IN/that	that
the	DT	the
US	NP	US
was	VBD	be
actually	RB	actually
threatening	VVG	threaten
to	TO	to
pull	VV	pull
the	DT	the
funding	NN	funding
from	IN	from
the	DT	the
United	NP	United
Nations	NPS	Nations
if	IN	if
this	DT	this
vote	NN	vote
were	VBD	be
to	TO	to
go	VV	go
ahead	RB	ahead
why	WRB	why
is	VBZ	be
this	DT	this
so	RB	so
concerning	VVG	concern
for	IN	for
the	DT	the
US	NP	US
what	WP	what
worries	VVZ	worry
them	PP	them
about	IN	about
this	DT	this
it	PP	it
'	POS	'
s	NNS	s
the	DT	the
thing	NN	thing
uh	UH	uh
that	WDT	that
has	VHZ	have
to	TO	to
do	VV	do
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
do	VV	do
with	IN	with
Israel	NP	Israel
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
as	IN	as
I	PP	I
was	VBD	be
mentioning	VVG	mention
earlier	RBR	earlier
it	PP	it
'	''	'
s	VVG	s
my	PP$	my
way	NN	way
or	CC	or
the	DT	the
highway	NN	highway
that	RB	that
'	POS	'
s	NN	S
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
its	PP$	its
PX	NP	PX
American	NP	American
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
so	RB	so
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
its	PP$	its
interest	NN	interest
and	CC	and
Israel	NP	Israel
'	POS	'
s	JJ	s
interest	NN	interest
things	NNS	thing
have	VHP	have
to	TO	to
be	VB	be
done	VVN	do
the	DT	the
American	JJ	American
way	NN	way
otherwise	RB	otherwise
the	DT	the
United	NP	United
States	NPS	States
will	MD	will
veto	VV	veto
wherever	WRB	wherever
the	DT	the
resolution	NN	resolution
a	DT	a
and	CC	and
will	MD	will
send	VV	send
armadas	NNS	armada
to	TO	to
the	DT	the
east	JJ	east
Mediterranean	NP	Mediterranean
and	CC	and
will	MD	will
in	IN	in
fact	NN	fact
get	VVP	get
involved	VVN	involve
in	IN	in
yet	RB	yet
another	DT	another
war	NN	war
or	CC	or
at	IN	at
least	JJS	least
in	IN	in
a	DT	a
military	JJ	military
campaign	NN	campaign
as	IN	as
we	PP	we
'	POS	'
ve	NN	ve
just	RB	just
scene	NN	scene
few	JJ	few
days	NNS	day
ago	RB	ago
when	WRB	when
they	PP	they
got	VVD	get
involved	VVN	involve
militarily	RB	militarily
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
in	IN	in
defense	NN	defense
of	IN	of
Israel	NP	Israel
I	PP	I
mean	VVP	mean
suddenly	RB	suddenly
the	DT	the
United	NP	United
States	NPS	States
also	RB	also
dragging	VVG	drag
along	IN	along
the	DT	the
UK	NP	UK
and	CC	and
France	NP	France
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
the	DT	the
old	JJ	old
Imperial	NP	Imperial
Powers	NP	Powers
the	DT	the
Old	NP	Old
Colonial	NP	Colonial
powers	NNS	power
are	VBP	be
back	RB	back
in	IN	in
the	DT	the
middle	JJ	middle
east	JJ	east
fighting	NN	fighting
for	IN	for
whom	WP	whom
for	IN	for
what	WP	what
why	RB	why
now	RB	now
so	IN	so
it	PP	it
'	POS	'
s	NNS	s
this	DT	this
this	NN	this
this	DT	this
idea	NN	idea
this	DT	this
phrase	NN	phrase
this	DT	this
American	JJ	American
phrase	NN	phrase
you	PP	you
know	VVP	know
it	PP	it
'	''	'
s	NNS	s
called	VVN	call
inside	IN	inside
baseball	NN	baseball
my	PP$	my
way	NN	way
or	CC	or
the	DT	the
highway	NN	highway
basically	RB	basically
says	VVZ	say
either	RB	either
I	PP	I
run	VVP	run
the	DT	the
show	NN	show
or	CC	or
no	DT	no
one	CD	one
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
run	VV	run
the	DT	the
show	NN	show
either	CC	either
I	PP	I
will	MD	will
be	VB	be
managing	VVG	manage
the	DT	the
party	NN	party
or	CC	or
I	PP	I
'	POS	'
ll	NNS	ll
be	VB	be
the	DT	the
party	NN	party
pooper	NP	pooper
basically	RB	basically
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
what	WP	what
happens	VVZ	happen
at	IN	at
the	DT	the
United	NP	United
Nation	NP	Nation
now	RB	now
why	WRB	why
is	VBZ	be
this	DT	this
at	IN	at
at	IN	at
this	DT	this
critical	JJ	critical
moment	NN	moment
why	WRB	why
is	VBZ	be
this	DT	this
important	JJ	important
and	CC	and
why	WRB	why
it	PP	it
is	VBZ	be
reckless	JJ	reckless
on	IN	on
the	DT	the
part	NN	part
of	IN	of
the	DT	the
United	NP	United
States	NP	States
it	PP	it
'	POS	'
s	NN	S
because	IN	because
the	DT	the
support	NN	support
for	IN	for
Palestine	NP	Palestine
is	VBZ	be
across	IN	across
the	DT	the
board	NN	board
around	IN	around
the	DT	the
world	NN	world
in	IN	in
the	DT	the
world	NN	world
societies	NNS	society
and	CC	and
among	IN	among
the	DT	the
world	NN	world
governments	NNS	government
the	DT	the
governments	NNS	government
who	WP	who
don	VVP	don
'	POS	'
t	NN	t
dare	VV	dare
it	PP	it
'	POS	'
s	NN	S
just	RB	just
because	IN	because
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
strong	RB	strong
armed	VVN	arm
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
the	DT	the
absolute	JJ	absolute
majority	NN	majority
of	IN	of
people	NNS	people
and	CC	and
countries	NNS	country
the	DT	the
unit	NN	unit
in	IN	in
the	DT	the
in	IN	in
the	DT	the
world	NN	world
today	NN	today
support	VV	support
the	DT	the
pales	NNS	pale
in	IN	in
fact	NN	fact
the	DT	the
Palestinian	JJ	Palestinian
cause	NN	cause
has	VHZ	have
never	RB	never
been	VBN	be
popular	JJ	popular
around	IN	around
the	DT	the
world	NN	world
just	RB	just
when	WRB	when
Palestine	NP	Palestine
itself	PP	itself
has	VHZ	have
been	VBN	be
suffering	VVG	suffer
more	RBR	more
than	IN	than
ever	RB	ever
before	RB	before
in	IN	in
its	PP$	its
history	NN	history
just	RB	just
look	VVP	look
at	IN	at
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
in	IN	in
Jerusalem	NP	Jerusalem
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
so	IN	so
uh	UH	uh
what	WP	what
are	VBP	be
we	PP	we
to	TO	to
make	VV	make
of	IN	of
then	RB	then
the	DT	the
numbers	NNS	number
that	IN/that	that
we	PP	we
saw	VVD	see
today	NN	today
is	VBZ	be
it	PP	it
significant	JJ	significant
that	IN/that	that
we	PP	we
had	VHD	have
countries	NNS	country
like	IN	like
France	NP	France
for	IN	for
example	NN	example
vote	NN	vote
in	IN	in
favor	NN	favor
of	IN	of
this	DT	this
resolution	NN	resolution
oh	UH	oh
absolutely	RB	absolutely
absolutely	RB	absolutely
as	IN	as
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
from	IN	from
our	PP$	our
correspondent	NN	correspondent
the	DT	the
fact	NN	fact
that	IN/that	that
a	DT	a
good	JJ	good
number	NN	number
of	IN	of
countries	NNS	country
now	RB	now
who	WP	who
usually	RB	usually
abstain	VVP	abstain
voted	VVN	vote
for	IN	for
tells	NNS	tell
you	PP	you
that	IN/that	that
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
is	VBZ	be
the	DT	the
terror	NN	terror
Council	NN	council
in	IN	in
the	DT	the
words	NNS	word
of	IN	of
the	DT	the
Israeli	JJ	Israeli
Ambassador	NN	ambassador
and	CC	and
by	IN	by
the	DT	the
way	NN	way
because	IN	because
we	PP	we
we	PP	we
you	PP	you
know	VVP	know
we	PP	we
broadcast	VV	broadcast
this	DT	this
we	PP	we
are	VBP	be
responsible	JJ	responsible
as	IN	as
Al	NP	Al
jazer	NN	jazer
we	PP	we
broadcast	VVD	broadcast
this	DT	this
stuff	NN	stuff
and	CC	and
sometimes	RB	sometimes
or	CC	or
not	RB	not
sometimes	RB	sometimes
a	DT	a
lot	NN	lot
of	IN	of
times	NNS	time
politicians	NNS	politician
lie	VVP	lie
right	RB	right
I	PP	I
mean	VVP	mean
they	PP	they
lie	VVP	lie
for	IN	for
their	PP$	their
countries	NNS	country
especially	RB	especially
with	IN	with
diplomats	NNS	diplomat
that	RB	that
'	''	'
s	NNS	s
what	WP	what
they	PP	they
do	VVP	do
their	PP$	their
job	NN	job
is	VBZ	be
to	TO	to
sometimes	RB	sometimes
lie	VV	lie
for	IN	for
their	PP$	their
country	NN	country
but	CC	but
not	RB	not
one	CD	one
thing	NN	thing
the	DT	the
Israeli	NP	Israeli
Ambassador	NP	Ambassador
said	VVD	say
today	NN	today
was	VBD	be
correct	JJ	correct
not	RB	not
one	CD	one
thing	NN	thing
factually	RB	factually
and	CC	and
otherwise	RB	otherwise
everything	NN	everything
from	IN	from
how	WRB	how
countries	NNS	country
become	VVP	become
independent	JJ	independent
how	WRB	how
countries	NNS	country
became	VVD	become
accepted	VVN	accept
in	IN	in
International	NP	International
Community	NP	Community
how	WRB	how
Israel	NP	Israel
became	VVD	become
accepted	VVN	accept
as	IN	as
a	DT	a
member	NN	member
of	IN	of
the	DT	the
community	NN	community
after	IN	after
it	PP	it
committed	VVD	commit
Terror	NN	terror
and	CC	and
genocide	NN	genocide
in	IN	in
Palestine	NP	Palestine
in	IN	in
1947	CD	@card@
to	TO	to
19	CD	@card@
49	CD	@card@
it	PP	it
was	VBD	be
accepted	VVN	accept
as	IN	as
a	DT	a
member	NN	member
it	PP	it
wasn	NP	wasn
'	POS	'
t	NN	t
just	RB	just
doing	VVG	do
some	DT	some
Terror	NN	terror
actions	NNS	action
here	RB	here
and	CC	and
there	RB	there
it	PP	it
was	VBD	be
committing	VVG	commit
genocide	NN	genocide
in	IN	in
Palestine	NP	Palestine
and	CC	and
it	PP	it
yet	CC	yet
it	PP	it
was	VBD	be
recognized	VVN	recognize
as	IN	as
a	DT	a
member	NN	member
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
most	JJS	most
of	IN	of
the	DT	the
countries	NNS	country
in	IN	in
the	DT	the
South	NP	South
who	WP	who
gained	VVD	gain
their	PP$	their
independence	NN	independence
from	IN	from
Colonial	NP	Colonial
Powers	NP	Powers
did	VVD	do
so	RB	so
but	CC	but
with	IN	with
the	DT	the
use	NN	use
of	IN	of
force	NN	force
only	RB	only
a	DT	a
few	JJ	few
gained	VVD	gain
their	PP$	their
independence	NN	independence
peacefully	RB	peacefully
because	IN	because
the	DT	the
Imperial	NP	Imperial
Powers	NP	Powers
decide	VVP	decide
to	TO	to
be	VB	be
you	PP	you
know	VVP	know
this	DT	this
it	PP	it
'	POS	'
s	JJ	s
time	NN	time
to	TO	to
go	VV	go
so	IN	so
everything	NN	everything
he	PP	he
was	VBD	be
saying	VVG	say
to	TO	to
day	NN	day
was	VBD	be
just	RB	just
humbug	NN	humbug
total	JJ	total
BS	NP	BS
but	CC	but
it	PP	it
passed	VVD	pass
but	CC	but
be	VB	be
that	IN/that	that
as	IN	as
it	PP	it
may	MD	may
Israel	NP	Israel
is	VBZ	be
totally	RB	totally
isolated	VVN	isolate
like	IN	like
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
totally	RB	totally
isolated	VVN	isolate
and	CC	and
apparently	RB	apparently
con	JJ	con
isolation	NN	isolation
is	VBZ	be
a	DT	a
bit	NN	bit
contagious	JJ	contagious
between	IN	between
Israel	NP	Israel
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
what	WP	what
you	PP	you
worry	VVP	worry
about	RB	about
here	RB	here
is	VBZ	be
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
too	RB	too
important	JJ	important
of	IN	of
a	DT	a
country	NN	country
around	IN	around
the	DT	the
world	NN	world
it	PP	it
is	VBZ	be
too	RB	too
important	JJ	important
of	IN	of
a	DT	a
country	NN	country
it	PP	it
is	VBZ	be
a	DT	a
superpower	NN	superpower
and	CC	and
it	PP	it
does	VVZ	do
have	VHP	have
a	DT	a
huge	JJ	huge
role	NN	role
to	TO	to
play	VV	play
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
it	PP	it
is	VBZ	be
sad	JJ	sad
it	PP	it
'	''	'
s	VVG	s
a	DT	a
sad	JJ	sad
day	NN	day
when	WRB	when
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
boxes	VVZ	box
itself	PP	itself
in	IN	in
behind	IN	behind
the	DT	the
Nan	NP	Nan
government	NN	government
vetos	NNS	veto
again	RB	again
in	IN	in
the	DT	the
United	NP	United
Nations	NPS	Nations
security	NN	security
Council	NP	Council
when	WRB	when
the	DT	the
United	NP	United
States	NPS	States
supposed	VVD	suppose
to	TO	to
be	VB	be
leading	VVG	lead
the	DT	the
way	NN	way
for	IN	for
a	DT	a
true	JJ	true
peace	NN	peace
based	VVN	base
on	IN	on
the	DT	the
recognition	NN	recognition
of	IN	of
Palestinian	JJ	Palestinian
rights	NNS	right
for	IN	for
self	JJ	self
-	NN	-
determination	NN	determination
all	DT	all
right	JJ	right
Maran	NP	Maran
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
well	RB	well
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
