<video_id>U-GC3Z2OKv4</video_id>	NP	<video_id>U-GC3Z2OKv4</video_id>
says	VVZ	say
it	PP	it
holds	VVZ	hold
Israel	NP	Israel
and	CC	and
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
fully	RB	fully
responsible	JJ	responsible
for	IN	for
the	DT	the
raid	NN	raid
on	IN	on
alifa	NP	alifa
Hospital	NP	Hospital
in	IN	in
the	DT	the
statement	NN	statement
the	DT	the
group	NN	group
said	VVD	say
the	DT	the
US	NP	US
essentially	RB	essentially
gave	VVD	give
the	DT	the
green	JJ	green
light	NN	light
for	IN	for
the	DT	the
operation	NN	operation
when	WRB	when
the	DT	the
White	NP	White
House	NP	House
said	VVD	say
it	PP	it
supported	VVD	support
Israel's	NP	Israel's
claims	VVZ	claim
that	IN/that	that
Hamas	NP	Hamas
uses	VVZ	use
a	DT	a
hospital	NN	hospital
for	IN	for
military	JJ	military
purposes	NNS	purpose
well	RB	well
Hamas	NP	Hamas
has	VHZ	have
again	RB	again
denied	VVN	deny
the	DT	the
allegations	NNS	allegation
calling	VVG	call
them	PP	them
a	DT	a
false	JJ	false
narrative	NN	narrative
so	IN	so
M	NP	M
Hamas	NP	Hamas
accusing	VVG	accuse
the	DT	the
White	NP	White
House	NP	House
of	IN	of
essentially	RB	essentially
greenlighting	VVG	greenlighting
the	DT	the
operation	NN	operation
well	NN	well
let's	NNS	let's
just	RB	just
unpick	VVP	unpick
this	DT	this
and	CC	and
take	VV	take
a	DT	a
look	NN	look
at	IN	at
the	DT	the
timeline	NN	timeline
in	IN	in
the	DT	the
course	NN	course
of	IN	of
the	DT	the
day	NN	day
we	PP	we
had	VHD	have
the	DT	the
National	NP	National
Security	NP	Security
advisor	NN	advisor
for	IN	for
the	DT	the
White	NP	White
House	NP	House
John	NP	John
Kirby	NP	Kirby
uh	UH	uh
briefing	NN	briefing
journalist	NN	journalist
in	IN	in
which	WDT	which
he	PP	he
said	VVD	say
that	IN/that	that
the	DT	the
US	NP	US
had	VHD	have
received	VVN	receive
information	NN	information
or	CC	or
had	VHD	have
got	VVN	get
information	NN	information
that	IN/that	that
Hamas	NP	Hamas
was	VBD	be
using	VVG	use
alifa	NN	alifa
hospital	NN	hospital
as	IN	as
a	DT	a
command	NN	command
node	NN	node
and	CC	and
possibly	RB	possibly
a	DT	a
weapon	NN	weapon
storage	NN	storage
facility	NN	facility
now	RB	now
he	PP	he
would	MD	would
not	RB	not
provide	VV	provide
any	DT	any
detail	NN	detail
saying	VVG	say
that	IN/that	that
he	PP	he
did	VVD	do
not	RB	not
want	VV	want
to	TO	to
get	VV	get
into	IN	into
the	DT	the
graner	NN	graner
details	NNS	detail
of	IN	of
this	DT	this
intelligence	NN	intelligence
information	NN	information
he	PP	he
implied	VVD	imply
that	IN/that	that
the	DT	the
information	NN	information
came	VVD	come
from	IN	from
both	CC	both
the	DT	the
US's	NP	US's
own	JJ	own
sources	NNS	source
as	RB	as
well	RB	well
as	IN	as
those	DT	those
of	IN	of
Israel	NP	Israel
but	CC	but
he	PP	he
made	VVD	make
very	RB	very
clear	VV	clear
that	DT	that
uh	UH	uh
he	PP	he
wouldn't	VVD	wouldn't
give	VV	give
any	DT	any
further	JJR	further
details	NNS	detail
he	PP	he
refused	VVD	refuse
to	TO	to
be	VB	be
drawn	VVN	draw
on	IN	on
what	WP	what
evidence	NN	evidence
he	PP	he
had	VHD	have
what	WDT	what
tangible	NN	tangible
evidence	VV	evidence
uh	UH	uh
that	IN/that	that
he	PP	he
could	MD	could
provide	VV	provide
to	TO	to
bolster	VV	bolster
this	DT	this
claim	NN	claim
which	WDT	which
is	VBZ	be
similar	JJ	similar
to	TO	to
the	DT	the
claim	NN	claim
that	WDT	that
has	VHZ	have
been	VBN	be
made	VVN	make
by	IN	by
Israel	NP	Israel
so	RB	so
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
timing	NN	timing
that	IN/that	that
we've	NN	we've
seen	VVN	see
a	DT	a
few	JJ	few
hours	NNS	hour
after	IN	after
the	DT	the
state	NN	state
M	NN	M
by	IN	by
the	DT	the
National	NP	National
Security	NP	Security
advisor	NN	advisor
to	TO	to
the	DT	the
White	NP	White
House	NP	House
you	PP	you
have	VHP	have
Israel	NP	Israel
army	NN	army
launching	VVG	launch
this	DT	this
attack	NN	attack
on	IN	on
alifa	NP	alifa
Hospital	NP	Hospital
uh	UH	uh
that	WDT	that
is	VBZ	be
the	DT	the
background	NN	background
to	TO	to
it	PP	it
that	DT	that
is	VBZ	be
why	WRB	why
Hamas	NP	Hamas
is	VBZ	be
making	VVG	make
the	DT	the
claim	NN	claim
in	IN	in
turn	NN	turn
that	IN/that	that
that	DT	that
statement	NN	statement
by	IN	by
the	DT	the
National	NP	National
Security	NP	Security
advisor	NN	advisor
constituted	VVD	constitute
what	WP	what
amounts	VVZ	amount
to	TO	to
a	DT	a
green	JJ	green
light	NN	light
for	IN	for
the	DT	the
Israelis	NPS	Israelis
to	TO	to
begin	VV	begin
this	DT	this
operation	NN	operation
not	RB	not
withstanding	VVG	withstand
what	WP	what
President	NP	President
Biden	NP	Biden
said	VVD	say
in	IN	in
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
and	CC	and
that	DT	that
is	VBZ	be
why	WRB	why
we've	NN	we've
got	VVD	get
another	DT	another
White	NP	White
House	NP	House
official	NN	official
being	VBG	be
quoted	VVN	quote
as	IN	as
saying	VVG	say
that	IN/that	that
hospitals	NNS	hospital
must	MD	must
be	VB	be
protected	VVN	protect
in	IN	in
Washington	NP	Washington
DC	NP	DC
for	IN	for
us	PP	us
Mike	NP	Mike
Hannah	NP	Hannah
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
