Washington	NP	Washington
'	''	'
t	NN	t
see	VV	see
a	DT	a
repeat	NN	repeat
in	IN	in
the	DT	the
south	NN	south
of	IN	of
what	WP	what
we	PP	we
saw	VVD	see
in	IN	in
the	DT	the
north	JJ	north
uh	UH	uh
and	CC	and
and	CC	and
with	IN	with
respect	NN	respect
to	TO	to
that	WDT	that
we	PP	we
'	POS	'
re	NN	re
at	IN	at
the	DT	the
very	RB	very
early	JJ	early
stage	NN	stage
of	IN	of
the	DT	the
operation	NN	operation
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
too	RB	too
too	RB	too
soon	RB	soon
to	TO	to
draw	VV	draw
a	DT	a
definitive	JJ	definitive
conclusion	NN	conclusion
well	RB	well
a	DT	a
White	NP	White
House	NP	House
delegation	NN	delegation
headed	VVN	head
by	IN	by
vice	JJ	vice
president	NN	president
KLA	NP	KLA
Harris	NP	Harris
is	VBZ	be
National	NP	National
Security	NP	Security
adviser	NN	adviser
Phil	NP	Phil
Gordon	NP	Gordon
has	VHZ	have
arrived	VVN	arrive
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
and	CC	and
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
just	RB	just
heard	VVN	hear
from	IN	from
the	DT	the
state	NN	state
department	NN	department
let	VVD	let
'	''	'
s	NNS	s
speak	VVP	speak
to	TO	to
to	TO	to
kimbery	JJ	kimbery
H	NP	H
we	PP	we
'	POS	'
ll	JJ	ll
start	NN	start
with	IN	with
the	DT	the
state	NN	state
department	NN	department
first	JJ	first
kimbery	NN	kimbery
if	IN	if
if	IN	if
you	PP	you
will	VV	will
uh	UH	uh
commenting	VVG	comment
on	IN	on
this	DT	this
Israeli	JJ	Israeli
expansion	NN	expansion
in	IN	in
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
what	WP	what
more	RBR	more
did	VVD	do
you	PP	you
hear	VVP	hear
well	RB	well
what	WP	what
we	PP	we
'	''	'
re	IN	re
hearing	VVG	hear
there	EX	there
is	VBZ	be
really	RB	really
the	DT	the
state	NN	state
department	NN	department
putting	VVG	put
the	DT	the
blame	NN	blame
for	IN	for
the	DT	the
high	JJ	high
number	NN	number
of	IN	of
Palestinian	JJ	Palestinian
civilian	JJ	civilian
casualties	NNS	casualty
not	RB	not
on	IN	on
the	DT	the
Israeli	JJ	Israeli
military	NN	military
that	WDT	that
is	VBZ	be
responsible	JJ	responsible
for	IN	for
the	DT	the
campaign	NN	campaign
is	VBZ	be
responsible	JJ	responsible
for	IN	for
dropping	VVG	drop
the	DT	the
large	JJ	large
number	NN	number
of	IN	of
Munitions	NN	munitions
that	WDT	that
have	VHP	have
resulted	VVN	result
in	IN	in
more	JJR	more
than	IN	than
15	CD	@card@
,	,	,
000	CD	@card@
deaths	NNS	death
uh	UH	uh
but	RB	but
instead	RB	instead
what	WP	what
we	PP	we
'	POS	'
re	NN	re
hearing	NN	hearing
is	VBZ	be
the	DT	the
state	NN	state
department	NN	department
placing	VVG	place
the	DT	the
blame	NN	blame
on	IN	on
Hamas	NN	Hamas
and	CC	and
how	WRB	how
they	PP	they
'	POS	'
re	NN	re
doing	VVG	do
that	DT	that
is	VBZ	be
by	IN	by
saying	VVG	say
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
embedding	VVG	embed
itself	PP	itself
inside	IN	inside
of	IN	of
churches	NNS	church
mosques	NNS	mosque
schools	NNS	school
and	CC	and
hospitals	NNS	hospital
and	CC	and
as	IN	as
a	DT	a
result	NN	result
that	WDT	that
is	VBZ	be
why	WRB	why
there	EX	there
are	VBP	be
these	DT	these
high	JJ	high
number	NN	number
of	IN	of
Civilian	JJ	civilian
casualties	NNS	casualty
because	IN	because
as	IN	as
uh	UH	uh
we	PP	we
see	VVP	see
the	DT	the
Israeli	JJ	Israeli
military	NN	military
going	VVG	go
after	IN	after
these	DT	these
operatives	NNS	operative
uh	UH	uh
civilians	NNS	civilian
are	VBP	be
caught	VVN	catch
as	IN	as
part	NN	part
of	IN	of
collateral	NN	collateral
damage	NN	damage
but	CC	but
of	IN	of
course	NN	course
the	DT	the
international	JJ	international
condemnation	NN	condemnation
for	IN	for
the	DT	the
disproportionate	JJ	disproportionate
number	NN	number
of	IN	of
Civilian	JJ	civilian
casualties	NNS	casualty
would	MD	would
certainly	RB	certainly
beg	VV	beg
to	TO	to
differ	VV	differ
with	IN	with
that	DT	that
explanation	NN	explanation
and	CC	and
so	RB	so
uh	UH	uh
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
certainly	RB	certainly
having	VHG	have
to	TO	to
find	VV	find
alternative	JJ	alternative
explanations	NNS	explanation
and	CC	and
this	DT	this
is	VBZ	be
certainly	RB	certainly
one	CD	one
of	IN	of
them	PP	them
it	PP	it
does	VVZ	do
have	VHP	have
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
a	DT	a
challenge	NN	challenge
from	IN	from
the	DT	the
vice	JJ	vice
president	NN	president
'	POS	'
s	JJ	s
own	JJ	own
words	NNS	word
as	IN	as
she	PP	she
was	VBD	be
meeting	VVG	meet
very	RB	very
recently	RB	recently
over	IN	over
the	DT	the
weekend	NN	weekend
with	IN	with
Arab	JJ	Arab
leaders	NNS	leader
and	CC	and
following	VVG	follow
that	DT	that
meeting	NN	meeting
did	VVD	do
point	NN	point
out	IN	out
that	WDT	that
it	PP	it
is	VBZ	be
time	NN	time
for	IN	for
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
follow	VV	follow
humanitarian	JJ	humanitarian
law	NN	law
and	CC	and
that	IN/that	that
the	DT	the
uh	UH	uh
numbers	NNS	number
of	IN	of
Civilian	JJ	civilian
casualties	NNS	casualty
and	CC	and
her	PP$	her
her	PP$	her
words	NNS	word
are	VBP	be
simply	RB	simply
devastating	JJ	devastating
right	NN	right
and	CC	and
and	CC	and
speaking	VVG	speak
of	IN	of
which	WDT	which
the	DT	the
the	DT	the
White	NP	White
House	NP	House
delegation	NN	delegation
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
right	RB	right
now	RB	now
what	WP	what
more	RBR	more
do	VVP	do
we	PP	we
know	VVP	know
about	RB	about
what	WP	what
they	PP	they
'	POS	'
re	NN	re
hoping	VVG	hope
to	TO	to
achieve	VV	achieve
what	WP	what
are	VBP	be
the	DT	the
aims	NNS	aim
of	IN	of
that	IN/that	that
well	RB	well
the	DT	the
vice	JJ	vice
president	NN	president
kamla	NP	Kamla
Harris	NP	Harris
is	VBZ	be
now	RB	now
back	RB	back
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
but	CC	but
her	PP$	her
delegation	NN	delegation
that	WDT	that
traveled	VVD	travel
with	IN	with
her	PP	her
to	TO	to
those	DT	those
meetings	NNS	meeting
with	IN	with
Arab	JJ	Arab
leaders	NNS	leader
uh	UH	uh
is	VBZ	be
still	RB	still
ongoing	JJ	ongoing
they	PP	they
are	VBP	be
now	RB	now
in	IN	in
Israel	NP	Israel
and	CC	and
what	WP	what
we	PP	we
know	VVP	know
is	VBZ	be
that	IN/that	that
her	PP$	her
National	NP	National
Security	NP	Security
adviser	NN	adviser
Phil	NP	Phil
Gordon	NP	Gordon
is	VBZ	be
meeting	VVG	meet
with	IN	with
his	PP$	his
Israeli	JJ	Israeli
counterparts	NNS	counterpart
the	DT	the
reason	NN	reason
for	IN	for
this	DT	this
is	VBZ	be
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
already	RB	already
starting	VVG	start
to	TO	to
explore	VV	explore
with	IN	with
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
what	WP	what
post	NN	post
governance	NN	governance
in	IN	in
Gaza	NP	Gaza
looks	VVZ	look
like	IN	like
now	RB	now
uh	UH	uh
they	PP	they
'	''	'
re	IN	re
having	VHG	have
those	DT	those
conversations	NNS	conversation
Israel	NP	Israel
says	VVZ	say
that	IN/that	that
it	PP	it
is	VBZ	be
not	RB	not
willing	JJ	willing
to	TO	to
have	VH	have
Hamas	NNS	Hamas
running	VVG	run
it	PP	it
uh	UH	uh
as	IN	as
it	PP	it
has	VHZ	have
been	VBN	be
previously	RB	previously
or	CC	or
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
even	RB	even
if	IN	if
it	PP	it
is	VBZ	be
a	DT	a
revitalized	VVN	revitalize
Palestinian	JJ	Palestinian
Authority	NP	Authority
uh	UH	uh
and	CC	and
so	RB	so
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
also	RB	also
exploring	VVG	explore
the	DT	the
option	NN	option
of	IN	of
perhaps	RB	perhaps
some	DT	some
sort	NN	sort
of	IN	of
international	JJ	international
body	NN	body
but	CC	but
uh	UH	uh
so	RB	so
far	RB	far
many	JJ	many
of	IN	of
these	DT	these
have	VHP	have
been	VBN	be
uh	UH	uh
ideas	NNS	idea
that	WDT	that
have	VHP	have
not	RB	not
been	VBN	be
welcomed	VVN	welcome
by	IN	by
the	DT	the
Israelis	NPS	Israelis
still	RB	still
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
presenting	VVG	present
this	DT	this
discussion	NN	discussion
and	CC	and
they	PP	they
'	POS	'
re	NN	re
also	RB	also
doing	VVG	do
it	PP	it
with	IN	with
five	CD	five
key	JJ	key
principles	NNS	principle
and	CC	and
that	DT	that
is	VBZ	be
no	DT	no
Force	NP	Force
displacement	NN	displacement
no	DT	no
reoccupation	NN	reoccupation
no	DT	no
blockade	NN	blockade
no	DT	no
reduction	NN	reduction
in	IN	in
territory	NN	territory
and	CC	and
also	RB	also
that	IN/that	that
Gaza	NP	Gaza
should	MD	should
no	RB	no
longer	RBR	longer
in	IN	in
the	DT	the
eyes	NNS	eye
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
Israel	NP	Israel
be	VB	be
used	VVN	use
for	IN	for
any	DT	any
staging	NN	staging
ground	NN	ground
for	IN	for
any	DT	any
future	JJ	future
types	NNS	type
of	IN	of
attacks	NNS	attack
against	IN	against
Israel	NP	Israel
kimbery	NN	kimbery
thanks	NNS	thanks
for	IN	for
that	DT	that
kimy	NP	kimy
Hut	NP	Hut
there	RB	there
at	IN	at
the	DT	the
White	NP	White
House	NP	House
